audit_id,subsystem,file_path,function_or_type,geometry_operation,current_owner,duplicate_with,risk,proposed_owner,proposed_action,status,notes
DUP-020,Apollo solids,frontend/src/apollo/visualization/bridgeStructureSolids.ts:457,frameFromStartEnd,bracing local frame start/end->basis,3D solids,GeometrySnapshot member frames,MEDIUM,Apollo Geometry Engine,GeometrySnapshot member frames,OPEN,silent re-orientation for near-vertical
DUP-021,Viewer,frontend/src/viewer/renderers/ApolloVisualizationRenderer.ts:464,applySolidFrame,quaternion from basis,viewer renderer,3D solids frame contract,MEDIUM,3D Connector,orthonormal frame contract,OPEN,non-orthonormal silently skews
DUP-022,Apollo solids,frontend/src/apollo/visualization/bridgeStructureSolids.ts:345,buildBsddSubstructureMarkerSolid,substructure marker stack,invented stack height,Substructure placement,MEDIUM,Substructure Connector,use Substructure placement,OPEN,hidden constants
DUP-023,Apollo pavement,frontend/src/apollo/bridgeStructure/pavementGeometry.ts:72,deriveRoadMarkingGeometries,road marking offsets 0.2m inset+2mm lift,hardcoded,coordinate contract,HIGH,Apollo Geometry Engine,declare constants in contract,OPEN,hidden edge inset
DUP-024,Apollo drawing,frontend/src/apollo/drawing/memberArrangementViews.ts:247,buildBracingArrangementView,schematic offsets +/-0.4 +/-0.15,hardcoded,GeometrySnapshot,MEDIUM,Apollo Geometry Engine,derive from geometry,OPEN,generic schematic offsets
DUP-025,Export,frontend/src/apollo/export/apolloStlExport.ts:31,originShiftMm,user hidden offset,STL export option,export contract,MEDIUM,Export Connector,declare in export contract,OPEN,hidden offset
DUP-026,Apollo L-angle,frontend/src/apollo/bridgeStructure/lAnglePolygon.ts:68,buildLAnglePolygon,L-section polygon UV,lAnglePolygon,apolloStlExport+ApolloVisualizationRenderer copies,MEDIUM,Apollo Geometry Engine,single section polygon source,OPEN,geometry duplicated 3x; 6-vertex polygon
DUP-027,Substructure,substructure-planning/prototype/src/geometry.ts:269,rotation.z deg->rad,skew at render deg->rad,prototype renderer,frontend model rad,MEDIUM,Substructure Connector,unify skew units,OPEN,rad vs deg inconsistency
DUP-028,Backend,backend/engine/bridge_fem_generator.py:35,_y_positions,transverse y positions symmetric lanes,Bridge Wizard path,GeometrySnapshot,HIGH,Apollo Geometry Engine,GeometrySnapshot support/girder placement,OPEN,straight-only
DUP-029,Backend,backend/app/main.py:864,add_cantilever_geometry/add_simple_beam_geometry,hard-coded example geometry,example endpoints,Common Model path,MEDIUM,Apollo Geometry Engine,replace with Common Model path,OPEN,example endpoint geometry
DUP-030,SaveLoad,frontend/src/contracts/legacy/frame/adapter.ts:862,synthetic coordinateContext,coordinate authority unknown,legacy adapter,coordinate-context contract,HIGH,Common Bridge Data Model,verified coordinate context,OPEN,confidence unknown on load
