path,type,sha256
docs/apollo/step10/reference_bridge_001/phase5/tools/tests/test_common_bridge_model.py,python,5076b126e00b7360739d3f22af5090a94456a27031d82e55db527b8720ddd3b7
docs/apollo/step10/reference_bridge_001/phase5/tools/tests/test_phase5_adapter.py,python,030122bdceeeaf8c4ff52b23a65eb025c2b36a7352bdae169d4a9915fadffb23
docs/apollo/step10/reference_bridge_001/phase5/tools/validate_common_bridge_model.py,python,0ae7c2297da7f6fd2f1788d75934f68d9060a0658007ad4ba4f0843d1ea034ac
docs/apollo/step10/reference_bridge_001/phase5/tools/validate_p5_contract.py,python,9e9c925821724845a9f992120c945428dbde235caee687626eff78fa13d3c590
docs/apollo/step10/reference_bridge_001/phase5/tools/validate_phase5_master.py,python,2dbe3be6a7cd515822f45faa44d8fc98b7f7428a53884004d5f186701030fcd1
docs/apollo/step10/reference_bridge_001/phase5/tools/validate_roundtrip.py,python,1f78fa69c42e836c83f1e738365949e5814ec79451820edadaee6d02220b629f
docs/apollo/step10/reference_bridge_001/phase5/validation/compatibility_matrix.csv,csv,569a6783e77bdfe2aade8b475c4f18db3b681de1157795f15c3c07f64e74000c
docs/apollo/step10/reference_bridge_001/phase5/validation/golden_to_common_model_parity.csv,csv,4aeae662e57273966ce867d1a1dd4a93a4dbd367bf38b833060d0ffe3c070168
docs/apollo/step10/reference_bridge_001/phase5/validation/p5_2_schema_type_validation.md,markdown,c92a981ce1a4aaa14a586f49fea883e4f09b973879115ecb46368ad88f9221e5
docs/apollo/step10/reference_bridge_001/phase5/validation/roundtrip_validation_summary.md,markdown,009c79548271b0b80905966fe7084c4183d6432ce9d701864ccda1fbcac96730
frontend/src/contracts/commonBridgeDataModel.ts,ts,4bae86c76bfd212c3e222784c3499c4328483562c4045a6111940bb1189e7b5a
frontend/src/contracts/contractVersionRegistry.ts,ts,5c5ccf7c7d042e2795a45756e596b3c5edf5feefee11ea70d449a85c2f0c210f
frontend/src/contracts/documentKind.ts,ts,71e89dd19565443efa0da92207997069615d7430a3e74e59145d9a7e5b2a6764
frontend/src/contracts/runtime/jsonSchema/definitions.ts,ts,3c7ec5f52104e78a2452fedf7a8285779d29bb30144acb3874ace3902a15e3fd
frontend/src/contracts/runtime/jsonSchema/semanticMetadata.ts,ts,9ac8db159b7822f3f35ff17e4f42f94003e27a6d53f5f8ca9c40688f83affb87
frontend/src/contracts/runtime/schemas/commonBridgeDataModel.ts,ts,aac0f0134b54d5deef1bd998b389ecf41368cab90e79323cbf5d1602c5b97596
schemas/contracts/v0.1/common-bridge-data-model.schema.json,json,b69f7cfea5772f1d43845911ff28407821e70925885fd07b3a5741457c71b93c
