rule_id,rule_category,title,source_asset_id,source_document,source_page,source_section,source_item,fact_or_inference,condition,input,constraint,formula,output,exception,warning,unit,applicability,liner_mapping,project_mapping,bridge_mapping,confidence,review_status,notes
RO-011,CURVE_RADIUS,設計用横摩擦係数（表3-2）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,345,Ⅲ-3-3-1,表3-2,FACT,最小曲線半径算定に用いる設計上横摩擦係数 f,設計速度,40以下:0.15、50:0.14、60:0.13、80:0.12、100:0.11、120:0.10,UNKNOWN,設計上横摩擦係数 f（無次元）,快適性限界: 50km/h f=0.16〜0.19、120km/h f=0.09,UNKNOWN,-,普通道路,minimum_curve_radius,minimum_curve_radius,UNKNOWN,HIGH,PENDING,
RO-012,CURVE_RADIUS,最小曲線半径の算定（表3-3）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,346,Ⅲ-3-3-1 d,表3-3・(36)式,FACT,最小曲線半径は横摩擦係数と片勾配から算定,設計速度V；横摩擦係数f；片勾配i,"V=120,f=0.10: 709/630/567 (i=6/8/10%)、V=100,f=0.11: 463/414/375、V=80,f=0.12: 280/252/229、V=60,f=0.13: 149/135/123、V=50,f=0.14: 98/89/82、V=40,f=0.15: 60/55/50、V=30,f=0.15: 34/31/28、V=20,f=0.15: 15/14/13",R=V^2/(127(f+i/100))（表3-3の値と整合）,最小曲線半径 R（m）,片勾配を付さない第4種は別表（表3-4）,UNKNOWN,m,普通道路,minimum_curve_radius,minimum_curve_radius,UNKNOWN,HIGH,PENDING,式は表の値から逆算で整合確認（INFERENCE成分含む）
RO-013,CURVE_RADIUS,最小曲線半径の規定値（表3-5）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,348,Ⅲ-3-3-1 b,表3-5,FACT,道路構造令第15条の最小曲線半径の規定値（片勾配6%に対応）,設計速度,V=120:710、V=100:460、V=80:280、V=60:150、V=50:100、V=40:60、V=30:55、V=20:30（標準値。片勾配8/10%で縮小可）,UNKNOWN,最小曲線半径の規定値 R（m）,"地形等特別理由で片勾配10%を付す場合は縮小可（120→570, 100→380, 80→230, 60→120等）",UNKNOWN,m,普通道路,minimum_curve_radius,minimum_curve_radius,UNKNOWN,HIGH,PENDING,
RO-014,CURVE_RADIUS,最小曲線半径の望ましい値（表3-6）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,349,Ⅲ-3-3-2,表3-6,FACT,最小曲線半径の望ましい値,設計速度,V=120:1000、V=100:700、V=80:400、V=60:200、V=50:150、V=40:100、V=30:65、V=20:30,UNKNOWN,望ましい曲線半径（m）,UNKNOWN,UNKNOWN,m,普通道路,minimum_curve_radius,minimum_curve_radius,UNKNOWN,HIGH,PENDING,
RO-015,CURVE_RADIUS,片勾配を付さない場合の最小曲線半径（表3-4・第4種）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,346-347,Ⅲ-3-3-1,表3-4,FACT,第4種の道路で片勾配を付さない場合の最小曲線半径,設計速度；横摩擦係数f=0.15,V=60:218、V=50:151、V=40:97、V=30:55、V=20:24,UNKNOWN,最小曲線半径 R（m）,UNKNOWN,UNKNOWN,m,第4種の道路,minimum_curve_radius,minimum_curve_radius,UNKNOWN,HIGH,PENDING,
RO-016,CURVE_LENGTH,最小曲線長,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,346-358,Ⅲ-3-4,解説,FACT,曲線長は設計速度の2秒程度走行距離の曲線長が望ましい（交通量の少ない道路は縮小可）,設計速度,設計速度の2秒走行距離程度の曲線長,UNKNOWN,最小曲線長（m）,交角の小さい道路では縮小した曲線長を適用できる,UNKNOWN,m,普通道路,curve_length,curve_length,UNKNOWN,MEDIUM,PENDING,具体の数値表は別途要確認
RO-017,TRANSITION_CURVE,緩和区間（第18条）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,383,Ⅲ-3-7,第18条,FACT,車道の屈曲部には緩和区間を設ける。第4種の道路で地形の状況等の特別な理由がある場合は省略できる,道路の種類；屈曲部の状況,屈曲部に緩和区間を設置,UNKNOWN,緩和区間の設置,第4種の道路は特別理由で省略可,UNKNOWN,-,普通道路,transition_curve,transition_curve,UNKNOWN,HIGH,PENDING,
RO-018,TRANSITION_CURVE,緩和走行区間（クロソイド）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,384-398,Ⅲ-3-7-2/3-7-3,解説,INFERENCE,緩和区間は自動車の緩和走行軌跡からクロソイドを基本とし、緩和走行区間を設定する（A値等）,設計速度；曲線半径；すりつけ,緩和曲線長・クロソイドパラメータAの設定,UNKNOWN,緩和曲線長・A値,緩和曲線の省略条件あり（第4種等）,UNKNOWN,-,普通道路,transition_curve,transition_curve,UNKNOWN,MEDIUM,PENDING,A値の具体式は実案件A=450と照合して要確認
RO-019,SUPERELEVATION,曲線部の片勾配（第16条）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,358,Ⅲ-3-5,第16条,FACT,車道・中央帯（分離帯を除く）・車道に接する路肩の曲線部には、設計速度・曲線半径・地形等を勘案し片勾配を付する,設計速度；曲線半径；地域；地形,片勾配の付与,UNKNOWN,片勾配の設定,第4種の道路は地形等特別理由で片勾配を付さないことができる,UNKNOWN,%,普通道路,superelevation,superelevation,UNKNOWN,HIGH,PENDING,
RO-020,SUPERELEVATION,曲線部の最大片勾配（第16条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,358-359,Ⅲ-3-5-1,第16条,FACT,最大片勾配は地域・道路区分により規定,道路の区分；雪寒の度,第1種・第2種及び第3種: 最大10%（雪寒の度が高い地域6%、自転車道等を設ける第3種6%）、第4種: 6%,UNKNOWN,最大片勾配（%）,都心部等では片勾配を付さない場合あり（第4種）,UNKNOWN,%,普通道路,superelevation,superelevation,UNKNOWN,MEDIUM,PENDING,表の地域区分セル一部不明瞭
RO-021,SUPERELEVATION,片勾配の算定式,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,359,Ⅲ-3-5-1,(4)式,FACT,曲線部走行の遠心力と横摩擦の釣合いから片勾配を算定,設計速度V；曲線半径R；横摩擦係数f,遠心力と片勾配・横摩擦の釣合い式 V^2/(gR) = f + i/100,R = V^2/(g(f+i/100)) 等,片勾配・横摩擦の関係,UNKNOWN,UNKNOWN,%,普通道路,superelevation,superelevation,UNKNOWN,MEDIUM,PENDING,式表記OCR不明瞭
RO-022,WIDENING,曲線部の車線等の拡幅（第17条）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,372,Ⅲ-3-6,第17条,FACT,車道の曲線部では設計車両と曲線半径に応じ車線（車線のない道路は車道）を適切な幅とする,設計車両；曲線半径,曲線部の車線幅の拡幅,UNKNOWN,曲線部の拡幅,第3種・第4種は地形等特別理由で拡幅省略可,UNKNOWN,m,普通道路,widening,widening,UNKNOWN,HIGH,PENDING,
RO-023,WIDENING,拡幅量の算定（操向作用回転半径）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,372-373,Ⅲ-3-6-1,(3-14)式,FACT,自動車の操向作用回転半径の理論から拡幅量を算定,設計車両諸元；曲線半径,"R=w·cosecα, R=w·cotα, w=w(cosecα−cotα) 等",拡幅量 w=Rm−(R+B) 等,曲線部の拡幅量,UNKNOWN,UNKNOWN,m,普通道路,widening,widening,UNKNOWN,MEDIUM,PENDING,式表記OCR不明瞭
RO-024,WIDENING,小型道路の曲線部の拡幅,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,382,Ⅲ-3-6-4 (4),解説,FACT,小型道路では普通自動車相当の急曲線部の幅(2.5m)を基準に拡幅量を加える,小型道路；曲線半径,普通自動車相当の幅2.5m＋拡幅量,UNKNOWN,小型道路の拡幅量,UNKNOWN,UNKNOWN,m,小型道路,widening,widening,UNKNOWN,MEDIUM,PENDING,
RO-025,SIGHT_DISTANCE,視距（第19条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,413,Ⅲ-3-9,第19条,FACT,視距は設計速度に応じ表の値以上,設計速度,V=120:210m、V=100:160m、V=80:110m、V=60:75m、V=50:55m、V=40:40m、V=30:40(又は30)、V=20:20m,UNKNOWN,視距（m）,UNKNOWN,UNKNOWN,m,普通道路,sight_distance,sight_distance,UNKNOWN,MEDIUM,PENDING,V=30の値はOCR不明瞭(30/40)
RO-026,SIGHT_DISTANCE,追越視距の確保区間,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,413,Ⅲ-3-9,第19条,FACT,2車線で対向車線がある道路（2車線の数が2の道路）では、必要に応じ追越しができる視距を確保する区間を設ける,車線数；交通状況,追越視距の確保区間の設置,UNKNOWN,追越視距,UNKNOWN,UNKNOWN,m,普通道路,sight_distance,sight_distance,UNKNOWN,HIGH,PENDING,
RO-027,LONGITUDINAL_GRADE,縦断勾配（第20条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,424-425,Ⅲ-3-10-1,第20条,FACT,車道の縦断勾配は道路の区分・設計速度に応じ表の左欄の値以下。地形等特別理由で右欄まで可,道路の区分；設計速度,第1種・第2種・第3種（普通道路）: 120→5/6%、100→6/7%、80→7/8%、60→8/9%、50→9/10%、40→10/11%、30→11/12%、20→12/13%；第4種 普通道路: 60→7%、50→8%、40→9%、30→10%、20→11%、小型道路: 60→8%、50→9%、40→10%、30→11%、20→12%,UNKNOWN,最大縦断勾配（%）,地形等特別理由で右欄（山地）値まで可,UNKNOWN,%,普通道路・小型道路,maximum_grade,maximum_grade,UNKNOWN,MEDIUM,PENDING,表セル一部不明瞭、要確認
RO-028,VERTICAL_CURVE,縦断曲線の半径（第22条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,452,Ⅲ-3-12-1,第22条,FACT,車道の縦断勾配が変移する箇所には縦断曲線を設け、半径は設計速度・曲線形に応じ表の値以上,設計速度；縦断曲線の曲線形（凸/凹）,凸: 120→11000、100→6500、80→3000、60→1400、50→800、40→450、30→250、20→100；凹: 120→4000、100→3000、80→2000、60→1000、50→700、40→450、30→250、20→100,UNKNOWN,縦断曲線の半径（m）,設計速度60km/hの第4種第1級は地形等特別理由で凹形1000まで縮小可,UNKNOWN,m,普通道路,vertical_curve,vertical_curve,UNKNOWN,HIGH,PENDING,
RO-029,VERTICAL_CURVE,縦断曲線の長さ（第22条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,453,Ⅲ-3-12-1,第22条,FACT,縦断曲線の長さは設計速度に応じ表の値以上,設計速度,V=120:100m、V=100:85m、V=80:70m、V=60:50m、V=50:40m、V=40:35m、V=30:25m、V=20:20m,UNKNOWN,縦断曲線の長さ（m）,UNKNOWN,UNKNOWN,m,普通道路,vertical_curve,vertical_curve,UNKNOWN,HIGH,PENDING,
RO-030,VERTICAL_CURVE,縦断曲線の式（2次放物線）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,453,Ⅲ-3-12-1,解説,INFERENCE,縦断曲線は一般に2次放物線で近似し、曲率半径Rと縦断勾配の代数差A(%)・曲線長Lの関係を用いる,縦断勾配の代数差A；縦断曲線半径R,2次放物線近似（図3-69）,R=100·A/L 等（詳細式は要確認）,縦断曲線の半径・長さ,UNKNOWN,UNKNOWN,m,普通道路,vertical_curve,vertical_curve,UNKNOWN,LOW,PENDING,式の完全形はOCR不明瞭
RO-031,CROSS_SLOPE,横断勾配（第24条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,466,Ⅲ-3-13,第24条,FACT,車道・中央帯（分離帯を除く）・車道に接する路肩には、片勾配を付する場合を除き路面の種類に応じ標準横断勾配を付する,路面の種類,道路構造令第23条第2項の基準に適合する舗装道: 1.5%以上2%以下、その他の路面: 3.0%以上5.0%以下,UNKNOWN,標準横断勾配（%）,排水性舗装等では縮小可,UNKNOWN,%,普通道路,cross_slope,cross_slope,UNKNOWN,HIGH,PENDING,
RO-032,CROSS_SLOPE,横断勾配の標準値（表3-51）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,467,Ⅲ-3-13-1,表3-51,FACT,車道部の横断勾配の標準値（片側車線数別）,路面の種類；片側車線数,舗装等: 片側1車線1.5%、片側2車線以上2.0%；上記以外の路面: 3.0〜5.0%,UNKNOWN,横断勾配（%）,降雨の多い地域・設計速度の高い広幅員道路では2.5%採用例,UNKNOWN,%,普通道路,cross_slope,cross_slope,UNKNOWN,HIGH,PENDING,
RO-033,CROSS_SLOPE,歩道・自転車道等の横断勾配,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,466,Ⅲ-3-13,第24条,FACT,歩道・自転車道等には2%の標準横断勾配を付する,歩道・自転車道等,2%の標準横断勾配,UNKNOWN,歩道等の横断勾配（%）,UNKNOWN,UNKNOWN,%,歩道・自転車道等,cross_slope,UNKNOWN,sidewalk,HIGH,PENDING,
RO-034,EXCEPTION,緩和区間の省略（第18条）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,383,Ⅲ-3-7,第18条,FACT,第4種の道路の車道の屈曲部で地形の状況等の特別な理由がある場合は緩和区間を省略できる,第4種の道路；地形,緩和区間の省略,UNKNOWN,緩和区間省略の可否,UNKNOWN,UNKNOWN,-,第4種の道路,transition_curve,UNKNOWN,UNKNOWN,HIGH,PENDING,
RO-035,EXCEPTION,最小曲線半径の縮小（第15条）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,347-348,Ⅲ-3-3-1 b,解説,FACT,地形の状況等の特別な理由がある場合、最大片勾配(10%)を付すことで最小曲線半径を縮小できる,地形；最大片勾配,片勾配6%→8%/10%で縮小値（表3-5）,UNKNOWN,縮小最小曲線半径（m）,UNKNOWN,UNKNOWN,m,普通道路,minimum_curve_radius,UNKNOWN,UNKNOWN,HIGH,PENDING,
RO-036,VALIDATION,設計速度の右欄値の適用（第13条）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,161,Ⅲ-1-3,第13条,FACT,地形の状況等の特別な理由がある場合、高速自動車国道（第1種第4級を除く）以外では設計速度の右欄（山地）値が適用できる,地形の状況,右欄値（山地部）の適用,UNKNOWN,設計速度（km/h）,高速自動車国道第1種第4級は右欄適用対象外,UNKNOWN,km/h,普通道路,design_speed,UNKNOWN,UNKNOWN,HIGH,PENDING,
RO-037,STATION,測点（ステーション）体系,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,PENDING,X1-P03,実案件,UNRESOLVED,実案件の線形計算書での測点体系（BP/BC/EC/KA/KE）をX1-P03で確認する,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-,実案件,station,station,UNKNOWN,UNRESOLVED,PENDING,X1-P03で確定
LIN-001,HORIZONTAL_ALIGNMENT,LINER要素入力（直線/円/クロソイド）,DOC-X0-0035,JIP-LINER_マニュアル,39,5.2.2 ライン設定,要素種類,FACT,ラインを設定する要素の種類,始点座標・終点座標・パラメータ,S=直線要素 / R=円要素 / A=クロソイド要素,UNKNOWN,要素の設定,要素の途中終了は END と記述,UNKNOWN,-,線形,horizontal_alignment,UNKNOWN,UNKNOWN,HIGH,PENDING,
LIN-002,TRANSITION_CURVE,クロソイドパラメータ指定,DOC-X0-0035,JIP-LINER_マニュアル,39,5.2.2,クロソイド要素,FACT,クロソイド要素はパラメータAと始点/終点半径Rで指定,クロソイドパラメータA・半径R,例: A=350.0 R=3000.0,UNKNOWN,クロソイド要素,接合点で曲率半径が異なる場合はENDで分割,UNKNOWN,-,線形,transition_curve,transition_curve,UNKNOWN,HIGH,PENDING,実案件A=450と照合対象
LIN-003,CURVE_RADIUS,円要素の半径とカーブ方向,DOC-X0-0035,JIP-LINER_マニュアル,39,5.2.2,円要素,FACT,円要素の半径の符号でカーブ方向を指定,円半径R,負=右カーブ / 正=左カーブ,UNKNOWN,円要素,UNKNOWN,UNKNOWN,m,線形,curve_radius,curve_radius,UNKNOWN,HIGH,PENDING,
LIN-004,WIDENING,拡幅タイプ,DOC-X0-0035,JIP-LINER_マニュアル,39-47,5.2.2,断面形状,FACT,ラインの拡幅タイプを指定,拡幅タイプ,空白=平行 / 1=1次拡幅 / 4=4次拡幅,UNKNOWN,拡幅線,拡幅線は断面形状のラインより前に作成,UNKNOWN,-,線形,widening,widening,UNKNOWN,HIGH,PENDING,
LIN-005,PIER,ピア設定,DOC-X0-0035,JIP-LINER_マニュアル,75-85,5.5 ピア設定,ピア記号・設定方法,FACT,ピアはK+正整数の記号で、測点・角度・要素変化点等で設定,基準ライン・測点・角度,設定方法: 2点を結ぶ/1点と角度/要素変化点/測点入力,UNKNOWN,ピア位置・方向,方向の指定は方位角/ライン角度/直線角度,UNKNOWN,-,橋梁,pier,pier,pier,HIGH,PENDING,
LIN-006,GRID_POINT,格点間距離の計算方法,DOC-X0-0035,JIP-LINER_マニュアル,123,5.8.2,格点間距離,FACT,格点間距離はセクション上の距離またはセクション距離×sin(交角),計算ライン（主桁）・計算セクション,セクション上の距離 or セクション距離×sin(交角),UNKNOWN,格点間距離,UNKNOWN,UNKNOWN,m,橋梁,grid_point,grid_point,grid_point,HIGH,PENDING,交角による補正は橋梁斜角に関連
LIN-007,OUTPUT,張り出し長の出力,DOC-X0-0035,JIP-LINER_マニュアル,124,5.8.3,張り出し長,FACT,張り出し長を左側/右側ライン・計算セクション指定で出力,左側ライン・右側ライン・計算セクション,張り出し長の出力,UNKNOWN,張り出し長,UNKNOWN,UNKNOWN,m,橋梁,output,UNKNOWN,overhang,HIGH,PENDING,
LIN-008,COORDINATE,座標変換（TRAN）,DOC-X0-0035,JIP-LINER_マニュアル,115,5.6.4,座標変換,FACT,編集中スパンで座標変換を指定（LINERのTRANに対応）,座標変換の指定,TRAN,UNKNOWN,座標変換,UNKNOWN,UNKNOWN,-,線形,coordinate,UNKNOWN,UNKNOWN,HIGH,PENDING,
LIN-009,DRAWING,図面作成（GDRAW）,DOC-X0-0035,JIP-LINER_マニュアル,143,8. 図面作成,GDRAW,FACT,平面図・座標テーブルを作成（ライン描画・セクション描画・交角描画・寸法線）,図面一覧・基本データ・スパン構成,GDRAW,UNKNOWN,平面図・座標テーブル,UNKNOWN,UNKNOWN,-,図面,drawing,UNKNOWN,UNKNOWN,HIGH,PENDING,
LIN-010,OUTPUT,MDVIEWER（橋面面積・3D DXF）,DOC-X0-0035,JIP-LINER_マニュアル,2,1.2 プログラム構成,MDVIEWER,FACT,橋面面積計算・3次元DXF出力等,橋面面積,MDVIEWER,UNKNOWN,橋面面積・3D DXF,UNKNOWN,UNKNOWN,-,図面,output,UNKNOWN,UNKNOWN,HIGH,PENDING,
LIN-011,VALIDATION,格点間距離チェック（LDIST）,DOC-X0-0035,JIP-LINER_マニュアル,122,5.8,LDIST,FACT,格点間距離・張り出し長のチェックを帳票出力（拡張子LS1/LS2）,スパン指定,LDIST,UNKNOWN,格点間距離・張り出し長の帳票,UNKNOWN,UNKNOWN,-,橋梁,validation,UNKNOWN,grid_point,HIGH,PENDING,
PR-001,STATION,測点・主要点体系（実案件採用値）,DOC-X0-0143,サンプル_道路線形計算例,1732-1810,5.2 ラインデータ,主要点座標リスト,FACT,本線の主要点を測点・X/Y座標で出力,測点ピッチ20・開始測点24+19.95,BP/KA/KE/BC/EC/EBC/EPの測点・座標・始点/終点半径・パラメータ・線形長・接線方向角,UNKNOWN,主要点座標リスト,UNKNOWN,UNKNOWN,-,実案件,station,station,UNKNOWN,HIGH,PENDING,実案件採用値（基準値ではなく採用値）
PR-002,STATION,ブレーキ測点（実案件）,DOC-X0-0143,サンプル_道路線形計算例,1740-1745,5.3 測点設定,ブレーキ測点,FACT,ブレーキ測点により測点を補正（新測点=ブレーキ測点+調整距離）,ブレーキ測点・新測点・調整距離,例: 112+15.121→112+14.868（調整-0.2528）,UNKNOWN,測点補正,UNKNOWN,UNKNOWN,m,実案件,station,station,UNKNOWN,HIGH,PENDING,実案件採用値
PR-003,TRANSITION_CURVE,クロソイドパラメータA（実案件採用値）,DOC-X0-0143,サンプル_道路線形計算例,1732-1810,主要点座標リスト,クロソイドA値,FACT,本線・ランプでA=450/500/550を採用,クロソイドパラメータA,"A=450, A=500, A=550（本線）",UNKNOWN,緩和区間,UNKNOWN,UNKNOWN,-,実案件,transition_curve,transition_curve,UNKNOWN,HIGH,PENDING,実案件採用値。基準値と照合（CONSISTENT）
PR-004,CURVE_RADIUS,実案件採用半径（本線・ランプ）,DOC-X0-0143,サンプル_道路線形計算例,1732-1810,主要点座標リスト,円曲線半径,FACT,本線R=1900、ランプR=320/520/1000/1983,円曲線半径,"R=1900（本線）, R=520, R=-320, R=1000, R=1983（ランプ）",UNKNOWN,実案件採用半径,UNKNOWN,UNKNOWN,m,実案件,curve_radius,curve_radius,UNKNOWN,HIGH,PENDING,実案件採用値。最小曲線半径規定値と照合（CONSISTENT）
