sheet_number,bridge_name,route_name,location,sheet_number_in_set,total_sheets,scale,source_document
32,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,32,141,1:30,Reference Bridge 001
33,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,33,141,1:30,Reference Bridge 001
34,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,34,141,1:30,Reference Bridge 001
35,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,35,141,1:30,Reference Bridge 001
36,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,36,141,1:30,Reference Bridge 001
37,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,37,141,1:30,Reference Bridge 001
38,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,38,141,1:30,Reference Bridge 001
39,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,39,141,1:30,Reference Bridge 001
40,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,40,141,1:30,Reference Bridge 001
41,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,41,141,1:30,Reference Bridge 001
42,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,42,141,1:30,Reference Bridge 001
43,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,43,141,1:30,Reference Bridge 001
44,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,44,141,1:30,Reference Bridge 001
