control_id,screen_id,label,test_id,html_type,input_mode,value_type,commit_trigger,validation_trigger,drawer_or_inline,ime_relevant,save_reload_relevant,enabled_condition,source_file,status,notes
AUI-C-0024,SCR-04,Continuous add span button,continuous-add-span,button,button,action,click,click,inline,NO,YES,isContinuous && spans<max,BridgeStructureInputPanel.tsx:589,NOT_VERIFIED,"data-testid=apollo-continuous-add-span"
AUI-C-0025,SCR-04,Continuous remove span button,continuous-remove-span,button,button,action,click,click,inline,NO,YES,isContinuous && spans>min,BridgeStructureInputPanel.tsx:600,NOT_VERIFIED,"data-testid=apollo-continuous-remove-span"
AUI-C-0026,SCR-04,Continuous span length input 0,continuous-span-length-0,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-0; per-span length"
AUI-C-0027,SCR-04,Continuous span length input 1,continuous-span-length-1,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=2,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-1"
AUI-C-0028,SCR-04,Continuous span length input 2,continuous-span-length-2,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=3,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-2"
AUI-C-0029,SCR-04,Continuous span length input 3,continuous-span-length-3,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=4,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-3"
AUI-C-0030,SCR-04,Continuous span length input 4,continuous-span-length-4,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=5,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-4"
AUI-C-0031,SCR-04,Continuous span length input 5,continuous-span-length-5,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=6,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-5"
AUI-C-0032,SCR-04,Continuous span length input 6,continuous-span-length-6,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=7,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-6"
AUI-C-0033,SCR-04,Continuous span length input 7,continuous-span-length-7,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=8,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-7"
AUI-C-0034,SCR-04,Continuous span length input 8,continuous-span-length-8,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=9,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-8"
AUI-C-0035,SCR-04,Continuous span length input 9,continuous-span-length-9,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,isContinuous && spans.length>=10,BridgeStructureInputPanel.tsx:179,NOT_VERIFIED,"data-testid=apollo-continuous-span-length-9"
AUI-C-0036,SCR-04,Sample input button (simple),sample-input,button,button,action,click,click,inline,NO,NO,always,BridgeStructureInputPanel.tsx:521,NOT_VERIFIED,"data-testid=apollo-sample-input; !isContinuous"
AUI-C-0037,SCR-04,Sample apply+generate button (simple),sample-apply-generate,button,button,action,click,click,inline,NO,NO,always,BridgeStructureInputPanel.tsx:542,NOT_VERIFIED,"data-testid=apollo-sample-apply-generate; !isContinuous"
AUI-C-0038,SCR-04,Continuous sample input button,continuous-sample-input,button,button,action,click,click,inline,NO,NO,isContinuous,BridgeStructureInputPanel.tsx:489,NOT_VERIFIED,"data-testid=apollo-continuous-sample-input"
AUI-C-0039,SCR-04,Continuous sample apply+generate button,continuous-sample-apply-generate,button,button,action,click,click,inline,NO,NO,isContinuous,BridgeStructureInputPanel.tsx:510,NOT_VERIFIED,"data-testid=apollo-continuous-sample-apply-generate"
AUI-C-0040,SCR-04,Clear input button,clear-input,button,button,action,click,click,inline,NO,NO,always,BridgeStructureInputPanel.tsx:552,NOT_VERIFIED,"data-testid=apollo-clear-input"
AUI-C-0041,SCR-04,Generate structure button,generate-structure,button,button,action,click,click,inline,NO,NO,always,BridgeStructureInputPanel.tsx:773,NOT_VERIFIED,"data-testid=apollo-generate-structure"
AUI-C-0042,SCR-04,Adopt steel unit weight button,adopt-steel-unit-weight,button,button,action,click,click,inline,NO,NO,always,BridgeStructureInputPanel.tsx:249,NOT_VERIFIED,"data-testid=apollo-adopt-steel-unit-weight"
AUI-C-0043,SCR-04,Adopt RC unit weight button,adopt-rc-unit-weight,button,button,action,click,click,inline,NO,NO,always,BridgeStructureInputPanel.tsx:249,NOT_VERIFIED,"data-testid=apollo-adopt-rc-unit-weight"
AUI-C-0044,SCR-04,STL export preset select,stl-export-preset,select,select,enum,change,change,inline,NO,NO,always,ApolloPhase1Shell.tsx:1696,NOT_VERIFIED,"data-testid=apollo-stl-export-preset; full/girders/deck/visible"
AUI-C-0045,SCR-04,STL export button,export-stl,button,button,action,click,click,inline,NO,NO,visualizationBuild.ok,ApolloPhase1Shell.tsx:1707,NOT_VERIFIED,"data-testid=apollo-export-stl"
AUI-C-0046,SCR-04,Undo button,undo,button,button,action,click,click,inline,NO,YES,canUndo,ApolloPhase1Shell.tsx:1644,NOT_VERIFIED,"data-testid=apollo-undo"
AUI-C-0047,SCR-04,Redo button,redo,button,button,action,click,click,inline,NO,YES,canRedo,ApolloPhase1Shell.tsx:1647,NOT_VERIFIED,"data-testid=apollo-redo"
AUI-C-0048,SCR-05,Node ID input,node-id,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedNode,ApolloPhase1Shell.tsx:2009,NOT_VERIFIED,"data-focus-key=node-id"
AUI-C-0049,SCR-05,Node label input,node-label-input,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedNode,ApolloPhase1Shell.tsx:2010,NOT_VERIFIED,"data-testid=apollo-node-label-input"
AUI-C-0050,SCR-05,Node X coordinate input,node-x-input,ApolloNumericInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,selectedNode,ApolloPhase1Shell.tsx:2011,NOT_VERIFIED,"data-testid=apollo-node-x-input"
AUI-C-0051,SCR-05,Add node button,add-node,button,button,action,click,click,inline,NO,YES,always,ApolloPhase1Shell.tsx:1980,NOT_VERIFIED,"data-testid=apollo-add-node"
AUI-C-0052,SCR-05,Duplicate node button,duplicate-node,button,button,action,click,click,inline,NO,YES,visibleNodes.length>0,ApolloPhase1Shell.tsx:1997,NOT_VERIFIED,"per-row button"
AUI-C-0053,SCR-05,Delete node button,delete-node,button,button,action,click,click,inline,NO,YES,visibleNodes.length>0,ApolloPhase1Shell.tsx:1998,NOT_VERIFIED,"per-row button; blocked if referenced"
AUI-C-0054,SCR-05,Node select button,node-select-APN-*,button,button,action,click,click,inline,NO,YES,visibleNodes.length>0,ApolloPhase1Shell.tsx:1996,NOT_VERIFIED,"data-testid=apollo-node-select-{id}"
AUI-C-0055,SCR-06,Member ID input,member-id,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedMember,ApolloPhase1Shell.tsx:2054,NOT_VERIFIED,"data-focus-key=member-id"
AUI-C-0056,SCR-06,Member label input,member-label,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedMember,ApolloPhase1Shell.tsx:2055,NOT_VERIFIED
AUI-C-0057,SCR-06,Member node I select,member-node-i,select,select,string,change,change,inline,NO,YES,selectedMember,ApolloPhase1Shell.tsx:2056,NOT_VERIFIED,"data-focus-key=member-node-i"
AUI-C-0058,SCR-06,Member node J select,member-node-j,select,select,string,change,change,inline,NO,YES,selectedMember,ApolloPhase1Shell.tsx:2057,NOT_VERIFIED,"data-focus-key=member-node-j"
AUI-C-0059,SCR-06,Member material select,member-material,select,select,string,change,change,inline,NO,YES,selectedMember,ApolloPhase1Shell.tsx:2058,NOT_VERIFIED,"data-focus-key=member-material"
AUI-C-0060,SCR-06,Add member button,add-member,button,button,action,click,click,inline,NO,YES,nodes.length>=2,ApolloPhase1Shell.tsx:2024,NOT_VERIFIED,"data-testid=apollo-add-member"
AUI-C-0061,SCR-06,Duplicate member button,duplicate-member,button,button,action,click,click,inline,NO,YES,visibleMembers.length>0,ApolloPhase1Shell.tsx:2042,NOT_VERIFIED
AUI-C-0062,SCR-06,Delete member button,delete-member,button,button,action,click,click,inline,NO,YES,visibleMembers.length>0,ApolloPhase1Shell.tsx:2043,NOT_VERIFIED
AUI-C-0063,SCR-06,Member select button,member-select-APM-*,button,button,action,click,click,inline,NO,YES,visibleMembers.length>0,ApolloPhase1Shell.tsx:2041,NOT_VERIFIED,"data-testid=apollo-member-select-{id}"
AUI-C-0064,SCR-07,Support ID input,support-id,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedSupport,ApolloPhase1Shell.tsx:2102,NOT_VERIFIED
AUI-C-0065,SCR-07,Support node select,support-node,select,select,string,change,change,inline,NO,YES,selectedSupport,ApolloPhase1Shell.tsx:2103,NOT_VERIFIED,"data-focus-key=support-node"
AUI-C-0066,SCR-07,Support label input,support-label,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedSupport,ApolloPhase1Shell.tsx:2104,NOT_VERIFIED
AUI-C-0067,SCR-07,Add support button,add-support,button,button,action,click,click,inline,NO,YES,unusedNode exists,ApolloPhase1Shell.tsx:2071,NOT_VERIFIED,"data-testid=apollo-add-support"
AUI-C-0068,SCR-07,Duplicate support button,duplicate-support,button,button,action,click,click,inline,NO,YES,visibleSupports.length>0,ApolloPhase1Shell.tsx:2090,NOT_VERIFIED
AUI-C-0069,SCR-07,Delete support button,delete-support,button,button,action,click,click,inline,NO,YES,visibleSupports.length>0,ApolloPhase1Shell.tsx:2091,NOT_VERIFIED
AUI-C-0070,SCR-07,Support select button,support-select-SUP-*,button,button,action,click,click,inline,NO,YES,visibleSupports.length>0,ApolloPhase1Shell.tsx:2089,NOT_VERIFIED,"data-testid=apollo-support-select-{id}"
AUI-C-0071,SCR-08,Material ID input,material-id,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedMaterial,ApolloPhase1Shell.tsx:2146,NOT_VERIFIED,"data-focus-key=material-id"
AUI-C-0072,SCR-08,Material name input,material-name,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedMaterial,ApolloPhase1Shell.tsx:2147,NOT_VERIFIED
AUI-C-0073,SCR-08,Material category input,material-category,CompositionAwareInput,text,string,Enter/blur,onValueChange,inline,YES,YES,selectedMaterial,ApolloPhase1Shell.tsx:2148,NOT_VERIFIED
AUI-C-0074,SCR-08,Add material button,add-material,button,button,action,click,click,inline,NO,YES,always,ApolloPhase1Shell.tsx:2117,NOT_VERIFIED,"data-testid=apollo-add-material"
AUI-C-0075,SCR-08,Duplicate material button,duplicate-material,button,button,action,click,click,inline,NO,YES,visibleMaterials.length>0,ApolloPhase1Shell.tsx:2134,NOT_VERIFIED
AUI-C-0076,SCR-08,Delete material button,delete-material,button,button,action,click,click,inline,NO,YES,visibleMaterials.length>0,ApolloPhase1Shell.tsx:2135,NOT_VERIFIED
AUI-C-0077,SCR-08,Material select button,material-select-MAT-*,button,button,action,click,click,inline,NO,YES,visibleMaterials.length>0,ApolloPhase1Shell.tsx:2133,NOT_VERIFIED,"data-testid=apollo-material-select-{id}"
AUI-C-0078,SCR-04,Search query input,search-query,CompositionAwareInput,text,string,change,change,inline,YES,NO,always,ApolloPhase1Shell.tsx:1864,NOT_VERIFIED,"data-testid=apollo-search-query"
AUI-C-0079,SCR-04,Search type select,search-type,select,select,enum,change,change,inline,NO,NO,always,ApolloPhase1Shell.tsx:1872,NOT_VERIFIED,"data-testid=apollo-search-type; all/node/member/support/material"
AUI-C-0080,SCR-04,Search clear button,search-clear,button,button,action,click,click,inline,NO,NO,always,ApolloPhase1Shell.tsx:1889,NOT_VERIFIED,"data-testid=apollo-search-clear"
AUI-C-0081,SCR-04,Bulk edit field select,bulk-edit-field,select,select,enum,change,change,inline,NO,NO,bulkEditSelection.ok,ApolloPhase1Shell.tsx:1910,NOT_VERIFIED,"data-testid=apollo-bulk-edit-field; label/displayName/active"
AUI-C-0082,SCR-04,Bulk edit active value select,bulk-edit-active,select,select,boolean,change,change,inline,NO,NO,bulkEditField==="active",ApolloPhase1Shell.tsx:1927,NOT_VERIFIED,"data-testid=apollo-bulk-edit-active; true/false"
AUI-C-0083,SCR-04,Bulk edit text value input,bulk-edit-text,CompositionAwareInput,text,string,change,change,inline,YES,NO,bulkEditField!=="active",ApolloPhase1Shell.tsx:1939,NOT_VERIFIED,"data-testid=apollo-bulk-edit-text"
AUI-C-0084,SCR-04,Bulk edit apply button,bulk-edit-apply,button,button,action,click,click,inline,NO,NO,bulkEditSelection.ok,ApolloPhase1Shell.tsx:1947,NOT_VERIFIED,"data-testid=apollo-bulk-edit-apply"
AUI-C-0085,SCR-04,Copy selection button,copy-selection,button,button,action,click,click,inline,NO,NO,homogeneous selection,ApolloPhase1Shell.tsx:1843,NOT_VERIFIED,"data-testid=apollo-copy-selection"
AUI-C-0086,SCR-04,Paste selection button,paste-selection,button,button,action,click,click,inline,NO,NO,always,ApolloPhase1Shell.tsx:1854,NOT_VERIFIED,"data-testid=apollo-paste-selection"
AUI-C-0087,SCR-04,Save button,save-project,button,button,action,click,click,inline,NO,YES,persisting===null,ApolloPhase1Shell.tsx:2347,NOT_VERIFIED,"data-testid=apollo-save-project"
AUI-C-0088,SCR-04,Open button,reload-project,button,button,action,click,click,inline,NO,YES,persisting===null,ApolloPhase1Shell.tsx:2346,NOT_VERIFIED,"data-testid=apollo-reload-project"
AUI-C-0089,SCR-04,Mode toggle guided button,mode-guided,button,button,action,click,click,inline,NO,NO,always,ApolloPhase1Shell.tsx:2342,NOT_VERIFIED
AUI-C-0090,SCR-04,Mode toggle list button,mode-list,button,button,action,click,click,inline,NO,NO,always,ApolloPhase1Shell.tsx:2343,NOT_VERIFIED
AUI-C-0091,SCR-04,Workspace new button,workspace-new,button,button,action,click,click,inline,NO,NO,always,ApolloPhase1Shell.tsx:1762,NOT_VERIFIED,"data-testid=apollo-workspace-new"
AUI-C-0092,SCR-04,Workspace save button,workspace-save,button,button,action,click,click,inline,NO,YES,always,ApolloPhase1Shell.tsx:1765,NOT_VERIFIED,"data-testid=apollo-workspace-save"
AUI-C-0093,SCR-04,Workspace open button,workspace-open,button,button,action,click,click,inline,NO,YES,selectedWorkspaceEntry,ApolloPhase1Shell.tsx:1773,NOT_VERIFIED,"data-testid=apollo-workspace-open"
AUI-C-0094,SCR-04,Workspace duplicate button,workspace-duplicate,button,button,action,click,click,inline,NO,NO,selectedWorkspaceEntry,ApolloPhase1Shell.tsx:1774,NOT_VERIFIED,"data-testid=apollo-workspace-duplicate"
AUI-C-0095,SCR-04,Workspace rename button,workspace-rename,button,button,action,click,click,inline,NO,NO,selectedWorkspaceEntry,ApolloPhase1Shell.tsx:1775,NOT_VERIFIED,"data-testid=apollo-workspace-rename"
AUI-C-0096,SCR-04,Workspace delete button,workspace-delete,button,button,action,click,click,inline,NO,NO,selectedWorkspaceEntry,ApolloPhase1Shell.tsx:1776,NOT_VERIFIED,"data-testid=apollo-workspace-delete"
AUI-C-0097,SCR-04,Workspace select,workspace-select,select,select,string,change,change,inline,NO,NO,workspaceEntries.length>0,ApolloPhase1Shell.tsx:1780,NOT_VERIFIED,"data-testid=apollo-workspace-select"
AUI-C-0098,SCR-09,Validation previous button,validation-previous,button,button,action,click,click,inline,NO,NO,validationIssues.length>0,ApolloPhase1Shell.tsx:2185,NOT_VERIFIED,"data-testid=apollo-validation-previous"
AUI-C-0099,SCR-09,Validation next button,validation-next,button,button,action,click,click,inline,NO,NO,validationIssues.length>0,ApolloPhase1Shell.tsx:2199,NOT_VERIFIED,"data-testid=apollo-validation-next"
AUI-C-0100,SCR-09,Validation navigate current button,validation-navigate-current,button,button,action,click,click,inline,NO,NO,currentValidationIssue,ApolloPhase1Shell.tsx:2215,NOT_VERIFIED,"data-testid=apollo-validation-navigate-current"
AUI-C-0101,SCR-04,Numeric execution guard button,numeric-execution-guard,button,button,action,click,click,inline,NO,NO,always,ApolloPhase1Shell.tsx:2273,NOT_VERIFIED,"data-testid=apollo-numeric-execution-guard"
AUI-C-0102,SCR-04,Result publication guard button,result-publication-guard,button,button,action,click,click,inline,NO,NO,always,ApolloPhase1Shell.tsx:2274,NOT_VERIFIED,"data-testid=apollo-result-publication-guard"
AUI-C-0103,SCR-04,Guided mode step bar buttons,step-bar-*,button,button,action,click,click,inline,NO,NO,status!=="locked",ApolloPhase1Shell.tsx:1605,NOT_VERIFIED,"step bar navigation"
AUI-C-0104,SCR-04,Onboarding navigation buttons,onboarding-*,button,button,action,click,click,inline,NO,NO,showOnboarding,ApolloPhase1Shell.tsx:2378,NOT_VERIFIED,"previous/next/close"
AUI-C-0105,SCR-11,Cross-frame pattern radio,cf-pattern-*,radio,radio,enum,change,change,drawer,YES,YES,always,CrossFrameAttachmentInputPanel.tsx,NOT_VERIFIED,"V/INVERTED_V/X; only V available"
AUI-C-0106,SCR-11,Upper attachment depth input,cf-upper-depth,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,always,CrossFrameAttachmentInputPanel.tsx,NOT_VERIFIED
AUI-C-0107,SCR-11,Lower attachment depth input,cf-lower-depth,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,always,CrossFrameAttachmentInputPanel.tsx,NOT_VERIFIED
AUI-C-0108,SCR-11,Center node depth input,cf-center-depth,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,always,CrossFrameAttachmentInputPanel.tsx,NOT_VERIFIED,"optional field"
AUI-C-0109,SCR-11,Lateral angle leg A input,la-legA,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,always,CrossFrameAttachmentInputPanel.tsx,NOT_VERIFIED
AUI-C-0110,SCR-11,Lateral angle leg B input,la-legB,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,always,CrossFrameAttachmentInputPanel.tsx,NOT_VERIFIED
AUI-C-0111,SCR-11,Lateral angle thickness input,la-thickness,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,always,CrossFrameAttachmentInputPanel.tsx,NOT_VERIFIED
AUI-C-0112,SCR-12,Pavement presence radio,pavement-presence,radio,radio,enum,change,change,drawer,NO,YES,always,PavementMarkingInputPanel.tsx,NOT_VERIFIED,"NOT_PROVIDED/EXPLICIT_NONE/PROVIDED"
AUI-C-0113,SCR-12,Pavement thickness input,pavement-thickness,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,pavementProvided,PavementMarkingInputPanel.tsx,NOT_VERIFIED
AUI-C-0114,SCR-12,Pavement unit weight input,pavement-unitWeight,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,pavementProvided,PavementMarkingInputPanel.tsx,NOT_VERIFIED
AUI-C-0115,SCR-12,Pavement start station input,pavement-startStation,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,pavementProvided,PavementMarkingInputPanel.tsx,NOT_VERIFIED
AUI-C-0116,SCR-12,Pavement end station input,pavement-endStation,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,drawer,YES,YES,pavementProvided,PavementMarkingInputPanel.tsx,NOT_VERIFIED
AUI-C-0117,SCR-12,Marking center line toggle,marking-centerLine,checkbox,checkbox,boolean,change,change,drawer,NO,YES,always,PavementMarkingInputPanel.tsx,NOT_VERIFIED
AUI-C-0118,SCR-12,Marking lane boundary toggle,marking-laneBoundary,checkbox,checkbox,boolean,change,change,drawer,NO,YES,always,PavementMarkingInputPanel.tsx,NOT_VERIFIED
AUI-C-0119,SCR-12,Marking edge line left toggle,marking-edgeLineLeft,checkbox,checkbox,boolean,change,change,drawer,NO,YES,always,PavementMarkingInputPanel.tsx,NOT_VERIFIED
AUI-C-0120,SCR-12,Marking edge line right toggle,marking-edgeLineRight,checkbox,checkbox,boolean,change,change,drawer,NO,YES,always,PavementMarkingInputPanel.tsx,NOT_VERIFIED
AUI-C-0121,SCR-13,Appurtenance LEFT_CURB presence,appurtenance-LEFT_CURB-presence,select,select,enum,change,change,drawer,NO,YES,always,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED,"NOT_PROVIDED/EXPLICIT_NONE/PROVIDED"
AUI-C-0122,SCR-13,Appurtenance RIGHT_CURB presence,appurtenance-RIGHT_CURB-presence,select,select,enum,change,change,drawer,NO,YES,always,DeckAppurtenanceInputPanel.tsx,NOT_VERIFIED
