blocker_id,source_document,affected_area,current_status,exact_missing_evidence,external_dependency,required_software,required_tool,required_version,required_license,required_machine,exact_input,exact_procedure,exact_output,checksum_requirement,acceptance_criteria,numeric_implementation_impact,source_locator,source_field_notes,ea_enablement_reference,ea_closure_status,planned_stage,notes
PKG-R7-V,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05 Verification provisions,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Licensed clauses tables equation forms comparison rules and resistance factors,Licensed R7 verification clauses,NOT_APPLICABLE,PDF viewer independent calculation and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized R7 access,NOT_APPLICABLE_NOT_SPECIFIED,DS-05 verification register row inventory,Human visual confirmation and independent transcription review,Per-row R7 verification evidence package for DS-05 registers with clause table equation factor trace,SHA-256 manifest over all retained evidence artifacts,Every released verification row has complete clause table equation factor and comparison trace,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:PKG-R7-V,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,Depends BLK-S1-004; SG-007 SG-008
PKG-DS03,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05 Adopted material inputs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Adopted material design values required by resistance checks,Closed DS-03 source packages,NOT_APPLICABLE,Authorized standards evidence and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized R7 and JIS access,NOT_APPLICABLE_NOT_SPECIFIED,DS-05 material-use row inventory requiring DS-03 closure,Acquire and approve BLK-S1-002 and BLK-S1-005 evidence then map rows,Closed DS-03 source packages linked to each DS-05 use with checksums,SHA-256 manifest over all retained evidence artifacts,Resistance calculations reference only adopted source-complete material rows,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:PKG-DS03,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,Depends BLK-S1-002 and BLK-S1-005; SG-007
PKG-DS04,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05 Adopted load inputs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Adopted models factors combinations and application order,Closed DS-04 source packages,NOT_APPLICABLE,Authorized standards evidence and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized R7 access,NOT_APPLICABLE_NOT_SPECIFIED,DS-05 load-use row inventory requiring DS-04 closure,Acquire BLK-S1-004 evidence and independently review factor ownership,Closed DS-04 source packages linked to each DS-05 use with checksums,SHA-256 manifest over all retained evidence artifacts,Load-side factors and combinations are source-complete and applied exactly once,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:PKG-DS04,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,Depends BLK-S1-004; SG-007
PKG-SCOPE-P1B,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05 Phase 1B scope,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Formal member and design-check applicability decision resolving Step1 boundary conflict,Supervisor scope decision,NOT_APPLICABLE,Document review and decision-signing facility,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,NOT_APPLICABLE,NOT_APPLICABLE_NOT_SPECIFIED,Current Phase 1 scope artifacts and Step1 boundary conflict records,Review current scope artifacts without changing historical records,Signed supervisor Phase 1B member/check table and decision ID,SHA-256 manifest over all retained evidence artifacts,One unambiguous scope table governs every verification case,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:PKG-SCOPE-P1B,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,SG-007 linked
BLK-S1-011,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-00/DS-06 Analyzer physical I/O evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Canonical input/output formats field mappings acceptance probe and external build identity,Authorized Analyzer machine captures,NOT_APPLICABLE,Selected Analyzer evidence register and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,AN-BLK-001 through AN-BLK-010 closure status and DS-06 probe inventory,Acquire authorized Analyzer documentation and supervised machine captures under DS-06 safe procedures,DS-06 machine-evidence closure manifest mapping every AN-BLK-001 through AN-BLK-010 acceptance,SHA-256 manifest over all retained evidence artifacts,All ten AN blocker packages pass and the canonical Analyzer relationship version and format are fixed,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-011,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 run package; machine evidence BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,Alias depends on AN-BLK-001 through AN-BLK-010; SG-010
PKG-DS06,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05/DS-06 Analyzer response mapping,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Response unit sign coordinate I-J context and envelope mapping needed by verification,Accepted DS-06 machine bundle,NOT_APPLICABLE,Selected Analyzer mapping independent calculation and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,NOT_APPLICABLE_NOT_SPECIFIED,DS-05 response quantity inventory and accepted DS-06 probe artifacts,Close BLK-S1-011 and AN-BLK-001 through AN-BLK-010 then independently map DS-05 rows,Accepted DS-06 machine bundle linked to DS-05 response quantities with mapping worksheets,SHA-256 manifest over all retained evidence artifacts,Every DS-05 response quantity maps without ambiguity and retains load-case context,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:PKG-DS06,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 run package; DS-06 closure BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,Depends BLK-S1-011 and AN-BLK-001 through AN-BLK-010
AN-BLK-001,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed product identity version build architecture module hosting and relationship among historical Analyzer SPACER STATICS and repository solver,Installed Analyzer SPACER STATICS on authorized machine,Vendor-installed executable or service plus About or version command,Vendor-installed executable or service plus About or version command,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement if product requires it,Installed Analyzer SPACER STATICS on authorized machine,No model required for product identity and minimal copied model only for module identity,Use authorized machine and redact personal or license secrets without altering identity fields,Executable service and module metadata version output and installation manifest,SHA-256 of executable and retained identity artifacts,Each product module process and service is uniquely distinguished and every claimed relationship or non-equivalence is supported,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-001,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Use authorized machine and redact personal or license secrets without altering identity fields; checksum: SHA-256 of executable and retained identity artifacts
AN-BLK-002,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Invocation and physical files,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Exact command service request arguments environment working directory input output master work temporary file set naming overwrite encoding newline decimal and scientific notation,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Identity fixed by AN-BLK-001,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,Installed Analyzer SPACER STATICS on authorized machine,Checksum-fixed minimal valid model with provenance,Run copied fixture in a newly created isolated directory without modifying licensed installation,Raw stdout stderr exit plus recursive before-after file manifests and all native artifacts,SHA-256 of executable input and every retained artifact,Fresh output is parseable bound to current input and complete under documented success rules,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-002,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Run copied fixture in a newly created isolated directory without modifying licensed installation; checksum: SHA-256 of executable input and every retained artifact
AN-BLK-003,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Units and textual representation,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Repository input-unit binding and conversion plus native unit declarations encoding locale decimal exponent and internal versus display precision,Installed Analyzer SPACER STATICS on authorized machine,Repository API and IF3 plus identity fixed by AN-BLK-001,Repository API and IF3 plus identity fixed by AN-BLK-001,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement for external runs,Installed Analyzer SPACER STATICS on authorized machine,Dimensioned minimal fixtures under supported unit and locale settings,Use supported locale settings and copied fixtures in authorized isolated workspaces,Repository requests raw and IF3 results native inputs outputs reports metadata and raw byte captures,SHA-256 of repository baseline executable inputs and outputs,Every input and result quantity has a bound unit conversion rule and locale changes are deterministic or rejected,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-003,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Use supported locale settings and copied fixtures in authorized isolated workspaces; checksum: SHA-256 of repository baseline executable inputs and outputs
AN-BLK-004,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Coordinates DOF I-J and signs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Machine-observed global local support bases DOF order member-end order and force moment reaction signs,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Identity fixed by AN-BLK-001,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,Installed Analyzer SPACER STATICS on authorized machine,Positive unit-load and asymmetric member fixtures with hand equilibrium checks,Use non-production copied fixtures and independently review transformations before adoption,Native model and result artifacts plus coordinate displays and equilibrium worksheet,SHA-256 of executable all fixtures outputs and worksheet,All bases orders and signs are uniquely mapped and equilibrium closes within predeclared tolerance,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-004,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Use non-production copied fixtures and independently review transformations before adoption; checksum: SHA-256 of executable all fixtures outputs and worksheet
AN-BLK-005,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Error exit and license,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Exit status stdout stderr error files and license signals for valid and negative probes,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Identity fixed by AN-BLK-001,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement plus vendor-approved unavailable-license test method,Installed Analyzer SPACER STATICS on authorized machine,Fixtures AN-PRB-001 through AN-PRB-006 and AN-PRB-011,Coordinate license-failure tests with administrator and never tamper with license files,Per-probe process status logs license artifacts and file deltas,SHA-256 of executable fixtures and retained artifacts,Each failure class is distinguishable and cannot yield authoritative success,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-005,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Coordinate license-failure tests with administrator and never tamper with license files; checksum: SHA-256 of executable fixtures and retained artifacts
AN-BLK-006,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Staleness overwrite and malformed output,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native run identifier provenance overwrite atomicity stale detection and parser failure behavior,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001 plus repository ingestion service,Identity fixed by AN-BLK-001 plus repository ingestion service,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,Installed Analyzer SPACER STATICS on authorized machine,Genuine output set seeded stale set and controlled corrupt copies,Work only on copies in isolated directories and preserve originals read-only,Before-after manifests temp lock backup files and ingestion diagnostics,SHA-256 of executable inputs seeds genuine corrupt and final files,Only current checksum-bound complete output is selectable and corrupt output fails closed,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-006,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Work only on copies in isolated directories and preserve originals read-only; checksum: SHA-256 of executable inputs seeds genuine corrupt and final files
AN-BLK-007,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Timeout cancellation concurrency cleanup and recovery,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Process tree behavior locks temp ownership license seats cleanup and crash recovery,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Identity fixed by AN-BLK-001,MUST_BE_CAPTURED_AND_FROZEN,Named entitlement with documented concurrency limits,Installed Analyzer SPACER STATICS on authorized machine,Two distinct valid fixtures and approved long-running or failure fixture,Use administrator-approved non-production machine and vendor-supported termination only,Per-run process trees file manifests logs locks dumps and post-cleanup state,SHA-256 of executable inputs and all retained artifacts,No mixed output orphan process stale lock or publishable partial result remains,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-007,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Use administrator-approved non-production machine and vendor-supported termination only; checksum: SHA-256 of executable inputs and all retained artifacts
AN-BLK-008,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Reproducibility,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Deterministic fields allowed metadata variance and repeat-run numeric stability,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Identity fixed by AN-BLK-001,MUST_BE_CAPTURED_AND_FROZEN,Named valid entitlement,Installed Analyzer SPACER STATICS on authorized machine,One checksum-fixed representative valid fixture,Acquire in isolated directories and retain an immutable evidence bundle,Complete outputs logs manifests and normalized comparison record,SHA-256 of executable input and each output,Three runs satisfy predeclared exact-field and numeric-tolerance policy after only approved metadata normalization,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv:AN-BLK-008,safe_acquisition_procedure->exact_procedure; required_executable_or_service->required_software; baseline fields from EA-00 snapshot,EA-01 harness; EA-03 external run package (TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-02,safe_acquisition: Acquire in isolated directories and retain an immutable evidence bundle; checksum: SHA-256 of executable input and each output
