trace_id,ea_stage,deliverable_path,checkpoint_sha,linked_blocker_ids,linked_control_ids,enablement_verdict,closure_verdict,canonical_register_path,status_note
ETM-011,EA-04,docs/apollo/evidence-collection/04_parity_harness/parity_harness_validation_report.md,a00104e2cd9ce1ec14a334ab3a2be2f148ab5696,PAR-BLK-006,,COMPLETE,BLOCKED,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Tolerance freeze 7ea474a42
ETM-012,EA-04,docs/apollo/evidence-collection/04_parity_harness/tolerance_freeze_register.csv,a00104e2cd9ce1ec14a334ab3a2be2f148ab5696,PAR-BLK-006,,COMPLETE,BLOCKED,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Synthetic NOT_ACTUAL_SPACER_PARITY
ETM-013,EA-05,docs/apollo/evidence-collection/05_dry_run/dry_run_results.md,482eabcdbd293629e8d1a57f168f5306549626cf,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,DR-01;DR-02;DR-03;DR-04;DR-05;DR-06;DR-07;DR-08;DR-09;DR-10;DR-11;DR-12;DR-13;DR-14;DR-15;DR-16;DR-17;DR-18;DR-19;DR-20,OPERATIONAL,BLOCKED,docs/apollo/evidence-collection/05_dry_run/dry_run_execution_register.csv,20/20 synthetic PASS; manifest 9b08de31
ETM-014,EA-05,docs/apollo/evidence-collection/05_dry_run/dry_run_verdicts.md,482eabcdbd293629e8d1a57f168f5306549626cf,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,EXTERNAL_MACHINE_EVIDENCE_VERDICT;ACTUAL_SPACER_PARITY_VERDICT,OPERATIONAL,BLOCKED,docs/apollo/evidence-collection/05_dry_run/dry_run_verdicts.md,Machine and actual parity remain blocked
ETM-015,EA-06,docs/apollo/evidence-collection/evidence_traceability_matrix.csv,SELF_PENDING_FINAL_COMMIT,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,,COMPLETE,BLOCKED,docs/apollo/evidence-collection/evidence_traceability_matrix.csv,Integration matrix
ETM-016,EA-06,docs/apollo/evidence-collection/unresolved_evidence_register.csv,SELF_PENDING_FINAL_COMMIT,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,,COMPLETE,BLOCKED,docs/apollo/evidence-collection/unresolved_evidence_register.csv,76 entries; 0 resolved
ETM-017,EA-06,docs/apollo/evidence-collection/numeric_release_gate.md,SELF_PENDING_FINAL_COMMIT,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,GATE-NR-01;GATE-NR-02;GATE-NR-03;GATE-NR-04;GATE-NR-05;GATE-NR-06;GATE-NR-07,COMPLETE,BLOCKED,docs/apollo/evidence-collection/numeric_release_gate.md,Reassessment after EA-00..05
ETM-018,EA-06,docs/apollo/evidence-collection/final_evidence_execution_report.md,SELF_PENDING_FINAL_COMMIT,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,,COMPLETE,BLOCKED,docs/apollo/evidence-collection/final_evidence_execution_report.md,14-section integration report
ETM-019,EA-06,docs/apollo/evidence-collection/final_verdicts.md,SELF_PENDING_FINAL_COMMIT,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,,COMPLETE,BLOCKED,docs/apollo/evidence-collection/final_verdicts.md,Canonical EA verdict tokens
ETM-020,DS-09,docs/apollo/design-standards/09_verification/numeric_release_gate.md,7386bdf8be5b11cb38d445e32ddce16464fdb3c1,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,GATE-NR-01;GATE-NR-02;GATE-NR-03;GATE-NR-04;GATE-NR-05;GATE-NR-06;GATE-NR-07,UNCHANGED,BLOCKED,docs/apollo/design-standards/09_verification/numeric_release_gate.md,DS document freeze gate; EA-06 cross-reference added
