feature_id,feature_category,feature_name,subfeature_name,phase_class,purpose,input_name,input_type,unit,default_value,constraint,options,automatic_decision,validation_rule,process,calculation_reference,output,report,drawing,integration,upstream_feature,downstream_feature,manual_id,pdf_page,book_page,section,screen_name,table_name,figure_name,classification,evidence_text_summary,interpretation,unknowns,oss_mapping,adoption_candidate,status
F4-3-011,splice_bolt,フランジボルト配置変更方法1,NONE,Phase1_required,フランジボルト配置変更方法1,ピッチ、ゲージ,NONE,NONE,NONE,千鳥配置,NONE,なし,NONE,UNKNOWN,NONE,ボルト配置変更,NONE,NONE,ダイアログ入力,girder_section,calculation_report,MAN-009,6,NONE,3.1 フランジボルト配置変更方法1,NONE,NONE,NONE,Evidence,自動配置を「3：全指定」に変更し、「ピッチ入力」で配置を「2：千鳥(鈑桁フランジ用)」に変更。ゲージ入力でn1@に2、g1に-1を入力,NONE,なし,NONE,NONE,extracted
F4-3-012,splice_bolt,ボルト本数不足時の再計算,NONE,Phase1_required,ボルト本数不足時の再計算,再計算ボタン,NONE,NONE,NONE,ボルト本数不足時,NONE,ボルト本数を満足する配置の自動決定,NONE,UNKNOWN,NONE,ボルト配置決定,NONE,NONE,画面表示,girder_section,calculation_report,MAN-009,8,NONE,3.1(8) 計算実行,NONE,NONE,NONE,Evidence,ボルト本数不足が発生した場合、自動配置を「２：ゲージ指定」に再度変更し、「再計算」をクリックしてボルト本数を満足するボルト配置を決定,NONE,なし,NONE,NONE,extracted
F4-3-013,splice_bolt,フランジボルト配置変更方法2,NONE,Phase1_required,フランジボルト配置変更方法2,標準部ピッチ、絞り部ピッチ,NONE,NONE,NONE,なし,NONE,なし,NONE,UNKNOWN,NONE,ボルト配置変更,NONE,NONE,ダイアログ入力,girder_section,calculation_report,MAN-009,9,NONE,3.2 フランジボルト配置変更方法2,NONE,NONE,NONE,Evidence,ピッチ方向寸法を75mmから標準部45mm・絞り部70mmに変更。ピッチ入力で標準部ピッチに45、絞り部ピッチに70を入力,NONE,なし,NONE,NONE,extracted
F4-3-014,splice_plate,添接板厚不足時の再計算,NONE,Phase1_required,添接板厚不足時の再計算,添接板厚に0入力,NONE,NONE,NONE,添接板厚不足時,NONE,添接板厚の自動決定,NONE,UNKNOWN,NONE,添接板厚決定,NONE,NONE,画面表示,girder_section,calculation_report,MAN-009,10,NONE,3.2(5) 計算実行,NONE,NONE,NONE,Evidence,添接板厚に”0”を入力後、「再計算」をクリックして添接板厚を満足する板厚を決定,NONE,なし,NONE,NONE,extracted
F4-3-015,splice_bolt,腹板ボルト配置変更方法,NONE,Phase1_required,腹板ボルト配置変更方法,ゲージ種類数、ゲージ入力,NONE,NONE,NONE,腹板方式,NONE,なし,NONE,UNKNOWN,NONE,ボルト配置変更,NONE,NONE,ダイアログ入力,girder_section,calculation_report,MAN-009,11,NONE,3.3 腹板ボルト配置変更方法,NONE,NONE,NONE,Evidence,"自動配置を「2：ゲージ指定」に変更。ゲージ入力で◎腹板方式を有効とし、ゲージ種類数を3と入力。n1@,g1およびn3@,g3を2,75、n2@を12、g2を-1として入力",NONE,なし,NONE,NONE,extracted
F4-3-016,splice_plate,フランジ材端修正方法(母材-5mm),NONE,Phase1_required,フランジ材端修正方法(母材-5mm),添接板幅設定,NONE,NONE,NONE,母材-5mm(片側),NONE,なし,NONE,UNKNOWN,NONE,添接板幅変更,NONE,NONE,メニュー選択,girder_section,calculation_report,MAN-009,14,NONE,3.4 フランジ材端修正方法(母材-5mm),NONE,NONE,NONE,Evidence,変更したいフランジ添接の自動配置を「1：全全自动」に変更。「設計データ変更」-「添接条件」-「構造条件」で添接板幅を”1:母材-5mm(片側)”を選択,NONE,なし,NONE,NONE,extracted
F4-3-017,splice_check,添接計算実行方法,NONE,Phase1_required,添接計算実行方法,不明,NONE,NONE,NONE,不明,NONE,不明,NONE,UNKNOWN,NONE,添接計算結果,NONE,NONE,不明,girder_section,calculation_report,MAN-009,17,NONE,4. 添接計算実行方法,NONE,NONE,NONE,Evidence,ファンクションまたはメニューによる添接計算実行（詳細は不明）,NONE,実行方法詳細不明,NONE,NONE,extracted
F4-3-018,splice_check,設計計算書出力方法,NONE,Phase1_required,設計計算書出力方法,不明,NONE,NONE,NONE,不明,NONE,不明,NONE,UNKNOWN,NONE,設計計算書,NONE,NONE,不明,girder_section,calculation_report,MAN-009,18,NONE,5. 設計計算書出力方法,NONE,NONE,NONE,Evidence,「詳細計算書の作成」を選択し、オプション設定・出力箇所指定を行い計算書を出力（詳細は不明）,NONE,出力形式不明,NONE,NONE,extracted
F4-3-019,section_definition,システムの構成,NONE,Phase1_required,システムの構成,なし,NONE,NONE,NONE,なし,NONE,なし,NONE,Girder,NONE,システム構成,NONE,NONE,説明,section_force_import/analysis,splice/section_check,MAN-062,2,NONE,2.1 全体構成,NONE,NONE,NONE,Evidence,本システムは、主桁の設計（Girder）と断面設計（Section）の2本のプログラムと、ワープロソフトのMs-Wordより構成,NONE,なし,NONE,NONE,extracted
F4-3-020,main_girder,主桁の設計（Girder）の機能,NONE,Phase1_required,主桁の設計（Girder）の機能,主桁数、格間数、格間長、格点位置断面力,NONE,NONE,NONE,なし,NONE,なし,NONE,Girder,NONE,断面力図、断面照査点情報,NONE,NONE,画面表示,girder_section,splice/section_check,MAN-062,3,NONE,2.2 機能特徴(1),NONE,NONE,NONE,Evidence,主桁数・格間数・格間長・格点位置断面力などを入力し、画面上に断面力図を描画。断面照査点をマウス操作などにより設定し、設定された位置の情報を断面設計プログラムに渡す,NONE,なし,NONE,NONE,extracted
F4-3-021,section_definition,断面設計（Section）の機能,NONE,Phase1_required,断面設計（Section）の機能,主桁数、照査点数、曲率半径、断面力、断面形状、断面寸法,NONE,NONE,NONE,なし,NONE,なし,NONE,Section,NONE,断面諸量、作用応力度、許容応力度、計算書,NONE,NONE,RTFファイル,section_force_import/analysis,splice/section_check,MAN-062,3,NONE,2.2 機能特徴(2),NONE,NONE,NONE,Evidence,鋼断面の断面設計を行う。主桁数・照査点数・曲率半径・断面力・断面形状・断面寸法などを入力し、断面諸量・作用応力度・許容応力度を計算し、計算書に出力,NONE,なし,NONE,NONE,extracted
F4-3-022,section_definition,適用断面形状,NONE,Phase1_required,適用断面形状,なし,NONE,NONE,NONE,RC箱桁、鋼床版箱桁、鋼床版Ｉ桁、梯形断面,NONE,なし,NONE,Section,NONE,なし,NONE,NONE,説明,section_force_import/analysis,splice/section_check,MAN-062,4,NONE,2.3 制限事項(1)適用可能,NONE,NONE,NONE,Evidence,基本形状は、RC箱桁・鋼床版箱桁・鋼床版Ｉ桁。断面形状は梯形断面にも適用可能。鋼床版のデッキプレートは重ね継ぎ手にも対応,NONE,なし,NONE,NONE,extracted
F4-3-023,section_property,断面諸量の計算方法,NONE,Phase1_required,断面諸量の計算方法,部材分割,NONE,NONE,NONE,曲げねじり理論,NONE,なし,NONE,Section,NONE,断面積、重心位置、剛度など,NONE,NONE,計算,section_force_import/analysis,splice/section_check,MAN-062,6,NONE,2.4 機能説明(4),NONE,NONE,NONE,Evidence,小松氏の「曲げねじり理論」により断面諸量を計算。一つの部材を意味がある点で分割したものを「要素」とし、1要素毎に計算し合計で求める,NONE,なし,NONE,NONE,extracted
F4-3-024,section_force_assignment,断面力の適用,NONE,Phase1_required,断面力の適用,断面力,NONE,NONE,NONE,3成分、6成分、架設・完成系,NONE,3次曲線補間,NONE,Section,NONE,補間後の断面力,NONE,NONE,計算,section_force_import/analysis,splice/section_check,MAN-062,4,NONE,2.3 制限事項(1)断面力,NONE,NONE,NONE,Evidence,3成分断面力、6成分断面力に対応。鋼床版については架設・完成系に対応。主桁の設計の曲げモーメントは3次曲線により補間を行う,NONE,なし,NONE,NONE,extracted
F4-3-025,section_check,適用不可事項,NONE,Phase1_required,適用不可事項,なし,NONE,NONE,NONE,適用不可,NONE,なし,NONE,Section,NONE,なし,NONE,NONE,説明,section_force_import/analysis,calculation_report,MAN-062,4,NONE,2.3 制限事項(2)適用不可,NONE,NONE,NONE,Evidence,せん断中心の出力なし。そりねじり応力の計算なし。縦リブ・横リブの必要剛度の照査なし。腹板の必要最小厚の確認および垂直補剛材間隔の照査なし。有効幅の自動計算機能なし,NONE,なし,NONE,NONE,extracted
F4-3-026,splice,添接計算の基本操作,NONE,Phase1_required,添接計算の基本操作,計算書タイトル、計算方法、自動配置方法、桁本数、添接数、フランジ断面、腹板断面,NONE,NONE,NONE,なし,NONE,なし,NONE,Splice,NONE,初期値設定,NONE,NONE,画面入力,girder_section,calculation_report,MAN-063,3,NONE,2-1 基本操作,NONE,NONE,NONE,Evidence,新規データ作成時は基本条件画面で計算書のタイトルや計算方法および自動配置の方法などを入力。新規作成時条件設定で桁本数、添接数、フランジ断面、腹板断面などを入力,NONE,なし,NONE,NONE,extracted
F4-3-027,splice_geometry,部材寸法入力,NONE,Phase1_required,部材寸法入力,部材個数、断面、リブ配置,NONE,NONE,NONE,なし,NONE,なし,NONE,Splice,NONE,部材基本データ,NONE,NONE,画面入力,girder_section,calculation_report,MAN-063,3,NONE,2-1 基本操作(2),NONE,NONE,NONE,Evidence,部材の個数、断面、リブ配置など部材の基本データを入力,NONE,なし,NONE,NONE,extracted
F4-3-028,splice_bolt,ボルト配置の自動決定,NONE,Phase1_required,ボルト配置の自動決定,なし,NONE,NONE,NONE,自動決定,NONE,ボルト配置、添接板断面の自動決定,NONE,Splice,NONE,ボルト配置、添接板断面,NONE,NONE,画面表示,girder_section,calculation_report,MAN-063,3,NONE,2-1 基本操作(5),NONE,NONE,NONE,Evidence,ボルト配置や添接板断面が自動決定され、その情報（計算結果）が表示される,NONE,なし,NONE,NONE,extracted
F4-3-029,splice_bolt,ボルト配置の変更,NONE,Phase1_required,ボルト配置の変更,ゲージ、ピッチ、リブデータ,NONE,NONE,NONE,なし,NONE,なし,NONE,Splice,NONE,ボルト配置変更,NONE,NONE,画面操作,girder_section,calculation_report,MAN-063,3,NONE,2-1 基本操作(5),NONE,NONE,NONE,Evidence,ゲージ寸法の変更と添接板断面の変更は「ゲージ方向修正」ボタン。ピッチ寸法の変更は「ピッチ方法修正」ボタン。リブデータの変更は「縦リブボルト」ボタン,NONE,なし,NONE,NONE,extracted
F4-3-030,splice_check,適用範囲,NONE,Phase1_required,適用範囲,なし,NONE,NONE,NONE,フランジ方式、腹板方式,NONE,なし,NONE,Splice,NONE,なし,NONE,NONE,説明,girder_section,calculation_report,MAN-063,7,NONE,3-2 適用範囲および計算機能(1),NONE,NONE,NONE,Evidence,板単位で、フランジ方式または腹板方式で計算するため、断面形状は任意形を扱うことができる。ただし桁構造を想定した計算機能,NONE,なし,NONE,NONE,extracted
F4-3-031,splice_check,計算方法の種類,NONE,Phase1_required,計算方法の種類,なし,NONE,NONE,NONE,フランジ方式、腹板方式,NONE,なし,NONE,Splice,NONE,計算結果,NONE,NONE,計算,girder_section,calculation_report,MAN-063,7,NONE,3-2 適用範囲および計算機能(2),NONE,NONE,NONE,Evidence,基本的な計算方法は2つのタイプ。フランジ方式は部材の作用力（フランジ力）を全ボルトで均等に受け持つ計算方法。腹板方式は部材に作用する応力勾配を考慮し、ボルト列でその分担幅分の応力を受け持つ計算方法,NONE,なし,NONE,NONE,extracted
F4-3-032,splice_bolt,ボルト自動配置の方法,NONE,Phase1_required,ボルト自動配置の方法,方式選択,NONE,NONE,NONE,建設省方式、道路公団大阪建設局方式、ＹＴＩ方式,NONE,ボルト配置の自動決定,NONE,Splice,NONE,ボルト配置,NONE,NONE,計算,girder_section,calculation_report,MAN-063,7,NONE,3-2 適用範囲および計算機能(3)①,NONE,NONE,NONE,Evidence,ボルト自動配置の方法として、建設省方式、道路公団大阪建設局方式、ＹＴＩ方式がある。フランジ添接板を母材より5mm小さくして自動配置をする事が可能,NONE,なし,NONE,NONE,extracted
F4-3-033,splice_plate,フランジ方式の計算方法,NONE,Phase1_required,フランジ方式の計算方法,なし,NONE,NONE,NONE,便覧方式、橋建方式,NONE,なし,NONE,Splice,NONE,計算結果,NONE,NONE,計算,girder_section,calculation_report,MAN-063,7,NONE,3-2 適用範囲および計算機能(3)②,NONE,NONE,NONE,Evidence,フランジ方式の計算方法として、便覧方式（孔引き後で照査する方式）、橋建方式（孔引き前で照査する方式）がある,NONE,なし,NONE,NONE,extracted
F4-3-034,splice_plate,腹板の計算方法,NONE,Phase1_required,腹板の計算方法,なし,NONE,NONE,NONE,通常方式、簡易方式,NONE,なし,NONE,Splice,NONE,計算結果,NONE,NONE,計算,girder_section,calculation_report,MAN-063,7,NONE,3-2 適用範囲および計算機能(3)③,NONE,NONE,NONE,Evidence,腹板の計算方法として、通常方式（曲げモーメントとせん断力で計算する方法）、簡易方式（せん断力のみで計算する方法）がある,NONE,なし,NONE,NONE,extracted
F4-3-035,splice_plate,フランジ添接板の必要断面積,NONE,Phase1_required,フランジ添接板の必要断面積,なし,NONE,NONE,NONE,全添接板方式、片側添接板方式,NONE,なし,NONE,Splice,NONE,計算結果,NONE,NONE,計算,girder_section,calculation_report,MAN-063,7,NONE,3-2 適用範囲および計算機能(3)⑤,NONE,NONE,NONE,Evidence,フランジ添接板の必要断面積の考え方として、全添接板（両側）で必要断面積を満足する方法、片側添接板で必要断面積の１／２を満足する方法がある,NONE,なし,NONE,NONE,extracted
F4-3-036,girder_geometry,girder_geometry,NONE,unknown,girder_geometry 明示不足,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-008,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,girder_geometry insufficient explicit text in Part3 extract,NONE,NONE,extracted
F4-3-037,girder_material,girder_material,NONE,unknown,girder_material 明示不足,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-008,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,girder_material insufficient explicit text in Part3 extract,NONE,NONE,extracted
F4-3-038,girder_section,girder_section,NONE,unknown,girder_section 明示不足,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-008,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,girder_section insufficient explicit text in Part3 extract,NONE,NONE,extracted
F4-3-039,flange,flange,NONE,unknown,flange 明示不足,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-008,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,flange insufficient explicit text in Part3 extract,NONE,NONE,extracted
F4-3-040,web,web,NONE,unknown,web 明示不足,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-008,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,web insufficient explicit text in Part3 extract,NONE,NONE,extracted
