feature_id,feature_category,feature_name,subfeature_name,phase_class,purpose,input_name,input_type,unit,default_value,constraint,options,automatic_decision,validation_rule,process,calculation_reference,output,report,drawing,integration,upstream_feature,downstream_feature,manual_id,pdf_page,book_page,section,screen_name,table_name,figure_name,classification,evidence_text_summary,interpretation,unknowns,oss_mapping,adoption_candidate,status
F4-5-011,section_force_conversion,断面力計算書出力,NONE,Phase1_required,断面力計算書出力,NONE,NONE,NONE,NONE,システムの整合性を保つため、その他の方法では断面力結果が計算書として出力されません,NONE,NONE,NONE,NONE,NONE,断面力結果が計算書として出力,断面力結果が計算書として出力,NONE,NONE,NONE,NONE,MAN-007,9,NONE,4 断面力変換 終了時,NONE,NONE,NONE,Evidence,終了時に、以下のダイアログが表示され、「はい」の場合 読み込まれた断面力結果が計算書として出力されます。,NONE,NONE,NONE,NONE,extracted
F4-5-012,output_or_report,荷重強度図,NONE,Phase1_required,荷重強度図,NONE,NONE,NONE,NONE,自動設計データより荷重強度図(Rtf・Dxf ファイル)を出力,NONE,出力ボタン,NONE,NONE,NONE,荷重強度図,Rtf・Dxf,Rtf・Dxf,NONE,NONE,NONE,MAN-007,10,NONE,5 荷重強度図,NONE,NONE,NONE,Evidence,荷重強度確認ダイアログが表示されます。荷重強度図をファイルに出力する場合は、右側「出力」ボタンより ファイルへ印刷 を選択して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-013,output_or_report,格子結果出力,NONE,Phase1_required,格子結果出力,NONE,NONE,NONE,NONE,APOLLO Analyzer 格子計算書を出力,NONE,NONE,NONE,NONE,NONE,格子解析計算書,格子解析計算書,NONE,NONE,NONE,NONE,MAN-007,11,NONE,6 格子結果出力,NONE,NONE,NONE,Evidence,一般的に別紙とされる格子解析計算書を出力します。出力内容については、以下のダイアログにて指定可能です。,NONE,NONE,NONE,NONE,extracted
F4-5-014,analysis_input_generation,計算書出力,NONE,Phase1_required,計算書出力,NONE,NONE,NONE,NONE,格子解析条件を出力,NONE,NONE,NONE,NONE,NONE,格子解析条件計算書,格子解析条件計算書,NONE,NONE,NONE,NONE,MAN-007,7,NONE,2.5 計算書出力,NONE,NONE,NONE,Evidence,「計算＆出力」―「解析データ作成＆計算書作成」にて、格子解析条件を出力出来ます。,NONE,NONE,NONE,NONE,extracted
F4-5-015,live_load,路面荷重,NONE,Phase1_required,路面荷重,荷重強度,NONE,NONE,NONE,載荷位置を直接入力,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,13,NONE,4.1 路面荷重 データ,NONE,NONE,NONE,Evidence,荷重強度および載荷位置を直接入力 荷重および載荷位置を直接入力して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-016,live_load,片持部荷重,NONE,Phase1_required,片持部荷重,寸法入力,NONE,NONE,NONE,荷重強度および載荷位置を内部計算,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,13,NONE,4.1.2 片持部 データ,NONE,NONE,NONE,Evidence,寸法を入力し、荷重強度および載荷位置を内部計算する 右側の「寸法入力」ボタンが有効となります。,NONE,NONE,NONE,NONE,extracted
F4-5-017,arbitrary_load,その他面荷重,NONE,Phase1_required,その他面荷重,面荷重数,NONE,NONE,NONE,面荷重を設定,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,17,NONE,4.3.1 その他面荷重 データ,NONE,NONE,NONE,Evidence,その他面荷重の数を入力し、入力項目に 入力例 を参考に荷重を設定して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-018,arbitrary_load,その他線荷重,NONE,Phase1_required,その他線荷重,線荷重数,NONE,NONE,NONE,線荷重を設定,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,17,NONE,4.3.2 その他線荷重 データ,NONE,NONE,NONE,Evidence,その他線荷重の数を入力し、入力項目に 入力例 を参考に荷重を設定して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-019,arbitrary_load,その他点荷重,NONE,Phase1_required,その他点荷重,格点荷重種類数,NONE,NONE,NONE,格点番号と荷重強度を入力,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,18,NONE,4.3.3 その他点荷重 データ,NONE,NONE,NONE,Evidence,その他格点荷重種類数を入力し、各格点荷重の載荷格点数を入力して頂くと、 その他点…荷重(２) タグにて、荷重が入力可能となります。,NONE,NONE,NONE,NONE,extracted
F4-5-020,arbitrary_load,支点沈下バネ,NONE,Phase1_required,支点沈下バネ,支点沈下バネ,NONE,NONE,NONE,なし・支点沈下を考慮・支点バネを考慮を選択,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,20,NONE,4.4 支点沈下バネ データ,NONE,NONE,NONE,Evidence,なし ・ 支点沈下を考慮 ・ 支点バネを考慮 を選択し、各対応タグのデータをご入力下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-021,arbitrary_load,水平荷重,NONE,Phase1_required,水平荷重,水平荷重,NONE,NONE,NONE,RC床版用の水平荷重を入力,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,21,NONE,4.5 水平荷重 データ,NONE,NONE,NONE,Evidence,ＲＣ床版用の水平荷重を、ご入力下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-022,analysis_input_generation,ハンチ・中分,NONE,Phase1_required,ハンチ・中分,ハンチ重量,NONE,NONE,NONE,ハンチプログラムにて算出、修正可能,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,16,NONE,4.2 ハンチ・中分 データ,NONE,NONE,NONE,Evidence,ハンチプログラムにて算出されたハンチ重量がデフォルトとして、データがセットされており、修正も可能となっています。,NONE,NONE,NONE,NONE,extracted
F4-5-023,deflection_check,たわみ剛比,NONE,Phase1_required,たわみ剛比,NONE,NONE,NONE,NONE,たわみの計算および仮定と実剛度の比率を計算,NONE,NONE,NONE,NONE,許容値を確認,NONE,NONE,NONE,NONE,NONE,NONE,MAN-010,4,NONE,2 たわみ及び剛比の確認,NONE,NONE,NONE,Evidence,たわみ剛比プログラムを起動いたしますと、初回以降および初回設計条件決定後、以下の画面が表示され、各項目について、数値を確認出来ます。,NONE,NONE,NONE,NONE,extracted
F4-5-024,deflection_check,活荷重たわみ,NONE,Phase1_required,活荷重たわみ,NONE,NONE,NONE,NONE,格子解析結果により活荷重たわみ値となっており、許容値を超過した場合は仮定主桁剛度を高くし再度格子解析を実行,NONE,NONE,NONE,NONE,許容値を超過した場合は仮定主桁剛度を高くし再度格子解析を実行,NONE,NONE,NONE,NONE,NONE,NONE,MAN-010,4,NONE,2 たわみ及び剛比の確認,NONE,NONE,NONE,Evidence,活荷重たわみについては、剛度一定値を入力した場合の初回格子計算後では、規定では、規定値をオーバーしている場合が御座いますが、一度剛度清算を行った後に確認された方が良いと思われます。,NONE,NONE,NONE,NONE,extracted
F4-5-025,analysis_execution,実剛度格子計算,NONE,Phase1_required,実剛度格子計算,NONE,NONE,NONE,NONE,実剛度により格子計算を別途実行,NONE,NONE,NONE,NONE,NONE,実剛度による格子計算結果,実剛度による格子計算結果,NONE,NONE,NONE,NONE,MAN-010,5,NONE,3 計算書およびキャンバー図作成,NONE,NONE,NONE,Evidence,各メニューに(実剛度)が付加されているメニューは、再度実剛度により格子計算を別途行った結果を出力致します。,NONE,NONE,NONE,NONE,extracted
F4-5-026,output_or_report,キャンバー図,NONE,Phase1_required,キャンバー図,NONE,NONE,NONE,NONE,キャンバー図を出力,NONE,DXF出力ボタン,NONE,NONE,NONE,キャンバー図,キャンバー図,DXF,NONE,NONE,NONE,MAN-010,5,NONE,3 計算書およびキャンバー図作成,NONE,NONE,NONE,Evidence,「キャンバーDXF」または「キャンバーDXF(実剛度)」を選択しますと、「キャンバーＤＸＦ出力」ダイアログが、スケール等を選択して頂き、「図面作画」ボタンにてキャンバー図を確認出来ます。,NONE,NONE,NONE,NONE,extracted
F4-5-027,analysis_model,格子解析ボタン,NONE,Phase1_required,格子解析ボタン,NONE,NONE,NONE,NONE,格子解析ボタンにより各プログラムを実行,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-002,8,NONE,2.1.2 実行ボタンについて,NONE,NONE,NONE,Evidence,格子解析: 解析データ作成、構造解析、断面力変換、荷重強度図、格子結果出力,NONE,NONE,NONE,NONE,extracted
F4-5-028,analysis_input_generation,解析データ作成ボタン,NONE,Phase1_required,解析データ作成ボタン,NONE,NONE,NONE,NONE,Analyzer データを作成,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Analyzer,NONE,NONE,MAN-002,8,NONE,2.1.2 実行ボタンについて,NONE,NONE,NONE,Evidence,解析データ作成 ：構造解析データ（Analyzer データ）を作成します。,NONE,Analyzer physical file format not stated in extract,NONE,NONE,extracted
F4-5-029,analysis_execution,構造解析ボタン,NONE,Phase1_required,構造解析ボタン,NONE,NONE,NONE,NONE,Analyzer を実行,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Analyzer,NONE,NONE,MAN-002,8,NONE,2.1.2 実行ボタンについて,NONE,NONE,NONE,Evidence,構造解析 ：構造解析プログラム（Analyzer）を実行します。,NONE,Analyzer physical file format not stated in extract,NONE,NONE,extracted
F4-5-030,section_force_conversion,断面力変換ボタン,NONE,Phase1_required,断面力変換ボタン,NONE,NONE,NONE,NONE,Analyzer 結果を自動設計に読み込み,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-002,8,NONE,2.1.2 実行ボタンについて,NONE,NONE,NONE,Evidence,断面力変換 ：構造解析結果（Anayzer 結果）を自動設計に読み込みます。,NONE,NONE,NONE,NONE,extracted
F4-5-031,stress_check,許容応力度,NONE,Phase1_required,許容応力度,許容応力度,NONE,NONE,NONE,許容応力度を設定,NONE,NONE,NONE,NONE,許容応力度,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,8,NONE,2.3.3 許容応力度 データ,NONE,NONE,NONE,Evidence,許容応力度 データ,NONE,NONE,NONE,NONE,extracted
F4-5-032,analysis_input_generation,有効モーメント最小量,NONE,Phase1_required,有効モーメント最小量,有効モーメントの最小量,NONE,NONE,NONE,不等径間等により微少な負曲げモーメントを無視,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-005,22,NONE,5.1.1 設計条件,NONE,NONE,NONE,Evidence,有効モーメントの最小量とは、不等径間等により微少な負曲げモーメントが支間中央に存在する場合等に、強制的(設計者様のご判断により)微少断面力を無視したい場合に、最小量をご入力下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-033,dead_load,dead_load,NONE,unknown,dead_load insufficient explicit extract,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,UNKNOWN,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,dead_load not evidenced in Part5 slim extract,NONE,NONE,extracted
F4-5-034,point_load,point_load (covered under arbitrary_load),NONE,Phase1_required,See arbitrary_load extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category point_load not separately titled; related evidence under arbitrary_load,NONE,NONE,NONE,extracted
F4-5-035,line_load,line_load (covered under arbitrary_load),NONE,Phase1_required,See arbitrary_load extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category line_load not separately titled; related evidence under arbitrary_load,NONE,NONE,NONE,extracted
F4-5-036,surface_load,surface_load (covered under arbitrary_load),NONE,Phase1_required,See arbitrary_load extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category surface_load not separately titled; related evidence under arbitrary_load,NONE,NONE,NONE,extracted
F4-5-037,load_case,load_case,NONE,unknown,load_case insufficient explicit extract,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,UNKNOWN,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,load_case not evidenced in Part5 slim extract,NONE,NONE,extracted
F4-5-038,load_combination,load_combination,NONE,unknown,load_combination insufficient explicit extract,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,UNKNOWN,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,load_combination not evidenced in Part5 slim extract,NONE,NONE,extracted
F4-5-039,grid_model,grid_model (covered under analysis_model),NONE,Phase1_required,See analysis_model extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category grid_model not separately titled; related evidence under analysis_model,NONE,NONE,NONE,extracted
F4-5-040,node,node (covered under analysis_model),NONE,Phase1_required,See analysis_model extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category node not separately titled; related evidence under analysis_model,NONE,NONE,NONE,extracted
F4-5-041,member,member (covered under analysis_model),NONE,Phase1_required,See analysis_model extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category member not separately titled; related evidence under analysis_model,NONE,NONE,NONE,extracted
F4-5-042,support,support (covered under analysis_model),NONE,Phase1_required,See analysis_model extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category support not separately titled; related evidence under analysis_model,NONE,NONE,NONE,extracted
F4-5-043,analyzer_link,analyzer_link (covered under analysis_execution),NONE,Phase1_required,See analysis_execution extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category analyzer_link not separately titled; related evidence under analysis_execution,NONE,NONE,NONE,extracted
F4-5-044,analysis_result_import,analysis_result_import (covered under section_force_conversion),NONE,Phase1_required,See section_force_conversion extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category analysis_result_import not separately titled; related evidence under section_force_conversion,NONE,NONE,NONE,extracted
F4-5-045,section_force_import,section_force_import (covered under section_force_conversion),NONE,Phase1_required,See section_force_conversion extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category section_force_import not separately titled; related evidence under section_force_conversion,NONE,NONE,NONE,extracted
F4-5-046,section_force_interpolation,section_force_interpolation,NONE,unknown,section_force_interpolation insufficient explicit extract,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,UNKNOWN,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,section_force_interpolation not evidenced in Part5 slim extract,NONE,NONE,extracted
F4-5-047,reaction,reaction,NONE,unknown,reaction insufficient explicit extract,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,UNKNOWN,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,reaction not evidenced in Part5 slim extract,NONE,NONE,extracted
F4-5-048,displacement,displacement,NONE,unknown,displacement insufficient explicit extract,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,UNKNOWN,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,displacement not evidenced in Part5 slim extract,NONE,NONE,extracted
F4-5-049,strength_check,strength_check (covered under stress_check),NONE,Phase1_required,See stress_check extracts,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MULTI,NONE,NONE,NONE,NONE,NONE,NONE,Interpretation,NONE,Category strength_check not separately titled; related evidence under stress_check,NONE,NONE,NONE,extracted
F4-5-050,warning,warning,NONE,unknown,warning insufficient explicit extract,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,UNKNOWN,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,warning not evidenced in Part5 slim extract,NONE,NONE,extracted
F4-5-051,error,error,NONE,unknown,error insufficient explicit extract,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,UNKNOWN,NONE,NONE,NONE,NONE,NONE,NONE,Unknown,NONE,NONE,error not evidenced in Part5 slim extract,NONE,NONE,extracted
