golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0035,elevation.ground_level_V,ENT-LINE-ACL,15.250,m,15.250,m,DIMENSION,S141-D08,GEO-088,,DWG-S141,DRAWING,MEDIUM,PARTIAL,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,SOURCE_INPUT from geometry layer; Phase 2-II candidate with MEDIUM confidence; human confirmation HCR-001 tracked,HCR-001,,H29_REFERENCE,Construction base level V 15.250 m from sheet 141 OCR
GIN-0040,bridge.bridge_length,ENT-LINE-ACL,134.001,m,134.001,m,bridge_length,CH1-VAL-005,INP-005,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Bridge length on ACL 134.001 m; drawing sheet 1 = 134001 mm
GIN-0041,girder.girder_length_AG1,ENT-GIRDER-AG1,133.151,m,133.151,m,girder_length,CH1-VAL-006,INP-006,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Girder length AG1; drawing = 133151/132847 mm (AG1/AG2)
GIN-0042,bridge.span_length.1,ENT-LINE-ACL,40.201,m,40.201,m,span_length,CH1-VAL-007,INP-007,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 1 on ACL; drawing = 40201/51000/40200 mm
GIN-0043,bridge.span_length.2,ENT-LINE-ACL,51.000,m,51.000,m,span_length,CH1-VAL-008,INP-008,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 2 on ACL; drawing = 40201/51000/40200 mm
GIN-0044,bridge.span_length.3,ENT-LINE-ACL,40.200,m,40.200,m,span_length,CH1-VAL-009,INP-009,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 3 on ACL; drawing = 40201/51000/40200 mm
GIN-0045,bridge.total_width,ENT-DECK,8.010,m,8.010,m,total_width,"CH1-VAL-010,CH2-VAL-001,DWG-DIM-S009-006",INP-010,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Deck total width; calc 8.010 m; drawing sheet 9 = 8031.7/8010.3/8010 mm
GIN-0046,bridge.effective_width,ENT-LINE-ACL,7.000,m,7.000,m,effective_width,CH1-VAL-011,INP-011,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Effective roadway width
GIN-0061,load_case.DEAD_LOAD,ENT-LINE-ACL,DEAD_LOAD,,DEAD_LOAD,,LOAD_VALUE,"LOAD-001,LOAD-002,LOAD-003,LOAD-004,LOAD-005,LOAD-006,LOAD-007,LOAD-008,LOAD-009",LD-001,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Dead load (D): pavement, deck, haunch, wall rail, sound barrier, steel, inspection, curb, nose"
GIN-0062,load_case.LIVE_LOAD_B,ENT-LINE-ACL,LIVE_LOAD_B,,LIVE_LOAD_B,,LOAD_VALUE,"LOAD-013,CH1-VAL-003",LD-002,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Live load B (活荷重) per 道示Ⅰ 8.2
GIN-0063,load_case.IMPACT,ENT-LINE-ACL,IMPACT,,IMPACT,,LOAD_VALUE,"LOAD-010,LOAD-011,LOAD-012",LD-003,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Impact coefficient i=20/(50+L): 0.222/0.198/0.222
GIN-0064,load_case.WIND,ENT-LINE-ACL,WIND,,WIND,,LOAD_VALUE,"LOAD-014,LOAD-015,LOAD-019",LD-004,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Wind load: outer 3.00 kN/m2, inner 1.50 kN/m2, WS=40.06 kN/m"
GIN-0065,load_case.COLLISION,ENT-LINE-ACL,COLLISION,,COLLISION,,LOAD_VALUE,"LOAD-016,LOAD-025",LD-005,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Collision load: 13.0 kN/m (vehicle), F=35.0 kN (SC class)"
GIN-0066,load_case.SEISMIC_L1,ENT-LINE-ACL,SEISMIC_L1,,SEISMIC_L1,,LOAD_VALUE,"LOAD-017,LOAD-020,LOAD-021",LD-006,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Seismic Level 1: Kh=0.25, We=35.89 kN/m"
GIN-0067,load_case.NODE_LOADS,ENT-LINE-ACL,NODE_LOADS,,NODE_LOADS,,LOAD_VALUE,"CAL-TBL-P00125-001,CAL-TBL-P00125-002,CAL-TBL-P00125-003,CAL-TBL-P00125-004,CAL-TBL-P00131-001,CAL-TBL-P00131-002",LD-007,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nose/curb/deck/wrapping concentrated nodal loads at panel points
GIN-0068,load_case.WHEEL_LOAD,ENT-LINE-ACL,WHEEL_LOAD,,WHEEL_LOAD,,LOAD_VALUE,LOAD-023,LD-008,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Wheel load P=100 kN (bracket design)
