source_type,source_id,feature_id,requirement_id,topic,disposition_mapping,rationale,blocker_ids
OPEN,OPEN-023,F4-P4-004,REQ-5C-0050,cross_girder:横桁添接計算,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-024,F4-P4-005,REQ-5C-0051,cross_girder:横桁補剛材計算,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-025,F4-P4-028,REQ-5C-0074,floor_system:床組設計ボタン説明,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-026,F4-P4-031,REQ-5C-0076,floor_system:床組データ横桁基本寸法,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-027,F4-P4-032,REQ-5C-0077,stiffener:垂直補剛材データ,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-028,F4-P4-033,REQ-5C-0078,stiffener:水平補剛材データ,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-029,F4-P5-023,REQ-5C-0080,deflection_check:たわみ剛比,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-030,F4-P2-005,REQ-5C-0087,haunch_calculation:ハンチ計算結果の設計情報への反映,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-031,F4-P2-014,REQ-5C-0094,slab_result_output:支点補強筋 計算書出力（道路公団形式）,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-032,F4-P2-013,REQ-5C-0097,slab_result_output:支点補強筋 計算書出力（国土交通省形式）,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
JIS,JIS-001,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-002,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-003,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-004,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-005,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-006,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-007,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-008,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-009,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-010,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-011,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-012,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-013,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-014,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-015,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-016,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-017,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-018,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-019,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-020,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-021,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-022,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-023,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-024,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-025,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-026,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-027,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-028,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-029,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-030,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-031,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-032,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-033,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
JIS,JIS-034,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,PRIMARY_SOURCE_MISSING,BLOCKED_BY_SOURCE_GAP,BLK-S1-002
RETURN,RET-038,F4-P5-039,NONE,RETURN_TO_APOLLO,NEEDS_RUNTIME_CONFIRMATION,RETURN_TO_APOLLO; backlog=BL-APOLLO-H5A-0257; handoff=H5A-0257; linked via stage5a handoff,ISS-S1-007
RETURN,RET-039,F4-P5-040,NONE,RETURN_TO_APOLLO,NEEDS_RUNTIME_CONFIRMATION,RETURN_TO_APOLLO; backlog=BL-APOLLO-H5A-0259; handoff=H5A-0259; linked via stage5a handoff,ISS-S1-007
RETURN,RET-040,F4-P5-041,NONE,RETURN_TO_APOLLO,NEEDS_RUNTIME_CONFIRMATION,RETURN_TO_APOLLO; backlog=BL-APOLLO-H5A-0261; handoff=H5A-0261; linked via stage5a handoff,ISS-S1-007
RETURN,RET-041,F4-P5-042,NONE,RETURN_TO_APOLLO,NEEDS_RUNTIME_CONFIRMATION,RETURN_TO_APOLLO; backlog=BL-APOLLO-H5A-0263; handoff=H5A-0263; linked via stage5a handoff,ISS-S1-007
UNKNOWN,UNK-001,F4-P4-034,,Stage4で当該カテゴリの明示記述が不足,OUT_OF_PHASE1,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-002,F4-P4-035,,Stage4で当該カテゴリの明示記述が不足,OUT_OF_PHASE1,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-003,F4-P4-036,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-004,F4-P4-037,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-005,F4-P4-038,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-006,F4-P4-039,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-007,F4-P4-040,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-008,F4-P5-033,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-009,F4-P5-037,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-010,F4-P5-038,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-011,F4-P5-046,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-012,F4-P5-047,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-013,F4-P5-048,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-014,F4-P5-050,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
UNKNOWN,UNK-015,F4-P5-051,,Stage4で当該カテゴリの明示記述が不足,DEFER_TO_IMPLEMENTATION,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog,
