manual_id,relative_path,filename,sha256,page_count,product,module,bridge_type,doc_type,title,edition,issue_date,toc_summary,toc_status,phase1_relevance,survey_priority,research_status,duplicate_or_revision_note,classification_basis,extraction_notes
MAN-011,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_10.pdf,Grider_I_10.pdf,2440f7f6c444aa17209567806a86b3f7e047b30a580e37e7f6acb7e2c627210f,17,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第１０章   床組設計,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-012,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_11.pdf,Grider_I_11.pdf,a537888752465d95364f06b245d899e895c8278b68a0a7e8b139925bc4200c72,15,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第１１章   主桁補剛材,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-013,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_12.pdf,Grider_I_12.pdf,c9cfb46fe9386de7c8dc3db211481ca421515186097f9b7ba389f8a504e2fe40,6,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第１２章   鋼重計算,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-014,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_13.pdf,Grider_I_13.pdf,dd9f927e7e459360b8b4130f8c4ac39d1138c42728084d469eec04ed6b660023,14,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第１３章   疲労照査,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-015,01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_00.pdf,CompGrd_I_00.pdf,29d56ce6d8be396218fecd6e20c38d42ca762fd3e2575c0987178e4499cba4ff,2,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,合成鈑桁（少主桁）,UNKNOWN,UNKNOWN,第１章   はじめに | 第２章   設計データ入力・変更 | 第３章   構造解析・断面計算・添接計算 | 第４章   支点・格点補剛材、横桁（省力化） | 第５章   腹板補剛材,EXTRACTED_HEAD,low,P2,nonp0_head_extracted,合成鈑桁シリーズ目次冊候補（章一覧あり）,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-016,01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_01.pdf,CompGrd_I_01.pdf,6b290beac3d537154664f5eca703984e1d17d3f9ae680a6dd3b44a1012a0a591,13,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,合成鈑桁（少主桁）,UNKNOWN,UNKNOWN,第１章   はじめに,EXTRACTED_HEAD,low,P2,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-017,01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_02.pdf,CompGrd_I_02.pdf,bd37c7e4934aec24b95acb00c9129c0f5e538e222bbfbb240b05010b9c02a938,34,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,合成鈑桁（少主桁）,UNKNOWN,UNKNOWN,第２章   設計データ入力・変更,EXTRACTED_HEAD,low,P2,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-018,01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_03.pdf,CompGrd_I_03.pdf,cec21eab4fdc49f28f9bfea66b0b2e5edeb7e43a9c683915903ae56054e10f29,60,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,合成鈑桁（少主桁）,UNKNOWN,UNKNOWN,第３章   構造解析・断面計算・添接計算,EXTRACTED_HEAD,low,P2,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-019,01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_04.pdf,CompGrd_I_04.pdf,5b5c57efaef4aab04dfe3a3e10d11f9d099ea6e3ed5a3fcbc1f991c575bd1b33,16,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,合成鈑桁（少主桁）,UNKNOWN,UNKNOWN,第４章   支点・格点補剛材、横桁（省力化）,EXTRACTED_HEAD,low,P2,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-020,01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_05.pdf,CompGrd_I_05.pdf,641978ff27a6d96cc5091cd31e1d8937c88b34c29e440da358a8f232a5223c73,9,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,合成鈑桁（少主桁）,UNKNOWN,UNKNOWN,第５章   腹板補剛材,EXTRACTED_HEAD,low,P2,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-021,01_鋼橋自動設計システム_APOLLO_ユーザーズマニュアル_SuperDesigner_鋼橋の自動設計製図システム.pdf,01_鋼橋自動設計システム_APOLLO_ユーザーズマニュアル_SuperDesigner_鋼橋の自動設計製図システム.pdf,f91b41f4760d6fe9a0f7d047b52b46d241f93b3ef43a0c186bebc7b14cc0a690,30,APOLLO,SuperDesigner,鋼橋（総論）,ユーザーズマニュアル,Apollo SuperDesigner & SuperDrawing 鋼橋の自動設計製図システム ユーザーズ・マニュアル,UNKNOWN,2002年4月,１ システムの動作環境と起動 |２ システムの基本操作 |３ 適用範囲と設計機能 |４ 運用上での補足事項 ,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,
MAN-022,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_00.pdf,Girder_Box_00.pdf,e3bbf2e28c00921ecd15c75d0768e949ba788d14dba8d88fa4f768a303a81e48,2,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第１章   はじめに | 第２章   線形計算 | 第３章   ハンチ計算 | 第４章   設計データ入力・変更 | 第５章   ＲＣ床版 | 第６章   格子解析 | 第７章   断面計算 | 第８章   添接計算 | 第９章   たわみ剛比 | 第１０章    二軸応力度 | 第１１章    床組設計 | 第１２章    リブ設計 | 第１３章    補剛材・ラップ照査 | 第１４章    支点・中間ダイヤ | 第１５章    鋼重計算 | 第１６章    疲労照査,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,非合成箱桁シリーズ目次冊候補（章一覧あり）,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-023,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_01.pdf,Girder_Box_01.pdf,a8e1b60ea04e0bdd4d9a8afe35904a5d3fee9f5159806f1fad4d9c34d9105cd8,14,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第１章   はじめに,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-024,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_02.pdf,Girder_Box_02.pdf,08042f18ae0abea5edf5a5c017141e9489f1fca0a8069bd770080bd97bfa059d,20,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第２章   線形計算,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-025,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_03.pdf,Girder_Box_03.pdf,22397675446fbaee73a0e215802c92af7825a0ec1c491686825567a62d79232a,9,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第３章   ハンチ計算,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-026,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_04.pdf,Girder_Box_04.pdf,e73071e0e1aa58401121435c3b33af0db0f08f1dfd9a2d9be0852e80f070c215,38,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第４章   設計データ入力・変更,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-027,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_05.pdf,Girder_Box_05.pdf,5a950a80c86b1dd0c6c48f255824c9149193a866d4db0a969a04fe0e72032664,11,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第５章   ＲＣ床版,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-028,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_06.pdf,Girder_Box_06.pdf,e645c8ef971e851775fd97fa63e5d1b859b52a8f32e49cef100a445f6b7cd123,12,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第６章   格子解析,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-029,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_07.pdf,Girder_Box_07.pdf,6d5c96542c7fb11c7a4b4e82083025576fed4279887ee561029847859f9d214d,30,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第７章   断面計算,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-030,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_08.pdf,Girder_Box_08.pdf,85ad8ce0ed6b95f14b27855e220997ba737ba8811a00d49f2f31186ee30e41a5,8,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第８章   添接計算,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-031,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_09.pdf,Girder_Box_09.pdf,3fe019950acd7f2ff461c2187904f4f2c8ee4f30314fb390ee642ae806484157,6,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第９章   たわみ剛比,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-032,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_10.pdf,Girder_Box_10.pdf,7ab9a96915acfd77fc6c1e35da9dc0221ef250fea99bbe5d4a741f3f65834991,4,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,第１版,2008年6月,第１０章   二軸応力度,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,
MAN-033,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_11.pdf,Girder_Box_11.pdf,bed47e3b139396b6a9808e3c239ba9c191442eba602826988f79fa56dd386714,13,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第１１章   床組設計,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-034,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_12.pdf,Girder_Box_12.pdf,70654c4f378fbe9d5b98d2f4cd1ca0aae98fc7303adda23e9381f35c5a6b6e61,6,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第１２章   リブ設計,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-035,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_13.pdf,Girder_Box_13.pdf,a58dd2f423deb4bd2760a61792ea8c0ab43b21c469b5373c98527fb69d97dc95,11,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第１３章   補剛材・ラップ照査,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-036,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_14.pdf,Girder_Box_14.pdf,18108cce67d222d6f34b094dc1996b944eb692b31950a5899cebf6fc7c5b2bbb,13,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第１４章   支点・中間ダイヤ,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-037,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_15.pdf,Girder_Box_15.pdf,20018c7ea3af5c2555dbc63ceb824dfa51d95ecd6ebf530ab188618539bf1ab3,6,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第１５章   鋼重計算,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-038,02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_16.pdf,Girder_Box_16.pdf,3d5c4270c2946ee233afe6fcd6ca42cc1c6baa350031b8d6faf00c5d24de10e6,14,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,非合成箱桁,UNKNOWN,UNKNOWN,第１６章   疲労照査,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-039,02_コンクリート床版系箱桁/02_合成閉断面箱/CompGrd_Box_01.pdf,CompGrd_Box_01.pdf,e3b3dd2009a468311bdb4ae101b964c53e579292c1cbad2b380fbbaedce83917,43,APOLLO,コンクリート床版系箱桁マニュアル群,合成閉断面箱桁,ユーザーズマニュアル分割冊,連続合成閉断面箱桁,UNKNOWN,UNKNOWN,UNKNOWN,NOT_FOUND_IN_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found; toc_not_found
MAN-040,02_コンクリート床版系箱桁/03_合成開断面箱/CompGrd_OpenBox_01.pdf,CompGrd_OpenBox_01.pdf,30a8e7b9acb7a223c9a732923c746f08bbffac6921f254a682122ed9d3f39bf6,45,APOLLO,コンクリート床版系箱桁マニュアル群,合成開断面箱桁,ユーザーズマニュアル分割冊,連続合成開断面箱桁,UNKNOWN,UNKNOWN,UNKNOWN,NOT_FOUND_IN_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found; toc_not_found
MAN-041,03_鋼床版鈑桁箱桁/01_鋼床版鈑/StDeck_I_00.pdf,StDeck_I_00.pdf,70429fb9b9f27113ae40de499b5efc6c1a2ae0821eea44ae4116ed633e582c5d,2,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,鋼床版鈑桁,UNKNOWN,UNKNOWN,第１章   はじめに | 第２章   線形変換・デッキ厚 | 第３章   設計データ入力・変更 | 第４章   鋼床版設計 | 第５章   格子解析 | 第６章   断面計算と添接計算 | 第７章   温度差 | 第８章   横桁設計 | 第９章   二軸応力度の照査 | 第１０章    横構,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,鋼床版鈑桁シリーズ目次冊候補（章一覧あり）,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-042,03_鋼床版鈑桁箱桁/01_鋼床版鈑/StDeck_I_01.pdf,StDeck_I_01.pdf,89b8e9d5c9c43364e9275a16d4349f95f7c2af2c451632b289872937961304d7,14,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,鋼床版鈑桁,UNKNOWN,UNKNOWN,第１章   はじめに,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-043,03_鋼床版鈑桁箱桁/01_鋼床版鈑/StDeck_I_02.pdf,StDeck_I_02.pdf,352cc1baa0d7af262155e20633b9f8ca2e970be8d5ecdeaa0d9f2eb147c060bb,8,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,鋼床版鈑桁,UNKNOWN,UNKNOWN,第２章   線形変換・デッキ厚,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-044,03_鋼床版鈑桁箱桁/01_鋼床版鈑/StDeck_I_03.pdf,StDeck_I_03.pdf,2e1f4224877ed875f8d096d5189f25ab29f14663be2d43c6718dadc33acc9d8b,36,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,鋼床版鈑桁,UNKNOWN,UNKNOWN,第３章   設計データ入力・変更,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
MAN-045,03_鋼床版鈑桁箱桁/01_鋼床版鈑/StDeck_I_04.pdf,StDeck_I_04.pdf,b3f7b0bdfaedd3aa5de149c3a5f96d4cc21869f1a0b9724519d4dee4d0535410,21,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,鋼床版鈑桁,UNKNOWN,UNKNOWN,第４章   鋼床版設計,EXTRACTED_HEAD,low,P3,nonp0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,edition_not_found; issue_date_not_found
