register_type,item_id,research_result_id,package_id,unresolved_reason,status,notes
UNKNOWN_NEEDS_REVIEW,T5A-0322,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P5-037
UNKNOWN_NEEDS_REVIEW,T5A-0323,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P5-038
UNKNOWN_NEEDS_REVIEW,T5A-0335,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P5-046
UNKNOWN_NEEDS_REVIEW,T5A-0336,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P5-047
UNKNOWN_NEEDS_REVIEW,T5A-0337,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P5-048
UNKNOWN_NEEDS_REVIEW,T5A-0339,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P5-050
UNKNOWN_NEEDS_REVIEW,T5A-0340,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P5-051
RESEARCH_ITEM,H5A-0093,R5B-PKG004-0002,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0094,R5B-PKG004-0003,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0095,R5B-PKG004-0004,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0096,R5B-PKG004-0005,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0097,R5B-PKG004-0006,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0098,R5B-PKG004-0007,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0099,R5B-PKG004-0008,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0133,R5B-PKG004-0021,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0166,R5B-PKG004-0030,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0170,R5B-PKG004-0032,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0173,R5B-PKG004-0035,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0174,R5B-PKG004-0036,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0175,R5B-PKG004-0037,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0176,R5B-PKG004-0038,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0177,R5B-PKG004-0039,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0212,R5B-PKG004-0062,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0215,R5B-PKG004-0064,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0216,R5B-PKG004-0065,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0217,R5B-PKG004-0066,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0245,R5B-PKG004-0068,PKG-004-RBS-II,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO操作名と道示条文の直接対応は監督レビュー要
RESEARCH_ITEM,H5A-0065,R5B-PKG005-0005,PKG-005-RBS-III,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,11.2床版設計一般・照査規定
RESEARCH_ITEM,H5A-0082,R5B-PKG005-0012,PKG-005-RBS-III,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,11.2.3床版限界状態1・支点部照査
RESEARCH_ITEM,H5A-0081,R5B-PKG006-0001,PKG-006-DESIGN-MANUAL,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,変局点という用語の明示記載は未確認。4.3.2-4.3.3で支点部折曲げ鉄筋設計実務
