handoff_id,package_id,scope_action,handoff_status,research_result_id,linked_primary_result_id,result_relation,blocking_for_apollo_design,historical_status,target_status,notes
H5A-0011,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0012,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0013,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0014,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0015,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0016,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0017,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0018,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0019,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0020,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0021,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0022,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0023,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0024,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0025,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0026,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0027,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0028,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0029,PKG-007-DDB,EXTERNAL_DESIGN_REFERENCE_LOOKUP,RESEARCHED,R5B-PKG007-0001,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0030,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0001,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0031,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0032,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0033,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0034,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0035,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0036,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0037,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0038,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0039,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0040,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0041,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0042,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0043,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0044,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0045,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0046,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0047,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0048,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0049,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0050,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0051,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0052,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0053,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0054,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0055,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0029
H5A-0056,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0030
H5A-0057,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0001,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0058,PKG-007-DDB,EXTERNAL_DESIGN_REFERENCE_LOOKUP,RESEARCHED,R5B-PKG007-0002,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0059,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0002,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0060,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0061,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0003,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0062,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0063,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0004,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0064,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0065,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0005,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0066,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0067,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0006,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0068,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0069,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0007,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0070,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0071,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0008,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0072,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0073,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0009,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0074,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0075,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0002,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0076,PKG-009-GAP-JIS-REBAR,SOURCE_GAP,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0077,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0010,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0078,PKG-009-GAP-JIS-REBAR,SOURCE_GAP,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0079,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0011,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0080,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0081,PKG-006-DESIGN-MANUAL,EXTERNAL_DESIGN_REFERENCE_LOOKUP,RESEARCHED,R5B-PKG006-0001,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0082,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0012,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0083,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0084,PKG-009-GAP-JIS-REBAR,DUPLICATE_MERGE_CANDIDATE,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0085,PKG-005-RBS-III,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG005-0010,SAME_QUESTION,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0077
H5A-0086,PKG-009-GAP-JIS-REBAR,DUPLICATE_MERGE_CANDIDATE,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0087,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0013,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0088,PKG-007-DDB,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG007-0002,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0058
H5A-0089,PKG-005-RBS-III,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG005-0014,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0090,PKG-009-GAP-JIS-REBAR,DUPLICATE_MERGE_CANDIDATE,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0091,PKG-005-RBS-III,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG005-0010,SAME_QUESTION,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0077
H5A-0092,PKG-009-GAP-JIS-REBAR,DUPLICATE_MERGE_CANDIDATE,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0093,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0002,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0094,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0003,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0095,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0004,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0096,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0005,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0097,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0006,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0098,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0007,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0099,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0008,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0100,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0009,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0101,PKG-004-RBS-II,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG004-0009,SAME_QUESTION,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0100
H5A-0102,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0010,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0103,PKG-008-GAP-JIS-BOLT,SOURCE_GAP,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0104,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0011,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0105,PKG-008-GAP-JIS-BOLT,SOURCE_GAP,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0106,PKG-004-RBS-II,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG004-0012,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0107,PKG-008-GAP-JIS-BOLT,SOURCE_GAP,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
H5A-0108,PKG-008-GAP-JIS-BOLT,SOURCE_GAP,BLOCKED_BY_SOURCE_GAP,,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,JIS source gap
