evidence_id,research_result_id,handoff_id,document_id,pdf_filename,pdf_sha256,pdf_page_index,pdf_page_number,printed_page_label,image_path,image_sha256,dpi,image_type,manual_verified,notes
EVID-PKGPKG-018,R5B-PKG004-0006,H5A-0097,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0006.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-019,R5B-PKG004-0007,H5A-0098,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0007.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-020,R5B-PKG004-0008,H5A-0099,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0008.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-021,R5B-PKG004-0009,H5A-0100,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0009.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-022,R5B-PKG004-0010,H5A-0102,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0010.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-023,R5B-PKG004-0011,H5A-0104,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0011.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-024,R5B-PKG004-0012,H5A-0106,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0012.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-025,R5B-PKG004-0013,H5A-0114,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0013.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-026,R5B-PKG004-0014,H5A-0120,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0014.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-027,R5B-PKG004-0015,H5A-0123,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0015.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-028,R5B-PKG004-0016,H5A-0126,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0016.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-029,R5B-PKG004-0017,H5A-0129,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,91,92,-63-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0092_300dpi-R5B-PKG004-0017.png,ee2d7a4289afb1e033b836c3d06f6e12d21a0f03768a6125c3f10ebb54660c13,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-030,R5B-PKG004-0018,H5A-0130,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,420,421,-392-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0421_300dpi-R5B-PKG004-0018.png,7bb95a33a3f815f8acf14b5b73a0078cc57c4a7c3e5e7cbc1c0051491b2dd532,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-031,R5B-PKG004-0019,H5A-0131,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,91,92,-63-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0092_300dpi-R5B-PKG004-0019.png,ee2d7a4289afb1e033b836c3d06f6e12d21a0f03768a6125c3f10ebb54660c13,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-032,R5B-PKG004-0020,H5A-0132,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,91,92,-63-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0092_300dpi-R5B-PKG004-0020.png,ee2d7a4289afb1e033b836c3d06f6e12d21a0f03768a6125c3f10ebb54660c13,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-033,R5B-PKG004-0021,H5A-0133,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0021.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-034,R5B-PKG004-0022,H5A-0134,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0022.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-035,R5B-PKG004-0023,H5A-0136,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0023.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-036,R5B-PKG004-0024,H5A-0139,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0024.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-037,R5B-PKG004-0025,H5A-0148,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0025.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-038,R5B-PKG004-0026,H5A-0151,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0026.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-039,R5B-PKG004-0027,H5A-0157,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0027.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-040,R5B-PKG004-0028,H5A-0160,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0028.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-041,R5B-PKG004-0029,H5A-0163,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,302,303,-274-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0029.png,4ed50912b59209cb700cf656fe1f62a533445eb6e1f35aa7fcd809769a94536d,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-042,R5B-PKG004-0030,H5A-0166,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,420,421,-392-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0421_300dpi-R5B-PKG004-0030.png,7bb95a33a3f815f8acf14b5b73a0078cc57c4a7c3e5e7cbc1c0051491b2dd532,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-043,R5B-PKG004-0031,H5A-0168,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,91,92,-63-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0092_300dpi-R5B-PKG004-0031.png,ee2d7a4289afb1e033b836c3d06f6e12d21a0f03768a6125c3f10ebb54660c13,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-044,R5B-PKG004-0032,H5A-0170,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,420,421,-392-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0421_300dpi-R5B-PKG004-0032.png,7bb95a33a3f815f8acf14b5b73a0078cc57c4a7c3e5e7cbc1c0051491b2dd532,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-045,R5B-PKG004-0033,H5A-0171,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,420,421,-392-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0421_300dpi-R5B-PKG004-0033.png,7bb95a33a3f815f8acf14b5b73a0078cc57c4a7c3e5e7cbc1c0051491b2dd532,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-046,R5B-PKG004-0034,H5A-0172,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,420,421,-392-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0421_300dpi-R5B-PKG004-0034.png,7bb95a33a3f815f8acf14b5b73a0078cc57c4a7c3e5e7cbc1c0051491b2dd532,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-047,R5B-PKG004-0035,H5A-0173,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,533,534,-505-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0534_300dpi-R5B-PKG004-0035.png,3dc7a97067a42a79606065348d69b75178e4fe1f8475638c845cf8475975217c,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-048,R5B-PKG004-0036,H5A-0174,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,533,534,-505-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0534_300dpi-R5B-PKG004-0036.png,3dc7a97067a42a79606065348d69b75178e4fe1f8475638c845cf8475975217c,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-049,R5B-PKG004-0037,H5A-0175,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,533,534,-505-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0534_300dpi-R5B-PKG004-0037.png,3dc7a97067a42a79606065348d69b75178e4fe1f8475638c845cf8475975217c,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-050,R5B-PKG004-0038,H5A-0176,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,533,534,-505-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0534_300dpi-R5B-PKG004-0038.png,3dc7a97067a42a79606065348d69b75178e4fe1f8475638c845cf8475975217c,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-051,R5B-PKG004-0039,H5A-0177,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,533,534,-505-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0534_300dpi-R5B-PKG004-0039.png,3dc7a97067a42a79606065348d69b75178e4fe1f8475638c845cf8475975217c,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-052,R5B-PKG004-0040,H5A-0178,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,430,431,-402-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0040.png,27b06f1c3bab705b8c214155d61a3c2af41f255ddb9398161f337c485cbedbb8,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-053,R5B-PKG004-0041,H5A-0180,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,430,431,-402-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0041.png,27b06f1c3bab705b8c214155d61a3c2af41f255ddb9398161f337c485cbedbb8,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-054,R5B-PKG004-0042,H5A-0182,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,430,431,-402-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0042.png,27b06f1c3bab705b8c214155d61a3c2af41f255ddb9398161f337c485cbedbb8,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-055,R5B-PKG004-0043,H5A-0184,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,430,431,-402-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0043.png,27b06f1c3bab705b8c214155d61a3c2af41f255ddb9398161f337c485cbedbb8,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-056,R5B-PKG004-0044,H5A-0186,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,432,433,-404-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0433_300dpi-R5B-PKG004-0044.png,f98611aa22e7dc5b62c6108437c39c86092dbe5357acd9fb9e2c47de2ae2684c,300,EVIDENCE_IMAGE,YES,
