source_gap_id,jis_number,jis_title,edition_year,revision_status,issuing_body,material_or_product,cited_by_primary_standard,citing_volume,citing_chapter,citing_clause,citing_table,applicability,replacement_standard,equivalence_status,project_specific_override,adoption_status,evidence_location,evidence_checksum,reviewed_by,reviewed_at,notes
JIS-011,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-011),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-011 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-012,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-012),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-012 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-013,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-013),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-013 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-014,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-014),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-014 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-015,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-015),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-015 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-016,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-016),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-016 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-017,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-017),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-017 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-018,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-018),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-018 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-019,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-019),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-019 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-020,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-020),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-020 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
