relative_path,sha256,size_bytes,exit_code,role,git_status
checkpoint5/frontend_test_full.txt,ecbc77bd34966b751ed7baff493d63d73e5e7ae50a64ff49b4f4f90dec1ab999,4172,0,checkpoint5_log,excluded_raw
checkpoint5/frontend_test_full_after_fix.txt,c3b5f6bff71e62c3561167b39cd75ba517808329f354f392a1db6ab8190bc96c,1827,1,checkpoint5_log,excluded_raw
checkpoint5/frontend_typecheck.txt,debc484a09816f28d43fa8cb2802c88642eda315d47b52271e02144e7bd250bb,81,0,checkpoint5_log,excluded_raw
checkpoint5/frontend_typecheck_after_fix.txt,d41b605ee480c056a4ca917d8f629c9dd4ed2095b2c1ef89bf390032d55eb7ef,91,0,checkpoint5_log,excluded_raw
checkpoint5/git_diff_check.txt,194ff5bca66278888f0f00be5c7ca523d15098ece958b14952533811089f6106,7,0,checkpoint5_log,excluded_raw
checkpoint5/git_diff_check_after_fix.txt,194ff5bca66278888f0f00be5c7ca523d15098ece958b14952533811089f6106,7,0,checkpoint5_log,excluded_raw
checkpoint5/git_diff_check_range.txt,194ff5bca66278888f0f00be5c7ca523d15098ece958b14952533811089f6106,7,0,checkpoint5_log,excluded_raw
grok-audits/checkpoint2_cursor-grok-4.5-high-fast_attempt1.meta.txt,f4da5d231e9306b1f46acfdda4670139fa39756571d1af97cc4842fb114cd7dc,501,0,grok_audit_meta,excluded_raw
grok-audits/checkpoint2_cursor-grok-4.5-high-fast_attempt1.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,grok_audit_stderr,duplicate_skipped_empty_sha_on_main
grok-audits/checkpoint2_cursor-grok-4.5-high-fast_attempt1.txt,858f940ec53883b193ad51861f7b610ae9424f690d38c559f736e6969cc15727,2940,,grok_audit_stdout,excluded_raw
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt1.meta.txt,4631451e78e3e8592b7421411f9be548c5baeb592b293f1b9a532621d58d4596,1197,0,grok_audit_meta,excluded_raw
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt1.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,grok_audit_stderr,duplicate_skipped_empty_sha_on_main
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt1.txt,97d0c9bc2d0d0e6fa1e2474db4a8b87096a5ecbe03294da1840c210bf0cab993,2778,,grok_audit_stdout,excluded_raw
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt2.meta.txt,af422bb6248293c7b1fa33936a0f9a0f091f6d9a9c4a237a0108713bd6ec2262,1059,0,grok_audit_meta,excluded_raw
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt2.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,grok_audit_stderr,duplicate_skipped_empty_sha_on_main
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt2.txt,8a087e11052f5f8c240d9d960fd176994f352f4ace09234a997f43b7637dcc99,2369,,grok_audit_stdout,excluded_raw
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt3.meta.txt,bde294368bfed77c2cddf8cec271d398aee9cdbab3b26e1059281bd33adb0120,12,0,grok_audit_meta,excluded_raw
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt3.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,grok_audit_stderr,duplicate_skipped_empty_sha_on_main
grok-audits/checkpoint3_cursor-grok-4.5-high-fast_attempt3.txt,fb8127c26cfd5bde301f91c138f5628381bb62d8a1bd2045469e1a50371a46cb,3695,,grok_audit_stdout,excluded_raw
