candidate_id,domain,field_path,semantic_class,adoption_status,phase3_action,disposition
GEO-036,geometry,grid_point.1018.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-037,geometry,grid_point.1019.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-038,geometry,grid_point.1020.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-039,geometry,grid_point.1021.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-040,geometry,grid_point.1022.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-041,geometry,grid_point.1023.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-042,geometry,grid_point.1024.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-043,geometry,grid_point.1025.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-044,geometry,grid_point.1026.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-045,geometry,grid_point.2002.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-046,geometry,grid_point.2003.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-047,geometry,grid_point.2004.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-048,geometry,grid_point.2005.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-049,geometry,grid_point.2006.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-050,geometry,grid_point.2007.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-051,geometry,grid_point.2008.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-052,geometry,grid_point.2009.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-053,geometry,grid_point.2010.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-054,geometry,grid_point.2011.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-055,geometry,grid_point.2012.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-056,geometry,grid_point.2013.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-057,geometry,grid_point.2014.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-058,geometry,grid_point.2015.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-059,geometry,grid_point.2016.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-060,geometry,grid_point.2017.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-061,geometry,grid_point.2018.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-062,geometry,grid_point.2019.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-063,geometry,grid_point.2020.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-064,geometry,grid_point.2021.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-065,geometry,grid_point.2022.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-066,geometry,grid_point.2023.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-067,geometry,grid_point.2024.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-068,geometry,grid_point.2025.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-069,geometry,grid_point.2026.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-002,structural_model,node.1002.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-003,structural_model,node.1003.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-004,structural_model,node.1004.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-005,structural_model,node.1005.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-006,structural_model,node.1006.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-007,structural_model,node.1007.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-008,structural_model,node.1008.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-009,structural_model,node.1009.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-010,structural_model,node.1010.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-011,structural_model,node.1011.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-012,structural_model,node.1012.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-013,structural_model,node.1013.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-014,structural_model,node.1014.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-015,structural_model,node.1015.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-016,structural_model,node.1016.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-017,structural_model,node.1017.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-018,structural_model,node.1018.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-019,structural_model,node.1019.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-020,structural_model,node.1020.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-021,structural_model,node.1021.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-022,structural_model,node.1022.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-023,structural_model,node.1023.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-024,structural_model,node.1024.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-025,structural_model,node.1025.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-026,structural_model,node.1026.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-029,structural_model,node.2002.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-030,structural_model,node.2003.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-031,structural_model,node.2004.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-032,structural_model,node.2005.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-033,structural_model,node.2006.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-034,structural_model,node.2007.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-035,structural_model,node.2008.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-036,structural_model,node.2009.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-037,structural_model,node.2010.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-038,structural_model,node.2011.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-039,structural_model,node.2012.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-040,structural_model,node.2013.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-041,structural_model,node.2014.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-042,structural_model,node.2015.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-043,structural_model,node.2016.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-044,structural_model,node.2017.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-045,structural_model,node.2018.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-046,structural_model,node.2019.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-047,structural_model,node.2020.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-048,structural_model,node.2021.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-049,structural_model,node.2022.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-050,structural_model,node.2023.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-051,structural_model,node.2024.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-052,structural_model,node.2025.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-053,structural_model,node.2026.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-091,structural_model,section_assignment.ag1.full,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-086,structural_model,support_restraint.dof_fixity,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-078,structural_model,connectivity.cross_beam_node_pairs,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-079,structural_model,local_axis.ag1,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-080,structural_model,local_axis.ag2,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-081,structural_model,local_axis.cross_beams,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
SM-087,structural_model,rigid_offset.model,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
