sheet_number,pdf_page_number,group_name,title_prefix,extraction_status,confidence,notes
106,108,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 106 (PDF page 108)
107,109,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 107 (PDF page 109)
108,110,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 108 (PDF page 110)
109,111,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 109 (PDF page 111)
110,112,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 110 (PDF page 112)
111,113,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 111 (PDF page 113)
112,114,下部工排水装置,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 112 (PDF page 114)
113,115,下部工排水装置,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 113 (PDF page 115)
114,116,下部工排水装置,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 114 (PDF page 116)
115,117,橋面排水工,旭高架橋 Aランプ PU15ｰAR2 橋面排水工,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 115 (PDF page 117)
116,118,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 116 (PDF page 118)
117,119,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 117 (PDF page 119)
118,120,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 118 (PDF page 120)
119,121,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 119 (PDF page 121)
120,122,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 120 (PDF page 122)
121,123,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 121 (PDF page 123)
122,124,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 122 (PDF page 124)
123,125,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 123 (PDF page 125)
124,126,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 124 (PDF page 126)
125,127,上部工検査路,旭高架橋 Aランプ PU15ｰAR2 上部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 125 (PDF page 127)
126,128,下部工検査路,旭高架橋 Aランプ PU15ｰAR2 下部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 126 (PDF page 128)
127,129,下部工検査路,旭高架橋 Aランプ PU15ｰAR2 下部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 127 (PDF page 129)
128,130,下部工検査路,旭高架橋 Aランプ PU15ｰAR2 下部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 128 (PDF page 130)
129,131,下部工検査路,旭高架橋 Aランプ PU15ｰAR2 下部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 129 (PDF page 131)
130,132,下部工検査路,旭高架橋 Aランプ PU15ｰAR2 下部工検査路,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 130 (PDF page 132)
131,133,法面階段,旭高架橋 Aランプ PU15ｰAR2 法面階段,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 131 (PDF page 133)
132,134,落下物防止柵,旭高架橋 Aランプ PU15ｰAR2 落下物防止柵,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 132 (PDF page 134)
133,135,剥落防止対策工,旭高架橋 Aランプ PU15ｰAR2 剥落防止対策工,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 133 (PDF page 135)
134,136,剥落防止対策工,旭高架橋 Aランプ PU15ｰAR2 剥落防止対策工,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 134 (PDF page 136)
135,137,段差防止構造,旭高架橋 Aランプ PU15ｰAR2 段差防止構造,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 135 (PDF page 137)
136,138,段差防止構造,旭高架橋 Aランプ PU15ｰAR2 段差防止構造,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 136 (PDF page 138)
137,139,橋名板・橋歴板,旭高架橋 Aランプ PU15ｰAR2 橋名板・橋歴板,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 137 (PDF page 139)
138,140,ノーズ部ガードレール,旭高架橋 Aランプ PU15ｰAR2 ノーズ部ガードレール,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 138 (PDF page 140)
139,141,ノーズ部ガードレール,旭高架橋 Aランプ PU15ｰAR2 ノーズ部ガードレール,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 139 (PDF page 141)
140,142,ノーズ部止水構造図,旭高架橋 Aランプ PU15ｰAR2 ノーズ部止水構造図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 140 (PDF page 142)
141,143,架設計画図,旭高架橋 Aランプ PU15ｰAR2 架設計画図,UNREADABLE_REQUIRES_HUMAN,LOW,PDF page 143 extracted blank; no text found for erection plan. Visual verification needed.
