value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,parent_formula_id,source_locator,confidence,verification_status
CAL-VAL-P01319-003,1319,1314,CAL-CH4,CAL-SEC-4.2.4,ハンチ高,220.0,mm,220.0,mm,DIMENSION,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-004,1319,1314,CAL-CH4,CAL-SEC-4.2.4,コンクリート設計強度σck,30.0,N/mm2,30.0,N/mm2,MATERIAL_PROPERTY,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-005,1319,1314,CAL-CH4,CAL-SEC-4.2.4,曲率半径R,2998.500,m,2998.500,m,DIMENSION,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-006,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成前死荷重Md1,0.0,kNm,0.0,kNm,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-007,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成前死荷重せん断力S,663.1,kN,663.1,kN,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-008,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成後死荷重Md2,0.0,kNm,0.0,kNm,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-009,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成後死荷重せん断力S,281.6,kN,281.6,kN,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-010,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成後活荷重ML1,0.0,kNm,0.0,kNm,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-011,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成後活荷重せん断力S,922.1,kN,922.1,kN,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-012,1319,1314,CAL-CH4,CAL-SEC-4.2.4,温度差軸力P,-3158.2,kN,-3158.2,kN,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-013,1319,1314,CAL-CH4,CAL-SEC-4.2.4,温度差曲げモーメントM,1686.3,kNm,1686.3,kNm,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-014,1319,1314,CAL-CH4,CAL-SEC-4.2.4,乾燥収縮軸力P,-1842.3,kN,-1842.3,kN,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-015,1319,1314,CAL-CH4,CAL-SEC-4.2.4,乾燥収縮曲げモーメントM,1786.5,kNm,1786.5,kNm,SECTION_FORCE,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-016,1319,1314,CAL-CH4,CAL-SEC-4.2.4,応力度制限値-上ﾌﾗﾝｼﾞ引張σtud,272,N/mm2,272,N/mm2,STRESS_LIMIT,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-017,1319,1314,CAL-CH4,CAL-SEC-4.2.4,応力度制限値-上ﾌﾗﾝｼﾞ圧縮σcud,193,N/mm2,193,N/mm2,STRESS_LIMIT,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-018,1319,1314,CAL-CH4,CAL-SEC-4.2.4,応力度制限値-下-下ﾌﾗﾝｼﾞ引張σtud,272,N/mm2,272,N/mm2,STRESS_LIMIT,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-019,1319,1314,CAL-CH4,CAL-SEC-4.2.4,応力度制限値-下ﾌﾗﾝｼﾞ圧縮σcud,164,N/mm2,164,N/mm2,STRESS_LIMIT,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-020,1319,1314,CAL-CH4,CAL-SEC-4.2.4,応力度制限値-腹板せん断τud,157,N/mm2,157,N/mm2,STRESS_LIMIT,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-021,1319,1314,CAL-CH4,CAL-SEC-4.2.4,鋼桁断面積A(AG1 Sec-1),634.38,cm2,634.38,cm2,SECTION_PROPERTY,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-022,1319,1314,CAL-CH4,CAL-SEC-4.2.4,鋼桁剛度I(AG1 Sec-1),6473032,cm4,6473032,cm4,SECTION_PROPERTY,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-023,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成(n=7)断面積Av,1946.50,cm2,1946.50,cm2,SECTION_PROPERTY,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-024,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成(n=7)剛度I,18008524,cm4,18008524,cm4,SECTION_PROPERTY,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-025,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成(n=7)Ycu,-64.89,cm,-64.89,cm,SECTION_PROPERTY,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-026,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成(n=7)Ysu,-19.89,cm,-19.89,cm,SECTION_PROPERTY,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-027,1319,1314,CAL-CH4,CAL-SEC-4.2.4,合成(n=7)YsL,238.11,cm,238.11,cm,SECTION_PROPERTY,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-028,1319,1314,CAL-CH4,CAL-SEC-4.2.4,せん断応力度τ(AG1 Sec-1),53,N/mm2,53,N/mm2,STRESS_VALUE,,,CAL-P01322-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-029,1319,1314,CAL-CH4,CAL-SEC-4.2.4,曲げとせん断の同時性κ,0.13,,0.13,,VERIFICATION_RESULT,,,CAL-P01322-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-030,1319,1314,CAL-CH4,CAL-SEC-4.2.4,断面構成 SLAB(S1),3993x230 mm,3993x230,mm,3993x230,mm,SECTION_COMPOSITION,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-031,1319,1314,CAL-CH4,CAL-SEC-4.2.4,断面構成 UFLG,PL620x22 SM490Y,620x22,mm,620x22,mm,SECTION_COMPOSITION,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-032,1319,1314,CAL-CH4,CAL-SEC-4.2.4,断面構成 WEB,PL2537x14 SM490Y,2537x14,mm,2537x14,mm,SECTION_COMPOSITION,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-033,1319,1314,CAL-CH4,CAL-SEC-4.2.4,断面構成 LFLG,PL680x21 SM490Y,680x21,mm,680x21,mm,SECTION_COMPOSITION,,,CAL-P01319-TBL,HIGH,UNVERIFIED
