trace_id,source_record_id,candidate_id,source_type,source_locator,candidate_layer,notes
TR-053,SRC-calculation_chapter_03_section_3_2_formulas-006,DS-225,formula,,design,
TR-054,SRC-calculation_chapter_03_section_3_2_formulas-008,DS-226,formula,,design,
TR-055,CAL-FML-P01321-001,DS-227,formula,calc_pdf_p1321,design,
TR-056,CAL-FML-P01321-011,DS-228,formula,calc_pdf_p1321,design,
TR-057,CAL-FML-P01319-005,DS-229,formula,calc_pdf_p1319,design,
TR-058,CAL-FML-P00850-002,DS-230,formula,calc_pdf_p850,design,
TR-059,CAL-FML-P00852-001,DS-231,formula,calc_pdf_p852,design,
TR-060,CAL-VAL-P00852-003,DS-232,value,calc_pdf_p852,design,
TR-061,DC-007,DS-232,domain_index,calc_pdf_p852,design,
TR-062,CAL-FML-P00685-002,DS-233,formula,calc_pdf_p685,design,
TR-063,CAL-FML-P00686-001,DS-234,formula,calc_pdf_p686,design,
TR-064,CAL-FML-P00770-002,DS-235,formula,calc_pdf_p770,design,
TR-065,CAL-FML-P00772-001,DS-236,formula,calc_pdf_p772,design,
TR-066,CAL-FML-P00791-005,DS-237,formula,calc_pdf_p791,design,
TR-067,CAL-FML-P00791-006,DS-238,formula,calc_pdf_p791,design,
TR-068,CAL-FML-P00819-001,DS-239,formula,calc_pdf_p819,design,
TR-069,CAL-FML-P00819-002,DS-240,formula,calc_pdf_p819,design,
TR-070,CH2-VAL-038,DS-241,value,calc_pdf_p19,design,
TR-071,DC-001,DS-205,domain_index,calc_pdf_p297,design,
TR-072,DC-002,DS-206,domain_index,calc_pdf_p297,design,
TR-073,DC-003,DS-207,domain_index,calc_pdf_p297,design,
TR-074,DC-004,DS-208,domain_index,calc_pdf_p297,design,
TR-075,DC-005,DS-209,domain_index,calc_pdf_p297,design,
TR-076,DC-006,DS-210,domain_index,calc_pdf_p297,design,
TR-077,DC-007,DS-211,domain_index,calc_pdf_p852,design,
TR-078,DC-008,DS-212,domain_index,calc_pdf_p1319,design,
TR-079,DC-009,DS-213,domain_index,calc_pdf_p1319,design,
TR-080,DC-010,DS-214,domain_index,calc_pdf_p674,design,
TR-081,CH5-TBL-033,DS-215,table,calc_pdf_p2040,design,
TR-082,CH5-TBL-034,DS-216,table,calc_pdf_p2040,design,
TR-083,CH5-TBL-035,DS-217,table,calc_pdf_p2040,design,
TR-084,CH5-TBL-036,DS-218,table,calc_pdf_p2040,design,
TR-085,CH5-TBL-038,DS-219,table,calc_pdf_p2041,design,
TR-086,CH5-TBL-039,DS-220,table,calc_pdf_p2041,design,
TR-087,CH5-TBL-040,DS-221,table,calc_pdf_p2041,design,
TR-088,CAL-VAL-P00819-004,DS-222,value,calc_pdf_p819,design,
TR-089,CAL-VAL-P00820-003,DS-222,value,calc_pdf_p820,design,
TR-090,CAL-VAL-P00821-004,DS-222,value,calc_pdf_p821,design,
TR-091,SRC-calculation_chapter_03_section_3_2_values-019,DS-223,value,,design,
TR-092,SRC-calculation_chapter_03_section_3_2_notes-014,DS-242,note,calc_pdf_p291,design,
TR-093,SRC-calculation_chapter_03_section_3_2_notes-036,DS-243,note,calc_pdf_p382,design,
TR-094,SRC-calculation_chapter_03_section_3_2_tables-044,DS-243,table,calc_pdf_p379,design,
TR-095,SRC-calculation_chapter_03_section_3_2_tables-047,DS-244,table,calc_pdf_p667-669,design,
TR-096,SRC-calculation_chapter_03_section_3_2_values-019,DS-245,value,,design,
TR-097,DC-011,DS-178,domain_index,calc_pdf_p1319,design,
TR-098,CAL-VAL-P01319-016,DS-178,value,calc_pdf_p1319,design,
TR-099,SRC-calculation_chapter_03_section_3_2_values-017,DS-178,value,,design,
TR-100,DC-001,DS-179,domain_index,calc_pdf_p297,design,
TR-101,DC-004,DS-180,domain_index,calc_pdf_p297,design,
TR-102,DC-012,DS-181,domain_index,calc_pdf_p1319,design,
TR-103,CAL-VAL-P01319-017,DS-181,value,calc_pdf_p1319,design,
TR-104,CAL-VAL-P01319-019,DS-182,value,calc_pdf_p1319,design,
TR-105,DC-005,DS-183,domain_index,calc_pdf_p297,design,
TR-106,DC-013,DS-183,domain_index,calc_pdf_p1319,design,
TR-107,CAL-VAL-P01319-020,DS-183,value,calc_pdf_p1319,design,
TR-108,SRC-calculation_chapter_03_section_3_2_values-018,DS-183,value,,design,
TR-109,DC-006,DS-184,domain_index,calc_pdf_p297,design,
TR-110,DC-007,DS-185,domain_index,calc_pdf_p852,design,
TR-111,DC-014,DS-186,domain_index,calc_pdf_p771,design,
TR-112,CAL-VAL-P00771-001,DS-186,value,calc_pdf_p771,design,
TR-113,DC-015,DS-187,domain_index,calc_pdf_p771,design,
TR-114,CAL-VAL-P00771-002,DS-187,value,calc_pdf_p771,design,
TR-115,CAL-VAL-P01319-004,DS-188,value,calc_pdf_p1319,design,
TR-116,CH1-VAL-030,DS-188,value,calc_pdf_p7,design,
TR-117,CH5-TBL-034,DS-189,table,calc_pdf_p2040,design,
TR-118,CH5-TBL-035,DS-189,table,calc_pdf_p2040,design,
TR-119,CH5-TBL-036,DS-189,table,calc_pdf_p2040,design,
TR-120,CH5-VAL-042,DS-190,value,calc_pdf_p2039,design,
TR-121,CH5-VAL-043,DS-191,value,calc_pdf_p2039,design,
TR-122,CH5-TBL-038,DS-192,table,calc_pdf_p2041,design,
TR-123,CH5-TBL-039,DS-192,table,calc_pdf_p2041,design,
TR-124,CH5-TBL-040,DS-192,table,calc_pdf_p2041,design,
TR-125,DC-010,DS-193,domain_index,calc_pdf_p674,design,
TR-126,SRC-calculation_chapter_03_section_3_2_values-029,DS-001,value,,design,
TR-127,ADV-001,DS-001,domain_index,calc_pdf_p297,design,
TR-128,SRC-calculation_chapter_03_section_3_2_values-030,DS-002,value,,design,
TR-129,ADV-002,DS-002,domain_index,calc_pdf_p297,design,
TR-130,SRC-calculation_chapter_03_section_3_2_values-031,DS-003,value,,design,
TR-131,ADV-003,DS-003,domain_index,calc_pdf_p297,design,
TR-132,SRC-calculation_chapter_03_section_3_2_values-032,DS-004,value,,design,
TR-133,SRC-calculation_chapter_03_section_3_2_values-033,DS-005,value,,design,
TR-134,SRC-calculation_chapter_03_section_3_2_values-034,DS-006,value,,design,
TR-135,SRC-calculation_chapter_03_section_3_2_values-035,DS-007,value,,design,
TR-136,SRC-calculation_chapter_03_section_3_2_values-036,DS-008,value,,design,
TR-137,ADV-004,DS-008,domain_index,calc_pdf_p297,design,
TR-138,SRC-calculation_chapter_03_section_3_2_values-037,DS-009,value,,design,
TR-139,ADV-005,DS-009,domain_index,calc_pdf_p297,design,
TR-140,SRC-calculation_chapter_03_section_3_2_values-038,DS-010,value,,design,
TR-141,SRC-calculation_chapter_03_section_3_2_values-039,DS-011,value,,design,
TR-142,SRC-calculation_chapter_03_section_3_2_values-042,DS-012,value,,design,
TR-143,SRC-calculation_chapter_03_section_3_2_values-043,DS-013,value,,design,
TR-144,SRC-calculation_chapter_03_section_3_2_values-044,DS-014,value,,design,
TR-145,SRC-calculation_chapter_03_section_3_2_values-045,DS-015,value,,design,
TR-146,SRC-calculation_chapter_03_section_3_2_values-046,DS-016,value,,design,
TR-147,SRC-calculation_chapter_03_section_3_2_values-047,DS-017,value,,design,
TR-148,SRC-calculation_chapter_03_section_3_2_values-048,DS-018,value,,design,
TR-149,ADV-006,DS-018,domain_index,calc_pdf_p297,design,
TR-150,SRC-calculation_chapter_03_section_3_2_values-049,DS-019,value,,design,
TR-151,ADV-007,DS-019,domain_index,calc_pdf_p297,design,
TR-152,SRC-calculation_chapter_03_section_3_2_values-050,DS-020,value,,design,
TR-153,SRC-calculation_chapter_03_section_3_2_values-051,DS-021,value,,design,
TR-154,SRC-calculation_chapter_03_section_3_2_values-056,DS-022,value,,design,
TR-155,SRC-calculation_chapter_03_section_3_2_values-057,DS-023,value,,design,
TR-156,SRC-calculation_chapter_03_section_3_2_values-058,DS-024,value,,design,
TR-157,SRC-calculation_chapter_03_section_3_2_values-059,DS-025,value,,design,
TR-158,SRC-calculation_chapter_03_section_3_2_values-060,DS-026,value,,design,
TR-159,SRC-calculation_chapter_03_section_3_2_values-061,DS-027,value,,design,
TR-160,SRC-calculation_chapter_03_section_3_2_values-062,DS-028,value,,design,
TR-161,SRC-calculation_chapter_03_section_3_2_values-063,DS-029,value,,design,
TR-162,SRC-calculation_chapter_03_section_3_2_values-064,DS-030,value,,design,
TR-163,SRC-calculation_chapter_03_section_3_2_values-065,DS-031,value,,design,
TR-164,SRC-calculation_chapter_03_section_3_2_values-066,DS-032,value,,design,
TR-165,SRC-calculation_chapter_03_section_3_2_values-067,DS-033,value,,design,
TR-166,SRC-calculation_chapter_03_section_3_2_values-068,DS-034,value,,design,
TR-167,SRC-calculation_chapter_03_section_3_2_values-069,DS-035,value,,design,
TR-168,SRC-calculation_chapter_03_section_3_2_values-070,DS-036,value,,design,
TR-169,SRC-calculation_chapter_03_section_3_2_values-071,DS-037,value,,design,
TR-170,SRC-calculation_chapter_03_section_3_2_values-072,DS-038,value,,design,
TR-171,SRC-calculation_chapter_03_section_3_2_values-073,DS-039,value,,design,
TR-172,SRC-calculation_chapter_03_section_3_2_values-074,DS-040,value,,design,
TR-173,SRC-calculation_chapter_03_section_3_2_values-075,DS-041,value,,design,
TR-174,SRC-calculation_chapter_03_section_3_2_tables-040,DS-042,table,calc_pdf_p323-349,design,
TR-175,CAL-VAL-P01319-021,DS-043,value,calc_pdf_p1319,design,
TR-176,CAL-VAL-P01319-022,DS-044,value,calc_pdf_p1319,design,
TR-177,CAL-VAL-P01319-023,DS-045,value,calc_pdf_p1319,design,
TR-178,CAL-VAL-P01319-024,DS-046,value,calc_pdf_p1319,design,
TR-179,CAL-VAL-P01319-025,DS-047,value,calc_pdf_p1319,design,
TR-180,CAL-VAL-P01319-026,DS-048,value,calc_pdf_p1319,design,
TR-181,CAL-VAL-P01319-027,DS-049,value,calc_pdf_p1319,design,
TR-182,DC-001,DS-050,domain_index,calc_pdf_p297,design,
TR-183,SRC-calculation_chapter_03_section_3_2_values-040,DS-050,value,,design,
TR-184,DC-002,DS-051,domain_index,calc_pdf_p297,design,
TR-185,SRC-calculation_chapter_03_section_3_2_values-041,DS-051,value,,design,
TR-186,DC-003,DS-052,domain_index,calc_pdf_p297,design,
TR-187,SRC-calculation_chapter_03_section_3_2_values-052,DS-052,value,,design,
TR-188,DC-004,DS-053,domain_index,calc_pdf_p297,design,
TR-189,SRC-calculation_chapter_03_section_3_2_values-053,DS-053,value,,design,
TR-190,DC-005,DS-054,domain_index,calc_pdf_p297,design,
TR-191,SRC-calculation_chapter_03_section_3_2_values-054,DS-054,value,,design,
TR-192,DC-009,DS-055,domain_index,calc_pdf_p1319,design,
TR-193,CAL-VAL-P01319-028,DS-055,value,calc_pdf_p1319,design,
TR-194,AR-017,DS-056,domain_index,calc_pdf_p850,design,
TR-195,CAL-VAL-P00850-003,DS-056,value,calc_pdf_p850,design,
TR-196,AR-018,DS-057,domain_index,calc_pdf_p851,design,
TR-197,CAL-VAL-P00851-001,DS-057,value,calc_pdf_p851,design,
TR-198,AR-019,DS-058,domain_index,calc_pdf_p853,design,
TR-199,CAL-VAL-P00853-003,DS-058,value,calc_pdf_p853,design,
TR-200,AR-020,DS-059,domain_index,calc_pdf_p854,design,
TR-201,CAL-VAL-P00854-001,DS-059,value,calc_pdf_p854,design,
TR-202,SRC-calculation_chapter_03_section_3_2_tables-005,DS-060,table,calc_pdf_p293,design,
TR-203,SRC-calculation_chapter_03_section_3_2_tables-005,DS-061,table,calc_pdf_p293,design,
TR-204,SRC-calculation_chapter_03_section_3_2_tables-005,DS-062,table,calc_pdf_p293,design,
TR-205,SRC-calculation_chapter_03_section_3_2_tables-010,DS-064,table,calc_pdf_p294,design,
TR-206,SRC-calculation_chapter_03_section_3_2_tables-010,DS-065,table,calc_pdf_p294,design,
TR-207,SRC-calculation_chapter_03_section_3_2_tables-010,DS-066,table,calc_pdf_p294,design,
TR-208,SRC-calculation_chapter_03_section_3_2_tables-011,DS-068,table,calc_pdf_p295,design,
TR-209,SRC-calculation_chapter_03_section_3_2_tables-011,DS-069,table,calc_pdf_p295,design,
TR-210,SRC-calculation_chapter_03_section_3_2_tables-011,DS-070,table,calc_pdf_p295,design,
TR-211,SRC-calculation_chapter_03_section_3_2_tables-012,DS-072,table,calc_pdf_p296,design,
TR-212,SRC-calculation_chapter_03_section_3_2_tables-012,DS-073,table,calc_pdf_p296,design,
TR-213,SRC-calculation_chapter_03_section_3_2_tables-012,DS-074,table,calc_pdf_p296,design,
TR-214,SRC-calculation_chapter_03_section_3_2_tables-013,DS-076,table,calc_pdf_p297,design,
TR-215,SRC-calculation_chapter_03_section_3_2_tables-013,DS-077,table,calc_pdf_p297,design,
TR-216,SRC-calculation_chapter_03_section_3_2_tables-013,DS-078,table,calc_pdf_p297,design,
TR-217,SRC-calculation_chapter_03_section_3_2_tables-014,DS-080,table,calc_pdf_p298,design,
TR-218,SRC-calculation_chapter_03_section_3_2_tables-014,DS-081,table,calc_pdf_p298,design,
TR-219,SRC-calculation_chapter_03_section_3_2_tables-015,DS-082,table,calc_pdf_p298,design,
TR-220,SRC-calculation_chapter_03_section_3_2_tables-015,DS-083,table,calc_pdf_p298,design,
TR-221,SRC-calculation_chapter_03_section_3_2_tables-015,DS-084,table,calc_pdf_p298,design,
TR-222,SRC-calculation_chapter_03_section_3_2_tables-016,DS-087,table,calc_pdf_p299,design,
TR-223,SRC-calculation_chapter_03_section_3_2_tables-016,DS-088,table,calc_pdf_p299,design,
TR-224,SRC-calculation_chapter_03_section_3_2_tables-017,DS-089,table,calc_pdf_p299,design,
TR-225,SRC-calculation_chapter_03_section_3_2_tables-017,DS-090,table,calc_pdf_p299,design,
TR-226,SRC-calculation_chapter_03_section_3_2_tables-017,DS-091,table,calc_pdf_p299,design,
TR-227,SRC-calculation_chapter_03_section_3_2_tables-018,DS-094,table,calc_pdf_p300,design,
TR-228,SRC-calculation_chapter_03_section_3_2_tables-018,DS-095,table,calc_pdf_p300,design,
TR-229,SRC-calculation_chapter_03_section_3_2_tables-018,DS-096,table,calc_pdf_p300,design,
TR-230,SRC-calculation_chapter_03_section_3_2_tables-019,DS-098,table,calc_pdf_p301,design,
TR-231,SRC-calculation_chapter_03_section_3_2_tables-019,DS-099,table,calc_pdf_p301,design,
TR-232,SRC-calculation_chapter_03_section_3_2_tables-019,DS-100,table,calc_pdf_p301,design,
TR-233,SRC-calculation_chapter_03_section_3_2_tables-020,DS-102,table,calc_pdf_p302,design,
TR-234,SRC-calculation_chapter_03_section_3_2_tables-020,DS-103,table,calc_pdf_p302,design,
TR-235,SRC-calculation_chapter_03_section_3_2_tables-020,DS-104,table,calc_pdf_p302,design,
TR-236,SRC-calculation_chapter_03_section_3_2_tables-021,DS-106,table,calc_pdf_p303,design,
TR-237,SRC-calculation_chapter_03_section_3_2_tables-021,DS-107,table,calc_pdf_p303,design,
TR-238,SRC-calculation_chapter_03_section_3_2_tables-021,DS-108,table,calc_pdf_p303,design,
TR-239,SRC-calculation_chapter_03_section_3_2_tables-022,DS-110,table,calc_pdf_p304,design,
TR-240,SRC-calculation_chapter_03_section_3_2_tables-022,DS-111,table,calc_pdf_p304,design,
TR-241,SRC-calculation_chapter_03_section_3_2_tables-023,DS-112,table,calc_pdf_p305,design,
TR-242,SRC-calculation_chapter_03_section_3_2_tables-023,DS-113,table,calc_pdf_p305,design,
TR-243,SRC-calculation_chapter_03_section_3_2_tables-023,DS-114,table,calc_pdf_p305,design,
TR-244,SRC-calculation_chapter_03_section_3_2_tables-024,DS-115,table,calc_pdf_p306,design,
TR-245,SRC-calculation_chapter_03_section_3_2_tables-024,DS-116,table,calc_pdf_p306,design,
TR-246,SRC-calculation_chapter_03_section_3_2_tables-024,DS-117,table,calc_pdf_p306,design,
TR-247,SRC-calculation_chapter_03_section_3_2_tables-025,DS-119,table,calc_pdf_p307,design,
TR-248,SRC-calculation_chapter_03_section_3_2_tables-025,DS-120,table,calc_pdf_p307,design,
TR-249,SRC-calculation_chapter_03_section_3_2_tables-025,DS-121,table,calc_pdf_p307,design,
TR-250,SRC-calculation_chapter_03_section_3_2_tables-026,DS-123,table,calc_pdf_p308,design,
TR-251,SRC-calculation_chapter_03_section_3_2_tables-026,DS-124,table,calc_pdf_p308,design,
TR-252,SRC-calculation_chapter_03_section_3_2_tables-026,DS-125,table,calc_pdf_p308,design,
TR-253,SRC-calculation_chapter_03_section_3_2_tables-027,DS-127,table,calc_pdf_p309,design,
TR-254,SRC-calculation_chapter_03_section_3_2_tables-027,DS-128,table,calc_pdf_p309,design,
TR-255,SRC-calculation_chapter_03_section_3_2_tables-027,DS-129,table,calc_pdf_p309,design,
TR-256,SRC-calculation_chapter_03_section_3_2_tables-028,DS-130,table,calc_pdf_p310,design,
TR-257,SRC-calculation_chapter_03_section_3_2_tables-028,DS-131,table,calc_pdf_p310,design,
TR-258,SRC-calculation_chapter_03_section_3_2_tables-028,DS-132,table,calc_pdf_p310,design,
TR-259,SRC-calculation_chapter_03_section_3_2_tables-029,DS-133,table,calc_pdf_p311,design,
TR-260,SRC-calculation_chapter_03_section_3_2_tables-029,DS-134,table,calc_pdf_p311,design,
TR-261,SRC-calculation_chapter_03_section_3_2_tables-029,DS-135,table,calc_pdf_p311,design,
TR-262,SRC-calculation_chapter_03_section_3_2_tables-030,DS-137,table,calc_pdf_p312,design,
TR-263,SRC-calculation_chapter_03_section_3_2_tables-030,DS-138,table,calc_pdf_p312,design,
TR-264,SRC-calculation_chapter_03_section_3_2_tables-030,DS-139,table,calc_pdf_p312,design,
TR-265,SRC-calculation_chapter_03_section_3_2_tables-031,DS-141,table,calc_pdf_p313,design,
TR-266,SRC-calculation_chapter_03_section_3_2_tables-031,DS-142,table,calc_pdf_p313,design,
TR-267,SRC-calculation_chapter_03_section_3_2_tables-031,DS-143,table,calc_pdf_p313,design,
TR-268,SRC-calculation_chapter_03_section_3_2_tables-032,DS-145,table,calc_pdf_p314,design,
TR-269,SRC-calculation_chapter_03_section_3_2_tables-032,DS-146,table,calc_pdf_p314,design,
TR-270,SRC-calculation_chapter_03_section_3_2_tables-032,DS-147,table,calc_pdf_p314,design,
TR-271,SRC-calculation_chapter_03_section_3_2_tables-033,DS-149,table,calc_pdf_p315,design,
TR-272,SRC-calculation_chapter_03_section_3_2_tables-033,DS-150,table,calc_pdf_p315,design,
TR-273,SRC-calculation_chapter_03_section_3_2_tables-033,DS-151,table,calc_pdf_p315,design,
TR-274,SRC-calculation_chapter_03_section_3_2_tables-034,DS-152,table,calc_pdf_p316,design,
TR-275,SRC-calculation_chapter_03_section_3_2_tables-034,DS-153,table,calc_pdf_p316,design,
TR-276,SRC-calculation_chapter_03_section_3_2_tables-034,DS-154,table,calc_pdf_p316,design,
TR-277,SRC-calculation_chapter_03_section_3_2_tables-035,DS-155,table,calc_pdf_p317,design,
TR-278,SRC-calculation_chapter_03_section_3_2_tables-035,DS-156,table,calc_pdf_p317,design,
TR-279,SRC-calculation_chapter_03_section_3_2_tables-035,DS-157,table,calc_pdf_p317,design,
TR-280,SRC-calculation_chapter_03_section_3_2_tables-036,DS-159,table,calc_pdf_p318,design,
TR-281,SRC-calculation_chapter_03_section_3_2_tables-036,DS-160,table,calc_pdf_p318,design,
TR-282,SRC-calculation_chapter_03_section_3_2_tables-036,DS-161,table,calc_pdf_p318,design,
TR-283,SRC-calculation_chapter_03_section_3_2_tables-037,DS-163,table,calc_pdf_p319,design,
TR-284,SRC-calculation_chapter_03_section_3_2_tables-037,DS-164,table,calc_pdf_p319,design,
TR-285,SRC-calculation_chapter_03_section_3_2_tables-037,DS-165,table,calc_pdf_p319,design,
TR-286,SRC-calculation_chapter_03_section_3_2_tables-038,DS-167,table,calc_pdf_p320,design,
TR-287,SRC-calculation_chapter_03_section_3_2_tables-038,DS-168,table,calc_pdf_p320,design,
TR-288,SRC-calculation_chapter_03_section_3_2_tables-038,DS-169,table,calc_pdf_p320,design,
TR-289,SRC-calculation_chapter_03_section_3_2_tables-039,DS-171,table,calc_pdf_p321,design,
TR-290,SRC-calculation_chapter_03_section_3_2_tables-039,DS-172,table,calc_pdf_p321,design,
TR-291,SRC-calculation_chapter_03_section_3_2_tables-039,DS-173,table,calc_pdf_p321,design,
TR-292,SRC-calculation_chapter_03_section_3_2_tables-041,DS-174,table,calc_pdf_p350,design,
TR-293,SRC-calculation_chapter_03_section_3_2_tables-041,DS-175,table,calc_pdf_p350,design,
TR-294,SRC-calculation_chapter_03_section_3_2_tables-042,DS-176,table,calc_pdf_p351,design,
TR-295,SRC-calculation_chapter_03_section_3_2_tables-042,DS-177,table,calc_pdf_p351,design,
TR-296,CH5-VAL-004,AD-021,value,calc_pdf_p2027,adopted_design,
TR-297,ADV-011,AD-022,domain_index,calc_pdf_p2031,adopted_design,
TR-298,CH5-VAL-016,AD-022,value,calc_pdf_p2031,adopted_design,
TR-299,CH5-VAL-017,AD-023,value,calc_pdf_p2031,adopted_design,
TR-300,CH5-VAL-020,AD-024,value,calc_pdf_p2031,adopted_design,
TR-301,ADV-013,AD-025,domain_index,calc_pdf_p2031,adopted_design,
TR-302,CH5-VAL-024,AD-025,value,calc_pdf_p2031,adopted_design,
TR-303,CH5-VAL-026,AD-026,value,calc_pdf_p2031,adopted_design,
TR-304,CH5-VAL-031,AD-027,value,calc_pdf_p2034,adopted_design,
TR-305,CH5-VAL-004,AD-028,value,calc_pdf_p2027,adopted_design,
TR-306,ADV-012,AD-029,domain_index,calc_pdf_p2031,adopted_design,
TR-307,CH5-VAL-018,AD-029,value,calc_pdf_p2031,adopted_design,
TR-308,CH5-VAL-019,AD-030,value,calc_pdf_p2031,adopted_design,
TR-309,ADV-014,AD-031,domain_index,calc_pdf_p2031,adopted_design,
TR-310,CH5-VAL-025,AD-031,value,calc_pdf_p2031,adopted_design,
TR-311,CH5-VAL-032,AD-032,value,calc_pdf_p2034,adopted_design,
TR-312,CH5-VAL-033,AD-033,value,calc_pdf_p2034,adopted_design,
TR-313,CH5-VAL-034,AD-034,value,calc_pdf_p2034,adopted_design,
TR-314,ADV-015,AD-035,domain_index,calc_pdf_p2192,adopted_design,
TR-315,CH5-VAL-048,AD-035,value,calc_pdf_p2192,adopted_design,
TR-316,CH5-VAL-050,AD-036,value,calc_pdf_p2192,adopted_design,
TR-317,CH1-VAL-005,AD-037,value,calc_pdf_p7,adopted_design,
TR-318,GEO-001,AD-037,domain_index,calc_pdf_p7,adopted_design,
TR-319,DWG-DIM-S001-001,AD-037,drawing_dimension,calc_pdf_p3,adopted_design,
TR-320,CH1-VAL-006,AD-038,value,calc_pdf_p7,adopted_design,
TR-321,GEO-008,AD-038,domain_index,calc_pdf_p3,adopted_design,
TR-322,SRC-calculation_chapter_03_section_3_2_values-020,AD-039,value,,adopted_design,
TR-323,GEO-008,AD-039,domain_index,calc_pdf_p3,adopted_design,
TR-324,CH1-VAL-007,AD-040,value,calc_pdf_p7,adopted_design,
TR-325,GEO-002,AD-040,domain_index,calc_pdf_p7,adopted_design,
TR-326,DWG-DIM-S001-003,AD-040,drawing_dimension,calc_pdf_p3,adopted_design,
TR-327,CH1-VAL-008,AD-041,value,calc_pdf_p7,adopted_design,
TR-328,GEO-003,AD-041,domain_index,calc_pdf_p7,adopted_design,
TR-329,DWG-DIM-S001-003,AD-041,drawing_dimension,calc_pdf_p3,adopted_design,
TR-330,CH1-VAL-009,AD-042,value,calc_pdf_p7,adopted_design,
TR-331,GEO-004,AD-042,domain_index,calc_pdf_p7,adopted_design,
TR-332,DWG-DIM-S001-003,AD-042,drawing_dimension,calc_pdf_p3,adopted_design,
TR-333,CH1-VAL-010,AD-043,value,calc_pdf_p7,adopted_design,
TR-334,GEO-005,AD-043,domain_index,calc_pdf_p7,adopted_design,
TR-335,DWG-DIM-S009-006,AD-043,drawing_dimension,calc_pdf_p11,adopted_design,
TR-336,CH1-VAL-011,AD-044,value,calc_pdf_p7,adopted_design,
TR-337,GEO-006,AD-044,domain_index,calc_pdf_p7,adopted_design,
TR-338,DWG-DIM-S001-004,AD-045,drawing_dimension,calc_pdf_p3,adopted_design,
