value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,parent_formula_id,source_locator,confidence,verification_status
CAL-VAL-P00135-002,135,130,CAL-CH3,CAL-SEC-3.1.2,衝撃係数-第1支間,0.222,,0.222,,DERIVED_VALUE,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-003,135,130,CAL-CH3,CAL-SEC-3.1.2,衝撃係数-第2支承線上,0.209,,0.209,,DERIVED_VALUE,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-004,135,130,CAL-CH3,CAL-SEC-3.1.2,衝撃係数-第2支間,0.198,,0.198,,DERIVED_VALUE,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-005,135,130,CAL-CH3,CAL-SEC-3.1.2,衝撃係数-第3支承線上,0.209,,0.209,,DERIVED_VALUE,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-006,135,130,CAL-CH3,CAL-SEC-3.1.2,衝撃係数-第3支間,0.222,,0.222,,DERIVED_VALUE,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-007,135,130,CAL-CH3,CAL-SEC-3.1.2,平均支間長-第1支間,40.156,m,40.156,m,DIMENSION,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-008,135,130,CAL-CH3,CAL-SEC-3.1.2,平均支間長-第2支承線上,45.584,m,45.584,m,DIMENSION,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-009,135,130,CAL-CH3,CAL-SEC-3.1.2,平均支間長-第2支間,51.013,m,51.013,m,DIMENSION,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-010,135,130,CAL-CH3,CAL-SEC-3.1.2,平均支間長-第3支承線上,45.585,m,45.585,m,DIMENSION,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00135-011,135,130,CAL-CH3,CAL-SEC-3.1.2,平均支間長-第3支間,40.156,m,40.156,m,DIMENSION,,,calc_pdf_p135,HIGH,UNVERIFIED
CAL-VAL-P00149-001,149,144,CAL-CH3,CAL-SEC-3.1.6,ヤング率E,2.000000e+008,kN/m2,200000000,kN/m2,MATERIAL_PROPERTY,,,calc_pdf_p149,HIGH,UNVERIFIED
CAL-VAL-P00149-002,149,144,CAL-CH3,CAL-SEC-3.1.6,せん断弾性係数G,7.700000e+007,kN/m2,77000000,kN/m2,MATERIAL_PROPERTY,,,calc_pdf_p149,HIGH,UNVERIFIED
CAL-VAL-P00149-003,149,144,CAL-CH3,CAL-SEC-3.1.6,ポアソン比ν,1.200000e-005,,0.000012,,MATERIAL_PROPERTY,,,calc_pdf_p149,HIGH,UNVERIFIED
CAL-VAL-P00223-001,223,218,CAL-CH3,CAL-SEC-3.1.8,死荷重反力Rd PU15-AG1,1205.1,kN,1205.1,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-002,223,218,CAL-CH3,CAL-SEC-3.1.8,死荷重反力Rd PU15-AG2,1200.7,kN,1200.7,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-003,223,218,CAL-CH3,CAL-SEC-3.1.8,死荷重反力Rd PR1-AG1,3325.5,kN,3325.5,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-004,223,218,CAL-CH3,CAL-SEC-3.1.8,死荷重反力Rd PR1-AG2,3306.6,kN,3306.6,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-005,223,218,CAL-CH3,CAL-SEC-3.1.8,死荷重反力Rd PR2-AG1,3341.6,kN,3341.6,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-006,223,218,CAL-CH3,CAL-SEC-3.1.8,死荷重反力Rd PR2-AG2,3272.9,kN,3272.9,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-007,223,218,CAL-CH3,CAL-SEC-3.1.8,死荷重反力Rd AR2-AG1,1221.9,kN,1221.9,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-008,223,218,CAL-CH3,CAL-SEC-3.1.8,死荷重反力Rd AR2-AG2,1081.3,kN,1081.3,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-009,223,218,CAL-CH3,CAL-SEC-3.1.8,活荷重RL最大 PU15-AG1,737.8,kN,737.8,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-010,223,218,CAL-CH3,CAL-SEC-3.1.8,活荷重RL最大 PR1-AG1,1378.9,kN,1378.9,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-011,223,218,CAL-CH3,CAL-SEC-3.1.8,活荷重RL最大 PR2-AG1,1383.2,kN,1383.2,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-012,223,218,CAL-CH3,CAL-SEC-3.1.8,活荷重RL最大 AR2-AG1,777.3,kN,777.3,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-013,223,218,CAL-CH3,CAL-SEC-3.1.8,活荷重RL最小 PU15-AG1,-128.0,kN,-128.0,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-014,223,218,CAL-CH3,CAL-SEC-3.1.8,活荷重RL最小 PR1-AG1,-164.0,kN,-164.0,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-015,223,218,CAL-CH3,CAL-SEC-3.1.8,活荷重RL最小 PR2-AG1,-161.4,kN,-161.4,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-016,223,218,CAL-CH3,CAL-SEC-3.1.8,活荷重RL最小 AR2-AG1,-134.1,kN,-134.1,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-017,223,218,CAL-CH3,CAL-SEC-3.1.8,合計荷重係数考慮最大 PU15-AG1,2187.6,kN,2187.6,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00223-018,223,218,CAL-CH3,CAL-SEC-3.1.8,合計荷重係数考慮最小 PU15-AG1,1105.4,kN,1105.4,kN,ANALYSIS_RESULT,,,calc_pdf_p223,HIGH,UNVERIFIED
CAL-VAL-P00222-001,222,217,CAL-CH3,CAL-SEC-3.1.8,死荷重反力合計(全支承),17955.7,kN,17955.7,kN,ANALYSIS_RESULT,,,calc_pdf_p222,HIGH,UNVERIFIED
CAL-VAL-P00222-002,222,217,CAL-CH3,CAL-SEC-3.1.8,死荷重反力合計 PU15,2405.8,kN,2405.8,kN,ANALYSIS_RESULT,,,calc_pdf_p222,HIGH,UNVERIFIED
CAL-VAL-P00222-003,222,217,CAL-CH3,CAL-SEC-3.1.8,死荷重反力合計 PR1,6632.2,kN,6632.2,kN,ANALYSIS_RESULT,,,calc_pdf_p222,HIGH,UNVERIFIED
CAL-VAL-P00222-004,222,217,CAL-CH3,CAL-SEC-3.1.8,死荷重反力合計 PR2,6614.5,kN,6614.5,kN,ANALYSIS_RESULT,,,calc_pdf_p222,HIGH,UNVERIFIED
CAL-VAL-P00222-005,222,217,CAL-CH3,CAL-SEC-3.1.8,死荷重反力合計 AR2,2303.2,kN,2303.2,kN,ANALYSIS_RESULT,,,calc_pdf_p222,HIGH,UNVERIFIED
CAL-VAL-P00140-001,140,135,CAL-CH3,CAL-SEC-3.1.2,死荷重反力確認 計算値,17955.87,kN,17955.87,kN,DERIVED_VALUE,,,calc_pdf_p140,HIGH,UNVERIFIED
CAL-VAL-P00140-002,140,135,CAL-CH3,CAL-SEC-3.1.2,死荷重反力確認 解析値,17955.68,kN,17955.68,kN,ANALYSIS_RESULT,,,calc_pdf_p140,HIGH,UNVERIFIED
CAL-VAL-P00140-003,140,135,CAL-CH3,CAL-SEC-3.1.2,死荷重反力確認 比率計算値/解析値,1.000,,1.000,,DERIVED_VALUE,,,calc_pdf_p140,HIGH,UNVERIFIED
