branch,sha_short,integrated_in_origin_main,verdict
feat/apollo-step6-f3-bc-input-fixes,f7f2d87,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-ui-1-header-auth,f1e0513,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-ui-2-guided-progress,970ad5c,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-ui-3-viewer-workspace,3f18f1b,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-ui-4-workflow-master-detail,700e713,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-ui-5-responsive,db4d7c3,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-ui-6-regression,5b2f896,NO,SUPERSEDED_CONTENT_IN_MAIN
feature/phase-c1-3d-liner-integration,217887c,NO,SUPERSEDED_CONTENT_IN_MAIN
feature/phase-c1-i01-model-validation,b07fda1,YES,SUPERSEDED_CONTENT_IN_MAIN
feature/phase-c1-i02-placement,8298b75,YES,SUPERSEDED_CONTENT_IN_MAIN
feature/phase-c1-i03a-abutment-geometry,bbfa6ea,YES,SUPERSEDED_CONTENT_IN_MAIN
feature/step10-phase4-pr0-preflight,bbfa6ea,YES,AUTHORITATIVE_OR_ACTIVE
feature/substructure-planning-tests,b796be4,YES,ALREADY_INTEGRATED
fix/apollo-3d-viewer,1fbcb3e,YES,ALREADY_INTEGRATED
fix/apollo-test-manifest-pd001,b886598,YES,ALREADY_INTEGRATED
fix/apollo-visualization-bounds-bracing,d077563,YES,ALREADY_INTEGRATED
main,bbfa6ea,YES,AUTHORITATIVE_OR_ACTIVE
phase-c1-design-baseline-p0004,a122633,YES,SUPERSEDED_CONTENT_IN_MAIN
research/liner-r1-p01-00-freeze,237dfae,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p01-01-schema,4eada20,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p01-02-alignment-profile,75ea4a2,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p01-03-bridge-ldist,756df7d,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p01-04-haunch-hoso-drawing,46827b9,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p01-05-integration,0d9aac7,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p02-00-freeze,9706f11,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p02-01-comparator,dfa0269,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p02-02-horizontal-station,3017173,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p02-03-profile-crossfall-height,ea98b1a,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p02-04-reporting,401d9b4,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-p02-05-integration,d8b1fc0,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-r1-planning,dc86e5b,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x0-p00-freeze,f4b9d04,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x0-p01-discovery,a00db5b,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x0-p02-metadata,61de5de,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x0-p03-classification,41b1965,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x0-p04-priority,221acdc,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x0-p05-integration,92c092e,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-8-p00-freeze,5dd739b,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-8-p01-entities,c2f1d93,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-8-p02-relations,60e7da3,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-8-p03-traceability,7c38046,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-8-p04-road-bridge-flow,7cdccd0,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-8-p05-architecture,dcce941,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-8-p06-x2-gate,c509b19,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-p00-freeze,726781b,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-p01-road-ordinance,27447e9,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-p02-jip-liner,da2d66f,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-p03-project-crosscheck,777f7e6,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-p04-road-bridge,1587bdf,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-p05-rule-engine,5a764d2,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x1-p06-integration,8c7ade2,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x15-p00-evidence-inventory,66e1910,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x15-p01-road-mappings,3e7c524,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x15-p02-bridge-mappings,bc4377b,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x15-p03-evidence-chain,709a606,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x15-p04-integration,d62cd58,YES,RESEARCH_ONLY_NON_BLOCKING
research/liner-x2-p00-freeze,0628d7d,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x2-p01-registry,22349f8,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x2-p02-formula,679804e,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x2-p03-geometry,ec7d1a9,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x2-p04-validation,5162ab2,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x2-p05-api,9ef3fca,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x2-p06-tests,378cc0d,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x2-p07-integration,6f44169,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x3-p00-freeze,8802afb,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x3-p01-core,c8dd0a8,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x3-p02-vertical-slice,07ab440,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x3-p03-road-rules,d970b2e,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x3-p04-alignment-rules,d00fc40,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x3-p05-interfaces,127107c,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x3-p06-integration,551bd38,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x3-p07-completion,542a974,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x4a-p00-audit,534c3e3,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x4a-p01-types,11e2914,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x4a-p02-line-arc,e98f964,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x4a-p03-clothoid,a50e003,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x4a-p04-station-offset,7b1eed1,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x4a-p05-adapters,a34bf84,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x4a-p06-verification,8987080,NO,RESEARCH_ONLY_NON_BLOCKING
research/liner-x4a-p07-x4b-gate,d0e56db,NO,RESEARCH_ONLY_NON_BLOCKING
test/apollo-continuous-girder-verification,4c24c59,YES,ALREADY_INTEGRATED
test/apollo-simple-single-verification,a50480e,YES,ALREADY_INTEGRATED
