item_id,source_path,destination_path,file_type,size_bytes,sha256_before,copy_decision,decision_reason,public_safety,copyright_status,sensitive_data_status,overwrite_status,notes
ITM-011,~/Projects/liner-future-research/research/00_preflight_report.md,docs/liner/research/jip-liner-gap-and-future-ux/research/00_preflight_report.md,text/markdown,3957,44a6623634bd2fef998fbba425fb3f23af02a4f83eaca23ae0193013ada6a3f6,COPY_WITH_REDACTION,local absolute paths generalized/redacted for public,SAFE,NFA(original notes),REDACTED(if any),none(existing absent),kept parity with research origin
ITM-012,~/Projects/liner-future-research/roadmap/roadmap.md,docs/liner/research/jip-liner-gap-and-future-ux/roadmap/roadmap.md,text/markdown,4811,04a0325c0b6d2866be874761c7e2482ea07ee1a47cca2cd3e74e0b476b128282,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-013,~/Projects/liner-future-research/research/01_jip_liner/jip_liner_data_entities.md,docs/liner/research/jip-liner-gap-and-future-ux/research/01_jip_liner/jip_liner_data_entities.md,text/markdown,4768,1d97823f158648840c2d65f96e12e7231187a375c57905d3bd73352e36746b00,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-014,~/Projects/liner-future-research/research/01_jip_liner/jip_liner_feature_inventory.md,docs/liner/research/jip-liner-gap-and-future-ux/research/01_jip_liner/jip_liner_feature_inventory.md,text/markdown,11866,4fa12f7bf16126ae1af45b7a006dcb3c4fb7bb297884486d65017353914c5837,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-015,~/Projects/liner-future-research/research/01_jip_liner/jip_liner_inputs_outputs.md,docs/liner/research/jip-liner-gap-and-future-ux/research/01_jip_liner/jip_liner_inputs_outputs.md,text/markdown,3299,6fb47d2c34da9faffefed34e605be547316a4fa4692dd4c30e2846d8e88d9692,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-016,~/Projects/liner-future-research/research/01_jip_liner/jip_liner_workflow.md,docs/liner/research/jip-liner-gap-and-future-ux/research/01_jip_liner/jip_liner_workflow.md,text/markdown,3694,bab6a37ee1c4fefeac0b88290d617834292b3d9cc7b90f7216a455361ef0875a,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-017,~/Projects/liner-future-research/research/02_current_system/current_system_audit.md,docs/liner/research/jip-liner-gap-and-future-ux/research/02_current_system/current_system_audit.md,text/markdown,8249,7e38fc9517554c488121eadd26259f21c1b68bc051e5d317f628f590e6d68a99,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-018,~/Projects/liner-future-research/research/03_gap_analysis/gap_analysis.md,docs/liner/research/jip-liner-gap-and-future-ux/research/03_gap_analysis/gap_analysis.md,text/markdown,5881,a8eda25cb36c8fbf548defc7c76c30172e5e9099aa6836989128a1eda1c49870,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-019,~/Projects/liner-future-research/research/04_user_workflow/user_workflow.md,docs/liner/research/jip-liner-gap-and-future-ux/research/04_user_workflow/user_workflow.md,text/markdown,4971,5fd571262ed59d12eb97f910cc979ccf80b4016540925d4107205885f62bd0e0,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-020,~/Projects/liner-future-research/research/05_gui_concepts/external_reference_review.md,docs/liner/research/jip-liner-gap-and-future-ux/research/05_gui_concepts/external_reference_review.md,text/markdown,4681,03e53155d9eda54bf3032ac2d12c8d615f9055aec2ea781962bf667694d65393,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-021,~/Projects/liner-future-research/research/05_gui_concepts/future_ux_concepts.md,docs/liner/research/jip-liner-gap-and-future-ux/research/05_gui_concepts/future_ux_concepts.md,text/markdown,6325,94ef4e0b6719e1881c9cc1d1ea3de13894fa21625e98756b07e6498ad7552d51,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-022,~/Projects/liner-future-research/research/06_editor2d/editor2d_architecture.md,docs/liner/research/jip-liner-gap-and-future-ux/research/06_editor2d/editor2d_architecture.md,text/markdown,5934,2e05340f80f71cba8d05b1a7af65fcb7b5c4eb15af97692fe951871c612364a1,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-023,~/Projects/liner-future-research/research/07_upper_structure_integration/upper_structure_integration.md,docs/liner/research/jip-liner-gap-and-future-ux/research/07_upper_structure_integration/upper_structure_integration.md,text/markdown,4547,a3cf7d6a6a2a088871ca1e72802a33e2070cdcc9af4b1ddd193c882f80600dee,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-024,~/Projects/liner-future-research/research/08_special_alignment/special_alignment.md,docs/liner/research/jip-liner-gap-and-future-ux/research/08_special_alignment/special_alignment.md,text/markdown,4676,b0cc559d289e739dacf3eba5c2cfc8e5b7efe819b28cc549e3937774d15847b8,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-025,~/Projects/liner-future-research/research/09_integration/consistency_and_quantitative.md,docs/liner/research/jip-liner-gap-and-future-ux/research/09_integration/consistency_and_quantitative.md,text/markdown,3230,4ed822872c924de7133afc024dfda63fe2d06cde7b550442ed419f62a7ebed61,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
