sheet_number,pdf_page,catalog_title,title_block_title,group,part,scale,bridge_name,work_name,route_name,date,revision,numbering_parity,catalog_title_parity,source_status,locator,notes
11,13,線形図（その2）,旭高架橋 Aランプ PU15ｰAR2 線形図(その2),alignment,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p13,
12,14,線形図（その3）,旭高架橋 Aランプ PU15ｰAR2 線形図(その3),alignment,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p14,
13,15,断面構成図（その1）,旭高架橋 Aランプ PU15ｰAR2 断面構成図(その1),cross_section,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p15,
14,16,断面構成図（その2）,旭高架橋 Aランプ PU15ｰAR2 断面構成図(その2),cross_section,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p16,
15,17,断面構成図（その3）,旭高架橋 Aランプ PU15ｰAR2 断面構成図(その3),cross_section,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p17,
16,18,断面構成図（その4）,旭高架橋 Aランプ PU15ｰAR2 断面構成図(その4),cross_section,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p18,
17,19,共通詳細図（その1）,旭高架橋 Aランプ PU15ｰAR2 共通詳細図(その1),common_detail,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p19,
18,20,共通詳細図（その2）,旭高架橋 Aランプ PU15ｰAR2 共通詳細図(その2),common_detail,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p20,
19,21,共通詳細図（その3）,旭高架橋 Aランプ PU15ｰAR2 共通詳細図(その3),common_detail,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p21,
20,22,キャンバー図,旭高架橋 Aランプ PU15ｰAR2 キャンバー図,camber,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p22,
21,23,主桁AG1（その1）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その1),main_girder_AG1,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p23,
22,24,主桁AG1（その2）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その2),main_girder_AG1,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p24,
23,25,主桁AG1（その3）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その3),main_girder_AG1,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p25,
24,26,主桁AG1（その4）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その4),main_girder_AG1,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p26,
25,27,主桁AG1（その5）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その5),main_girder_AG1,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p27,
26,28,主桁AG1（その6）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その6),main_girder_AG1,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p28,
27,29,主桁AG1（その7）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その7),main_girder_AG1,7,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p29,
28,30,主桁AG1（その8）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その8),main_girder_AG1,8,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p30,
29,31,主桁AG1（その9）,旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その9),main_girder_AG1,9,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p31,
30,32,主桁AG2（その1）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その1),main_girder_AG2,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p32,
31,33,主桁AG2（その2）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その2),main_girder_AG2,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p33,
32,34,主桁AG2（その3）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その3),main_girder_AG2,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p34,
33,35,主桁AG2（その4）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その4),main_girder_AG2,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p35,
34,36,主桁AG2（その5）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その5),main_girder_AG2,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p36,
35,37,主桁AG2（その6）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その6),main_girder_AG2,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p37,
36,38,主桁AG2（その7）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その7),main_girder_AG2,7,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p38,
37,39,主桁AG2（その8）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その8),main_girder_AG2,8,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p39,
38,40,主桁AG2（その9）,旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その9),main_girder_AG2,9,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p40,
39,41,スタッド配置図（その1）,旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その1),stud_layout,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p41,
40,42,スタッド配置図（その2）,旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その2),stud_layout,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p42,
41,43,スタッド配置図（その3）,旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その3),stud_layout,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p43,
42,44,スタッド配置図（その4）,旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その4),stud_layout,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p44,
43,45,スタッド配置図（その5）,旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その5),stud_layout,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p45,
44,46,スタッド配置図（その6）,旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その6),stud_layout,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p46,
45,47,端横桁（その1）,旭高架橋 Aランプ PU15ｰAR2 端横桁(その1) S=1:30,end_cross_beam,1,S=1:30,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p47,
46,48,端横桁（その2）,旭高架橋 Aランプ PU15ｰAR2 端横桁(その2) S=1:30,end_cross_beam,2,S=1:30,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p48,
47,49,中間支点横桁（その1）,旭高架橋 Aランプ PU15ｰAR2 中間支点横桁(その1),pier_cross_beam,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p49,
48,50,中間支点横桁（その2）,旭高架橋 Aランプ PU15ｰAR2 中間支点横桁(その2),pier_cross_beam,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p50,
49,51,中間横桁（その1）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その1),intermediate_cross_beam,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p51,
50,52,中間横桁（その2）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その2),intermediate_cross_beam,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p52,
51,53,中間横桁（その3）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その3),intermediate_cross_beam,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p53,
52,54,中間横桁（その4）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その4),intermediate_cross_beam,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p54,
53,55,中間横桁（その5）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その5),intermediate_cross_beam,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p55,
54,56,中間横桁（その6）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その6),intermediate_cross_beam,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p56,
55,57,中間横桁（その7）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その7),intermediate_cross_beam,7,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p57,
56,58,中間横桁（その8）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その8),intermediate_cross_beam,8,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p58,
57,59,中間横桁（その9）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その9),intermediate_cross_beam,9,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p59,
58,60,中間横桁（その10）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その10),intermediate_cross_beam,10,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p60,
59,61,中間横桁（その11）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その11) S=1:30,intermediate_cross_beam,11,S=1:30,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p61,
60,62,中間横桁（その12）,旭高架橋 Aランプ PU15ｰAR2 中間横桁(その12),intermediate_cross_beam,12,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p62,
61,63,上下横構（その1）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その1),lateral_bracing,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p63,
62,64,上下横構（その2）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その2),lateral_bracing,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p64,
63,65,上下横構（その3）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その3),lateral_bracing,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p65,
64,66,上下横構（その4）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その4),lateral_bracing,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p66,
65,67,上下横構（その5）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その5),lateral_bracing,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p67,
66,68,上下横構（その6）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その6),lateral_bracing,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p68,
67,69,上下横構（その7）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その7),lateral_bracing,7,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p69,
68,70,上下横構（その8）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その8),lateral_bracing,8,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p70,
69,71,上下横構（その9）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その9),lateral_bracing,9,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p71,
70,72,上下横構（その10）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その10),lateral_bracing,10,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p72,
71,73,上下横構（その11）,旭高架橋 Aランプ PU15ｰAR2 上下横構(その11),lateral_bracing,11,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p73,
72,74,巻き立てコンクリート（その1）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その1),wrapping_concrete,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p74,
73,75,巻き立てコンクリート（その2）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その2),wrapping_concrete,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p75,
74,76,巻き立てコンクリート（その3）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その3),wrapping_concrete,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p76,
75,77,巻き立てコンクリート（その4）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その4),wrapping_concrete,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p77,
76,78,巻き立てコンクリート（その5）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その5),wrapping_concrete,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p78,
77,79,巻き立てコンクリート（その6）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その6),wrapping_concrete,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p79,
78,80,巻き立てコンクリート（その7）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その7),wrapping_concrete,7,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p80,
79,81,巻き立てコンクリート（その8）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その8),wrapping_concrete,8,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p81,
80,82,巻き立てコンクリートスタッド図（その1）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリートスタッド図(その1) S=1:30,wrapping_concrete_stud,1,S=1:30,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p82,
81,83,巻き立てコンクリートスタッド図（その2）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリートスタッド図(その2),wrapping_concrete_stud,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p83,
82,84,巻き立てコンクリートスタッド図（その3）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリートスタッド図(その3),wrapping_concrete_stud,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p84,
83,85,巻き立てコンクリートスタッド図（その4）,旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリートスタッド図(その4) S=1:30,wrapping_concrete_stud,4,S=1:30,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p85,
84,86,合成床版割付図,旭高架橋 Aランプ PU15ｰAR2 合成床版割付図,composite_deck_layout,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p86,
85,87,支承詳細図（その1）,旭高架橋 Aランプ PU15ｰAR2 支承詳細図(その1),bearing_detail,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p87,
86,88,支承詳細図（その2）,旭高架橋 Aランプ PU15ｰAR2 支承詳細図(その2),bearing_detail,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p88,
87,89,支承詳細図（その3）,旭高架橋 Aランプ PU15ｰAR2 支承詳細図(その3) S=1:15,bearing_detail,3,S=1:15,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p89,
88,90,支承詳細図（その4）,旭高架橋 Aランプ PU15ｰAR2 支承詳細図(その4) S=1:15,bearing_detail,4,S=1:15,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p90,
89,91,伸縮装置（その1）,旭高架橋 Aランプ PU15ｰAR2 伸縮装置(その1),expansion_joint,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p91,
90,92,伸縮装置（その2）,旭高架橋 Aランプ PU15ｰAR2 伸縮装置(その2),expansion_joint,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p92,
91,93,伸縮装置（その3）,旭高架橋 Aランプ PU15ｰAR2 PU15 伸縮装置図(その3),expansion_joint,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p93,
92,94,伸縮装置（その4）,旭高架橋 Aランプ PU15ｰAR2 伸縮装置(その4),expansion_joint,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p94,
93,95,壁高欄配筋図（その1）,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その1),parapet_reinforcement,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p95,
94,96,壁高欄配筋図（その2）,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その2),parapet_reinforcement,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p96,
95,97,壁高欄配筋図（その3）,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その3),parapet_reinforcement,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p97,
96,98,壁高欄配筋図（その4）,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その4),parapet_reinforcement,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p98,
97,99,壁高欄配筋図（その5）,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その5),parapet_reinforcement,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p99,
98,100,壁高欄配筋図（その6）,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その6),parapet_reinforcement,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p100,
99,101,壁高欄配筋図（その7）,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その7),parapet_reinforcement,7,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p101,
100,102,照明受台配筋図,旭高架橋 Aランプ PU15ｰAR2 照明受台配筋図,lighting_pedestal,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p102,
101,103,上部工排水装置（その1）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その1),deck_drainage,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p103,
102,104,上部工排水装置（その2）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その2),deck_drainage,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p104,
103,105,上部工排水装置（その3）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その3),deck_drainage,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p105,
104,106,上部工排水装置（その4）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その4),deck_drainage,4,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p106,
105,107,上部工排水装置（その5）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その5),deck_drainage,5,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p107,
106,108,上部工排水装置（その6）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その6),deck_drainage,6,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p108,
107,109,上部工排水装置（その7）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その7),deck_drainage,7,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p109,
108,110,上部工排水装置（その8）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その8),deck_drainage,8,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p110,
109,111,上部工排水装置（その9）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その9),deck_drainage,9,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p111,
110,112,上部工排水装置（その10）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その10),deck_drainage,10,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p112,
111,113,上部工排水装置（その11）,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その11),deck_drainage,11,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p113,
112,114,下部工排水装置（その1）,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置(その1),substructure_drainage,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p114,
113,115,下部工排水装置（その2）,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置(その2),substructure_drainage,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p115,
114,116,下部工排水装置（その3）,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置(その3),substructure_drainage,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p116,
