item,category,calc_raw,calc_unit,calc_locator,drawing_raw,drawing_unit,drawing_locator,normalized_value,normalized_unit,parity,discrepancy,phase2_action,source_status,human_confirmation
cross_slope_1,geometry,i=5.000% (左下がり),%,calc_pdf_p7,i=5.000% (左下がり),%,drawing_pdf_p9,5.000,%,MATCH,,confirm,SOURCE_CONFIRMED,
cross_slope_2,geometry,i=2.000% (右下がり),%,calc_pdf_p7,i=2.000% (右下がり),%,drawing_pdf_p9,2.000,%,MATCH,,confirm,SOURCE_CONFIRMED,
cross_slope_3,geometry,i=2.958% (右下がり),%,calc_pdf_p7,i=2.958% (右下がり),%,drawing_pdf_p9,2.958,%,MATCH,,confirm,SOURCE_CONFIRMED,
pavement_type,deck,アスファルト舗装,,calc_pdf_p7,アスファルト舗装,,drawing_pdf_p9,アスファルト舗装,,MATCH,,confirm,SOURCE_CONFIRMED,
pavement_thickness,deck,80,mm,calc_pdf_p7,80,mm,drawing_pdf_p9,80,mm,MATCH,,confirm,SOURCE_CONFIRMED,
deck_type,deck,鋼コンクリート合成床版,,calc_pdf_p7,鋼コンクリート合成床版,,drawing_pdf_p9,鋼コンクリート合成床版,,MATCH,,confirm,SOURCE_CONFIRMED,
deck_thickness,deck,230,mm,calc_pdf_p7,230,mm (ハンチ高100mm),drawing_pdf_p9,230,mm,MATCH,,confirm,SOURCE_CONFIRMED,
girder_height_general,geometry,2700,mm,calc_pdf_p8,2700,mm,drawing_pdf_p9,2700,mm,MATCH,,confirm,SOURCE_CONFIRMED,
girder_height_PU15_end,geometry,2580,mm,calc_pdf_p8,2580,mm,drawing_pdf_p9,2580,mm,MATCH,,confirm,SOURCE_CONFIRMED,
steel_material,material,SM520 SM490Y SM400 SS400,,calc_pdf_p7,SM520 SM490Y SM400 SS400,,drawing_pdf_p9,SM520 SM490Y SM400 SS400,,MATCH,,confirm,SOURCE_CONFIRMED,
concrete_deck,material,σck=30,N/mm2,calc_pdf_p7,σck=30,N/mm2,drawing_pdf_p9,30,N/mm2,MATCH,,confirm,SOURCE_CONFIRMED,
concrete_parapet,material,σck=24,N/mm2,calc_pdf_p7,σck=24,N/mm2,drawing_pdf_p9,24,N/mm2,MATCH,,confirm,SOURCE_CONFIRMED,
rebar,material,SD345,,calc_pdf_p7,SD345,,drawing_pdf_p9,SD345,,MATCH,,confirm,SOURCE_CONFIRMED,
high_strength_bolt,material,M22(S10T),,calc_pdf_p7,TCB M22(S10T),,drawing_pdf_p9,M22(S10T),,MATCH,TCB vs generic naming,confirm,SOURCE_CONFIRMED,
