workflow_step,current_status,event,guard,next_status,side_effect,stale_targets,diagnostic,recommended_action
WF-06,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-06,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-06,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-06,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-07,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-07,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-07,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-07,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-07,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-08,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-08,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-08,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-08,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-08,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-09,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-09,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-09,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-09,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-09,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-10,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-10,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-10,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-10,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-10,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-11,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-11,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-11,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-11,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-11,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-12,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-12,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-12,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-12,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-12,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-13,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-13,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-13,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-13,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-13,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-14,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-14,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-14,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-14,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-14,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-15,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_checklist
WF-15,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-15,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-15,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-15,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
