時間（秒）,Ⅱ-Ⅰ-１,Ⅱ-Ⅰ-２,Ⅱ-Ⅰ-３,Ⅱ-Ⅱ-１,Ⅱ-Ⅱ-２,Ⅱ-Ⅱ-３,Ⅱ-Ⅲ-１,Ⅱ-Ⅲ-２,Ⅱ-Ⅲ-３
0.48,30.720 ,15.832 ,-0.510 ,29.308 ,-39.892 ,2.264 ,0.743 ,-22.073 ,-19.325 
0.49,34.594 ,16.626 ,2.839 ,27.436 ,-40.449 ,3.484 ,1.169 ,-21.782 ,-21.036 
0.5,39.455 ,16.077 ,6.547 ,26.340 ,-41.055 ,6.079 ,0.809 ,-20.903 ,-22.457 
0.51,45.259 ,14.396 ,10.848 ,25.471 ,-41.537 ,7.021 ,0.378 ,-19.967 ,-23.539 
0.52,51.687 ,11.822 ,15.045 ,24.251 ,-41.770 ,4.112 ,0.615 ,-19.696 ,-23.890 
0.53,58.345 ,8.554 ,18.628 ,22.861 ,-41.859 ,5.707 ,1.369 ,-19.594 ,-24.271 
0.54,64.980 ,4.807 ,21.274 ,22.004 ,-41.891 ,8.187 ,1.564 ,-18.822 ,-25.550 
0.55,71.452 ,0.753 ,22.904 ,21.934 ,-41.639 ,9.970 ,0.820 ,-16.411 ,-26.989 
0.56,77.525 ,-3.562 ,23.710 ,22.104 ,-40.757 ,7.425 ,0.168 ,-13.997 ,-27.071 
0.57,82.819 ,-8.146 ,23.411 ,21.920 ,-39.305 ,5.422 ,0.408 ,-12.327 ,-26.666 
0.58,87.026 ,-13.021 ,21.650 ,21.520 ,-37.903 ,7.208 ,1.114 ,-10.790 ,-26.745 
0.59,90.121 ,-18.039 ,18.558 ,21.436 ,-37.203 ,7.012 ,1.412 ,-8.446 ,-27.673 
0.6,92.277 ,-22.777 ,14.658 ,21.580 ,-37.269 ,7.573 ,1.070 ,-5.493 ,-28.368 
0.61,93.611 ,-26.798 ,10.780 ,20.985 ,-37.597 ,2.091 ,0.898 ,-2.096 ,-28.854 
0.62,94.014 ,-29.825 ,7.380 ,18.749 ,-37.681 ,0.328 ,1.712 ,0.188 ,-28.940 
0.63,93.271 ,-31.733 ,4.190 ,14.926 ,-37.318 ,2.236 ,3.153 ,0.986 ,-28.796 
0.64,91.298 ,-32.474 ,1.007 ,10.158 ,-36.264 ,1.489 ,4.218 ,2.484 ,-29.891 
0.65,88.139 ,-32.031 ,-1.734 ,4.591 ,-33.866 ,-1.504 ,4.623 ,6.145 ,-32.410 
0.66,83.738 ,-30.395 ,-3.355 ,-2.357 ,-29.433 ,-3.973 ,5.201 ,9.102 ,-32.717 
0.67,77.911 ,-27.683 ,-3.863 ,-10.946 ,-23.087 ,-4.594 ,6.793 ,10.035 ,-32.316 
0.68,70.526 ,-24.050 ,-3.957 ,-20.219 ,-16.021 ,-2.498 ,8.929 ,11.194 ,-33.275 
0.69,61.900 ,-19.539 ,-3.661 ,-28.576 ,-9.680 ,-4.296 ,10.507 ,13.987 ,-35.220 
0.7,52.565 ,-14.140 ,-2.270 ,-35.148 ,-4.739 ,-5.839 ,11.376 ,17.778 ,-36.171 
0.71,42.974 ,-8.060 ,0.316 ,-40.144 ,-1.020 ,-8.157 ,12.297 ,20.581 ,-36.747 
0.72,33.420 ,-1.699 ,3.380 ,-43.727 ,1.723 ,-7.436 ,13.900 ,23.417 ,-37.112 
0.73,24.015 ,4.280 ,5.872 ,-45.066 ,3.387 ,-7.970 ,15.843 ,25.239 ,-37.155 
0.74,14.986 ,9.227 ,7.103 ,-43.057 ,4.115 ,-9.898 ,17.056 ,26.866 ,-37.617 
0.75,6.614 ,12.865 ,7.126 ,-37.884 ,5.004 ,-10.715 ,17.257 ,30.064 ,-39.384 
0.76,-0.966 ,15.013 ,6.173 ,-31.279 ,7.626 ,-13.920 ,17.383 ,33.780 ,-40.022 
0.77,-7.973 ,15.749 ,4.453 ,-24.993 ,12.609 ,-14.093 ,18.220 ,34.115 ,-38.480 
0.78,-14.502 ,15.404 ,1.833 ,-19.470 ,18.969 ,-10.961 ,19.378 ,32.869 ,-37.027 
0.79,-20.530 ,14.377 ,-1.709 ,-14.522 ,25.188 ,-10.685 ,19.826 ,33.722 ,-38.657 
0.8,-25.927 ,13.020 ,-4.835 ,-11.070 ,30.817 ,-12.935 ,19.426 ,37.332 ,-39.394 
0.810000000000001,-30.564 ,11.763 ,-6.617 ,-11.361 ,36.644 ,-8.926 ,19.263 ,38.880 ,-36.602 
0.820000000000001,-34.697 ,10.486 ,-7.919 ,-17.065 ,43.284 ,0.074 ,19.976 ,38.128 ,-34.480 
0.830000000000001,-38.690 ,8.706 ,-9.401 ,-27.660 ,50.181 ,-0.072 ,20.906 ,38.760 ,-33.384 
0.840000000000001,-42.667 ,6.337 ,-10.948 ,-41.403 ,56.539 ,5.647 ,21.169 ,41.332 ,-32.273 
0.850000000000001,-46.522 ,3.286 ,-12.202 ,-57.740 ,62.931 ,11.342 ,20.751 ,45.392 ,-31.235 
0.860000000000001,-50.289 ,-0.123 ,-12.410 ,-77.815 ,71.098 ,17.057 ,20.518 ,48.571 ,-30.488 
0.870000000000001,-53.888 ,-3.333 ,-11.437 ,-102.144 ,81.630 ,18.253 ,21.005 ,48.691 ,-26.481 
0.880000000000001,-57.587 ,-5.952 ,-10.358 ,-128.497 ,92.330 ,23.889 ,21.612 ,48.878 ,-25.571 
0.890000000000001,-61.094 ,-7.573 ,-9.384 ,-153.191 ,99.822 ,25.148 ,21.674 ,51.805 ,-28.283 
0.900000000000001,-64.200 ,-7.621 ,-7.208 ,-174.497 ,103.024 ,20.167 ,21.417 ,54.043 ,-27.264 
0.910000000000001,-67.109 ,-6.458 ,-4.525 ,-193.609 ,104.389 ,23.234 ,21.486 ,53.171 ,-25.167 
0.920000000000001,-69.778 ,-4.380 ,-3.578 ,-211.382 ,107.006 ,19.260 ,22.146 ,50.156 ,-26.457 
0.930000000000001,-72.992 ,-1.909 ,-4.290 ,-224.858 ,110.755 ,14.480 ,23.139 ,48.132 ,-26.569 
0.940000000000001,-76.845 ,0.125 ,-6.369 ,-228.699 ,112.220 ,11.036 ,24.090 ,46.945 ,-25.329 
0.950000000000001,-80.897 ,2.353 ,-9.930 ,-220.747 ,108.812 ,7.949 ,24.814 ,46.273 ,-26.775 
0.960000000000001,-85.105 ,4.555 ,-13.400 ,-210.603 ,117.729 ,7.960 ,25.632 ,46.095 ,-26.432 
0.970000000000001,-89.237 ,7.024 ,-17.031 ,-199.397 ,135.091 ,2.458 ,26.940 ,43.372 ,-22.065 
0.980000000000001,-92.817 ,10.034 ,-22.074 ,-179.305 ,145.706 ,4.541 ,28.308 ,41.364 ,-20.700 
0.990000000000001,-96.061 ,12.861 ,-27.011 ,-151.396 ,149.921 ,14.064 ,29.399 ,45.380 ,-21.906 
1,-98.259 ,15.235 ,-31.112 ,-124.057 ,152.818 ,9.859 ,30.368 ,50.495 ,-18.896 
1.01,-99.369 ,17.000 ,-35.285 ,-104.048 ,156.691 ,16.097 ,30.790 ,50.440 ,-14.568 
1.02,-100.132 ,17.203 ,-39.412 ,-90.600 ,157.377 ,23.277 ,30.762 ,48.656 ,-11.863 
1.03,-100.260 ,15.928 ,-42.941 ,-78.229 ,148.995 ,35.100 ,31.363 ,51.763 ,-11.086 
1.04,-100.303 ,14.495 ,-44.456 ,-67.856 ,135.892 ,33.895 ,32.324 ,56.624 ,-9.677 
1.05,-99.463 ,13.101 ,-42.624 ,-67.390 ,130.135 ,35.255 ,32.105 ,55.436 ,-6.022 
1.06,-97.699 ,13.341 ,-38.036 ,-76.758 ,131.329 ,44.128 ,30.677 ,50.719 ,-3.202 
1.07,-94.689 ,16.020 ,-31.245 ,-86.264 ,131.934 ,46.591 ,29.700 ,48.263 ,-3.324 
1.08,-90.307 ,20.669 ,-22.711 ,-89.689 ,132.142 ,42.447 ,29.574 ,47.920 ,-1.103 
1.09,-85.160 ,25.808 ,-13.828 ,-91.800 ,132.182 ,40.604 ,29.110 ,45.235 ,1.430 
1.1,-78.344 ,31.359 ,-5.574 ,-94.641 ,133.487 ,38.383 ,27.905 ,38.971 ,3.286 
1.11,-70.849 ,34.881 ,0.993 ,-92.569 ,136.738 ,33.368 ,26.103 ,34.703 ,4.141 
1.12,-62.489 ,35.206 ,4.884 ,-82.940 ,137.384 ,36.238 ,24.273 ,34.868 ,4.365 
1.13,-53.214 ,34.551 ,6.794 ,-68.364 ,134.466 ,28.806 ,23.718 ,32.064 ,7.918 
1.14,-43.694 ,30.665 ,7.520 ,-50.777 ,132.926 ,18.514 ,23.736 ,29.231 ,10.337 
1.15,-32.885 ,27.540 ,6.752 ,-30.534 ,134.339 ,24.094 ,22.236 ,32.313 ,6.007 
1.16,-20.808 ,26.151 ,4.364 ,-8.949 ,140.786 ,27.281 ,19.497 ,32.731 ,6.750 
1.17,-9.079 ,24.984 ,0.585 ,11.595 ,150.294 ,17.568 ,17.307 ,29.163 ,12.006 
1.18,2.791 ,25.950 ,-4.943 ,31.884 ,153.529 ,15.624 ,16.913 ,30.724 ,10.081 
1.19,12.831 ,26.380 ,-12.773 ,51.537 ,148.602 ,18.622 ,17.785 ,34.896 ,4.658 
1.2,19.694 ,24.897 ,-22.179 ,66.575 ,141.382 ,20.106 ,16.500 ,32.133 ,9.253 
1.21,25.575 ,23.880 ,-31.849 ,73.347 ,131.733 ,11.898 ,12.409 ,22.660 ,13.667 
1.22,27.904 ,22.062 ,-40.783 ,71.760 ,114.853 ,9.080 ,11.563 ,21.170 ,7.846 
1.23,29.569 ,20.463 ,-47.427 ,65.024 ,89.207 ,7.059 ,15.561 ,23.923 ,9.294 
1.24,31.332 ,23.296 ,-50.666 ,55.679 ,63.618 ,-1.965 ,16.512 ,16.560 ,15.609 
1.25,33.017 ,25.344 ,-50.351 ,38.339 ,48.241 ,-3.690 ,12.899 ,4.747 ,15.953 
1.26,37.432 ,30.154 ,-46.817 ,11.085 ,41.062 ,-11.587 ,13.184 ,3.391 ,15.618 
1.27,42.125 ,34.138 ,-41.432 ,-17.896 ,37.267 ,-23.218 ,17.573 ,6.169 ,15.506 
1.28,47.486 ,33.586 ,-35.000 ,-40.374 ,36.236 ,-27.378 ,18.573 ,3.028 ,20.606 
1.29,52.525 ,31.928 ,-27.729 ,-58.573 ,34.902 ,-30.075 ,17.839 ,-2.009 ,24.297 
1.3,55.723 ,27.097 ,-20.717 ,-80.485 ,34.286 ,-35.598 ,19.454 ,-3.473 ,21.523 
1.31,57.977 ,23.063 ,-14.100 ,-102.979 ,36.311 ,-48.606 ,19.623 ,-2.272 ,19.586 
1.32,59.939 ,21.498 ,-6.785 ,-113.807 ,32.089 ,-48.804 ,18.990 ,0.098 ,23.029 
1.33,60.657 ,23.677 ,1.738 ,-116.034 ,16.659 ,-45.779 ,21.799 ,-1.725 ,24.945 
1.34,61.416 ,28.469 ,9.841 ,-120.864 ,1.027 ,-51.810 ,22.745 ,-8.997 ,22.205 
1.35,62.729 ,35.191 ,15.102 ,-125.607 ,-7.144 ,-61.419 ,19.007 ,-15.476 ,19.209 
1.36,63.676 ,39.357 ,18.486 ,-122.097 ,-14.904 ,-55.537 ,18.348 ,-16.219 ,17.726 
1.37,65.908 ,40.275 ,20.501 ,-111.114 ,-27.697 ,-55.192 ,21.276 ,-16.917 ,15.908 
1.38,67.281 ,36.536 ,18.517 ,-96.122 ,-41.992 ,-58.444 ,19.974 ,-26.523 ,20.202 
1.39,68.958 ,29.253 ,13.540 ,-77.843 ,-56.804 ,-60.652 ,16.037 ,-38.767 ,16.583 
1.4,70.229 ,22.785 ,8.749 ,-55.229 ,-71.722 ,-55.779 ,16.075 ,-39.031 ,11.653 
1.41,70.810 ,18.709 ,4.847 ,-27.848 ,-86.539 ,-53.617 ,16.592 ,-33.490 ,14.780 
1.42,73.744 ,21.822 ,2.260 ,1.782 ,-102.905 ,-54.771 ,12.955 ,-37.010 ,18.829 
1.43,74.090 ,29.030 ,0.848 ,29.360 ,-118.867 ,-45.534 ,10.563 ,-40.537 ,16.800 
1.44,74.313 ,40.870 ,0.009 ,53.249 ,-128.697 ,-41.190 ,11.313 ,-35.605 ,15.480 
1.45,73.561 ,52.451 ,-0.758 ,73.224 ,-130.273 ,-39.046 ,9.599 ,-31.571 ,18.059 
1.46,70.440 ,58.181 ,-2.499 ,90.408 ,-126.087 ,-27.021 ,7.597 ,-27.124 ,14.623 
1.47,68.470 ,60.742 ,-4.500 ,103.796 ,-120.753 ,-22.508 ,9.034 ,-22.703 ,13.911 
1.48,65.893 ,55.301 ,-5.424 ,111.836 ,-118.578 ,-11.951 ,8.820 ,-27.435 ,16.970 
1.49,63.063 ,44.703 ,-5.015 ,120.279 ,-122.759 ,-6.684 ,7.425 ,-34.193 ,14.053 
1.5,62.410 ,37.452 ,-2.209 ,135.398 ,-131.858 ,-0.453 ,9.397 ,-35.741 ,7.104 
1.51,62.259 ,27.578 ,3.587 ,152.562 ,-143.902 ,7.615 ,9.837 ,-37.850 ,10.498 
1.52,63.100 ,20.579 ,11.488 ,166.831 ,-160.666 ,10.572 ,7.601 ,-46.677 ,14.632 
1.53,64.682 ,17.351 ,19.408 ,185.131 ,-181.302 ,18.427 ,8.360 ,-60.194 ,11.612 
1.54,60.500 ,6.439 ,24.035 ,213.207 ,-199.007 ,20.974 ,10.636 ,-65.721 ,13.826 
1.55,53.132 ,-4.286 ,24.123 ,239.924 ,-205.625 ,22.578 ,12.641 ,-62.979 ,18.663 
1.56,42.736 ,-20.662 ,20.530 ,253.935 ,-196.762 ,25.223 ,14.488 ,-63.680 ,19.249 
1.57,27.194 ,-40.549 ,13.254 ,259.577 ,-178.513 ,32.651 ,13.235 ,-64.945 ,21.085 
1.58,7.746 ,-58.668 ,3.551 ,265.641 ,-160.768 ,40.039 ,12.080 ,-63.109 ,28.392 
1.59,-11.700 ,-71.803 ,-5.894 ,267.284 ,-140.963 ,39.499 ,15.981 ,-62.549 ,28.600 
1.6,-31.271 ,-75.971 ,-13.726 ,252.679 ,-110.963 ,43.970 ,20.337 ,-55.455 ,22.420 
1.61,-44.881 ,-75.017 ,-18.280 ,224.498 ,-77.298 ,58.640 ,18.134 ,-50.318 ,22.064 
1.62,-50.018 ,-63.947 ,-18.783 ,197.486 ,-50.584 ,64.785 ,13.006 ,-56.695 ,27.604 
1.63,-52.210 ,-56.717 ,-17.375 ,176.696 ,-30.324 ,73.068 ,15.907 ,-62.105 ,21.671 
1.64,-46.662 ,-53.344 ,-14.533 ,153.721 ,-8.669 ,77.912 ,23.007 ,-64.598 ,16.313 
1.65,-42.811 ,-50.360 ,-9.649 ,123.528 ,21.991 ,82.889 ,21.511 ,-70.272 ,16.102 
1.66,-38.794 ,-57.854 ,-3.759 ,96.793 ,55.319 ,96.624 ,15.991 ,-74.910 ,15.319 
1.67,-34.625 ,-57.679 ,3.703 ,81.975 ,76.585 ,93.510 ,15.595 ,-81.731 ,20.026 
1.68,-42.693 ,-44.549 ,12.636 ,71.140 ,87.591 ,97.343 ,19.820 ,-90.503 ,22.010 
1.69,-50.245 ,-25.719 ,20.967 ,57.007 ,96.072 ,93.569 ,25.081 ,-92.444 ,24.021 
1.7,-57.394 ,17.344 ,28.389 ,44.126 ,99.565 ,88.455 ,23.185 ,-89.437 ,29.471 
1.71,-65.941 ,57.017 ,33.970 ,37.499 ,94.317 ,87.707 ,14.873 ,-86.463 ,37.283 
1.72,-63.465 ,93.654 ,36.148 ,35.489 ,80.709 ,82.892 ,13.028 ,-89.027 ,42.913 
1.73,-57.914 ,121.344 ,34.610 ,36.447 ,64.130 ,71.921 ,17.799 ,-89.075 ,46.577 
1.74,-46.528 ,115.124 ,28.784 ,41.400 ,56.159 ,62.140 ,18.982 ,-84.188 ,46.941 
1.75,-27.692 ,104.446 ,20.423 ,48.038 ,61.484 ,62.575 ,12.223 ,-85.983 ,47.780 
1.76,-4.871 ,73.157 ,12.455 ,55.665 ,75.146 ,54.819 ,3.474 ,-86.954 ,45.526 
1.77,19.244 ,40.698 ,5.384 ,66.732 ,91.614 ,53.609 ,5.564 ,-82.824 ,39.816 
1.78,42.737 ,19.679 ,-0.824 ,80.455 ,106.020 ,46.715 ,14.158 ,-89.309 ,37.964 
1.79,62.398 ,-3.456 ,-6.581 ,90.638 ,116.414 ,47.042 ,12.302 ,-98.200 ,36.619 
1.8,73.674 ,-20.094 ,-11.866 ,92.737 ,125.492 ,44.990 ,6.593 ,-91.556 ,28.024 
1.81,82.322 ,-35.492 ,-15.911 ,90.785 ,128.652 ,41.887 ,9.590 ,-80.095 ,23.174 
1.82,77.759 ,-60.200 ,-19.887 ,90.770 ,117.627 ,44.590 ,13.922 ,-83.171 ,33.086 
1.83,68.026 ,-84.590 ,-24.039 ,88.612 ,98.280 ,37.278 ,17.493 ,-94.863 ,38.355 
1.84,53.853 ,-101.566 ,-25.914 ,78.066 ,85.867 ,25.560 ,21.638 ,-87.360 ,32.677 
1.85,37.463 ,-119.520 ,-24.196 ,62.750 ,85.483 ,21.966 ,17.663 ,-68.650 ,32.355 
1.86,29.092 ,-113.479 ,-19.313 ,50.651 ,90.423 ,15.512 ,13.760 ,-68.857 ,40.548 
1.87,26.565 ,-99.808 ,-11.495 ,40.765 ,94.040 ,4.205 ,21.613 ,-80.121 ,44.659 
1.88,32.857 ,-85.903 ,-1.160 ,26.097 ,96.460 ,-13.654 ,26.797 ,-78.189 ,36.670 
1.89,40.858 ,-65.736 ,9.781 ,2.563 ,99.918 ,-24.111 ,23.372 ,-67.466 ,26.176 
1.9,53.473 ,-61.484 ,19.853 ,-25.393 ,102.564 ,-32.048 ,23.639 ,-59.127 ,22.650 
1.91,63.788 ,-61.298 ,29.332 ,-52.626 ,95.998 ,-42.265 ,25.292 ,-61.205 ,18.752 
1.92,60.964 ,-63.380 ,37.912 ,-84.664 ,77.236 ,-51.720 ,25.168 ,-67.495 ,14.258 
1.93,59.518 ,-64.256 ,45.018 ,-126.361 ,53.379 ,-55.042 ,30.245 ,-59.176 ,5.167 
1.94,43.081 ,-44.079 ,50.820 ,-168.325 ,31.555 ,-66.028 ,31.629 ,-44.365 ,-1.228 
1.95,24.717 ,-16.866 ,54.556 ,-200.767 ,11.728 ,-65.890 ,20.095 ,-40.287 ,2.984 
1.96,19.198 ,31.931 ,54.426 ,-224.390 ,-7.766 ,-60.252 ,13.627 ,-39.679 ,8.380 
1.97,11.312 ,79.992 ,49.589 ,-242.118 ,-29.695 ,-61.936 ,20.789 ,-34.555 ,8.435 
1.98,16.460 ,116.805 ,40.418 ,-248.112 ,-60.395 ,-66.880 ,19.401 ,-23.933 ,5.745 
1.99,27.213 ,149.023 ,26.058 ,-238.231 ,-99.063 ,-70.283 ,6.259 ,-16.080 ,8.894 
2,44.739 ,144.229 ,6.656 ,-218.902 ,-132.617 ,-61.900 ,3.925 ,-14.486 ,13.969 
2.01,66.379 ,132.833 ,-13.077 ,-195.043 ,-155.472 ,-61.683 ,8.832 ,-10.040 ,4.381 
2.02,87.359 ,106.002 ,-29.193 ,-165.095 ,-174.897 ,-67.354 ,4.071 ,-5.033 ,-4.611 
2.03,105.371 ,69.102 ,-41.226 ,-133.094 ,-189.768 ,-74.779 ,0.718 ,-7.801 ,-7.171 
2.04,117.267 ,39.598 ,-48.253 ,-100.058 ,-179.472 ,-76.041 ,7.366 ,-2.616 ,-18.433 
2.05,124.740 ,7.944 ,-49.138 ,-61.787 ,-129.648 ,-74.260 ,6.876 ,6.468 ,-32.008 
2.06,124.516 ,-22.239 ,-43.805 ,-20.074 ,-54.362 ,-73.389 ,-1.715 ,5.946 ,-33.040 
2.07,120.652 ,-47.094 ,-33.636 ,22.569 ,15.608 ,-77.545 ,1.668 ,3.470 ,-34.643 
2.08,102.538 ,-72.673 ,-21.326 ,68.504 ,66.018 ,-83.780 ,12.154 ,6.019 ,-39.934 
2.09,81.119 ,-97.413 ,-8.470 ,117.286 ,114.368 ,-78.950 ,9.444 ,14.364 ,-36.364 
2.1,61.593 ,-109.296 ,3.780 ,162.845 ,183.011 ,-64.339 ,0.941 ,18.260 ,-24.043 
2.11,40.039 ,-120.987 ,14.051 ,196.211 ,224.640 ,-58.990 ,4.569 ,12.191 ,-21.620 
2.12,27.636 ,-122.455 ,22.687 ,211.248 ,198.460 ,-59.599 ,13.893 ,9.247 ,-21.097 
2.13,19.754 ,-116.134 ,29.127 ,206.242 ,179.646 ,-53.228 ,16.468 ,15.462 ,-11.028 
2.14,20.776 ,-113.813 ,30.524 ,180.552 ,207.055 ,-34.604 ,15.113 ,20.310 ,-13.589 
2.15,27.019 ,-106.862 ,26.890 ,131.622 ,219.569 ,-21.361 ,13.042 ,19.929 ,-21.701 
2.16,36.953 ,-101.396 ,21.627 ,60.687 ,196.444 ,-12.563 ,12.191 ,14.926 ,-26.179 
2.17,42.162 ,-102.360 ,16.281 ,-23.295 ,176.779 ,-12.724 ,17.827 ,16.571 ,-33.646 
2.18,35.479 ,-99.046 ,9.445 ,-108.779 ,172.298 ,-0.954 ,21.260 ,27.563 ,-47.722 
2.19,23.301 ,-93.994 ,0.520 ,-188.420 ,157.046 ,17.759 ,12.995 ,26.826 ,-54.580 
2.2,-1.876 ,-92.721 ,-7.398 ,-257.508 ,115.600 ,21.911 ,8.153 ,15.171 ,-53.040 
2.21,-28.655 ,-79.613 ,-11.411 ,-312.877 ,57.476 ,28.721 ,17.908 ,20.392 ,-63.336 
2.22,-57.092 ,-59.868 ,-13.313 ,-352.031 ,-0.645 ,35.920 ,25.507 ,33.233 ,-67.998 
