toc_id,parent_id,level,chapter_no,section_no,article_no,title,page,source_text,hierarchy_confidence,software_category,liner_relevance,rule_engine_candidate,project_mapping_candidate,body_research_priority,notes
T012,T011,3,1,3,1,道路構造令における用語,51,1-3-1道路構造令书用語,HIGH,ADMINISTRATIVE;STRUCTURAL_REQUIREMENT,P1_DIRECT_SUPPORT,RULE-01,YES,B,
T013,T011,3,1,3,2,本書における用語,59,1-3-2本書用語,HIGH,ADMINISTRATIVE;STRUCTURAL_REQUIREMENT,P1_DIRECT_SUPPORT,RULE-01,YES,B,
T014,,1,,,,Ⅱ 道路の計画・設計の考え方,65-131,Ⅱ道路の計画·設計の考方,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,設計思想・計画プロセス。基準値そのものではなく適用思想を述べる編。
T015,T014,2,1,,,第1章 概説,65,第1章概,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,章題のOCRが不鮮明。本文で確認。
T016,T015,3,1,1,,道路の役割・機能,65,1-1道路の役割機能,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T017,T015,3,1,2,,道路構造の基本的考え方,66,1-2道路構造基本的考方,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T018,T017,4,1,2,1,多様な機能の重視,66,1-2-1多樣機能の重視,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T019,T017,4,1,2,2,地域の弾力的な基準の運用,68,1-2-2地域弹力的基弹の運用,HIGH,EXCEPTION_RULE;ADMINISTRATIVE,P2_FUTURE,RULE-23,NO,C,弾力的運用=例外ルールの根拠。
T020,T015,3,1,3,,道路計画・設計の手順,69,1-3道路计画·設計の手順,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T021,T015,3,1,4,,道路構造令の運用の考え方,73,1-4道路構造合の運用の考方,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T022,T014,2,2,,,第2章 道路の機能確保のための道路構造,81,第2章道路の機能確保寸道路構造,HIGH,STRUCTURAL_REQUIREMENT;ADMINISTRATIVE,P1_DIRECT_SUPPORT,RULE-23,NO,C,道路機能（交通・空間・防災）と構造の対応。設計思想レベル。
T023,T022,3,2,1,,交通機能と道路構造,81,2-1交通機能2道路構造,HIGH,STRUCTURAL_REQUIREMENT,P1_DIRECT_SUPPORT,RULE-23,NO,B,
T024,T023,4,2,1,1,自動車の交通機能と道路構造,81,2-1-1自動車の交通機能道路構造,HIGH,STRUCTURAL_REQUIREMENT,P1_DIRECT_SUPPORT,RULE-23,NO,B,
T025,T023,4,2,1,2,歩行者・自転車の交通機能と道路構造,88,2-1-2步行者·自車交通機能道路構造,HIGH,SIDEWALK;BICYCLE,P2_FUTURE,RULE-23,NO,C,
T026,T022,3,2,2,,空間機能と道路構造,94,2-2空間機能上道路構造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T027,T026,4,2,2,1,市街地形成のための道路構造,94,2-21市街地形成道路構造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T028,T026,4,2,2,2,環境空間の道路構造,96,2-2-2環境空間の道路構造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T029,T026,4,2,2,3,収容空間の道路構造,99,2-2-3收容空間道路構造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T030,T026,4,2,2,4,（空間の道路構造・OCR不明）,100,2-24空間道路構造,LOW,STRUCTURAL_REQUIREMENT,UNKNOWN,NO,NO,C,タイトルOCR不明。HIERARCHY_UNCERTAIN。
T031,T022,3,2,3,,防災機能と道路構造,101,2-3防炎機能上道路構造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T032,T014,2,3,,,第3章 地域の状況に応じた道路構造,105,第3章地域の状况道路構造,HIGH,ROAD_CLASSIFICATION,P1_DIRECT_SUPPORT,RULE-01;RULE-22,YES,B,地域区分→構造仕様の対応。道路分類の入力条件として重要。
T033,T032,3,3,1,,地域の状況に応じた高速道路等の構造,105,3-1地域の状况高速道路等の構造,HIGH,ROAD_CLASSIFICATION,P1_DIRECT_SUPPORT,RULE-01,YES,B,
T034,T033,4,3,1,1,高規格幹線道路の構造,108,3-1-1高规格幹線道路の構造,HIGH,ROAD_CLASSIFICATION,P0_DIRECT_CORE,RULE-01;RULE-02,YES,A,
T035,T033,4,3,1,2,重要物流道路の構造,109,3-1-2重要物流道路の構造,HIGH,ROAD_CLASSIFICATION,P1_DIRECT_SUPPORT,RULE-01,YES,B,
T036,T033,4,3,1,3,地域高規格道路の構造,112,3-1-3地域高规格道路の構造,HIGH,ROAD_CLASSIFICATION,P1_DIRECT_SUPPORT,RULE-01,YES,B,
T037,T032,3,3,2,,都市の状況に応じた道路構造,112,32都市状况道路構造,HIGH,ROAD_CLASSIFICATION,P1_DIRECT_SUPPORT,RULE-01,NO,C,
T038,T037,4,3,2,1,都心部道路の構造,113,3-21都心部道路の構造,HIGH,ROAD_CLASSIFICATION,P1_DIRECT_SUPPORT,RULE-01,NO,C,
T039,T037,4,3,2,2,中心市街地・商店街等道路の構造,114,3-22中心市街地商店街等道路の構造,HIGH,ROAD_CLASSIFICATION,P2_FUTURE,RULE-01,NO,C,
T040,T037,4,3,2,3,住宅地等道路（歩車共存道路等）の構造,116,3-2-3住宅地等道路（步車共存道路等）の構造,HIGH,ROAD_CLASSIFICATION;BICYCLE,P2_FUTURE,RULE-01,NO,C,
T041,T037,4,3,2,4,地域の状況に応じた渋滞対策（仮）,117,3-2-4地域状况滞对策,LOW,ROAD_CLASSIFICATION,P2_FUTURE,RULE-01,NO,C,タイトルOCR不明瞭。HIERARCHY_UNCERTAIN。
T042,T032,3,3,3,,山地部等の道路構造,119,3-3山地部等道路構造,HIGH,ROAD_CLASSIFICATION,P1_DIRECT_SUPPORT,RULE-01;RULE-12,YES,B,山地部は設計速度・縦断勾配等の条件入力に影響。
T043,T032,3,3,4,,景観・自然地域の道路構造,119,3-4光地·自然地域道路の造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T044,T043,4,3,4,1,歴史・文化を反映した道路の構造,121,3-41歷史·文化反映道路の造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T045,T043,4,3,4,2,自然景観に配慮した道路構造,122,342自然親道路造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T046,T043,4,3,4,3,自然環境に配慮した道路構造,123,3-4-3自然環境配道路の構造,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T047,T032,3,3,5,,雪寒・寒冷地の道路構造,123,3-5雪寒冷地道路の構造,HIGH,STRUCTURAL_REQUIREMENT,P2_FUTURE,RULE-22,NO,C,積雪地域の幅員・線形に影響。
T048,T047,4,3,5,1,自動車の通行空間の構造,124,3-5-1自動車の通行空間の構造,HIGH,STRUCTURAL_REQUIREMENT,P2_FUTURE,RULE-22,NO,C,
T049,T047,4,3,5,2,歩行者の通行空間の構造,124,3-52步行者の通行空間構造,HIGH,STRUCTURAL_REQUIREMENT,P2_FUTURE,RULE-22,NO,C,
T050,T014,2,4,,,第4章 道路の計画・設計の際の配慮事項,129,第4章道路の計画·設計の配事,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T051,T050,3,4,1,,将来の状況への対応,129,4-1将来の状况の对,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T052,T050,3,4,2,,良好な景観の形成,130,4-2良好景の形成,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T053,T050,3,4,3,,維持管理への対応,131,4-3持管理对心,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T054,T050,3,4,4,,都市計画道路における留意事項,131,4-4都市计画道路右留意事项,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T055,,1,,,,Ⅲ 道路の構造,133-717,Ⅲ道路の構造,HIGH,STRUCTURAL_REQUIREMENT;HORIZONTAL_ALIGNMENT;LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-01;RULE-02;RULE-03;RULE-04;RULE-05;RULE-06;RULE-07;RULE-08;RULE-09;RULE-10;RULE-11;RULE-12;RULE-13;RULE-14;RULE-15;RULE-16;RULE-17;RULE-18;RULE-19;RULE-20;RULE-21;RULE-22,YES,A,LINERの数値計算コアに直接対応する編。道路幾何・横断・線形・交差点等の基準値がここにある。
T056,T055,2,1,,,第1章 道路の区分と設計速度、設計車両,133,第1章道路の区分上设计速度，設計車而,HIGH,ROAD_CLASSIFICATION;DESIGN_SPEED,P0_DIRECT_CORE,RULE-01;RULE-02;RULE-19;RULE-20,YES,A,LINERの入力条件（道路区分・設計速度・設計車両）の根拠章。
T057,T056,3,1,1,,道路区分,136,1-1道路区分,HIGH,ROAD_CLASSIFICATION,P0_DIRECT_CORE,RULE-01,YES,A,
T058,T057,4,1,1,1,道路区分の適用の考え方,137,1-11道路区分適用考方,HIGH,ROAD_CLASSIFICATION,P0_DIRECT_CORE,RULE-01,YES,A,
T059,T057,4,1,1,2,道路の区分,140,1-1-2道路区分,HIGH,ROAD_CLASSIFICATION,P0_DIRECT_CORE,RULE-01,YES,A,
T060,T057,4,1,1,3,道路の種類・種級区分等の関係,144,1-13道路の種類種級区分等の係,HIGH,ROAD_CLASSIFICATION,P0_DIRECT_CORE,RULE-01,YES,A,
T061,T056,3,1,2,,計画交通量・設計時間交通量,144,1-2計画交通量設計時間交通量,HIGH,ADMINISTRATIVE,P1_DIRECT_SUPPORT,RULE-20,YES,B,交通量は道路区分・種級決定の入力。
T062,T061,4,1,2,1,道路の計画目標年次,144,1-2-1道路の計画目標年次,HIGH,ADMINISTRATIVE,P3_REFERENCE,RULE-20,NO,C,
T063,T061,4,1,2,2,計画交通量,151,1-2-2計画交通量,HIGH,ADMINISTRATIVE,P1_DIRECT_SUPPORT,RULE-20,YES,B,
T064,T061,4,1,2,3,道路交通特性,156,1-2-3道路交通特性,HIGH,ADMINISTRATIVE,P3_REFERENCE,RULE-20,NO,C,
T065,T061,4,1,2,4,設計時間交通量,161,1-2-4設计時間交通量,HIGH,ADMINISTRATIVE,P1_DIRECT_SUPPORT,RULE-20,YES,B,
T066,T056,3,1,3,,設計速度,161,1-3設计速度,HIGH,DESIGN_SPEED,P0_DIRECT_CORE,RULE-02,YES,A,全線形基準値の親パラメータ。
T067,T066,4,1,3,1,設計速度の意味,161,1-3-1設計速度の意味,HIGH,DESIGN_SPEED,P0_DIRECT_CORE,RULE-02,YES,A,
T068,T066,4,1,3,2,設計速度と走行速度の関係,162,1-3-2設計速度走行速度の係,HIGH,DESIGN_SPEED,P1_DIRECT_SUPPORT,RULE-02,YES,B,
T069,T066,4,1,3,3,設計速度の値,163,1-3-3設計速度值,HIGH,DESIGN_SPEED,P0_DIRECT_CORE,RULE-02,YES,A,
T070,T056,3,1,4,,設計区間,164,1-4設计区間,HIGH,HORIZONTAL_ALIGNMENT;ADMINISTRATIVE,P1_DIRECT_SUPPORT,RULE-02,YES,B,設計区間分割はLINERの区間モデルと対応可能。
T071,T070,4,1,4,1,設計区間設定の基本原則,164,1-4-1設計区間設定の基本原则,HIGH,HORIZONTAL_ALIGNMENT;ADMINISTRATIVE,P1_DIRECT_SUPPORT,RULE-02,YES,B,
T072,T070,4,1,4,2,設計区間変更の場合の注意事項,165,1-4-2設計区間变更場合の注意事项,HIGH,HORIZONTAL_ALIGNMENT;ADMINISTRATIVE,P1_DIRECT_SUPPORT,RULE-02,YES,B,
T073,T056,3,1,5,,出入制限,168,1-5出制限,HIGH,ACCESS_CONTROL,P2_FUTURE,RULE-21,NO,C,
T074,T073,4,1,5,1,出入制限の定義と種類,168,1-51出入制限定義の種類,HIGH,ACCESS_CONTROL,P2_FUTURE,RULE-21,NO,C,
T075,T073,4,1,5,2,普通道路の出入制限,171,1-5-2普通道路の出入制限,HIGH,ACCESS_CONTROL,P2_FUTURE,RULE-21,NO,C,
T076,T073,4,1,5,3,小型道路の出入制限,172,1-5-3小型道路の出入制限,HIGH,ACCESS_CONTROL,P2_FUTURE,RULE-21,NO,C,
T077,T056,3,1,6,,設計車両,173,1-6設计車,HIGH,STRUCTURAL_REQUIREMENT,P0_DIRECT_CORE,RULE-19,YES,A,設計車両（乗用車・小型貨物・大型貨物・セミトレーラ等）は拡幅・回転軌跡・交差点隅切りの基準。
T078,T077,4,1,6,1,普通道路の自動車,174,1-6-1普通道路自動車,HIGH,STRUCTURAL_REQUIREMENT,P0_DIRECT_CORE,RULE-19,YES,A,
T079,T077,4,1,6,2,小型道路の自動車,183,1-6-2小型道路自動車,HIGH,STRUCTURAL_REQUIREMENT,P0_DIRECT_CORE,RULE-19,YES,A,
T080,T077,4,1,6,3,設計車両の最大値を超える車両,186,1-63設計車而の最大值超車面,HIGH,EXCEPTION_RULE;STRUCTURAL_REQUIREMENT,P1_DIRECT_SUPPORT,RULE-19;RULE-23,YES,B,
T081,T077,4,1,6,4,自転車・歩行者,187,1-6-4自車步行者,HIGH,BICYCLE;SIDEWALK,P2_FUTURE,RULE-19,NO,C,
T082,T055,2,2,,,第2章 横断面の構成,191,第2章横断面の構成,HIGH,CROSS_SECTION,P0_DIRECT_CORE,RULE-03;RULE-04;RULE-05;RULE-16;RULE-22,YES,A,横断構成（車線・路肩・中央帯・歩道等）の幅員基準。LINERのCrossSectionTemplateに直結。
T083,T082,3,2,1,,概説,191,2-1则,HIGH,CROSS_SECTION,P0_DIRECT_CORE,RULE-03,YES,A,
T084,T083,4,2,1,1,本章の適用範囲,191,2-1-1本章の適用用,HIGH,CROSS_SECTION,P0_DIRECT_CORE,RULE-03,YES,A,
T085,T083,4,2,1,2,基本的考え方,193,2-1-2基本的考方,HIGH,CROSS_SECTION,P0_DIRECT_CORE,RULE-03,YES,A,
T086,T083,4,2,1,3,横断面構成要素の組合せ,196,2-13横断面構成要素の組合,HIGH,CROSS_SECTION,P0_DIRECT_CORE,RULE-03,YES,A,
T087,T082,3,2,2,,車道・車線,200,2-2車道車.,HIGH,LANE_WIDTH;CROSS_SECTION,P0_DIRECT_CORE,RULE-03,YES,A,
T088,T087,4,2,2,1,車道の構成,200,2-2-1車道の構成,HIGH,CROSS_SECTION,P0_DIRECT_CORE,RULE-03,YES,A,
T089,T087,4,2,2,2,車線数,204,2-2-2車線数,HIGH,CROSS_SECTION,P0_DIRECT_CORE,RULE-03,YES,A,
T090,T087,4,2,2,3,車線幅員,210,2-2-3車線幅員,HIGH,LANE_WIDTH,P0_DIRECT_CORE,RULE-03,YES,A,
T091,T082,3,2,3,,中央帯,212,2-3中央带,HIGH,MEDIAN,P0_DIRECT_CORE,RULE-05,YES,A,
T092,T091,4,2,3,1,中央帯の機能,213,2-3-1中央带の機能,HIGH,MEDIAN,P0_DIRECT_CORE,RULE-05,YES,A,
T093,T091,4,2,3,2,中央帯の設置,214,2-3-2中央带の設置,HIGH,MEDIAN,P0_DIRECT_CORE,RULE-05,YES,A,
T094,T091,4,2,3,3,中央帯の構成,214,2-3-3中央带の構成,HIGH,MEDIAN,P0_DIRECT_CORE,RULE-05,YES,A,
T095,T091,4,2,3,4,中央帯の幅員,217,2-3-4中央带の幅員,HIGH,MEDIAN,P0_DIRECT_CORE,RULE-05,YES,A,
T096,T091,4,2,3,5,中央帯の形式・構造,219,2-3-5中央带の形式構造,HIGH,MEDIAN,P0_DIRECT_CORE,RULE-05,YES,A,
T097,T091,4,2,3,6,中央帯開口部,223,2-3-6中央带開口部,HIGH,MEDIAN;INTERSECTION,P1_DIRECT_SUPPORT,RULE-05,YES,B,
T098,T082,3,2,4,,付加追越車線,223,2-4付加追越車,HIGH,CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-03,NO,B,
T099,T098,4,2,4,1,概説,223,2-4-1概说,HIGH,CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-03,NO,B,
T100,T098,4,2,4,2,付加追越車線の設置場所等,225,2-4-2付加追越車線の設置所等,HIGH,CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-03,NO,B,
T101,T098,4,2,4,3,（付加追越車線の構造・仮）,226,2-43車線,LOW,CROSS_SECTION,P1_DIRECT_SUPPORT,RULE-03,NO,B,タイトルOCR不明瞭。HIERARCHY_UNCERTAIN。
T102,T082,3,2,5,,路肩,228,2-5路肩,HIGH,SHOULDER,P0_DIRECT_CORE,RULE-04,YES,A,路肩幅員は横断構成の主要要素。
T103,T102,4,2,5,1,路肩の機能・形式・分類等,231,2-5-1路肩機能形式分類等,HIGH,SHOULDER,P0_DIRECT_CORE,RULE-04,YES,A,
T104,T102,4,2,5,2,路肩の幅員,232,2-5-2路肩の幅員,HIGH,SHOULDER,P0_DIRECT_CORE,RULE-04,YES,A,
T105,T102,4,2,5,3,路肩の省略・縮小,238,2-5-3路肩省略縮小,HIGH,SHOULDER;EXCEPTION_RULE,P0_DIRECT_CORE,RULE-04;RULE-23,YES,A,
T106,T102,4,2,5,4,路肩の構造,238,2-5-4路肩の構造,HIGH,SHOULDER,P0_DIRECT_CORE,RULE-04,YES,A,
T107,T102,4,2,5,5,路肩の上の排水施設,238,2-5-5路肩上排水施設,MEDIUM,DRAINAGE;SHOULDER,P3_REFERENCE,RULE-04,NO,C,タイトルOCRは「路育上排水施設」。仮訳。
T108,T102,4,2,5,6,路肩の側帯,239,2-5-6路肩の侧带,HIGH,SHOULDER,P1_DIRECT_SUPPORT,RULE-04,YES,B,
T109,T102,4,2,5,7,保護路肩,240,2-5-7保護路肩,HIGH,SHOULDER,P1_DIRECT_SUPPORT,RULE-04,YES,B,
T110,T082,3,2,6,,停車帯,241,2-6停車带,HIGH,CROSS_SECTION,P2_FUTURE,RULE-03,NO,C,
T111,T110,4,2,6,1,停車帯の設置,241,2-6-1停車带の設置,HIGH,CROSS_SECTION,P2_FUTURE,RULE-03,NO,C,
T112,T110,4,2,6,2,停車帯の幅員・構造,243,2-6-2停車带の幅員，構造,HIGH,CROSS_SECTION,P2_FUTURE,RULE-03,NO,C,
T113,T110,4,2,6,3,停車帯の運用方法,245,2-6-3停車带の運用方法,HIGH,CROSS_SECTION,P2_FUTURE,RULE-03,NO,C,
T114,T082,3,2,7,,自転車通行帯・自転車道・自転車歩行者道・歩道,245,2-7自車通行带，自車道，自車步行者道书U步道,HIGH,BICYCLE;SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T115,T114,4,2,7,1,概説,245,2-7-1概,HIGH,BICYCLE;SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T116,T114,4,2,7,2,設置の考え方,248,2-7-2設置考方,HIGH,BICYCLE;SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T117,T114,4,2,7,3,幅員,256,2-7-3幅員,HIGH,BICYCLE;SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T118,T114,4,2,7,4,構造,263,2-7-4構造,HIGH,BICYCLE;SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T119,T114,4,2,7,5,歩行者滞留の用に供する部分,268,2-7-5步行者滞留用供部分,HIGH,SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T120,T114,4,2,7,6,道路交通法との関係,269,2-7-6道路交通法係,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T121,T114,4,2,7,7,歩行者利便増進道路の歩道等,270,2-7-7步行者利便增進道路の步道等,HIGH,SIDEWALK,P2_FUTURE,RULE-03,NO,C,
T122,T082,3,2,8,,積雪地域にある道路の中央帯等の幅員,272,2-8雪地域存道路の中央带等の幅員,HIGH,CROSS_SECTION,P2_FUTURE,RULE-22,NO,C,
T123,T122,4,2,8,1,概説,272,2-8-1概说,HIGH,CROSS_SECTION,P2_FUTURE,RULE-22,NO,C,
T124,T122,4,2,8,2,積雪地域の幅員構成,274,2-8-2积雪地域の幅員構成,HIGH,CROSS_SECTION,P2_FUTURE,RULE-22,NO,C,
T125,T082,3,2,9,,植樹帯,282,2-9植树带,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T126,T125,4,2,9,1,植樹帯の機能,282,2-9-1植树带の機能,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T127,T125,4,2,9,2,植樹帯の設置,283,2-9-2植樹带の設置,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T128,T125,4,2,9,3,植樹帯の幅員,285,2-9-3植樹带の幅員,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T129,T125,4,2,9,4,植樹帯の植栽,288,2-9-4植樹带の植栽,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T130,T082,3,2,10,,副道,289,2-10副道,HIGH,CROSS_SECTION,P2_FUTURE,RULE-03,NO,C,
T131,T130,4,2,10,1,概説,289,2-10-1概说,HIGH,CROSS_SECTION,P2_FUTURE,RULE-03,NO,C,
T132,T130,4,2,10,2,副道の設置,289,2-10-2副道の設置,HIGH,CROSS_SECTION,P2_FUTURE,RULE-03,NO,C,
T133,T130,4,2,10,3,副道の構造,291,2-10-3副道の構造,HIGH,CROSS_SECTION,P2_FUTURE,RULE-03,NO,C,
T134,T082,3,2,11,,環境施設帯,293,2-11璟境施設带,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T135,T134,4,2,11,1,概説,293,2-11-1概说,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T136,T134,4,2,11,2,環境施設帯の設置,293,2-11-2環境施設带の設置,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T137,T082,3,2,12,,軌道敷・路面電車停留場,297,2-12軌道敷O路面電車停留場,HIGH,STRUCTURAL_REQUIREMENT,P4_OUT_OF_SCOPE,NO,NO,C,路面電車軌道はLINER対象外。
T138,T137,4,2,12,1,概説,297,2-12-1概,HIGH,STRUCTURAL_REQUIREMENT,P4_OUT_OF_SCOPE,NO,NO,C,
T139,T137,4,2,12,2,軌道敷の設置,297,2-12-2軌道敷の設置,HIGH,STRUCTURAL_REQUIREMENT,P4_OUT_OF_SCOPE,NO,NO,C,
T140,T137,4,2,12,3,軌道敷の幅員,299,882-12-3軌道敷の幅員,HIGH,STRUCTURAL_REQUIREMENT,P4_OUT_OF_SCOPE,NO,NO,C,
T141,T137,4,2,12,4,軌道敷の構造,301,2-12-4轨道敷の構造,HIGH,STRUCTURAL_REQUIREMENT,P4_OUT_OF_SCOPE,NO,NO,C,
T142,T137,4,2,12,5,路面電車停留場,305,2-12-5路面電車停留場,HIGH,STRUCTURAL_REQUIREMENT,P4_OUT_OF_SCOPE,NO,NO,C,
T143,T082,3,2,13,,建築限界,308,2-13建限界,HIGH,CLEARANCE,P1_DIRECT_SUPPORT,RULE-16,YES,B,橋梁連携（桁下空間・建築限界照査）に重要。
T144,T143,4,2,13,1,車道部の建築限界,311,2-13-1車道部の建限界,HIGH,CLEARANCE,P1_DIRECT_SUPPORT,RULE-16,YES,B,
T145,T143,4,2,13,2,歩道・自転車道・自転車歩行者道の建築限界,313,2-13-2步道，自車道自車步行者道の建築限界,HIGH,CLEARANCE;SIDEWALK;BICYCLE,P1_DIRECT_SUPPORT,RULE-16,NO,B,
T146,T143,4,2,13,3,建築限界線の方向,314,2-13-3建限界線の方,HIGH,CLEARANCE,P1_DIRECT_SUPPORT,RULE-16,YES,B,
T147,T055,2,3,,,第3章 線形・視距,315,第3章線形視距,HIGH,HORIZONTAL_ALIGNMENT;LONGITUDINAL_GRADE;VERTICAL_CURVE;SIGHT_DISTANCE;SUPERELEVATION;WIDENING;CLOTHOID_OR_TRANSITION;CURVE_RADIUS;CROSS_SLOPE,P0_DIRECT_CORE,RULE-06;RULE-07;RULE-08;RULE-09;RULE-10;RULE-11;RULE-12;RULE-13;RULE-14;RULE-15,YES,A,LINERの線形計算エンジンに最も直結する章。平面線形・縦断線形・片勾配・拡幅・視距・緩和区間のすべて。
T148,T147,3,3,1,,概説,315,3-1概.,HIGH,HORIZONTAL_ALIGNMENT,P0_DIRECT_CORE,RULE-06,YES,A,
T149,T148,4,3,1,1,線形設計の原則事項,315,3-1-1線形設計の原则的事项,HIGH,HORIZONTAL_ALIGNMENT,P0_DIRECT_CORE,RULE-06,YES,A,
T150,T148,4,3,1,2,平面線形の設計,319,3-1-2平面線形の設計,HIGH,HORIZONTAL_ALIGNMENT,P0_DIRECT_CORE,RULE-06;RULE-10,YES,A,
T151,T148,4,3,1,3,縦断線形の設計,323,3-1-3断線形の設计,HIGH,LONGITUDINAL_GRADE;VERTICAL_CURVE,P0_DIRECT_CORE,RULE-12;RULE-13,YES,A,
T152,T148,4,3,1,4,平面線形と縦断線形の組合せ,326,3-1-4平面線形上断線形の組合,HIGH,HORIZONTAL_ALIGNMENT;LONGITUDINAL_GRADE,P0_DIRECT_CORE,RULE-06;RULE-12,YES,A,
