quantity_key,case_id,quantity_id,unit,absolute_tolerance,relative_tolerance,zero_threshold,comparison_rule,freeze_justification
AG-SS-CL|M1_MZ_I,AG-SS-CL,M1_MZ_I,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-CL|M1_MZ_J,AG-SS-CL,M1_MZ_J,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-CL|M2_MZ_I,AG-SS-CL,M2_MZ_I,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-CL|M2_MZ_J,AG-SS-CL,M2_MZ_J,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-CL|N1_FY,AG-SS-CL,N1_FY,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-CL|N2_UY,AG-SS-CL,N2_UY,m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-CL|N3_FY,AG-SS-CL,N3_FY,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-UDL|M1_MZ_I,AG-SS-UDL,M1_MZ_I,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-UDL|M1_MZ_J,AG-SS-UDL,M1_MZ_J,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-UDL|M2_MZ_I,AG-SS-UDL,M2_MZ_I,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-UDL|M2_MZ_J,AG-SS-UDL,M2_MZ_J,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-UDL|N1_FY,AG-SS-UDL,N1_FY,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-UDL|N2_UY,AG-SS-UDL,N2_UY,m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-SS-UDL|N3_FY,AG-SS-UDL,N3_FY,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-TORSION|N1_MX,AG-TORSION,N1_MX,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-TORSION|N2_RX,AG-TORSION,N2_RX,rad,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 rad absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
