case_id,quantity_id,formula_expression,input_parameters,expected_fraction,expected_value,unit,sign_convention,model_assumptions,derivation_checksum
AG-SS-CL,M1_MZ_I,0,{},0/1,0,kN_m,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,7a45e5a62dc202b2959899d0e272099361045352bc8484490fc4a7c315947291
AG-SS-CL,M1_MZ_J,P*L/4,"{""L"": ""4/1"", ""P"": ""10/1""}",10/1,10,kN_m,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,c5d6868b104b5d0b21707f95d379886551640803caba5f1b31eb813a02be5cac
AG-SS-CL,M2_MZ_I,P*L/4,"{""L"": ""4/1"", ""P"": ""10/1""}",10/1,10,kN_m,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,af5174691060001fa076f9d85f287ab3b8270267880616f40646b7e3f359d197
AG-SS-CL,M2_MZ_J,0,{},0/1,0,kN_m,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,bbc1f400ab7be75b1913e5109fdf5adc74a13bb590fe143e8b789c80d9bdd3cd
AG-SS-CL,N1_FY,P/2,"{""P"": ""10/1""}",5/1,5,kN,Positive load acts in +Y; downward load is -P; reactions positive upward,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,fbe628abf8cb47bc56f0b285b281566d9ce6af9737c4bd300b685dcaeccbabfe
AG-SS-CL,N2_UY,-P*L^3/(48*E*I),"{""E"": ""205000000/1"", ""I"": ""1/10000"", ""L"": ""4/1"", ""P"": ""10/1""}",-2/3075,-0.00065040650406504065040650406504065040650406504065041,m,Positive load acts in +Y; downward load is -P; reactions positive upward,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,a4a4e76012873f5014c6eea0e51a7ba16d6a1af3f2f5b2de1ed8cea53885e33d
AG-SS-CL,N3_FY,P/2,"{""P"": ""10/1""}",5/1,5,kN,Positive load acts in +Y; downward load is -P; reactions positive upward,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,18897c4b57599d497621dd83fb709004b92203b536f719092ac3536fa269be62
AG-SS-UDL,M1_MZ_I,0,{},0/1,0,kN_m,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,9a98dd47453d84951dc795d1b109033b597fee6f6b4f03d85017f1647d37349e
AG-SS-UDL,M1_MZ_J,w*L^2/8,"{""L"": ""4/1"", ""w"": ""2/1""}",4/1,4,kN_m,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,5bbb7d6d8629f7dd921815db858c06f44cf8c92246c1647ec1de0d02a1290024
AG-SS-UDL,M2_MZ_I,w*L^2/8,"{""L"": ""4/1"", ""w"": ""2/1""}",4/1,4,kN_m,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,400da5198b9b49edc42c5f364a43f536c19b26abb074cea5db438a257858363e
AG-SS-UDL,M2_MZ_J,0,{},0/1,0,kN_m,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,1c974e4ce1d1646d16379f8339e35a4649896d00f9ee33988e52dd6a00a0a7ad
AG-SS-UDL,N1_FY,w*L/2,"{""L"": ""4/1"", ""w"": ""2/1""}",4/1,4,kN,Positive distributed load in +Y; applied load is -w; reactions positive upward,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,a9eb1b0d098fd32ecc15982190eb03f200d76b36f513b9a6cd310305b07273d8
AG-SS-UDL,N2_UY,-5*w*L^4/(384*E*I),"{""E"": ""205000000/1"", ""I"": ""1/10000"", ""L"": ""4/1"", ""w"": ""2/1""}",-1/3075,-0.0003252032520325203252032520325203252032520325203252,m,Positive distributed load in +Y; applied load is -w; reactions positive upward,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,666f80eaf12a16cc8f9177c957b7a5858fd9528c63fe29104023f1510fc09c6b
AG-SS-UDL,N3_FY,w*L/2,"{""L"": ""4/1"", ""w"": ""2/1""}",4/1,4,kN,Positive distributed load in +Y; applied load is -w; reactions positive upward,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,b2ce6e2d3222aa287d6b429465ccdc1ae28d2d63e211fa5bf1be1d654baf7c50
AG-TORSION,N1_MX,-T,"{""T"": ""5/1""}",-5/1,-5,kN_m,Positive torque about +X; fixed-end reaction torque opposes applied end torque,Saint-Venant prismatic section with J explicitly the torsion constant; warping effects excluded; theory idealization is the defined model (no separate physical-model error budget).,33dc5b9a96a7bdb951e9ebb79a027317f834ec6ecbff74d09ea13bb38aa8386a
AG-TORSION,N2_RX,T*L/(G*J),"{""G"": ""1025000000/13"", ""J"": ""1/20000"", ""L"": ""4/1"", ""T"": ""5/1""}",26/5125,0.0050731707317073170731707317073170731707317073170732,rad,Positive torque about +X; fixed-end reaction torque opposes applied end torque,Saint-Venant prismatic section with J explicitly the torsion constant; warping effects excluded; theory idealization is the defined model (no separate physical-model error budget).,3662140f1ca9e34b0eebb494dd9a03b21c817b3fb9ac8cbfc57f89272eca8c0b
