asset_id,title,document_type,road_relation,bridge_relation,liner_relation,spacer_relation,apollo_relation,rule_engine_relation,priority,confidence,reason
DOC-X0-0016,10_existing_source_inventory.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0017,11_missing_source_register.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0018,12_user_search_guide.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0019,13_scope_progression_by_source_availability.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0020,14_phase0_handoff.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0021,README.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0022,completion_report.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0023,README.md,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0024,evidence_register.csv,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0025,final_report.txt,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0026,integration-preflight-report.md,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0027,open_questions.md,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0028,r1-p00_final_report.txt,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0029,r1-p01_final_report.txt,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0030,r1-p02_final_report.txt,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0031,source_manifest.csv,RESEARCH_OUTPUT,FUTURE,FUTURE,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0032,サンプル_LINER計算書_高架橋（入力結果・出力結果）,SAMPLE_DATA,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0033,鋼鈑桁橋_図面例,BRIDGE_DRAWING,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,DIRECT,P1,HIGH,設計領域を補完・検証に使用
DOC-X0-0034,鋼鈑桁橋_設計計算例,BRIDGE_CALCULATION,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,DIRECT,P1,HIGH,設計領域を補完・検証に使用
DOC-X0-0035,JIP-LINER マニュアル,SOFTWARE_MANUAL,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0036,サンプル_LINER計算書_高架橋（入力結果・出力結果）,SAMPLE_DATA,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0037,level2-type2（レベル2地震動設計データ）.csv,SOFTWARE_DATA,NONE,SUPPORTING,SUPPORTING,SUPPORTING,SUPPORTING,FUTURE,P1,HIGH,関与なし
DOC-X0-0038,level2-type2（レベル2地震動設計データ）.xls,SOFTWARE_DATA,NONE,SUPPORTING,SUPPORTING,SUPPORTING,SUPPORTING,FUTURE,P1,HIGH,関与なし
DOC-X0-0039,JIP-LINER マニュアル,SOFTWARE_MANUAL,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0040,SPACER 操作マニュアル,SOFTWARE_MANUAL,SUPPORTING,SUPPORTING,SUPPORTING,DIRECT,NONE,FUTURE,P1,HIGH,設計領域を補完・検証に使用
DOC-X0-0041,サンプル_LINER計算書_高架橋（入力結果・出力結果）,SAMPLE_DATA,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0042,BODY_RESEARCH_PRIORITY,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0043,FINAL_REPORT,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0044,NEXT_PHASE_PLAN,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0045,README,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0046,ROAD_PROJECT_MAPPING,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0047,RULE_ENGINE_CANDIDATES.csv,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0048,SOFTWARE_RELEVANCE_MATRIX.csv,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0049,SOURCE_INFO,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0050,TOC_INDEX.csv,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0051,TOC_NORMALIZED,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0052,TOC_RAW.txt,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0053,TOC_TREE,RESEARCH_OUTPUT,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P1,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0054,level2-type2（レベル2地震動設計データ）.csv,SOFTWARE_DATA,NONE,SUPPORTING,SUPPORTING,SUPPORTING,SUPPORTING,FUTURE,P1,HIGH,関与なし
DOC-X0-0055,level2-type2（レベル2地震動設計データ）.xls,SOFTWARE_DATA,NONE,SUPPORTING,SUPPORTING,SUPPORTING,SUPPORTING,FUTURE,P1,HIGH,関与なし
DOC-X0-0056,JIP-LINER マニュアル,SOFTWARE_MANUAL,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0057,SPACER 操作マニュアル,SOFTWARE_MANUAL,SUPPORTING,SUPPORTING,SUPPORTING,DIRECT,NONE,FUTURE,P1,HIGH,設計領域を補完・検証に使用
DOC-X0-0058,サンプル_LINER計算書_高架橋（入力結果・出力結果）,SAMPLE_DATA,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0059,level2-type2（レベル2地震動設計データ）.xls,SOFTWARE_DATA,NONE,SUPPORTING,SUPPORTING,SUPPORTING,SUPPORTING,FUTURE,P1,HIGH,関与なし
DOC-X0-0060,デザインデータブック（2021）,REFERENCE,NONE,SUPPORTING,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,P2,HIGH,関与なし
DOC-X0-0061,合成桁の設計例と解説,GUIDELINE,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P1,HIGH,関与なし
DOC-X0-0062,鋼橋構造詳細の手引き,GUIDELINE,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P1,HIGH,関与なし
DOC-X0-0063,道路橋支承便覧,GUIDELINE,NONE,DIRECT,REFERENCE_ONLY,REFERENCE_ONLY,SUPPORTING,FUTURE,P1,HIGH,関与なし
DOC-X0-0064,鋼道路橋設計便覧,GUIDELINE,NONE,DIRECT,REFERENCE_ONLY,REFERENCE_ONLY,DIRECT,DIRECT,P1,HIGH,関与なし
DOC-X0-0065,細幅箱桁橋の設計例と解説（道示H29対応）,GUIDELINE,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P1,HIGH,関与なし
DOC-X0-0066,道路橋示方書・同解説 Ⅰ 共通編,STANDARD,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0067,道路橋示方書・同解説 Ⅱ 鋼部材・鋼上部構造編,STANDARD,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0068,道路橋示方書・同解説 Ⅲ コンクリート部材・コンクリート上部構造編,STANDARD,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0069,道路橋示方書・同解説 Ⅳ 下部構造編,STANDARD,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0070,道路橋示方書・同解説 Ⅴ 上下部接続部編,STANDARD,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0071,APOLLO マニュアル Grider_I_00,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0072,APOLLO マニュアル Grider_I_01,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0073,APOLLO マニュアル Grider_I_02,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0074,APOLLO マニュアル Grider_I_03,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0075,APOLLO マニュアル Grider_I_04,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0076,APOLLO マニュアル Grider_I_05,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0077,APOLLO マニュアル Grider_I_06,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0078,APOLLO マニュアル Grider_I_07,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0079,APOLLO マニュアル Grider_I_08,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0080,APOLLO マニュアル Grider_I_09,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0081,APOLLO マニュアル Grider_I_10,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0082,APOLLO マニュアル Grider_I_11,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0083,APOLLO マニュアル Grider_I_12,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0084,APOLLO マニュアル Grider_I_13,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0085,APOLLO マニュアル CompGrd_I_00,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0086,APOLLO マニュアル CompGrd_I_01,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0087,APOLLO マニュアル CompGrd_I_02,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0088,APOLLO マニュアル CompGrd_I_03,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0089,APOLLO マニュアル CompGrd_I_04,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0090,APOLLO マニュアル CompGrd_I_05,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0091,APOLLO ユーザーズマニュアル SuperDesigner（鋼橋の自動設計製図システム）,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P0,HIGH,関与なし
DOC-X0-0092,APOLLO マニュアル Girder_Box_00,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0093,APOLLO マニュアル Girder_Box_01,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0094,APOLLO マニュアル Girder_Box_02,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0095,APOLLO マニュアル Girder_Box_03,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0096,APOLLO マニュアル Girder_Box_04,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0097,APOLLO マニュアル Girder_Box_05,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0098,APOLLO マニュアル Girder_Box_06,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0099,APOLLO マニュアル Girder_Box_07,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0100,APOLLO マニュアル Girder_Box_08,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0101,APOLLO マニュアル Girder_Box_09,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0102,APOLLO マニュアル Girder_Box_10,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0103,APOLLO マニュアル Girder_Box_11,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0104,APOLLO マニュアル Girder_Box_12,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0105,APOLLO マニュアル Girder_Box_13,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0106,APOLLO マニュアル Girder_Box_14,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0107,APOLLO マニュアル Girder_Box_15,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0108,APOLLO マニュアル Girder_Box_16,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0109,APOLLO マニュアル CompGrd_Box_01,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0110,APOLLO マニュアル CompGrd_OpenBox_01,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0111,APOLLO マニュアル StDeck_I_00,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0112,APOLLO マニュアル StDeck_I_01,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0113,APOLLO マニュアル StDeck_I_02,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0114,APOLLO マニュアル StDeck_I_03,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0115,APOLLO マニュアル StDeck_I_04,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0116,APOLLO マニュアル StDeck_I_05,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0117,APOLLO マニュアル StDeck_I_06,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0118,APOLLO マニュアル StDeck_I_07,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0119,APOLLO マニュアル StDeck_I_08,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0120,APOLLO マニュアル StDeck_I_09,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0121,APOLLO マニュアル StDeck_I_10,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0122,APOLLO マニュアル StDeck_Box_00,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0123,APOLLO マニュアル StDeck_Box_01,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0124,APOLLO マニュアル StDeck_Box_02,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0125,APOLLO マニュアル StDeck_Box_03,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0126,APOLLO マニュアル StDeck_Box_04,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0127,APOLLO マニュアル StDeck_Box_05,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0128,APOLLO マニュアル StDeck_Box_06,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0129,APOLLO マニュアル StDeck_Box_07,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0130,APOLLO マニュアル マニュアル(ＰＣ床版の設計),SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0131,APOLLO マニュアル マニュアル(断面計算),SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0132,APOLLO マニュアル マニュアル(鋼橋の断面計算),SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0133,APOLLO マニュアル マニュアル(添接計算),SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0134,APOLLO マニュアル マニュアル(鋼床版の設計),SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0135,APOLLO マニュアル 鋼床版の解析方法概要と解析結果の比較,SOFTWARE_MANUAL,NONE,DIRECT,SUPPORTING,SUPPORTING,DIRECT,DIRECT,P2,HIGH,関与なし
DOC-X0-0136,JIP-LINER マニュアル,SOFTWARE_MANUAL,SUPPORTING,DIRECT,DIRECT,SUPPORTING,SUPPORTING,SUPPORTING,P0,HIGH,設計領域を補完・検証に使用
DOC-X0-0137,SPACER 操作マニュアル,SOFTWARE_MANUAL,SUPPORTING,SUPPORTING,SUPPORTING,DIRECT,NONE,FUTURE,P1,HIGH,設計領域を補完・検証に使用
DOC-X0-0138,README.md,RESEARCH_OUTPUT,FUTURE,DIRECT,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0139,coordinate_system.md,RESEARCH_OUTPUT,FUTURE,DIRECT,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0140,data_model.md,RESEARCH_OUTPUT,FUTURE,DIRECT,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0141,final_report.txt,RESEARCH_OUTPUT,FUTURE,DIRECT,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0142,integration_closeout_report.md,RESEARCH_OUTPUT,FUTURE,DIRECT,SUPPORTING,DIRECT,SUPPORTING,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0143,サンプル_道路線形計算例,ROAD_ALIGNMENT_CALCULATION,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P0,HIGH,設計領域の正本または実案件そのもの
DOC-X0-0144,サンプル_道路設計図,ROAD_DRAWING,DIRECT,SUPPORTING,DIRECT,NONE,NONE,DIRECT,P0,HIGH,設計領域の正本または実案件そのもの
