value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,source_locator,confidence,verification_status
CH2-VAL-026,19,14,CH2,CAL-SEC-2.1,底鋼板板厚,8,mm,8,mm,steel_plate_thickness,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-027,19,14,CH2,CAL-SEC-2.1,横リブ間隔,625,mm,625,mm,rib_spacing,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-028,19,14,CH2,CAL-SEC-2.1,横リブ高さ,100,mm,100,mm,rib_height,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-029,19,14,CH2,CAL-SEC-2.1,横リブ板厚,12,mm,12,mm,rib_thickness,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-030,19,14,CH2,CAL-SEC-2.1,スタッドサイズ,φ16×160,mm,φ16×160,mm,stud_size,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-031,19,14,CH2,CAL-SEC-2.1,スタッド主鉄筋方向ピッチ,250,mm,250,mm,stud_pitch,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-032,19,14,CH2,CAL-SEC-2.1,スタッド配力筋方向ピッチ,208,mm,208,mm,stud_pitch,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-033,19,14,CH2,CAL-SEC-2.1,使用形鋼,"L75×75×9",,L75×75×9,,angle_shape,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-034,20,15,CH2,CAL-SEC-2.1,主鉄筋(一般部),D19@100,,D19@100,,rebar_spec,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-035,20,15,CH2,CAL-SEC-2.1,配力筋(一般部),D19@250,,D19@250,,rebar_spec,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-036,20,15,CH2,CAL-SEC-2.1,ハンチ筋,D22@300,,D22@300,,rebar_spec,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-037,20,15,CH2,CAL-SEC-2.1,配力筋(中間支点部),D22@125,,D22@125,,rebar_spec,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-038,19,14,CH2,CAL-SEC-2.1,合成床版算出式,hc=25×L+110=223mm,,hc=25×L+110=223mm,,formula,CH2-TBL-003,chapter_02/values.csv,HIGH,UNVERIFIED
