crosswalk_id,feature_id,traceability_id,handoff_id,external_requirement_id,external_research_id,stage5c_requirement_id,validation_rule_id,backlog_id,phase_class,topic,apollo_manual_id,apollo_pdf_page,external_source_document_id,external_source_page,evidence_image_path,stage5a_class,external_result_status,acceptance_status,ready_status,design_freeze_status,historical_or_target,source_edition,conflict_status,return_reason,open_reason,jis_gap_reason,unknown_reason,grok_review_status,notes
XWL-HOFF-H5A-0012,F4-P1-012,T5A-0017|T5A-0018,H5A-0012,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0012,Phase1_required,bridge_basic_conditions:適用規模_主桁本数,MAN-021,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0013,F4-P1-013,T5A-0019|T5A-0020,H5A-0013,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0013,Phase1_required,bridge_basic_conditions:適用規模_主桁本数_鋼床版,MAN-021,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0014,F4-P1-013,T5A-0019|T5A-0020,H5A-0014,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0014,Phase1_required,bridge_basic_conditions:適用規模_主桁本数_鋼床版,MAN-021,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0015,F4-P1-014,T5A-0021|T5A-0022,H5A-0015,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0015,Phase1_required,bridge_basic_conditions:適用規模_横断線数,MAN-021,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0016,F4-P1-014,T5A-0021|T5A-0022,H5A-0016,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0016,Phase1_required,bridge_basic_conditions:適用規模_横断線数,MAN-021,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0017,F4-P1-015,T5A-0023|T5A-0024,H5A-0017,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0017,Phase1_optional,bridge_basic_conditions:適用規模_格点数_RC鈑桁,MAN-021,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0018,F4-P1-015,T5A-0023|T5A-0024,H5A-0018,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0018,Phase1_optional,bridge_basic_conditions:適用規模_格点数_RC鈑桁,MAN-021,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0019,F4-P1-020,T5A-0029|T5A-0030,H5A-0019,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0019,Phase1_optional,bridge_basic_conditions:単位系ヘルプ記載,MAN-021,27,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0020,F4-P1-020,T5A-0029|T5A-0030,H5A-0020,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0020,Phase1_optional,bridge_basic_conditions:単位系ヘルプ記載,MAN-021,27,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0021,F4-P1-044,T5A-0054|T5A-0055,H5A-0021,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0021,Phase1_required,bridge_basic_conditions:適用規模_主桁本数,MAN-003,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0022,F4-P1-044,T5A-0054|T5A-0055,H5A-0022,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0022,Phase1_required,bridge_basic_conditions:適用規模_主桁本数,MAN-003,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0023,F4-P1-045,T5A-0056|T5A-0057,H5A-0023,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0023,Phase1_required,bridge_basic_conditions:適用規模_横断線数,MAN-003,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0024,F4-P1-045,T5A-0056|T5A-0057,H5A-0024,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0024,Phase1_required,bridge_basic_conditions:適用規模_横断線数,MAN-003,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0025,F4-P1-047,T5A-0059|T5A-0060,H5A-0025,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0025,Phase1_required,bearing:支承条件データ,MAN-005,12,,,,PROJECT_DECISION|STANDARD_TRACEABILITY_REQUIRED,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0026,F4-P1-048,T5A-0061|T5A-0062,H5A-0026,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0026,Phase1_required,bearing:支承条件データ,MAN-005,20,,,,PROJECT_DECISION|STANDARD_TRACEABILITY_REQUIRED,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0027,F4-P1-049,T5A-0063|T5A-0064,H5A-0027,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0027,Phase1_required,bearing:支承線作成,MAN-003,13,,,,PROJECT_DECISION|STANDARD_TRACEABILITY_REQUIRED,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0028,F4-P1-050,T5A-0065|T5A-0066,H5A-0028,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0028,Phase1_required,bearing:支承線作成,MAN-003,13,,,,PROJECT_DECISION|STANDARD_TRACEABILITY_REQUIRED,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0031,F4-P1-052,T5A-0069|T5A-0070,H5A-0031,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:使用材料データ,MAN-005,7,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0032,F4-P1-052,T5A-0069|T5A-0070,H5A-0032,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:使用材料データ,MAN-005,7,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0033,F4-P1-053,T5A-0071|T5A-0072,H5A-0033,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:許容応力度データ,MAN-005,8,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0034,F4-P1-053,T5A-0071|T5A-0072,H5A-0034,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:許容応力度データ,MAN-005,8,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0035,F4-P1-054,T5A-0073|T5A-0074,H5A-0035,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_optional,standard_section:主桁全体データ,MAN-005,22,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0036,F4-P1-054,T5A-0073|T5A-0074,H5A-0036,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_optional,standard_section:主桁全体データ,MAN-005,22,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0037,F4-P1-055,T5A-0075|T5A-0076,H5A-0037,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:主桁桁高データ,MAN-005,23,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0038,F4-P1-055,T5A-0075|T5A-0076,H5A-0038,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:主桁桁高データ,MAN-005,23,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0039,F4-P1-056,T5A-0077|T5A-0078,H5A-0039,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:主桁桁高データ,MAN-005,23,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0040,F4-P1-056,T5A-0077|T5A-0078,H5A-0040,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:主桁桁高データ,MAN-005,23,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0041,F4-P1-057,T5A-0079|T5A-0080,H5A-0041,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:主桁断面データ,MAN-005,25,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0042,F4-P1-057,T5A-0079|T5A-0080,H5A-0042,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:主桁断面データ,MAN-005,25,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0043,F4-P1-058,T5A-0081|T5A-0082,H5A-0043,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:主桁断面データ,MAN-005,25,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0044,F4-P1-058,T5A-0081|T5A-0082,H5A-0044,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:主桁断面データ,MAN-005,25,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0045,F4-P1-059,T5A-0083|T5A-0084,H5A-0045,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:補剛材データ,MAN-005,26,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0046,F4-P1-059,T5A-0083|T5A-0084,H5A-0046,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,standard_section:補剛材データ,MAN-005,26,,,,DESIGN_PRACTICE_TRACEABILITY_REQUIRED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
