gap_id,feature_id,requirement_id,topic,required_jis_family,required_product_or_material,known_reference,missing_primary_source,reason_source_is_required,design_freeze_blocking,interim_treatment,owner,priority,notes
JIS-011,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-012,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-013,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-014,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-015,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-016,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-017,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-018,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-019,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-020,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-021,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-022,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-023,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-024,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-025,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-026,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-027,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-028,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-029,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-030,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-031,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-032,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-033,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-034,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
