sheet_number,pdf_page,drawing_group,element_type,element_id,raw_text,view_ref
54,56,intermediate_cross_beam,note,SCALE,"S=1:30",
55,57,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その7) S=1:30",
55,57,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
55,57,intermediate_cross_beam,note,SCALE,"S=1:30",
56,58,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その8) S=1:30",
56,58,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
56,58,intermediate_cross_beam,note,SCALE,"S=1:30",
57,59,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その9) S=1:30",
57,59,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
57,59,intermediate_cross_beam,note,SCALE,"S=1:30",
58,60,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その10) S=1:30",
58,60,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
58,60,intermediate_cross_beam,note,SCALE,"S=1:30",
59,61,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その11) S=1:30",
59,61,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
59,61,intermediate_cross_beam,note,SCALE,"S=1:30",
60,62,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その12) S=1:30",
60,62,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
60,62,intermediate_cross_beam,note,SCALE,"S=1:30",
61,63,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その1) S=1:30",
61,63,lateral_bracing,view,SIDE,"横構側面図 S=1:10",
61,63,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
61,63,lateral_bracing,detail,CONNECTION_DETAIL,"連結板詳細図",
61,63,lateral_bracing,detail,BRACE_PITCH,"横構ボルトピッチ S=1:10",
61,63,lateral_bracing,detail,BRACE_INSTALL,"横構取付概要図",
61,63,lateral_bracing,note,SCALE,"S=1:30",
61,63,lateral_bracing,dimension,GUSSET_PL,"1-GUSS PL 640x22x940(SM490YB) / 1-GUSS PL 641x22x1200(SM490YB)",
61,63,lateral_bracing,dimension,GUSSET_LARGE,"1-GUSS PL 570x22x1730(SM490YB) / 1-GUSS PL 1270x22x1220(SM490YB)",
62,64,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その2) S=1:30",
62,64,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
62,64,lateral_bracing,note,SCALE,"S=1:30",
62,64,lateral_bracing,dimension,GUSSET_PL,"1-GUSS PL 491x12x980 / 1-GUSS PL 491x12x920 / 1-GUSS PL 541x12x1030",
63,65,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その3) S=1:30",
63,65,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
63,65,lateral_bracing,note,SCALE,"S=1:30",
63,65,lateral_bracing,dimension,GUSSET_PL,"1-GUSS PL xx",
64,66,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その4) S=1:30",
64,66,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
64,66,lateral_bracing,note,SCALE,"S=1:30",
65,67,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その5) S=1:30",
65,67,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
65,67,lateral_bracing,note,SCALE,"S=1:30",
66,68,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その6) S=1:30",
66,68,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
66,68,lateral_bracing,note,SCALE,"S=1:30",
67,69,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その7) S=1:30",
67,69,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
67,69,lateral_bracing,note,SCALE,"S=1:30",
68,70,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その8) S=1:30",
68,70,lateral_bracing,view,SIDE,"横構側面図 S=1:10",
68,70,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
68,70,lateral_bracing,detail,WEB_SPLICE,"WEB継手",
68,70,lateral_bracing,note,SCALE,"S=1:30",
68,70,lateral_bracing,dimension,GUSSET_PL,"1-GUSS PL 690x22x1040(SM490YB) / 1-GUSS PL 741x22x1510(SM490YB)",
69,71,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その9) S=1:30",
69,71,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
69,71,lateral_bracing,note,SCALE,"S=1:30",
70,72,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その10) S=1:30",
70,72,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
70,72,lateral_bracing,note,SCALE,"S=1:30",
71,73,lateral_bracing,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 上下横構(その11) S=1:30",
71,73,lateral_bracing,detail,KL_DETAIL,"K.L.詳細図",
71,73,lateral_bracing,note,SCALE,"S=1:30",
72,74,wrapping_concrete,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その1) S=1:30",
72,74,wrapping_concrete,section,A-A,"A-A section 4512",
72,74,wrapping_concrete,section,C-C,"C-C section",
72,74,wrapping_concrete,section,D-D,"D-D section",
72,74,wrapping_concrete,section,G-G,"G-G section 3152",
72,74,wrapping_concrete,note,SCALE,"S=1:30",
72,74,wrapping_concrete,rebar,H5,"H5 D25",
72,74,wrapping_concrete,rebar,H7,"H7 D25",
72,74,wrapping_concrete,rebar,H9,"H9 D25",
72,74,wrapping_concrete,rebar,H11,"H11 D25",
72,74,wrapping_concrete,rebar,K1,"K1 D19",
72,74,wrapping_concrete,rebar,K6,"K6 D19",
72,74,wrapping_concrete,rebar,K7,"K7 D19",
72,74,wrapping_concrete,rebar,K3,"K3 D19",
73,75,wrapping_concrete,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その2) S=1:30",
73,75,wrapping_concrete,section,H-H,"H-H section 1650",
73,75,wrapping_concrete,section,I-I,"I-I section 1650",
73,75,wrapping_concrete,section,J-J,"J-J section 1650",
73,75,wrapping_concrete,section,K-K,"K-K section 1650",
73,75,wrapping_concrete,section,L-L,"L-L section 1650",
73,75,wrapping_concrete,note,SCALE,"S=1:30",
73,75,wrapping_concrete,rebar,H6,"H6 D25",
73,75,wrapping_concrete,rebar,K1,"K1 D19",
74,76,wrapping_concrete,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その3) S=1:30",
74,76,wrapping_concrete,section,A-A,"A-A section 4500",
74,76,wrapping_concrete,section,E-E,"E-E section 2500",
74,76,wrapping_concrete,detail,DETAIL_a,"a部詳細 S=1:10",
74,76,wrapping_concrete,note,SCALE,"S=1:30",
74,76,wrapping_concrete,rebar,H5,"H5 D25",
74,76,wrapping_concrete,rebar,H6,"H6 D25",
74,76,wrapping_concrete,rebar,H8,"H8 D25",
74,76,wrapping_concrete,rebar,H11,"H11 D25",
74,76,wrapping_concrete,rebar,K1,"K1 D19",
74,76,wrapping_concrete,rebar,K2,"K2 D19",
74,76,wrapping_concrete,rebar,K4,"K4 D19",
74,76,wrapping_concrete,rebar,K5,"K5 D19",
75,77,wrapping_concrete,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その4) S=1:30",
75,77,wrapping_concrete,section,F-F,"F-F section",
75,77,wrapping_concrete,note,SCALE,"S=1:30",
76,78,wrapping_concrete,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その5) S=1:30",
76,78,wrapping_concrete,note,SCALE,"S=1:30",
77,79,wrapping_concrete,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その6) S=1:30",
77,79,wrapping_concrete,note,SCALE,"S=1:30",
78,80,wrapping_concrete,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その7) S=1:30",
78,80,wrapping_concrete,note,SCALE,"S=1:30",
79,81,wrapping_concrete,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリート(その8) S=1:30",
79,81,wrapping_concrete,note,SCALE,"S=1:30",
80,82,wrapping_concrete_stud,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリートスタッド図(その1) S=1:30",
80,82,wrapping_concrete_stud,section,E-E,"E-E section 4512",
80,82,wrapping_concrete_stud,note,SCALE,"S=1:30",
80,82,wrapping_concrete_stud,dimension,OVERALL_L,"4512",
81,83,wrapping_concrete_stud,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリートスタッド図(その2) S=1:30",
81,83,wrapping_concrete_stud,section,D-D,"D-D section",
81,83,wrapping_concrete_stud,note,SCALE,"S=1:30",
82,84,wrapping_concrete_stud,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリートスタッド図(その3) S=1:30",
82,84,wrapping_concrete_stud,section,D-D,"D-D section",
82,84,wrapping_concrete_stud,section,E-E,"E-E section 2000",
82,84,wrapping_concrete_stud,note,SCALE,"S=1:30",
83,85,wrapping_concrete_stud,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 巻き立てコンクリートスタッド図(その4) S=1:30",
83,85,wrapping_concrete_stud,note,SCALE,"S=1:30",
84,86,composite_deck_layout,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 合成床版割付図",
84,86,composite_deck_layout,note,SCALE,"S=1:30",
85,87,bearing_detail,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 支承詳細図(その1) S=1:15",
85,87,bearing_detail,note,DESIGN_CONDITIONS,"設 計 条 件",
85,87,bearing_detail,note,BEARING_TYPE,"1 鉛プラグ入り積層ゴム支承 NR+SM490A+SS400+Pb",
85,87,bearing_detail,note,BEARING_TYPE2,"2 ベースプレート SM490A",
85,87,bearing_detail,detail,LAMINATED_DETAIL,"積層詳細図 S=1:5",
85,87,bearing_detail,dimension,BEARING_LONG,"750/690（橋軸方向/橋軸直角方向）",
85,87,bearing_detail,dimension,BOLT_PATTERN,"4-M45 / 24-M36 / 8-M72",
85,87,bearing_detail,section,LONG_SECTION,"橋軸方向 section",
85,87,bearing_detail,section,TRANS_SECTION,"橋軸直角方向 section",
85,87,bearing_detail,reaction,RMAX,"Rmax=2000kN",
85,87,bearing_detail,reaction,RMAX2,"Rmax2=1790kN",
85,87,bearing_detail,reaction,RD,"Rd=1230kN",
85,87,bearing_detail,reaction,RL,"Rl=390kN",
85,87,bearing_detail,reaction,RHEQ1,"Rheq1=1354kN",
85,87,bearing_detail,reaction,RHEQ2,"Rheq2=2290kN",
85,87,bearing_detail,reaction,RU,"Ru=1486kN",
85,87,bearing_detail,displacement,DCL,"δcl=0.58mm",
85,87,bearing_detail,displacement,DR,"δr=1.63mm",
85,87,bearing_detail,displacement,DL1,"ΔL1=49.4mm",
85,87,bearing_detail,disposition,DLE1,"ΔLe1=399mm",
86,88,bearing_detail,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 支承詳細図(その2) S=1:15",
86,88,bearing_detail,note,DESIGN_CONDITIONS,"設 計 条 件 PR1・PR2",
86,88,bearing_detail,note,BEARING_TYPE,"1 鉛プラグ入り積層ゴム支承 NR+SM490A+SS400+Pb",
86,88,bearing_detail,detail,LAMINATED_DETAIL,"積層詳細図 S=1:5",
86,88,bearing_detail,dimension,BEARING_LONG,"1050（橋軸方向/橋軸直角方向）",
86,88,bearing_detail,dimension,BOLT_PATTERN,"8-M45 / 24-M48 / 8-M90",
86,88,bearing_detail,section,LONG_SECTION,"橋軸方向 section",
86,88,bearing_detail,section,TRANS_SECTION,"橋軸直角方向 section",
86,88,bearing_detail,reaction,RMAX,"Rmax=4730kN",
86,88,bearing_detail,reaction,RMAX2,"Rmax2=4160kN",
86,88,bearing_detail,reaction,RD,"Rd=3350kN",
86,88,bearing_detail,reaction,RHEQ1,"Rheq1=3391kN",
86,88,bearing_detail,reaction,RHEQ2,"Rheq2=3997kN",
86,88,bearing_detail,reaction,RU,"Ru=1656kN",
86,88,bearing_detail,displacement,DR,"δr=1.74mm",
86,88,bearing_detail,displacement,DL1,"ΔL1=15.7mm",
86,88,bearing_detail,displacement,DLE1,"ΔLe1=346mm",
87,89,bearing_detail,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 支承詳細図(その3) S=1:15",
87,89,bearing_detail,note,DESIGN_CONDITIONS,"設 計 条 件 PU15・AR2",
87,89,bearing_detail,note,BEARING_TYPE,"1 鉛プラグ入り積層ゴム支承 NR+SM490A+SS400+Pb",
87,89,bearing_detail,note,BEARING_TYPE2,"2 ソールプレート SM490A＋SS400",
87,89,bearing_detail,detail,LAMINATED_DETAIL,"積層詳細図 S=1:5",
87,89,bearing_detail,dimension,BEARING_LONG,"990",
87,89,bearing_detail,dimension,BOLT_PATTERN,"8-M39",
87,89,bearing_detail,section,LONG_SECTION,"橋軸方向 section",
87,89,bearing_detail,section,TRANS_SECTION,"橋軸直角方向 section",
87,89,bearing_detail,rebar,ANCHOR_BAR,"8-D41",
87,89,bearing_detail,displacement,DL1,"ΔL1=49.4mm",
87,89,bearing_detail,displacement,DLE1,"ΔLe1=399mm",
88,90,bearing_detail,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 支承詳細図(その4) S=1:15",
88,90,bearing_detail,note,DESIGN_CONDITIONS,"設 計 条 件 PR1・PR2",
88,90,bearing_detail,note,BEARING_TYPE,"1 鉛プラグ入り積層ゴム支承 NR+SM490A+SS400+Pb",
88,90,bearing_detail,note,BEARING_TYPE2,"2 ソールプレート SM490A＋SS400",
88,90,bearing_detail,detail,LAMINATED_DETAIL,"積層詳細図 S=1:5",
88,90,bearing_detail,dimension,BEARING_LONG,"1340",
88,90,bearing_detail,dimension,BOLT_PATTERN,"20-M39",
88,90,bearing_detail,section,LONG_SECTION,"橋軸方向 section",
88,90,bearing_detail,section,TRANS_SECTION,"橋軸直角方向 section",
88,90,bearing_detail,rebar,ANCHOR_BAR,"20-D41",
88,90,bearing_detail,reaction,RHEQ1,"Rheq1=3391kN",
88,90,bearing_detail,displacement,DL1,"ΔL1=15.7mm",
88,90,bearing_detail,displacement,DLE1,"ΔLe1=346mm"
