value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,parent_formula_id,source_locator,confidence,verification_status
CAL-VAL-P00882-003,882,877,CAL-CH4,CAL-SEC-4.1.2,舗装荷重強度,1.800,kN/m2,1.800,kN/m2,LOAD_VALUE,,,calc_pdf_p882,HIGH,UNVERIFIED
CAL-VAL-P00882-004,882,877,CAL-CH4,CAL-SEC-4.1.2,壁高欄荷重強度(左側),9.920,kN/m,9.920,kN/m,LOAD_VALUE,,,calc_pdf_p882,HIGH,UNVERIFIED
CAL-VAL-P00882-005,882,877,CAL-CH4,CAL-SEC-4.1.2,壁高欄荷重強度(右側),9.920,kN/m,9.920,kN/m,LOAD_VALUE,,,calc_pdf_p882,HIGH,UNVERIFIED
CAL-VAL-P00882-006,882,877,CAL-CH4,CAL-SEC-4.1.2,遮音壁荷重強度(左側),2.100,kN/m,2.100,kN/m,LOAD_VALUE,,,calc_pdf_p882,HIGH,UNVERIFIED
CAL-VAL-P00882-007,882,877,CAL-CH4,CAL-SEC-4.1.2,遮音壁荷重強度(右側),2.100,kN/m,2.100,kN/m,LOAD_VALUE,,,calc_pdf_p882,HIGH,UNVERIFIED
CAL-VAL-P00882-008,882,877,CAL-CH4,CAL-SEC-4.1.2,地覆荷重強度,2.100,kN/m,2.100,kN/m,LOAD_VALUE,,,calc_pdf_p882,HIGH,UNVERIFIED
CAL-VAL-P00893-001,893,888,CAL-CH4,CAL-SEC-4.1.2,設計荷重-B活荷重,B活荷重,,,,LOAD_VALUE,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-002,893,888,CAL-CH4,CAL-SEC-4.1.2,衝撃係数-第1支間,0.222,,0.222,,DERIVED_VALUE,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-003,893,888,CAL-CH4,CAL-SEC-4.1.2,平均支間長-第1支間,40.156,m,40.156,m,DIMENSION,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-004,893,888,CAL-CH4,CAL-SEC-4.1.2,衝撃係数-第2支承線上,0.209,,0.209,,DERIVED_VALUE,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-005,893,888,CAL-CH4,CAL-SEC-4.1.2,平均支間長-第2支承線上,45.584,m,45.584,m,DIMENSION,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-006,893,888,CAL-CH4,CAL-SEC-4.1.2,衝撃係数-第2支間,0.198,,0.198,,DERIVED_VALUE,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-007,893,888,CAL-CH4,CAL-SEC-4.1.2,平均支間長-第2支間,51.013,m,51.013,m,DIMENSION,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-008,893,888,CAL-CH4,CAL-SEC-4.1.2,衝撃係数-第3支承線上,0.209,,0.209,,DERIVED_VALUE,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-009,893,888,CAL-CH4,CAL-SEC-4.1.2,衝撃係数-第3支間,0.222,,0.222,,DERIVED_VALUE,,,calc_pdf_p893,HIGH,UNVERIFIED
CAL-VAL-P00893-010,893,888,CAL-CH4,CAL-SEC-4.1.2,平均支間長-第3支間,40.156,m,40.156,m,DIMENSION,,,calc_pdf_p893,HIGH,UNVERIFIED
