source_record_id,pdf_page_number,formula_label_raw,expression_raw,variable_symbols,referenced_standard_raw,semantic_class,source_locator,confidence,verification_status
CAL-FML-P00122-001,122,左側壁高欄調整 S1,W = 0.000 kN/m (ノーズ部控除),"W,",,NUMERIC_SUBSTITUTION,calc_pdf_p122,HIGH,UNVERIFIED
CAL-FML-P00122-002,122,左側壁高欄調整 C1,W = 9.920 x 1.319 / (2.735 + 2.495) = 2.502 kN/m,"W, 9.920, 1.319, 2.735, 2.495",,NUMERIC_SUBSTITUTION,calc_pdf_p122,HIGH,UNVERIFIED
CAL-FML-P00122-003,122,左側壁高欄調整 C2以降,W = 9.920 kN/m,"W,",,NUMERIC_SUBSTITUTION,calc_pdf_p122,HIGH,UNVERIFIED
CAL-FML-P00122-004,122,左側遮音壁調整 C1,W = 2.100 x 1.319 / (2.735 + 2.495) = 0.530 kN/m,"W, 2.100, 1.319, 2.735, 2.495",,NUMERIC_SUBSTITUTION,calc_pdf_p122,HIGH,UNVERIFIED
CAL-FML-P00124-001,124,ノーズ地覆荷重 GE1,W = {(0.326 - 0.125)/2 + 0.290 x 0.180 / 2} x 0.823 x 24.5 = 5.935 kN/m,"W, 0.326, 0.125, 0.290, 0.180, 0.823, 24.5",,NUMERIC_SUBSTITUTION,calc_pdf_p124,HIGH,UNVERIFIED
CAL-FML-P00124-002,124,ノーズ地覆荷重 S1,W = {(0.328 - 0.125)/2 + 0.290 x 0.180 / 2} x 0.890 x 24.5 = 6.462 kN/m,"W, 0.328, 0.125, 0.290, 0.180, 0.890, 24.5",,NUMERIC_SUBSTITUTION,calc_pdf_p124,HIGH,UNVERIFIED
CAL-FML-P00124-003,124,ノーズ地覆荷重 A部,W = {(0.336 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.101 x 24.5 = 8.167 kN/m,"W, 0.336, 0.125, 0.290, 0.180, 1.101, 24.5",,NUMERIC_SUBSTITUTION,calc_pdf_p124,HIGH,UNVERIFIED
CAL-FML-P00124-004,124,ノーズ地覆荷重 C1,W = {(0.341 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.311 x 24.5 = 9.858 kN/m,"W, 0.341, 0.125, 0.290, 0.180, 1.311, 24.5",,NUMERIC_SUBSTITUTION,calc_pdf_p124,HIGH,UNVERIFIED
CAL-FML-P00124-005,124,ノーズ地覆荷重 B部,W = {(0.344 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.401 x 24.5 = 10.605 kN/m,"W, 0.344, 0.125, 0.290, 0.180, 1.401, 24.5",,NUMERIC_SUBSTITUTION,calc_pdf_p124,HIGH,UNVERIFIED
CAL-FML-P00124-006,124,ノーズ地覆荷重 C部,W = {(0.344 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.421 x 24.5 = 10.761 kN/m,"W, 0.344, 0.125, 0.290, 0.180, 1.421, 24.5",,NUMERIC_SUBSTITUTION,calc_pdf_p124,HIGH,UNVERIFIED
CAL-FML-P00124-007,124,ノーズ壁高欄直壁,W = (0.708 + 0.787) x 0.250 x 24.5 = 4.102 kN (格点荷重),"W, 0.708, 0.787, 0.250, 24.5",,NUMERIC_SUBSTITUTION,calc_pdf_p124,HIGH,UNVERIFIED
CAL-FML-P00135-001,135,衝撃係数 i=20/(50+L),i = 20 / (50 + 40.156) = 0.222,"i, L=40.156",道示Ⅰ 8.2,FORMULA_DEFINITION,calc_pdf_p135,HIGH,UNVERIFIED
CAL-FML-P00135-002,135,衝撃係数 第2支承線上,i = 20 / (50 + 45.584) = 0.209,"i, L=45.584",道示Ⅰ 8.2,NUMERIC_SUBSTITUTION,calc_pdf_p135,HIGH,UNVERIFIED
CAL-FML-P00135-003,135,衝撃係数 第2支間,i = 20 / (50 + 51.013) = 0.198,"i, L=51.013",道示Ⅰ 8.2,NUMERIC_SUBSTITUTION,calc_pdf_p135,HIGH,UNVERIFIED
CAL-FML-P00135-004,135,衝撃係数 第3支承線上,i = 20 / (50 + 45.585) = 0.209,"i, L=45.585",道示Ⅰ 8.2,NUMERIC_SUBSTITUTION,calc_pdf_p135,HIGH,UNVERIFIED
CAL-FML-P00135-005,135,衝撃係数 第3支間,i = 20 / (50 + 40.156) = 0.222,"i, L=40.156",道示Ⅰ 8.2,NUMERIC_SUBSTITUTION,calc_pdf_p135,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-001,,Tension stress limit (limit state 3),σtud = ξ1 × ξ2 × Φut × σyk,σtud,道示Ⅱ 式(5.4.22),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-002,,Compression stress limit (limit state 3),"σcud = min(σcrld, σbrgd)",σcud,道示Ⅱ 5.4.6,UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-003,,Local buckling stress limit,σcrld = ξ1 × ξ2 × Φu × ρcrl × σyk,σcrld,道示Ⅱ 式(5.4.5),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-004,,Lateral torsional buckling limit,σbrgd = ξ1 × ξ2 × Φu × ρbrg × σyk,σbrgd,道示Ⅱ 式(5.4.23),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-005,,Bending stress,σb = M × y / I,σb,道示Ⅱ 式(13.2.1),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-006,,Shear stress,τb = S / Aw,τb,道示Ⅱ 式(13.2.2),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-007,,Shear stress limit,τud = ξ1 × ξ2 × Φus × τyk,τud,道示Ⅱ 式(5.4.28),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-008,,Combined bending+shear check,κ = (σb/σtyd)² + (τb/τyd)² ≤ 1.2,κ,道示Ⅱ 式(5.3.2),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-009,,Bolt force per bolt (limit state 1),Vsd = Psd / n ≤ Vfyd = ξ1 × ΦMfv × Vfk × m × α,Vsd,道示Ⅱ 式(9.6.2),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-010,,Force on bolt group,Psd = σ × b × t,Psd,道示Ⅱ 9.6,UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-011,,Bolt force per bolt (limit state 3),Vsd = Psd / n ≤ Vfud = ξ1 × ξ2 × ΦMBsl × τuk × As × m,Vsd_LS3,道示Ⅱ 式(9.9.1)(9.9.2),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-012,,Web bolt i-th row force,Vsdi = Psdi / ni ≤ Vfyd,Vsdi,道示Ⅱ 式(9.6.1),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-013,,Web bolt shear force,Vsds = Ssd / n ≤ Vfyd,Vsds,道示Ⅱ 式(9.6.3),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-014,,Web bolt moment force (LS3),Vsdm = (Msd / Σyi²) × yi ≤ yi/yn × Vfud,Vsdm,道示Ⅱ 式(9.9.3),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-015,,Web bolt combined check,√(Vsdi² + Vsds²) ≤ Vfyd,Combined_web,道示Ⅱ 式(9.6.4),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-016,,Bearing stress limit,σbyd = ξ1 × Φb × α × σbk,σbyd,道示Ⅱ 式(5.3.9),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-017,,Column compression limit,σcud = ξ1 × ξ2 × Φu × ρcrg × ρcrl × σyk,σcud_col,道示Ⅱ 式(5.4.17),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-018,,Weld shear stress,τb = P / Σ(a × L),τb_weld,道示Ⅱ 式(9.4.4),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-019,,Stability under horizontal load,-σc/σcud + σcz/[σcuzdo×{1-σc/(0.8×σez)}] ≤ 1.0,stab,道示Ⅱ 5.4.4,UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-020,,Weld combined check,(σb/σyd)² + (τb/τyd)² ≤ 1.2,weld_check,道示Ⅱ 式(9.3.3),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-021,,Weld shear stress,τb = τw × tw / A,weld_shear,Derived,UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-022,,Required weld throat,If (σb/σyd)²<0.2: Areq=τw×tw/τyd; else: Areq=τw×tw/(τyd×√(1.2-(σb/σyd)²)),Areq,Derived,UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-023,,Moment by lateral seismic force,M = H × h,M_seismic,3.2.6,UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-024,,Curvature secondary stress (upper),σu2 = 0.106×σu/(R×Iu) × (Au+Awequ/3) × λ²,σu2,Derived (program formula),UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-025,,Minimum fillet weld size,St = √(2×plate thickness) ≥ 6mm,fillet_weld_min,3.2.14,UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
SRC-calculation_chapter_03_section_3_2_formulas-026,,Effective throat area (groove weld),"A = (D+S')×Sinα-3, α=tan⁻¹(b/S')",weld_throat,3.2.14,UNKNOWN_REQUIRES_REVIEW,,HIGH,UNVERIFIED
CAL-FML-P00677-001,677,断面力換算,Mi=ML0+(Mr0-ML0)*(Li/L0),"Mi, ML0, Mr0, Li, L0",,FORMULA_DEFINITION,calc_pdf_p677,HIGH,UNVERIFIED
CAL-FML-P00685-001,685,風荷重WS,Ws=(V/40)^2*[4.0-0.2*(B/D)]*D*α,"V=40, B=8.010, D=8.110, α=1.30",道示I8.17,FORMULA_DEFINITION,calc_pdf_p685,HIGH,UNVERIFIED
CAL-FML-P00685-002,685,風荷重数値代入,Ws=(40/40)^2*[4.0-0.2]*8.110*1.30=40.06kN/m,"40, 4.0, 0.2, 8.110, 1.30",道示I8.17,NUMERIC_SUBSTITUTION,calc_pdf_p685,HIGH,UNVERIFIED
CAL-FML-P00686-001,686,地震荷重L1,We=γd*Wd*Kh/Lspan=1.05*17955.7*0.25/131.325=35.89kN/m,"γd=1.05, Wd=17955.7, Kh=0.25, Lspan=131.325",道示V2.3,NUMERIC_SUBSTITUTION,calc_pdf_p686,HIGH,UNVERIFIED
CAL-FML-P00689-001,689,曲率付加軸力W,W=-σ*(Af+Aw/3)/R,"σ, Af, Aw, R",,FORMULA_DEFINITION,calc_pdf_p689,HIGH,UNVERIFIED
CAL-FML-P00689-002,689,曲率付加軸力P,P=w*λ,"w, λ",,FORMULA_DEFINITION,calc_pdf_p689,HIGH,UNVERIFIED
CAL-FML-P00767-001,767,衝撃係数,i=20/(50+L)=20/(50+1.003)=0.392,"i, L=1.003",道示I8.2,NUMERIC_SUBSTITUTION,calc_pdf_p767,HIGH,UNVERIFIED
CAL-FML-P00767-002,767,衝撃係数衝突時,i=20/(50+L)=20/(50+1.359)=0.389,"i, L=1.359",道示I8.2,NUMERIC_SUBSTITUTION,calc_pdf_p767,HIGH,UNVERIFIED
CAL-FML-P00769-001,769,衝突換算k,k=0.90*0.85=0.765,"k, 0.90, 0.85",道示II表5.4.10,FORMULA_DEFINITION,calc_pdf_p769,HIGH,UNVERIFIED
CAL-FML-P00770-001,770,座屈パラメータα,α=2/pi*sqrt(K)*sqrt(σyk/E)*(l/b)=0.678,"α, K=2.045, l=3800, b=250, σyk=235, E=200000",道示II式5.4.25,NUMERIC_SUBSTITUTION,calc_pdf_p770,HIGH,UNVERIFIED
CAL-FML-P00770-002,770,σbrgd,σbrgd=ξ1*ξ2*Φu*ρbrg*σyk=144N/mm2,"ξ1=0.90, ξ2=1.00, Φu=0.85, ρbrg=0.803, σyk=235",道示II式5.4.23,NUMERIC_SUBSTITUTION,calc_pdf_p770,HIGH,UNVERIFIED
CAL-FML-P00772-001,772,τud,τud=ξ1*ξ2*ΦUs*τyk=103N/mm2,"ξ1=0.90, ξ2=1.00, Φus=0.85, τyk=135",道示II式5.4.28,NUMERIC_SUBSTITUTION,calc_pdf_p772,HIGH,UNVERIFIED
CAL-FML-P00774-001,774,たわみδ,δ=Pb^3/(6EI)*(3x/b-1),"P=100, b=1003, E=2.0e5, I=805393104, x=1900",,NUMERIC_SUBSTITUTION,calc_pdf_p774,HIGH,UNVERIFIED
CAL-FML-P00791-001,791,鋼桁風,WS=40.06*2.700/8.110=13.34kN/m,"WS=40.06, Dg=2.700, D=8.110",道示I8.17,NUMERIC_SUBSTITUTION,calc_pdf_p791,HIGH,UNVERIFIED
CAL-FML-P00791-002,791,横構1組風,WS=13.34/2=6.67kN/m,13.34,,NUMERIC_SUBSTITUTION,calc_pdf_p791,HIGH,UNVERIFIED
CAL-FML-P00791-003,791,地震L2,We=18853.5*1.36/131.325=195.25kN/m,"Wd=18853.5, Kh=1.36, L=131.325",,NUMERIC_SUBSTITUTION,calc_pdf_p791,HIGH,UNVERIFIED
CAL-FML-P00791-004,791,横構1組地震,We=195.25/4=48.81kN/m,195.25,,NUMERIC_SUBSTITUTION,calc_pdf_p791,HIGH,UNVERIFIED
CAL-FML-P00791-005,791,Pw,Pw=1.00*1.25*6.67=8.34kN/m,"γp=1.00, γq=1.25, WS=6.67",,NUMERIC_SUBSTITUTION,calc_pdf_p791,HIGH,UNVERIFIED
CAL-FML-P00791-006,791,Pe,Pe=1.00*1.00*48.81*0.765=37.34kN/m,"γp=1.00, γq=1.00, We=48.81, Keq=0.765",,NUMERIC_SUBSTITUTION,calc_pdf_p791,HIGH,UNVERIFIED
CAL-FML-P00791-007,791,Keq,Keq=0.90*0.85=0.765,"0.90, 0.85",道示II表5.3.1,FORMULA_DEFINITION,calc_pdf_p791,HIGH,UNVERIFIED
CAL-FML-P00819-001,819,S1 Ac,Ac=B*H=1500*2280/100=34200cm2,"1500, 2280",,NUMERIC_SUBSTITUTION,calc_pdf_p819,HIGH,UNVERIFIED
CAL-FML-P00819-002,819,S1 Asreq,Asreq=Ac*0.15%=34200*0.0015=51.30cm2,"34200, 0.0015",道示III5.2,NUMERIC_SUBSTITUTION,calc_pdf_p819,HIGH,UNVERIFIED
CAL-FML-P00819-003,819,S1 D19 n,n=51.30/2.865=17.9->18本,"51.30, 2.865",,NUMERIC_SUBSTITUTION,calc_pdf_p819,HIGH,UNVERIFIED
CAL-FML-P00820-001,820,S2 Ac,Ac=1500*2400/100=36000cm2,"1500, 2400",,NUMERIC_SUBSTITUTION,calc_pdf_p820,HIGH,UNVERIFIED
CAL-FML-P00820-002,820,S2 Asreq,Asreq=36000*0.0015=54.00cm2,"36000, 0.0015",,NUMERIC_SUBSTITUTION,calc_pdf_p820,HIGH,UNVERIFIED
CAL-FML-P00820-003,820,S2 D19 n,n=54.00/2.865=18.9->19本,"54.00, 2.865",,NUMERIC_SUBSTITUTION,calc_pdf_p820,HIGH,UNVERIFIED
CAL-FML-P00821-001,821,PR1 Ac,Ac=2000*2400/100=48000cm2,"2000, 2400",,NUMERIC_SUBSTITUTION,calc_pdf_p821,HIGH,UNVERIFIED
CAL-FML-P00821-002,821,PR1 Asreq,Asreq=48000*0.0015=72.00cm2,"48000, 0.0015",,NUMERIC_SUBSTITUTION,calc_pdf_p821,HIGH,UNVERIFIED
CAL-FML-P00821-003,821,PR1 D19 n,n=72.00/2.865=25.1->26本,"72.00, 2.865",,NUMERIC_SUBSTITUTION,calc_pdf_p821,HIGH,UNVERIFIED
CAL-FML-P00845-001,845,if,if=10/(50+L),"if, L",道示II式8.2.2,FORMULA_DEFINITION,calc_pdf_p845,HIGH,UNVERIFIED
CAL-FML-P00846-001,846,gammaF,gammaF=gammaF1*gammaF2*gammaF3*gammaa,"gammaF1, gammaF2, gammaF3, gammaa",道示II式8.2.1,FORMULA_DEFINITION,calc_pdf_p846,HIGH,UNVERIFIED
CAL-FML-P00850-001,850,応力範囲,"delta_sigmai,j=|sigma_i","k1-sigma_i, k2|*gammaF(i), sigma, gammaF",,FORMULA_DEFINITION,calc_pdf_p850,HIGH,UNVERIFIED
CAL-FML-P00850-002,850,No.1 delta_sigma,delta_sigma=|14-(-4)|*3.00=54N/mm2,"14, -4, 3.00",,NUMERIC_SUBSTITUTION,calc_pdf_p850,HIGH,UNVERIFIED
CAL-FML-P00852-001,852,nti,nti=ADTTSLi*gamma_n*365*Y=379*0.03*365*100=0.42e6,"ADTTSLi=379, gamma_n=0.03, Y=100",道示II式8.2.3,NUMERIC_SUBSTITUTION,calc_pdf_p852,HIGH,UNVERIFIED
CAL-FML-P00852-002,852,Ni,j,"Ni, j=2e6*(delta_sigma_f*CR*Ct)^3/delta_sigma_i, j^3, delta_sigma_f=50, CR=1.00, Ct=1.00, delta_sigma=54",,NUMERIC_SUBSTITUTION,calc_pdf_p852,HIGH,UNVERIFIED
CAL-FML-P00873-001,873,合成後剛度,合成断面の曲げ剛度は床版有効幅より算出。ヤング係数比n=7,,道示Ⅱ14.2,NOTE,calc_pdf_p873,HIGH,UNVERIFIED
CAL-FML-P00873-002,873,クリープ静定力,クリープの静定力は後死荷重曲げモーメントが正の範囲に生じる,,道示Ⅱ14.2.2～14.2.4,NOTE,calc_pdf_p873,HIGH,UNVERIFIED
CAL-FML-P00873-003,873,乾燥収縮静定力,中間支点上～0.15L位置(床版引張区間)を除く範囲に生じる,,道示Ⅱ14.2.2～14.2.4,NOTE,calc_pdf_p873,HIGH,UNVERIFIED
CAL-FML-P00873-004,873,温度差静定力,全長にわたって生じる。後死荷重M正範囲は合成断面、他は鋼+鉄筋断面より算出,,道示Ⅱ14.2.2～14.2.4,NOTE,calc_pdf_p873,HIGH,UNVERIFIED
CAL-FML-P00873-005,873,連続桁不静定力ΔM,静定力Mを平面格子モデルに載荷して求める,,道示Ⅱ14.2.2～14.2.4,NOTE,calc_pdf_p873,HIGH,UNVERIFIED
CAL-FML-P00873-006,873,設計断面力,設計軸力=P 設計曲げモーメント=M+ΔM,,道示Ⅱ14.2,NOTE,calc_pdf_p873,HIGH,UNVERIFIED
CAL-FML-P00893-001,893,衝撃係数,i = 20/(50+L),"i, L=支間長",道示Ⅰ8.2,FORMULA_DEFINITION,calc_pdf_p893,HIGH,UNVERIFIED
CAL-FML-P01284-001,1284,限界状態1照査式,γa*γf*Md + γa*γq*Mlive ≤ Mu/γb,,道示Ⅱ,NOTE,calc_pdf_p1284,HIGH,UNVERIFIED
CAL-FML-P01284-002,1284,限界状態3照査式,σ ≤ σa=fy/γm1,,道示Ⅱ,NOTE,calc_pdf_p1284,HIGH,UNVERIFIED
CAL-FML-P01321-001,1321,引張応力度制限値(限界状態3),σtud = ξ1*ξ2*Φut*σyk,"σtud, ξ1=0.9, ξ2=1.0, Φut=0.85, σyk=355",道示Ⅱ式(5.4.22),FORMULA_DEFINITION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-002,1321,横倒れ座屈パラメータK(合成前),K = √{3+Aw/(2*Ac)},"K, Aw=35518, Ac=13640",道示Ⅱ式(5.4.25),FORMULA_DEFINITION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-003,1321,横倒れ座屈パラメータα,α = 2/π*K*√(σyk/E)*L/b,"α, K=2.074, σyk=355, E=200000, L=5344, b=620",道示Ⅱ式(5.4.25),NUMERIC_SUBSTITUTION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-004,1321,横倒れ座屈低減係数ρbrg,ρbrg = 1.0-0.412*(α-0.2),"ρbrg, α=0.479",道示Ⅱ式(5.4.24),NUMERIC_SUBSTITUTION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-005,1321,横倒れ座屈制限応力度,σbrgd = ξ1*ξ2*Φu*ρbrg*σyk,"σbrgd, ξ1=0.9, ξ2=1.0, Φu=0.85, ρbrg=0.885, σyk=355",道示Ⅱ式(5.4.23),NUMERIC_SUBSTITUTION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-006,1321,局部座屈パラメータR,R = (b/t)*√[σyk/E*{12*(1-μ2)/(0.43*π2)}],"R, b=303, t=22, σyk=355, E=200000, μ=0.30",道示Ⅱ式(5.4.7),NUMERIC_SUBSTITUTION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-007,1321,局部座屈低減係数ρcrl,ρcrl = (0.7/R)^1.19,"ρcrl, R=0.931",道示Ⅱ式(5.4.6),NUMERIC_SUBSTITUTION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-008,1321,局部座屈制限応力度,σcrld = ξ1*ξ2*Φu*ρcrl*σyk,"σcrld, ξ1=0.9, ξ2=1.0, Φu=0.85, ρcrl=0.712, σyk=355",道示Ⅱ式(5.4.5),NUMERIC_SUBSTITUTION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-009,1321,上フランジ圧縮制限値,"σcud = min(σbrgd,σcrld) = min(240,193) = 193 N/mm2","σcud, σbrgd=240, σcrld=193",道示Ⅱ,stress_limit,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-010,1321,合成後圧縮制限値,σcud = ξ1*ξ2*Φu*σyk (座屈は生じないものとする),"σcud, ξ1=0.9, ξ2=1.0, Φu=0.85, σyk=355",道示Ⅱ式(5.4.5),FORMULA_DEFINITION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01321-011,1321,せん断応力度制限値,τud = ξ1*ξ2*Φus*τyk = 0.90*1.00*0.85*205 = 157 N/mm2,"τud, ξ1=0.9, ξ2=1.0, Φus=0.85, τyk=205",道示Ⅱ式(5.4.28),NUMERIC_SUBSTITUTION,calc_pdf_p1321,HIGH,UNVERIFIED
CAL-FML-P01319-001,1319,温度差床版応力度(上),σcu = 1/n*(P/A+M/I*Yc)-Ec*εt,"σcu, P=-3158.2kN, M=1686.3kNm, n=7, A=194650, I=18008524, Yc=-64.89, Ec=2.857e4, εt=12e-6, ΔT=10",道示Ⅱ式(解14.2.9),NUMERIC_SUBSTITUTION,calc_pdf_p1319,HIGH,UNVERIFIED
CAL-FML-P01319-002,1319,温度差鋼桁応力度(上),σsu = P/A+M/I*Ys,"σsu, P=-3158.2kN, M=1686.3kNm, A=194650, I=18008524, Ys=-198.9",道示Ⅱ式(解14.2.9),NUMERIC_SUBSTITUTION,calc_pdf_p1319,HIGH,UNVERIFIED
CAL-FML-P01319-003,1319,乾燥収縮床版応力度(上),σcu = 1/n*(P/A+M/I*Yc)+Ec2*εs,"σcu, P=-1842.3kN, M=1786.5kNm, n=21, A=107175, I=13440812, Yc=-1084.7, Ec2=0.952e4, εs=20e-5",道示Ⅱ式(解14.2.10),NUMERIC_SUBSTITUTION,calc_pdf_p1319,HIGH,UNVERIFIED
CAL-FML-P01319-004,1319,乾燥収縮鋼桁応力度(上),σsu = P/A+M/I*Ys,"σsu, P=-1842.3kN, M=1786.5kNm, A=107175, I=13440812, Ys=-634.7",道示Ⅱ式(解14.2.10),NUMERIC_SUBSTITUTION,calc_pdf_p1319,HIGH,UNVERIFIED
CAL-FML-P01319-005,1319,曲げとせん断の同時性照査(限界状態1),κ = (σm/σa)^2 + (τ/τa)^2 <= 1.2,"κ, σm=-43, σa=312, τ=53, τa=157",道示Ⅱ,DESIGN_RESULT,calc_pdf_p1319,HIGH,UNVERIFIED
CH5-FORM-001,2032,1次形状係数S1,"S1 = Ae / (2*(a+b)*te) (0.5≦b/a≦2) または S1 = a/(2*te) (b/a<0.5,2<b/a)",Ae:有効面積 a:橋軸方向寸法 b:橋軸直角方向寸法 te:一層厚,,SECTION_PROPERTY,calc_pdf_p2032,HIGH,UNVERIFIED
