source_record_id,pdf_page_number,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CH1-TBL-050,10,主桁格間長,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-051,10,主桁格間長,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-052,10,主桁格間長,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-053,10,主桁格間長,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-054,10,主桁格間長,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-055,10,主桁格間長,4834.7,mm,4834.7,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-056,10,主桁格間長,4700.0,mm,4700.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-057,10,主桁格間長,4885.0,mm,4885.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-058,10,主桁格間長,4712.7,mm,4712.7,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-059,11,横断間隔長,1253.4,mm,1253.4,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-060,11,横断間隔長,4512.2,mm,4512.2,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-061,11,横断間隔長,1253.4,mm,1253.4,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-062,11,横断間隔長,7019.0,mm,7019.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-063,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-064,11,横断間隔長,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-065,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-066,11,横断間隔長,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-067,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-068,11,横断間隔長,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-069,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-070,11,横断間隔長,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-071,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-072,11,横断間隔長,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-073,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-074,11,横断間隔長,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-075,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-076,11,横断間隔長,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-077,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-078,11,横断間隔長,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-079,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-080,11,横断間隔長,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-081,11,横断間隔長,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-082,11,横断間隔長,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-VAL-001,7,道路規格,A規格,,A規格,,road_spec,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-002,7,設計速度,40,km/h,40,km/h,design_speed,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-003,7,活荷重,B活荷重,,B活荷重,,live_load,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-004,7,橋梁形式,"鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保)",,"鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保)",,bridge_type,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-005,7,橋長,134.001,m,134.001,m,bridge_length,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-006,7,桁長,133.151,m,133.151,m,girder_length,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-007,7,支間長1,40.201,m,40.201,m,span_length,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-008,7,支間長2,51.000,m,51.000,m,span_length,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-009,7,支間長3,40.200,m,40.200,m,span_length,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-010,7,総幅員,8.010,m,8.010,m,total_width,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-011,7,有効幅員,7.000,m,7.000,m,effective_width,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-012,7,斜角_PU15,94°14′27″,degree,94.241,degree,skew_angle,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-013,7,斜角_PR1_PR2_A2,90°00′00″,degree,90.000,degree,skew_angle,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-014,7,平面線形_R1,160,m,160,m,curve_radius,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-015,7,平面線形_R2,3000,m,3000,m,curve_radius,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-016,7,縦断勾配_i1,6.000,%,6.000,%,longitudinal_gradient,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-017,7,縦断勾配_i2,0.100,%,0.100,%,longitudinal_gradient,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-018,7,横断勾配_i1,5.000,%,5.000,%,cross_gradient,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-019,7,横断勾配_i2,2.000,%,2.000,%,cross_gradient,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-020,7,横断勾配_i3,2.958,%,2.958,%,cross_gradient,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-021,7,舗装厚,80,mm,80,mm,DIMENSION,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-022,7,床版厚,230,mm,230,mm,deck_thickness,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-023,7,大型車交通量,379,台/日･方向,379,台/日･方向,SOURCE_INPUT,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-024,7,設計水平震度_レベル1,0.25,,0.25,,DERIVED_VALUE,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-025,7,設計水平震度_レベル2,動的解析法による,,動的解析法,,SOURCE_INPUT,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-026,7,鋼材_SM520,SM520,,SM520,,steel_grade,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-027,7,鋼材_SM490Y,SM490Y,,SM490Y,,steel_grade,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-028,7,鋼材_SM400,SM400,,SM400,,steel_grade,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-029,7,鋼材_SS400,SS400,,SS400,,steel_grade,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-030,7,コンクリート合成床版,30,N/mm2,30,N/mm2,concrete_strength,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-031,7,コンクリート壁高欄,24,N/mm2,24,N/mm2,concrete_strength,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-032,7,コンクリート巻き立て,30,N/mm2,30,N/mm2,concrete_strength,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-033,7,鉄筋,SD345,,SD345,,MATERIAL_PROPERTY,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-034,7,現場継手ボルト,M22(S10T),,M22(S10T),,IDENTIFIER,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-035,7,遮音壁荷重,2.1,kN/m,2.1,kN/m,LOAD_VALUE,calc_pdf_p7,HIGH,UNVERIFIED
CH1-VAL-036,7,検査路荷重,1.0,kN/m,1.0,kN/m,LOAD_VALUE,calc_pdf_p7,HIGH,UNVERIFIED
CH2-TBL-001,18,各部構成,8032,mm,8032,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-002,18,各部構成,80,mm,80,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-003,18,各部構成,4512,mm,4512,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-004,18,各部構成,1760,mm,1760,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-005,18,材料(鋼板),SM490Y,,SM490Y,,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-006,18,材料(鋼板),210,N/mm2,210,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-007,18,材料(鋼板),355,N/mm2,355,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-008,18,材料(鋼板),355,N/mm2,355,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-009,18,材料(横リブ),SS400,,SS400,,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-010,18,材料(横リブ),235,N/mm2,235,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-011,18,材料(横リブ),235,N/mm2,235,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-012,18,材料(鉄筋),SD345,,SD345,,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-013,18,材料(鉄筋),120,N/mm2,120,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-014,18,材料(鉄筋),100,N/mm2,100,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-015,18,材料(鉄筋),345,N/mm2,345,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-016,18,材料(鉄筋),345,N/mm2,345,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-017,18,材料(コンクリート),30,N/mm2,30,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-018,18,材料(コンクリート),8.6,N/mm2,8.6,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-019,19,合成床版厚,230,mm,230,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-020,19,合成床版厚,222,mm,222,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-021,19,合成床版厚,330,mm,330,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-022,19,合成床版厚,100,mm,100,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-023,19,鋼材寸法,8,mm,8,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-024,19,鋼材寸法,625,mm,625,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-025,19,鋼材寸法,100,mm,100,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-026,19,鋼材寸法,12,mm,12,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-027,19,鋼材寸法,1-L 75×75×9,,L 75×75×9,,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-028,19,スタッド仕様,250,mm,250,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-029,19,スタッド仕様,208,mm,208,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-030,19,スタッド仕様,φ16×160mm,,φ16×160mm,,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-031,20,鉄筋配置(一般部),D19 @100,,D19 @100,,DIMENSION,calc_pdf_p20,HIGH,UNVERIFIED
CH2-TBL-032,20,鉄筋配置(一般部),D19 @250,,D19 @250,,DIMENSION,calc_pdf_p20,HIGH,UNVERIFIED
CH2-TBL-033,20,鉄筋配置(一般部),D22 @300,,D22 @300,,DIMENSION,calc_pdf_p20,HIGH,UNVERIFIED
CH2-TBL-034,20,鉄筋配置(中間支点部),D22 @125,,D22 @125,,DIMENSION,calc_pdf_p20,HIGH,UNVERIFIED
CH2-VAL-001,18,総幅員,8032,mm,8032,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-002,18,舗装厚,80,mm,80,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-003,18,床版支間長(支間部),4512,mm,4512,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-004,18,床版支間長(張出部),1760,mm,1760,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-005,18,活荷重,B活荷重,,B活荷重,,live_load,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-006,18,風荷重(外風側),3.00,kN/m2,3.00,kN/m2,LOAD_VALUE,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-007,18,風荷重(内風側),1.50,kN/m2,1.50,kN/m2,LOAD_VALUE,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-008,18,衝突荷重,13.0,kN/m,13.0,kN/m,LOAD_VALUE,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-009,18,鋼板材質,SM490Y,,SM490Y,,steel_grade,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-010,18,鋼板引張応力度制限値,210,N/mm2,210,N/mm2,stress_limit,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-011,18,鋼板引張降伏強度,355,N/mm2,355,N/mm2,yield_strength,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-012,18,鋼板圧縮降伏強度,355,N/mm2,355,N/mm2,yield_strength,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-013,18,横リブ材質,SS400,,SS400,,steel_grade,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-014,18,横リブ引張降伏強度,235,N/mm2,235,N/mm2,yield_strength,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-015,18,横リブ圧縮降伏強度,235,N/mm2,235,N/mm2,yield_strength,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-016,18,鉄板材質,SD345,,SD345,,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-017,18,鉄筋引張応力度制限値(疲労),120,N/mm2,120,N/mm2,stress_limit,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-018,18,鉄筋引張応力度制限値(腐食),100,N/mm2,100,N/mm2,stress_limit,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-019,18,鉄筋引張降伏強度,345,N/mm2,345,N/mm2,yield_strength,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-020,18,コンクリート設計基準強度,30,N/mm2,30,N/mm2,concrete_strength,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-021,18,曲げ圧縮応力度制限値,8.6,N/mm2,8.6,N/mm2,stress_limit,calc_pdf_p18,HIGH,UNVERIFIED
CH2-VAL-022,19,合成床版厚,230,mm,230,mm,deck_thickness,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-023,19,RC版厚(支間部),222,mm,222,mm,deck_thickness,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-024,19,RC版厚(支点部),330,mm,330,mm,deck_thickness,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-025,19,ハンチ高,100,mm,100,mm,DIMENSION,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-026,19,底鋼板板厚,8,mm,8,mm,DIMENSION,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-027,19,横リブ間隔,625,mm,625,mm,DIMENSION,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-028,19,横リブ高さ,100,mm,100,mm,DIMENSION,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-029,19,横リブ板厚,12,mm,12,mm,DIMENSION,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-030,19,スタッドサイズ,φ16×160,mm,φ16×160,mm,DIMENSION,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-031,19,スタッド主鉄筋方向ピッチ,250,mm,250,mm,DIMENSION,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-032,19,スタッド配力筋方向ピッチ,208,mm,208,mm,DIMENSION,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-033,19,使用形鋼,L75×75×9,,L75×75×9,,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-VAL-034,20,主鉄筋(一般部),D19@100,,D19@100,,IDENTIFIER,calc_pdf_p20,HIGH,UNVERIFIED
CH2-VAL-035,20,配力筋(一般部),D19@250,,D19@250,,IDENTIFIER,calc_pdf_p20,HIGH,UNVERIFIED
CH2-VAL-036,20,ハンチ筋,D22@300,,D22@300,,IDENTIFIER,calc_pdf_p20,HIGH,UNVERIFIED
CH2-VAL-037,20,配力筋(中間支点部),D22@125,,D22@125,,IDENTIFIER,calc_pdf_p20,HIGH,UNVERIFIED
CH2-VAL-038,19,合成床版算出式,hc=25×L+110=223mm,,hc=25×L+110=223mm,,FORMULA_DEFINITION,calc_pdf_p19,HIGH,UNVERIFIED
CAL-TBL-P00119-001,119,死荷重一覧(舗装),1.800,kN/m2,1.800,kN/m2,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-002,119,死荷重一覧(舗装),0.080,m,0.080,m,DIMENSION,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-003,119,死荷重一覧(床版),6.325,kN/m2,6.325,kN/m2,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-004,119,死荷重一覧(床版),0.230,m,0.230,m,DIMENSION,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-005,119,死荷重一覧(ハンチ),2.842,kN/m,2.842,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-006,119,死荷重一覧(壁高欄),9.920,kN/m,9.920,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-007,119,死荷重一覧(遮音壁),2.100,kN/m,2.100,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-008,119,死荷重一覧(鋼重),12.000,kN/m,12.000,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-009,119,死荷重一覧(検査路),1.000,kN/m,1.000,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-010,119,死荷重一覧(舗装),22.5,kN/m3,22.5,kN/m3,MATERIAL_PROPERTY,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-011,119,死荷重一覧(床版),27.5,kN/m3,27.5,kN/m3,MATERIAL_PROPERTY,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-012,119,死荷重一覧(ノーズ部),1.000,kN/m,1.000,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-013,119,死荷重一覧(地覆),2.100,kN/m,2.100,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00125-001,125,ノーズ部地覆等の格点荷重,30,kN,30,kN,LOAD_VALUE,calc_pdf_p125,HIGH,UNVERIFIED
CAL-TBL-P00125-002,125,ノーズ部地覆等の格点荷重,48,kN,48,kN,LOAD_VALUE,calc_pdf_p125,HIGH,UNVERIFIED
CAL-TBL-P00125-003,125,床版拡幅格点荷重,11,kN,11,kN,LOAD_VALUE,calc_pdf_p125,HIGH,UNVERIFIED
