source_record_id,pdf_page_number,title_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CH1-TBL-014,10,主桁格間長,4,AG2,5000.0,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-015,10,主桁格間長,5,AG1,4992.5,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-016,10,主桁格間長,5,AG2,5000.0,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-017,10,主桁格間長,6,AG1,4992.5,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-018,10,主桁格間長,6,AG2,5000.0,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-019,10,主桁格間長,7,AG1,4992.5,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-020,10,主桁格間長,7,AG2,5000.0,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-021,10,主桁格間長,8,AG1,4992.5,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-022,10,主桁格間長,8,AG2,5000.0,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-023,10,主桁格間長,9,AG1,5097.4,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-024,10,主桁格間長,9,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-025,10,主桁格間長,10,AG1,5097.5,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-026,10,主桁格間長,10,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-027,10,主桁格間長,11,AG1,5097.5,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-028,10,主桁格間長,11,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-029,10,主桁格間長,12,AG1,5097.5,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-030,10,主桁格間長,12,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-031,10,主桁格間長,13,AG1,5097.5,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-032,10,主桁格間長,13,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-033,10,主桁格間長,14,AG1,5097.4,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-034,10,主桁格間長,14,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-035,10,主桁格間長,15,AG1,5097.4,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-036,10,主桁格間長,15,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-037,10,主桁格間長,16,AG1,5097.5,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-038,10,主桁格間長,16,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-039,10,主桁格間長,17,AG1,5097.4,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-040,10,主桁格間長,17,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-041,10,主桁格間長,18,AG1,5097.4,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-042,10,主桁格間長,18,AG2,5105.1,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-043,10,主桁格間長,19,AG1,5094.6,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-044,10,主桁格間長,19,AG2,5102.2,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-045,10,主桁格間長,20,AG1,5094.6,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-046,10,主桁格間長,20,AG2,5102.2,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-047,10,主桁格間長,21,AG1,5094.6,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-048,10,主桁格間長,21,AG2,5102.2,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-049,10,主桁格間長,22,AG1,5094.6,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-050,10,主桁格間長,22,AG2,5102.2,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-051,10,主桁格間長,23,AG1,5094.6,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-052,10,主桁格間長,23,AG2,5102.2,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-053,10,主桁格間長,24,AG1,5094.6,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-054,10,主桁格間長,24,AG2,5102.2,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-055,10,主桁格間長,25,AG1,4834.7,4834.7,mm,4834.7,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-056,10,主桁格間長,25,AG2,4700.0,4700.0,mm,4700.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-057,10,主桁格間長,26,AG1,4885.0,4885.0,mm,4885.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-058,10,主桁格間長,26,AG2,4712.7,4712.7,mm,4712.7,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-059,11,横断間隔長,1,歩車道境界～AG1,1253.4,1253.4,mm,1253.4,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-060,11,横断間隔長,1,AG1～AG2,4512.2,4512.2,mm,4512.2,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-061,11,横断間隔長,1,歩車道境界～AG2,1253.4,1253.4,mm,1253.4,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-062,11,横断間隔長,1,合計,7019.0,7019.0,mm,7019.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-063,11,横断間隔長,2,歩車道境界～AG1,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-064,11,横断間隔長,2,AG1～AG2,4500.0,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-065,11,横断間隔長,2,歩車道境界～AG2,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-066,11,横断間隔長,2,合計,7000.0,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-067,11,横断間隔長,3,歩車道境界～AG1,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-068,11,横断間隔長,3,AG1～AG2,4500.0,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-069,11,横断間隔長,3,歩車道境界～AG2,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-070,11,横断間隔長,3,合計,7000.0,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-071,11,横断間隔長,4,歩車道境界～AG1,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-072,11,横断間隔長,4,AG1～AG2,4500.0,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-073,11,横断間隔長,4,歩車道境界～AG2,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-074,11,横断間隔長,4,合計,7000.0,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-075,11,横断間隔長,5,歩車道境界～AG1,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-076,11,横断間隔長,5,AG1～AG2,4500.0,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-077,11,横断間隔長,5,歩車道境界～AG2,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-078,11,横断間隔長,5,合計,7000.0,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-079,11,横断間隔長,6,歩車道境界～AG1,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-080,11,横断間隔長,6,AG1～AG2,4500.0,4500.0,mm,4500.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-081,11,横断間隔長,6,歩車道境界～AG2,1250.0,1250.0,mm,1250.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-082,11,横断間隔長,6,合計,7000.0,7000.0,mm,7000.0,mm,cross_interval,calc_pdf_p11,HIGH,UNVERIFIED
CH1-TBL-083,7,設計条件一覧,CH1-TBL-083,,,,,,,table,calc_pdf_p7,MEDIUM,UNVERIFIED
CH2-TBL-001,18,各部構成,総幅員,値,8032,8032,mm,8032,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-002,18,各部構成,舗装厚,値,80,80,mm,80,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-003,18,各部構成,床版支間長(支間部),値,4512,4512,mm,4512,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-004,18,各部構成,床版支間長(張出部),値,1760,1760,mm,1760,mm,SECTION_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-005,18,材料(鋼板),材質,,,SM490Y,,SM490Y,,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-006,18,材料(鋼板),引張応力度制限値,,,210,N/mm2,210,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-007,18,材料(鋼板),引張降伏強度,,,355,N/mm2,355,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-008,18,材料(鋼板),圧縮降伏強度,,,355,N/mm2,355,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-009,18,材料(横リブ),材質,,,SS400,,SS400,,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-010,18,材料(横リブ),引張降伏強度,,,235,N/mm2,235,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-011,18,材料(横リブ),圧縮降伏強度,,,235,N/mm2,235,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-012,18,材料(鉄筋),材質,,,SD345,,SD345,,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-013,18,材料(鉄筋),引張応力度制限値(疲労),,,120,N/mm2,120,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-014,18,材料(鉄筋),引張応力度制限値(腐食),,,100,N/mm2,100,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-015,18,材料(鉄筋),引張降伏強度,,,345,N/mm2,345,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-016,18,材料(鉄筋),圧縮降伏強度,,,345,N/mm2,345,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-017,18,材料(コンクリート),設計基準強度,,,30,N/mm2,30,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-018,18,材料(コンクリート),曲げ圧縮応力度制限値,,,8.6,N/mm2,8.6,N/mm2,MATERIAL_PROPERTY,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-019,19,合成床版厚,合成床版厚,,,230,mm,230,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-020,19,合成床版厚,RC版厚(支間部),,,222,mm,222,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-021,19,合成床版厚,RC版厚(支点部),,,330,mm,330,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-022,19,合成床版厚,ハンチ高,,,100,mm,100,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-023,19,鋼材寸法,底鋼板板厚,,,8,mm,8,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-024,19,鋼材寸法,横リブ間隔,,,625,mm,625,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-025,19,鋼材寸法,横リブ高さ,,,100,mm,100,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-026,19,鋼材寸法,横リブ板厚,,,12,mm,12,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-027,19,鋼材寸法,使用形鋼,,,1-L 75×75×9,,L 75×75×9,,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-028,19,スタッド仕様,主鉄筋方向ピッチ,,,250,mm,250,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-029,19,スタッド仕様,配力筋方向ピッチ,,,208,mm,208,mm,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-030,19,スタッド仕様,サイズ,,,φ16×160mm,,φ16×160mm,,SECTION_PROPERTY,calc_pdf_p19,HIGH,UNVERIFIED
CH2-TBL-031,20,鉄筋配置(一般部),主鉄筋,,D19 @100mm,D19 @100,,D19 @100,,DIMENSION,calc_pdf_p20,HIGH,UNVERIFIED
CH2-TBL-032,20,鉄筋配置(一般部),配力筋,,D19 @250mm,D19 @250,,D19 @250,,DIMENSION,calc_pdf_p20,HIGH,UNVERIFIED
CH2-TBL-033,20,鉄筋配置(一般部),ハンチ筋,,D22 @300mm,D22 @300,,D22 @300,,DIMENSION,calc_pdf_p20,HIGH,UNVERIFIED
CH2-TBL-034,20,鉄筋配置(中間支点部),配力筋,,D22 @125mm,D22 @125,,D22 @125,,DIMENSION,calc_pdf_p20,HIGH,UNVERIFIED
CAL-TBL-P00119-001,119,死荷重一覧(舗装),舗装,単位面積荷重,1.800 kN/m2,1.800,kN/m2,1.800,kN/m2,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-002,119,死荷重一覧(舗装),舗装,舗装厚,0.080 m,0.080,m,0.080,m,DIMENSION,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-003,119,死荷重一覧(床版),床版,単位面積荷重,6.325 kN/m2,6.325,kN/m2,6.325,kN/m2,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-004,119,死荷重一覧(床版),床版,床版厚,0.230 m,0.230,m,0.230,m,DIMENSION,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-005,119,死荷重一覧(ハンチ),ハンチ AG1 AG2,単位長さ荷重,2.842 kN/m,2.842,kN/m,2.842,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-006,119,死荷重一覧(壁高欄),壁高欄 左側 右側,単位長さ荷重,9.920 kN/m,9.920,kN/m,9.920,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-007,119,死荷重一覧(遮音壁),遮音壁 付属物荷重,単位長さ荷重,2.100 kN/m,2.100,kN/m,2.100,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-008,119,死荷重一覧(鋼重),鋼重,単位長さ荷重,12.000 kN/m,12.000,kN/m,12.000,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-009,119,死荷重一覧(検査路),検査路,単位長さ荷重,1.000 kN/m,1.000,kN/m,1.000,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-010,119,死荷重一覧(舗装),舗装,単位重量,22.5 kN/m3,22.5,kN/m3,22.5,kN/m3,MATERIAL_PROPERTY,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-011,119,死荷重一覧(床版),床版,単位重量,27.5 kN/m3,27.5,kN/m3,27.5,kN/m3,MATERIAL_PROPERTY,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-012,119,死荷重一覧(ノーズ部),ノーズ部,単位長さ荷重,1.000 kN/m,1.000,kN/m,1.000,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-013,119,死荷重一覧(地覆),地覆,単位長さ荷重,2.100 kN/m,2.100,kN/m,2.100,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00125-001,125,ノーズ部地覆等の格点荷重,ノーズ地覆 S1,AG1格点荷重,30 kN,30,kN,30,kN,LOAD_VALUE,calc_pdf_p125,HIGH,UNVERIFIED
CAL-TBL-P00125-002,125,ノーズ部地覆等の格点荷重,ノーズ地覆 C1,AG1格点荷重,48 kN,48,kN,48,kN,LOAD_VALUE,calc_pdf_p125,HIGH,UNVERIFIED
CAL-TBL-P00125-003,125,床版拡幅格点荷重,床版拡幅 S1,AG1格点荷重,11 kN,11,kN,11,kN,LOAD_VALUE,calc_pdf_p125,HIGH,UNVERIFIED
CAL-TBL-P00125-004,125,床版拡幅格点荷重,床版拡幅 C1,AG1格点荷重,20 kN,20,kN,20,kN,LOAD_VALUE,calc_pdf_p125,HIGH,UNVERIFIED
CAL-TBL-P00128-001,128,ノーズ部打下ろし格点荷重,ノーズ打下し S1,AG1格点荷重,31 kN,31,kN,31,kN,LOAD_VALUE,calc_pdf_p128,HIGH,UNVERIFIED
CAL-TBL-P00128-002,128,ノーズ部打下ろし格点荷重,ノーズ打下し C1,AG1格点荷重,23 kN,23,kN,23,kN,LOAD_VALUE,calc_pdf_p128,HIGH,UNVERIFIED
CAL-TBL-P00128-003,128,ノーズ部打下ろし格点荷重,ノーズ打下し C2,AG1格点荷重,8 kN,8,kN,8,kN,LOAD_VALUE,calc_pdf_p128,HIGH,UNVERIFIED
CAL-TBL-P00131-001,131,床版打下し格点荷重一覧,床版打下し S1 AG1,格点荷重,35 kN,35,kN,35,kN,LOAD_VALUE,calc_pdf_p131,HIGH,UNVERIFIED
CAL-TBL-P00131-002,131,床版打下し格点荷重一覧,床版打下し S1 AG2,格点荷重,62 kN,62,kN,62,kN,LOAD_VALUE,calc_pdf_p131,HIGH,UNVERIFIED
CAL-TBL-P00131-003,131,床版打下し格点荷重一覧,床版打下し PR1 AG1,格点荷重,11 kN,11,kN,11,kN,LOAD_VALUE,calc_pdf_p131,HIGH,UNVERIFIED
CAL-TBL-P00131-004,131,床版打下し格点荷重一覧,床版打下し PR1 AG2,格点荷重,11 kN,11,kN,11,kN,LOAD_VALUE,calc_pdf_p131,HIGH,UNVERIFIED
CAL-TBL-P00131-005,131,床版打下し格点荷重一覧,床版打下し PR2 AG1,格点荷重,11 kN,11,kN,11,kN,LOAD_VALUE,calc_pdf_p131,HIGH,UNVERIFIED
CAL-TBL-P00131-006,131,床版打下し格点荷重一覧,床版打下し PR2 AG2,格点荷重,11 kN,11,kN,11,kN,LOAD_VALUE,calc_pdf_p131,HIGH,UNVERIFIED
CAL-TBL-P00131-007,131,床版打下し格点荷重一覧,床版打下し S2 AG1,格点荷重,17 kN,17,kN,17,kN,LOAD_VALUE,calc_pdf_p131,HIGH,UNVERIFIED
CAL-TBL-P00131-008,131,床版打下し格点荷重一覧,床版打下し S2 AG2,格点荷重,17 kN,17,kN,17,kN,LOAD_VALUE,calc_pdf_p131,HIGH,UNVERIFIED
CAL-TBL-P00132-001,132,桁端部荷重一覧,桁端部 S1 AG1,格点荷重,37 kN,37,kN,37,kN,LOAD_VALUE,calc_pdf_p132,HIGH,UNVERIFIED
CAL-TBL-P00132-002,132,桁端部荷重一覧,桁端部 S1 AG2,格点荷重,44 kN,44,kN,44,kN,LOAD_VALUE,calc_pdf_p132,HIGH,UNVERIFIED
CAL-TBL-P00132-003,132,桁端部荷重一覧,桁端部 S2 AG1,格点荷重,50 kN,50,kN,50,kN,LOAD_VALUE,calc_pdf_p132,HIGH,UNVERIFIED
CAL-TBL-P00132-004,132,桁端部荷重一覧,桁端部 S2 AG2,格点荷重,50 kN,50,kN,50,kN,LOAD_VALUE,calc_pdf_p132,HIGH,UNVERIFIED
CAL-TBL-P00133-001,133,巻き立てコンクリート寸法表,端支点,L1,990 mm,990,mm,0.990,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-002,133,巻き立てコンクリート寸法表,端支点,L2,1190 mm,1190,mm,1.190,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-003,133,巻き立てコンクリート寸法表,端支点,Bx2,250 mm,250,mm,0.250,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-004,133,巻き立てコンクリート寸法表,端支点,L3,1440 mm,1440,mm,1.440,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-005,133,巻き立てコンクリート寸法表,端支点,採用幅,1500 mm,1500,mm,1.500,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-006,133,巻き立てコンクリート寸法表,中間支点,L1,1340 mm,1340,mm,1.340,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-007,133,巻き立てコンクリート寸法表,中間支点,L2,1540 mm,1540,mm,1.540,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-008,133,巻き立てコンクリート寸法表,中間支点,Bx2,250 mm,250,mm,0.250,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-009,133,巻き立てコンクリート寸法表,中間支点,L3,1790 mm,1790,mm,1.790,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-010,133,巻き立てコンクリート寸法表,中間支点,採用幅,2000 mm,2000,mm,2.000,m,DIMENSION,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-011,133,巻き立てコンクリート荷重 S1,S1 AG1,格点荷重,215 kN,215,kN,215,kN,LOAD_VALUE,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00133-012,133,巻き立てコンクリート荷重 S1,S1 AG2,格点荷重,215 kN,215,kN,215,kN,LOAD_VALUE,calc_pdf_p133,HIGH,UNVERIFIED
CAL-TBL-P00134-001,134,巻き立てコンクリート荷重 S2,S2 AG1,格点荷重,226 kN,226,kN,226,kN,LOAD_VALUE,calc_pdf_p134,HIGH,UNVERIFIED
CAL-TBL-P00134-002,134,巻き立てコンクリート荷重 S2,S2 AG2,格点荷重,226 kN,226,kN,226,kN,LOAD_VALUE,calc_pdf_p134,HIGH,UNVERIFIED
CAL-TBL-P00134-003,134,巻き立てコンクリート荷重 PR1,PR1 AG1,格点荷重,283 kN,283,kN,283,kN,LOAD_VALUE,calc_pdf_p134,HIGH,UNVERIFIED
CAL-TBL-P00134-004,134,巻き立てコンクリート荷重 PR1,PR1 AG2,格点荷重,283 kN,283,kN,283,kN,LOAD_VALUE,calc_pdf_p134,HIGH,UNVERIFIED
