source_record_id,source_type,pdf_page_number,printed_page_number,chapter_id,section_id,source_locator,semantic_class,confidence,verification_status,notes
CH1-PE-021,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,コンクリート: σck=30N/mm2(合成床版) σck=24N/mm2(壁高欄) σck=30N/mm2(巻き立て)
CH1-PE-022,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,鉄筋: SD345
CH1-PE-023,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,防錆仕様: 塗装仕様
CH1-PE-024,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,支承: 橋軸方向:(免震) 橋軸直角方向(固定)
CH1-PE-025,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,防護柵: 剛性防護柵フロリダ型(SC種)
CH1-PE-026,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,遮音壁荷重: 付属物荷重として両側に2.1kN/m (路面より5.0m)
CH1-PE-027,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,検査路: 1.0kN/m (走行車線直下に1条)
CH1-PE-028,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,適用基準: 道路橋示方書・同解説(H29.11) / 日本道路協会
CH1-PE-029,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,現場継手: トルシア型高力ボルト接合 M22(S10T)
CH1-PE-030,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Design policy note
CH1-PE-031,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Bearing selection note
CH1-PE-032,page_element,8,3,CH1,CAL-SEC-1.2,calc_pdf_p8,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,General structural drawing heading
CH1-PE-033,page_element,8,3,CH1,CAL-SEC-1.2,calc_pdf_p8,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Drawing title
CH1-PE-034,page_element,9,4,CH1,CAL-SEC-1.2,calc_pdf_p9,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Drawing title sheet 2
CH1-PE-035,page_element,9,4,CH1,CAL-SEC-1.2,calc_pdf_p9,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Cross section labels
CH1-PE-036,page_element,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Basic dimension list heading
CH1-PE-037,page_element,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Main girder span length table
CH1-PE-038,page_element,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Main girder panel length table
CH1-PE-039,page_element,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Cross-section interval length table
CH1-TBL-001,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,span_length,HIGH,UNVERIFIED,主桁支間長
CH1-TBL-002,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,span_length,HIGH,UNVERIFIED,主桁支間長
CH1-TBL-003,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,span_length,HIGH,UNVERIFIED,主桁支間長
CH1-TBL-004,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,span_length,HIGH,UNVERIFIED,主桁支間長
CH1-TBL-005,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,span_length,HIGH,UNVERIFIED,主桁支間長
CH1-TBL-006,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,span_length,HIGH,UNVERIFIED,主桁支間長
CH1-TBL-007,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-008,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-009,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-010,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-011,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-012,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-013,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-014,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-015,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-016,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-017,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-018,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-019,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-020,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-021,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-022,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-023,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-024,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-025,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-026,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-027,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-028,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-029,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-030,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-031,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-032,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-033,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-034,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-035,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-036,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-037,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-038,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-039,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-040,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-041,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-042,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-043,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-044,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-045,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-046,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-047,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-048,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-049,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-050,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-051,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-052,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-053,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-054,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-055,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-056,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-057,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-058,table,10,5,CH1,CAL-SEC-1.3,calc_pdf_p10,panel_length,HIGH,UNVERIFIED,主桁格間長
CH1-TBL-059,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-060,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-061,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-062,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-063,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-064,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-065,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-066,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-067,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-068,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-069,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-070,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-071,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-072,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-073,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-074,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-075,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-076,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-077,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-078,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-079,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-080,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-081,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-082,table,11,6,CH1,CAL-SEC-1.3,calc_pdf_p11,cross_interval,HIGH,UNVERIFIED,横断間隔長
CH1-TBL-083,table,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,table,MEDIUM,UNVERIFIED,設計条件一覧
CH1-VAL-001,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,road_spec,HIGH,UNVERIFIED,道路規格
CH1-VAL-002,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,design_speed,HIGH,UNVERIFIED,設計速度
CH1-VAL-003,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,live_load,HIGH,UNVERIFIED,活荷重
CH1-VAL-004,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,bridge_type,HIGH,UNVERIFIED,橋梁形式
CH1-VAL-005,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,bridge_length,HIGH,UNVERIFIED,橋長
CH1-VAL-006,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,girder_length,HIGH,UNVERIFIED,桁長
CH1-VAL-007,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,span_length,HIGH,UNVERIFIED,支間長1
CH1-VAL-008,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,span_length,HIGH,UNVERIFIED,支間長2
CH1-VAL-009,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,span_length,HIGH,UNVERIFIED,支間長3
CH1-VAL-010,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,total_width,HIGH,UNVERIFIED,総幅員
CH1-VAL-011,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,effective_width,HIGH,UNVERIFIED,有効幅員
CH1-VAL-012,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,skew_angle,HIGH,UNVERIFIED,斜角_PU15
CH1-VAL-013,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,skew_angle,HIGH,UNVERIFIED,斜角_PR1_PR2_A2
CH1-VAL-014,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,curve_radius,HIGH,UNVERIFIED,平面線形_R1
CH1-VAL-015,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,curve_radius,HIGH,UNVERIFIED,平面線形_R2
CH1-VAL-016,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,longitudinal_gradient,HIGH,UNVERIFIED,縦断勾配_i1
CH1-VAL-017,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,longitudinal_gradient,HIGH,UNVERIFIED,縦断勾配_i2
CH1-VAL-018,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,cross_gradient,HIGH,UNVERIFIED,横断勾配_i1
CH1-VAL-019,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,cross_gradient,HIGH,UNVERIFIED,横断勾配_i2
CH1-VAL-020,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,cross_gradient,HIGH,UNVERIFIED,横断勾配_i3
CH1-VAL-021,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,DIMENSION,HIGH,UNVERIFIED,舗装厚
CH1-VAL-022,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,deck_thickness,HIGH,UNVERIFIED,床版厚
CH1-VAL-023,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,SOURCE_INPUT,HIGH,UNVERIFIED,大型車交通量
CH1-VAL-024,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,DERIVED_VALUE,HIGH,UNVERIFIED,設計水平震度_レベル1
CH1-VAL-025,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,SOURCE_INPUT,HIGH,UNVERIFIED,設計水平震度_レベル2
CH1-VAL-026,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,steel_grade,HIGH,UNVERIFIED,鋼材_SM520
CH1-VAL-027,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,steel_grade,HIGH,UNVERIFIED,鋼材_SM490Y
CH1-VAL-028,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,steel_grade,HIGH,UNVERIFIED,鋼材_SM400
CH1-VAL-029,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,steel_grade,HIGH,UNVERIFIED,鋼材_SS400
CH1-VAL-030,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,concrete_strength,HIGH,UNVERIFIED,コンクリート合成床版
CH1-VAL-031,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,concrete_strength,HIGH,UNVERIFIED,コンクリート壁高欄
CH1-VAL-032,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,concrete_strength,HIGH,UNVERIFIED,コンクリート巻き立て
CH1-VAL-033,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,MATERIAL_PROPERTY,HIGH,UNVERIFIED,鉄筋
CH1-VAL-034,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,IDENTIFIER,HIGH,UNVERIFIED,現場継手ボルト
CH1-VAL-035,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,LOAD_VALUE,HIGH,UNVERIFIED,遮音壁荷重
CH1-VAL-036,value,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,LOAD_VALUE,HIGH,UNVERIFIED,検査路荷重
CH2-FML-001,formula,19,14,CH2,CAL-SEC-2.1,calc_pdf_p19,deck_thickness,HIGH,UNVERIFIED,合成床版厚算定式
CH2-FML-002,formula,20,15,CH2,CAL-SEC-2.1,calc_pdf_p20,member_force,HIGH,UNVERIFIED,膜作用主鉄筋方向曲げモーメント
CH2-FML-003,formula,20,15,CH2,CAL-SEC-2.1,calc_pdf_p20,member_force,HIGH,UNVERIFIED,膜作用配力筋方向曲げモーメント
CH2-FML-004,formula,21,16,CH2,CAL-SEC-2.1,calc_pdf_p21,load_intensity,HIGH,UNVERIFIED,梁モデル荷重強度
CH2-FML-005,formula,22,17,CH2,CAL-SEC-2.1,calc_pdf_p22,member_force,HIGH,UNVERIFIED,舗装死荷重曲げモーメント
CH2-FML-006,formula,22,17,CH2,CAL-SEC-2.1,calc_pdf_p22,DERIVED_VALUE,HIGH,UNVERIFIED,T荷重支間割増係数
CH2-FML-007,formula,22,17,CH2,CAL-SEC-2.1,calc_pdf_p22,member_force,HIGH,UNVERIFIED,活荷重曲げモーメント主鉄筋方向
CH2-FML-008,formula,22,17,CH2,CAL-SEC-2.1,calc_pdf_p22,member_force,HIGH,UNVERIFIED,活荷重曲げモーメント配力筋方向
CH2-FML-009,formula,23,18,CH2,CAL-SEC-2.1,calc_pdf_p23,member_force,HIGH,UNVERIFIED,張出部T荷重活荷重曲げモーメント
CH2-FML-010,formula,30,25,CH2,CAL-SEC-2.1,calc_pdf_p30,DESIGN_RESULT,HIGH,UNVERIFIED,疲労応力度照査鋼板下面
CH2-FML-011,formula,31,26,CH2,CAL-SEC-2.1,calc_pdf_p31,member_force,HIGH,UNVERIFIED,スタッドせん断力算定式
CH2-NOTE-001,note,16,11,CH2,CAL-SEC-ch2,calc_pdf_p16,NOTE,HIGH,UNVERIFIED,
CH2-NOTE-002,note,18,13,CH2,CAL-SEC-2.1,calc_pdf_p18,SECTION_PROPERTY,HIGH,UNVERIFIED,
CH2-NOTE-003,note,19,14,CH2,CAL-SEC-2.1,calc_pdf_p19,DIMENSION,HIGH,UNVERIFIED,
CH2-NOTE-004,note,20,15,CH2,CAL-SEC-2.1,calc_pdf_p20,NOTE,HIGH,UNVERIFIED,
CH2-NOTE-005,note,21,16,CH2,CAL-SEC-2.1,calc_pdf_p21,NOTE,HIGH,UNVERIFIED,
CH2-NOTE-006,note,21,16,CH2,CAL-SEC-2.1,calc_pdf_p21,NOTE,HIGH,UNVERIFIED,
CH2-NOTE-007,note,21,16,CH2,CAL-SEC-2.1,calc_pdf_p21,REFERENCE_TEXT,HIGH,UNVERIFIED,
CH2-NOTE-008,note,29,24,CH2,CAL-SEC-2.1,calc_pdf_p29,REFERENCE_TEXT,HIGH,UNVERIFIED,
CH2-NOTE-009,note,33,28,CH2,CAL-SEC-2.1,calc_pdf_p33,REFERENCE_TEXT,HIGH,UNVERIFIED,
CH2-PE-001,page_element,16,11,CH2,CAL-SEC-ch2,calc_pdf_p16,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Chapter 2 heading
CH2-PE-002,page_element,16,11,CH2,CAL-SEC-ch2,calc_pdf_p16,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Scope note
