table_id,pdf_page,subsection,table_title,row_data
T13,305,3.2.2.1,"AG1 Sec-8(J-7)","UFLG:620*26,LFLG:680*21,WEB:2653*14,σb(U)(+M)=-99<σcud=236,σb(L)(+M)=104<σtud=272,τb=43"
T14,306,3.2.2.1,"AG1 Sec-8(J-8)","UFLG:620*26,LFLG:680*21,WEB:2653*14,σb(U)=-216<σcud=236,σb(L)=228<σtud=272,τb=22,κ=0.70"
T15,307,3.2.2.1,"AG1 Sec-9(Mx-Max)","UFLG:620*28,LFLG:680*21,WEB:2651*14,σb(U)=-223<σcud=258,σb(L)=243<σtud=272,τb=12,κ=0.78"
T16,308,3.2.2.1,"AG1 Sec-10(J-9)","UFLG:620*26,LFLG:680*21,WEB:2653*14,σb(U)=-216<σcud=236,σb(L)=227<σtud=272,τb=22,κ=0.70"
T17,309,3.2.2.1,"AG1 Sec-10(J-10)","UFLG:620*26,LFLG:680*21,WEB:2653*14,σb(U)(+M)=-98<σcud=236,σb(L)(+M)=103<σtud=272,τb=43"
T18,310,3.2.2.1,"AG1 Sec-11(左)","UFLG:620*26,LFLG:680*30,WEB:2644*14,σb(U)(+M)=-93<σcud=236,σb(L)(+M)=83<σtud=272,τb=43"
T19,311,3.2.2.1,"AG1 Sec-11(J-11)","UFLG:620*26,LFLG:680*30,WEB:2644*14,σb(U)=242<σtud=272,σb(L)=-216<σcud=249,τb=66,κ=0.94"
T20,312,3.2.2.1,"AG1 Sec-12(Mx-Min_L)","UFLG:620*39,LFLG:680*47(SM520-H),WEB:2614*14,σb(U)=262<σtud=272,σb(L)=-223<σcud=249,τb=75,κ=1.11"
T21,313,3.2.2.1,"AG1 Sec-12(Mx-Min_R)","UFLG:620*39,LFLG:680*47(SM520-H),WEB:2614*14,σb(U)=262<σtud=272,σb(L)=-223<σcud=249,τb=75,κ=1.11"
T22,314,3.2.2.1,"AG1 Sec-13(J-12)","UFLG:620*27,LFLG:680*30,WEB:2643*14,σb(U)=240<σtud=272,σb(L)=-218<σcud=249,τb=66,κ=0.93"
T23,315,3.2.2.1,"AG1 Sec-13(右)","UFLG:620*27,LFLG:680*30,WEB:2643*14,σb(U)(+M)=-112<σcud=247,σb(L)(+M)=102<σtud=272,τb=44"
T24,316,3.2.2.1,"AG1 Sec-14(J-13)","UFLG:620*25,LFLG:680*22,WEB:2653*14,σb(U)(+M)=-121<σcud=225,σb(L)(+M)=123<σtud=272,τb=43"
T25,317,3.2.2.1,"AG1 Sec-14(J-14)","UFLG:620*25,LFLG:680*22,WEB:2653*14,σb(U)=-215<σcud=225,σb(L)=222<σtud=272,τb=28,κ=0.67"
T26,318,3.2.2.1,"AG1 Sec-15(Mx-Max)","UFLG:620*28,LFLG:680*21,WEB:2651*14,σb(U)=-222<σcud=258,σb(L)=241<σtud=272,τb=12,κ=0.78"
T27,319,3.2.2.1,"AG1 Sec-16(J-15)","UFLG:620*26,LFLG:680*21,WEB:2653*14,σb(U)=-215<σcud=236,σb(L)=226<σtud=272,τb=22,κ=0.70"
T28,320,3.2.2.1,"AG1 Sec-17(J-16)","UFLG:620*26,LFLG:680*30,WEB:2644*14,σb(U)=241<σtud=272,σb(L)=-215<σcud=249,τb=66,κ=0.93"
T29,321,3.2.2.1,"AG1 Sec-17(右)","UFLG:620*26,LFLG:680*30,WEB:2644*14,σb(U)(+M)=-94<σcud=236,σb(L)(+M)=84<σtud=272,τb=43"
T30,323-349,3.2.2.1,"AG2 sections (28 sections)","AG2 Sec-1 through Sec-17 (same flange widths 620/680, web 14mm, varying thicknesses)"
T31,350,3.2.2.2,"Dead load AG1 Sec-3(Mx-Max)","M=6673.7kNm,UFLG:620*27,WEB:2652*14,LFLG:680*21,σb(U)=-113<247,σb(L)=121<272"
T32,351,3.2.2.2,"Dead load AG1 Sec-5(J-5)","M=-9070.3kNm,UFLG:620*27,WEB:2643*14,LFLG:680*30,σb(U)=147<272,σb(L)=-133<250"
T33,352,3.2.2.2,"Dead load AG1 Sec-6(Mx-Min_L)","M=-13747.9kNm,UFLG:620*39,WEB:2614*14,LFLG:680*47(SM520-H)"
T34,379,3.2.4,"Field splice - design equations","Bolt type: TCB M22(S10T), hole dia 24.5mm, M22 friction connection"
T35,382,3.2.4,"AG1 J-1 UFLG splice","σc=187N/mm2,Ag=136.4cm2,bolt arrangement 620mm width, TCB M22"
T36,382-514,3.2.4,"Field splice bolt tables per joint","UFLG/LFLG/WEB bolts per joint for AG1 and AG2"
T37,667-669,3.2.14,"Flange-web weld verification table","Weld sizes per section (AG1 Sec-1 through AG1 Sec-17, AG2 sections)"
T38,669,3.2.16,"Steel weight comparison","AG1 length=133.303m,AG2 length=132.847m,assumed weight 12.000kN/m"
T39,669,3.2.16,"Steel weight totals","Sum assumed=3193.800kN(325.566t),actual main steel=311.594t,ratio=95.7% OK"
