pdf_page,printed_page,subsection,title,element_type,content_summary
308,303,3.2.2,断面の決定(table),table,"AG1 Sec-7(J-6): UFLG 620x26 + WEB 2644x14 + LFLG 680x30"
309,304,3.2.2,断面の決定(table),table,"AG1 Sec-7(右): UFLG 620x26 + WEB 2644x14 + LFLG 680x30"
310,305,3.2.2,断面の決定(table),table,"AG1 Sec-8(J-7): UFLG 620x26 + WEB 2653x14 + LFLG 680x21"
311,306,3.2.2,断面の決定(table),table,"AG1 Sec-8(J-8): UFLG 620x26 + WEB 2653x14 + LFLG 680x21"
312,307,3.2.2,断面の決定(table),table,"AG1 Sec-9(Mx-Max): UFLG 620x28 + WEB 2651x14 + LFLG 680x21"
313,308,3.2.2,断面の決定(table),table,"AG1 Sec-10(J-9): UFLG 620x26 + WEB 2653x14 + LFLG 680x21"
314,309,3.2.2,断面の決定(table),table,"AG1 Sec-10(J-10): UFLG 620x26 + WEB 2653x14 + LFLG 680x21"
315,310,3.2.2,断面の決定(table),table,"AG1 Sec-11(左): UFLG 620x26 + WEB 2644x14 + LFLG 680x30"
316,311,3.2.2,断面の決定(table),table,"AG1 Sec-11(J-11): UFLG 620x26 + WEB 2644x14 + LFLG 680x30"
317,312,3.2.2,断面の決定(table),table,"AG1 Sec-12(Mx-Min_L): UFLG 620x39 + WEB 2614x14 + LFLG 680x47(SM520-H)"
318,313,3.2.2,断面の決定(table),table,"AG1 Sec-12(Mx-Min_R): UFLG 620x39 + WEB 2614x14 + LFLG 680x47(SM520-H)"
319,314,3.2.2,断面の決定(table),table,"AG1 Sec-13(J-12): UFLG 620x27 + WEB 2643x14 + LFLG 680x30"
320,315,3.2.2,断面の決定(table),table,"AG1 Sec-13(右): UFLG 620x27 + WEB 2643x14 + LFLG 680x30"
321,316,3.2.2,断面の決定(table),table,"AG1 Sec-14(J-13): UFLG 620x25 + WEB 2653x14 + LFLG 680x22"
322,317,3.2.2,断面の決定(table),table,"AG1 Sec-14(J-14): UFLG 620x25 + WEB 2653x14 + LFLG 680x22"
323,318,3.2.2,断面の決定(table),table,"AG1 Sec-15(Mx-Max): UFLG 620x28 + WEB 2651x14 + LFLG 680x21"
324,319,3.2.2,断面の決定(table),table,"AG1 Sec-16(J-15): UFLG 620x26 + WEB 2653x14 + LFLG 680x21"
325,320,3.2.2,断面の決定(table),table,"AG1 Sec-17(J-16): UFLG 620x26 + WEB 2644x14 + LFLG 680x30"
326,321,3.2.2,断面の決定(table),table,"AG1 Sec-17(右): UFLG 620x26 + WEB 2644x14 + LFLG 680x30"
327,322,3.2.2,断面の決定(table),table,"AG1 summary: adopted flange/web dimensions"
328,323,3.2.2,断面の決定(table),table,"AG2 Sec-1(左): UFLG 620x22 + WEB 2537x14 + LFLG 680x21"
329,324,3.2.2,断面の決定(table),table,"AG2 Sec-1(J-1) through Sec-17(右) [AG2 sections]"
330-348,325-343,3.2.2,断面の決定(table),table,"AG2 sections continued"
349,344,3.2.2,断面の決定(table),table,"AG2 sections continued"
350,345,3.2.2,断面の決定(table),table,"3.2.2.2 断面の決定(死荷重) - Dead load only section determination"
351-376,346-371,3.2.2,断面の決定(table),table,"Dead load section determination tables"
377,372,3.2.2,断面の決定(table),table,"Dead load section determination (continued)"
378,373,3.2.2,断面の決定(table),table,"Dead load section determination (continued)"
379,374,3.2.3,断面構成図,figure,"Section composition drawing - non-composite section diagram AG1"
380,375,3.2.3,断面構成図,figure,"Section composition drawing (continued)"
381,376,3.2.3,断面構成図,figure,"Section composition drawing AG2"
382,377,3.2.3,断面構成図,figure,"Section composition drawing (continued)"
383,378,3.2.3,断面構成図,figure,"Section composition drawing - girder elevation view"
384,379,3.2.4,現場継手の計算,text,"Field splice calculation start"
385-519,380-514,3.2.4,現場継手の計算(table),table,"Field splice bolt calculations for AG1, AG2 - each joint"
520,515,3.2.4,現場継手の計算(table),table,"Field splice total bolt count summary"
521,516,3.2.5,たわみおよび剛比の照査,text,"Deflection and stiffness ratio verification"
522-526,517-521,3.2.5,たわみおよび剛比の照査(table),table,"Deflection calculations, stiffness ratio check"
527,522,3.2.6,支点上補剛材の計算,text,"Bearing stiffener calculation start"
528-544,523-539,3.2.6,支点上補剛材の計算(table),table,"Bearing stiffener design tables and checks"
545,540,3.2.7,中間補剛材の計算,text,"Intermediate stiffener calculation start"
546-563,541-558,3.2.7,中間補剛材の計算(table),table,"Intermediate stiffener spacing and rigidity checks"
564,559,3.2.8,格点補剛材の計算,text,"Panel point stiffener calculation start"
565-572,560-567,3.2.8,格点補剛材の計算(table),table,"U-frame stiffness verification and panel point stiffener design"
573,568,3.2.9,ジャッキアップ補剛材の計算,text,"Jack-up stiffener calculation start"
574-584,569-579,3.2.9,ジャッキアップ補剛材の計算(table),table,"Jack-up stiffener design tables"
585,580,3.2.10,横力の計算,text,"Lateral force calculation start"
586-622,581-617,3.2.10,横力の計算(table),table,"Lateral force (seismic L2) calculations - bridge transverse direction"
623,618,3.2.11,横力考慮時の主桁応力度,text,"Main girder stress with lateral force start"
624-650,619-645,3.2.11,横力考慮時の主桁応力度(table),table,"Combined stress verification with lateral force"
651,646,3.2.12,ずれ止めの計算,text,"Shear connector calculation start"
652-660,647-655,3.2.12,ずれ止めの計算(table),table,"Shear connector design policy and horizontal force"
661,656,3.2.13,主桁高変化部の補剛材の計算,text,"Variable depth stiffener calculation start"
662-665,657-660,3.2.13,主桁高変化部の補剛材の計算(table),table,"Variable depth stiffener design"
666,661,3.2.14,主桁溶接計算,text,"Main girder weld calculation start"
667-669,662-664,3.2.14,主桁溶接計算(table),table,"Flange-web weld verification summary tables"
670,665,3.2.15,ソールプレート取り付けの計算,text,"Sole plate attachment calculation start"
671-672,666-667,3.2.15,ソールプレート取り付けの計算(table),table,"Sole plate horizontal forces, weld verification"
673,668,3.2.16,鋼重比較,text,"Steel weight comparison start"
674,669,3.2.16,鋼重比較(table),table,"Steel weight comparison: assumed 325.566t vs actual 311.594t (95.7%)"
