candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
DS-101,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-6-mx-min_l.kappa.1,check_ratio,1.10,,1.10,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-019,calc_pdf_p301,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-6(Mx-Min_L)'.
DS-105,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-6-mx-min_r.kappa.1,check_ratio,1.10,,1.10,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-020,calc_pdf_p302,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-6(Mx-Min_R)'.
DS-109,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-7-j-6.kappa.1,check_ratio,0.93,,0.93,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-021,calc_pdf_p303,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-7(J-6)'.
DS-118,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-8-j-8.kappa.1,check_ratio,0.70,,0.70,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-024,calc_pdf_p306,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-8(J-8)'.
DS-122,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-9-mx-max.kappa.1,check_ratio,0.78,,0.78,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-025,calc_pdf_p307,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-9(Mx-Max)'.
DS-126,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-10-j-9.kappa.1,check_ratio,0.70,,0.70,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-026,calc_pdf_p308,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-10(J-9)'.
DS-136,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-11-j-11.kappa.1,check_ratio,0.94,,0.94,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-029,calc_pdf_p311,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-11(J-11)'.
DS-140,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-12-mx-min_l.kappa.1,check_ratio,1.11,,1.11,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-030,calc_pdf_p312,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-12(Mx-Min_L)'.
DS-144,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-12-mx-min_r.kappa.1,check_ratio,1.11,,1.11,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-031,calc_pdf_p313,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-12(Mx-Min_R)'.
DS-148,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-13-j-12.kappa.1,check_ratio,0.93,,0.93,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-032,calc_pdf_p314,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-13(J-12)'.
DS-158,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-14-j-14.kappa.1,check_ratio,0.67,,0.67,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-035,calc_pdf_p317,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-14(J-14)'.
DS-162,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-15-mx-max.kappa.1,check_ratio,0.78,,0.78,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-036,calc_pdf_p318,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-15(Mx-Max)'.
DS-166,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-16-j-15.kappa.1,check_ratio,0.70,,0.70,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-037,calc_pdf_p319,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-16(J-15)'.
DS-170,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-17-j-16.kappa.1,check_ratio,0.93,,0.93,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-038,calc_pdf_p320,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-17(J-16)'.
DS-194,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-6.kappa,check_ratio,1.10,,1.10,,NOR-009,"DC-006,SRC-calculation_chapter_03_section_3_2_values-055",calc_pdf_p297,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,AG1 Sec-6 combined bending+shear kappa (limit 1.2).
DS-195,ENT-GIRDER-AG1,design,check_ratio.ag1.composite.kappa,check_ratio,0.13,,0.13,,NOR-009,"DC-008,CAL-VAL-P01319-029",calc_pdf_p1319,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Composite section simultaneous bending+shear kappa (LS1).
DS-196,ENT-GIRDER-AG1,design,check_ratio.fatigue.damage_D,check_ratio,0.26,,0.26,,NOR-009,"DC-007,CAL-VAL-P00852-003",calc_pdf_p852,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Fatigue damage ratio D (limit 1.0).
DS-197,ENT-GIRDER-AG1,design,check_ratio.steel_weight_ratio,check_ratio,95.7,,95.7,,NOR-009,"DC-010,SRC-calculation_chapter_03_section_3_2_values-025",calc_pdf_p674,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Assumed vs actual steel weight ratio (limit 110%).
DS-198,ENT-GIRDER-AG1,design,check_ratio.bearing.PR1.sigma_max,check_ratio,5.14,,5.14,,NOR-009,CH5-TBL-034,calc_pdf_p2040,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,PR1 bearing max compressive stress (limit 8.0 N/mm2).
DS-199,ENT-GIRDER-AG1,design,check_ratio.bearing.PR2.sigma_max,check_ratio,5.16,,5.16,,NOR-009,CH5-TBL-035,calc_pdf_p2040,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,PR2 bearing max compressive stress (limit 8.0 N/mm2).
DS-200,ENT-GIRDER-AG1,design,check_ratio.bearing.AR2.sigma_max,check_ratio,4.68,,4.68,,NOR-009,CH5-TBL-036,calc_pdf_p2040,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,AR2 bearing max compressive stress (limit 8.0 N/mm2).
DS-201,ENT-GIRDER-AG1,design,check_ratio.bearing.PU15.sigma_max,check_ratio,4.56,,4.56,,NOR-009,CH5-TBL-033,calc_pdf_p2040,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,PU15 bearing max compressive stress (limit 8.0 N/mm2).
DS-202,ENT-GIRDER-AG1,design,check_ratio.bearing.PR1.shear_strain,check_ratio,6.7,,6.7,,NOR-009,CH5-TBL-038,calc_pdf_p2041,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,PR1 repeated horizontal displacement shear strain (limit 70%).
DS-203,ENT-GIRDER-AG1,design,check_ratio.bearing.PR2.shear_strain,check_ratio,6.7,,6.7,,NOR-009,CH5-TBL-039,calc_pdf_p2041,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,PR2 repeated horizontal displacement shear strain (limit 70%).
DS-204,ENT-GIRDER-AG1,design,check_ratio.bearing.AR2.shear_strain,check_ratio,30.5,,30.5,,NOR-009,CH5-TBL-040,calc_pdf_p2041,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,AR2 repeated horizontal displacement shear strain (limit 70%).
