source_id,title,publisher,edition,publication_date,file_path_or_url,document_type,authority_level,scope,chapters,status,rights_note,notes
SRC-DDB-2021,デザインデータブック〔2021年版〕,一般社団法人 日本橋梁建設協会,2021年版,2021年,local-archive/restricted-pdf/bridge-standards/260726_設計基準/2021_デザインデータブック.pdf,document:reference_data_book (image scan),REFERENCE_ONLY,Phase1 橋梁計画・部材設計の参考データ集,1 橋梁計画/2 床版/3 プレートガーダー/4 連結/5 輸送/6 材料/7 防食/8 設計資料・応用力学公式/9 数学公式,REFERENCE_ONLY,ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,数値の正式根拠に自動昇格しない。
SRC-JBC-COMPOSITE-EX-2022,合成桁の設計例と解説 ～道示 平成29年11月版対応～,一般社団法人 日本橋梁建設協会,令和4年1月 (道示 H29 対応),令和4年1月,local-archive/restricted-pdf/bridge-standards/260726_設計基準/20220101_合成桁の設計例と解説令和4年1月_日本橋梁建設協会.pdf,document:design_example (partial text),OUT_OF_SCOPE (合成桁・H29),合成桁橋の設計計算例,概要/設計条件/構造一般図/床版の設計/主桁の設計,OUT_OF_SCOPE,ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,Phase1 対象外(合成桁・H29版)。機能構成・処理順の参考に限定。
SRC-JBC-BOX-EX-2021,細幅箱桁橋の設計例と解説 ～道示 平成29年11月版対応～,一般社団法人 日本橋梁建設協会,令和3年6月 (道示 H29 対応),令和3年6月,local-archive/restricted-pdf/bridge-standards/260726_設計基準/令和3年6月_細幅箱桁橋の設計例と解説～道示　平成29年11月版対応.pdf,document:design_example (partial text),OUT_OF_SCOPE (箱桁・H29),細幅箱桁橋の設計計算例,設計計算編の内容と留意点/設計条件/構造一般図/床版/主桁,OUT_OF_SCOPE,ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,Phase1 対象外(箱桁・H29版)。参考に限定。
SRC-JBC-DETAIL-HANDBOOK,鋼橋構造詳細の手引き(改訂3版),一般社団法人 日本橋梁建設協会,改訂3版,令和4年1月,local-archive/restricted-pdf/bridge-standards/260726_設計基準/20220102_令和4年1月 鋼橋構造詳細の手引き(改訂3版).pdf,document:manual (image scan),REFERENCE_ONLY,Phase1 鋼橋の構造詳細・細部設計,I桁/対傾構と分配横桁/横構/少数I桁橋,REFERENCE_ONLY,ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,構造詳細・配置成立性の参考。数値照査根拠にはしない。
SRC-APOLLO-GRIDER-I-00,Grider_I_00 全体目次,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_00.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,全体目次,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-007 対応。
SRC-APOLLO-GRIDER-I-01,Grider_I_01 第1章 新規作成・既存データ・計算書,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_01.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第1章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-010 対応。
SRC-APOLLO-GRIDER-I-02,Grider_I_02 第2章 中心線・幅員・支承線・横桁線・桁作成,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_02.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第2章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-020/MT-021 対応。
SRC-APOLLO-GRIDER-I-03,Grider_I_03 第3章 床版厚・ハンチ高・ハンチ重量,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_03.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第3章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-030 対応。
SRC-APOLLO-GRIDER-I-04,Grider_I_04 第4章 管理情報・橋梁形式・材料・構造部材・床版形状・支承条件・荷重・主桁断面・補剛材・横桁・添接条件,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_04.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第4章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-040..MT-046 対応。
SRC-APOLLO-GRIDER-I-05,Grider_I_05 第5章 RC床版・照査位置・かぶり・鉄筋,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_05.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第5章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-050..MT-053 対応。
SRC-APOLLO-GRIDER-I-06,Grider_I_06 第6章 主桁仮定剛度・横桁対傾構仮定剛度・仮定鋼重・骨組任意指定・構造解析・断面力変換,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_06.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第6章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-060..MT-064 対応。
SRC-APOLLO-GRIDER-I-07,Grider_I_07 第7章 断面変化位置・断面計算・断面推定・断面チェック・計算書,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_07.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第7章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-070..MT-072 対応。
SRC-APOLLO-GRIDER-I-08,Grider_I_08 第8章 フランジ・腹板ボルト配置・添接計算・詳細計算書,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_08.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第8章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-080..MT-082 対応。
SRC-APOLLO-GRIDER-I-09,Grider_I_09 第9章 たわみ・剛比・キャンバー集計・DXF,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_09.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第9章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-090/MT-091 対応。
SRC-APOLLO-GRIDER-I-10,Grider_I_10 第10章 横桁断面力・横桁断面・添接・補剛材・対傾構・横構・斜材・横構配置図,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_10.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第10章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-100..MT-103 対応。
SRC-APOLLO-GRIDER-I-11,Grider_I_11 第11章 支点上補剛材・中間補剛材・水平補剛材ラップ,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_11.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第11章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-110..MT-112 対応。
SRC-APOLLO-GRIDER-I-12,Grider_I_12 第12章 概算鋼重・実鋼重の解析反映,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_12.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第12章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-120/MT-121 対応。
SRC-APOLLO-GRIDER-I-13,Grider_I_13 第13章 疲労用荷重・解析・主桁疲労照査・横桁疲労照査,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_13.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),非合成RC床版鋼鈑桁の旧設計プログラム,第13章,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-130..MT-132 対応。
SRC-APOLLO-SUPERDESIGNER,鋼橋自動設計システム APOLLO ユーザーズマニュアル SuperDesigner 鋼橋の自動設計製図システム,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_鋼橋自動設計システム_APOLLO_ユーザーズマニュアル_SuperDesigner_鋼橋の自動設計製図システム.pdf,document:legacy_manual,REFERENCE_ONLY (機能構成・処理順の参考),旧 SuperDesigner 全体,全体,REFERENCE_ONLY,旧製品マニュアル。転載禁止・画面例を正式値にしない,MT-000..MT-006 対応。
SRC-APOLLO-COMPGRD-I,CompGrd_I_00..05 合成鈑桁マニュアル,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/01_コンクリート床版系鈑桁/02_合成鈑桁/,document:legacy_manual,REFERENCE_ONLY (機能構成の参考のみ),合成鈑桁の旧設計プログラム,全体,REFERENCE_ONLY,旧製品マニュアル。転載禁止,Phase1 対象外(合成)。機能分解の参考に限定。
SRC-APOLLO-GIRDER-BOX,Girder_Box 非合成箱桁マニュアル,旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/02_コンクリート床版系箱桁/01_非合成箱/,document:legacy_manual,REFERENCE_ONLY (機能構成の参考のみ),非合成箱桁の旧設計プログラム,全体,REFERENCE_ONLY,旧製品マニュアル。転載禁止,Phase1 対象外(箱桁)。参考に限定。
SRC-APOLLO-STDECK,StDeck 単体アプリマニュアル(床版),旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/単体アプリ/StDeck/,document:legacy_manual,REFERENCE_ONLY (機能構成の参考のみ),床版単体の旧設計プログラム,全体,REFERENCE_ONLY,旧製品マニュアル。転載禁止,画面例を正式値にしない。
SRC-APOLLO-SECTION,Section 単体アプリマニュアル(断面),旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/単体アプリ/Section/,document:legacy_manual,REFERENCE_ONLY (機能構成の参考のみ),断面単体の旧計算プログラム,全体,REFERENCE_ONLY,旧製品マニュアル。転載禁止,断面諸量計算の参考。
SRC-APOLLO-SPLICE,Splice 単体アプリマニュアル(添接),旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/単体アプリ/Splice/,document:legacy_manual,REFERENCE_ONLY (機能構成の参考のみ),添接単体の旧設計プログラム,全体,REFERENCE_ONLY,旧製品マニュアル。転載禁止,添接配置・照査の参考。
SRC-APOLLO-PCSLAB,PcSlab 単体アプリマニュアル(PC床版),旧アポロシステム,版不明,不明,local-archive/unknown-rights/apollo/ユーザーズマニュアル/単体アプリ/PcSlab/,document:legacy_manual,REFERENCE_ONLY (機能構成の参考のみ),PC床版の旧設計プログラム,全体,REFERENCE_ONLY,旧製品マニュアル。転載禁止,Phase1 対象外(PC床版)。参考に限定。
SRC-JIP-SPACER,JIP-SPACER 任意形立体骨組の断面力解析システム 操作マニュアル,JIPテクノサイエンス株式会社,版不明,令和05年05月 (LINER側記録参照),マニュアル/SPACER操作マニュアル.pdf,document:manual (text extractable),REFERENCE_ONLY,Phase1 Frame解析・結果・図形の参考,全体,REFERENCE_ONLY,リポジトリ内。転載禁止,MT-140 対応。SPACER互換を要求しない。入力・結果構造の参考。
SRC-JIP-LINER,JIP-LINER 線形座標計算システム USER'S MANUAL,JIPテクノサイエンス株式会社,版不明,令和05年05月,マニュアル/JIP-LINER_マニュアル.pdf,document:manual (text extractable),REFERENCE_ONLY,Phase1 道路線形・高さ・ハンチの参考,全体,REFERENCE_ONLY,リポジトリ内。転載禁止,MT-150 対応。既存Road機能を再利用しApollo側で重複しない。
SRC-LINER-SAMPLE-CALC,サンプル LINER計算書 高架橋 入力結果・出力結果,不明 (サンプル),版不明,不明,001_サンプル_LINER計算書_高架橋_入力結果_出力結果.PDF,document:sample_output,REFERENCE_ONLY,Phase1 計算書出力のサンプル,全体,REFERENCE_ONLY,リポジトリ内。転載禁止,計算書章構成の参考。数値を正式値にしない。
SRC-LEVEL2-TYPE2,level2-type2 時刻歴応答データ,不明,版不明,不明,level2-type2.csv / level2-type2.xls,dataset,REFERENCE_ONLY,Phase1 時刻歴解析の比較データ,全体,REFERENCE_ONLY,リポジトリ内。転載禁止,既存の時刻歴検証用データ。設計基準ではない。
SRC-JIS-REGISTER,JIS ギャップレジスタ (JIS-001..JIS-034),JIS 各規格,版不明,不明,docs/apollo/design-standards/02_jis/jis_source_register.csv,document:register,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT (identity 未確定),Phase1 材料規格(JIS),34 gap rows,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,ライセンスJIS一次資料を取得後に確定,DS-02 DEC-DS02-0001。JIS番号 0 件確定。
SRC-DS-STANDARDS,docs/apollo/design-standards (DS-00..DS-09 統合ガバナンス),プロジェクト,2026-07-27,2026-07-27,docs/apollo/design-standards/,document:governance_registers,ADOPTED (document freeze),Phase1 設計基準ガバナンス全体,00_governance..09_verification,ADOPTED (文書凍結) / 数値は BLOCKED,プロジェクト文書,DS-09 DOCUMENT_COMPLETION_VERDICT: COMPLETE; NUMERIC_RELEASE_READINESS_VERDICT: BLOCKED。
SRC-EA-EVIDENCE,docs/apollo/evidence-collection (EA-00..EA-06 エビデンス収集),プロジェクト,2026-07-27,2026-07-27,docs/apollo/evidence-collection/,document:evidence_registers,ADOPTED (enablement only),Phase1 エビデンス取得基盤,00_inventory..05_dry_run + 統合レポート,ADOPTED (enablement) / 機械エビデンスは BLOCKED,プロジェクト文書,EA-06 OVERALL: EVIDENCE_ACQUISITION_READY_EXTERNAL_RUN_REQUIRED。
SRC-POST-EA-01,docs/apollo/post-ea-01 (ローカル証跡統合),プロジェクト,2026-07-28,2026-07-28,docs/apollo/post-ea-01/,document:evidence_registers,ADOPTED (文書凍結),Phase1 ローカル証跡統合,00_inventory..06_final + phase1_gate,ADOPTED (文書凍結) / 数値は BLOCKED,プロジェクト文書,POST_EA_01_COMPLETION_VERDICT: COMPLETE; NUMERIC_RELEASE_READINESS_VERDICT: BLOCKED。
SRC-REFREEZE,phase1_design_expansion_refreeze (設計機能拡張再凍結),プロジェクト,2026-08-01,2026-08-01,docs/apollo/phase1_design_expansion_refreeze/,document:freeze_docs,ADOPTED (文書凍結),Phase1 設計機能拡張の再凍結,README/scope_and_architecture_freeze/implementation_sequence/manual_traceability.csv,ADOPTED (文書凍結) / 数値は NOT_AUTHORIZED,プロジェクト文書,manual_traceability.csv の MT-* 対応表を含む。
SRC-APDX01,AP-DX-01 設計エンティティ契約実装凍結,プロジェクト,2026-08-01,2026-08-01,docs/apollo/ap-dx-01/implementation_freeze.md,document:implementation_freeze,ADOPTED (文書凍結),Phase1 設計エンティティ契約,全体,ADOPTED (文書凍結) / NUMERIC_NOT_GRANTED,プロジェクト文書,契約・型・schema 実装。数値照査は対象外。
SRC-VVS01,Visible Vertical Slice 01 実装記録,プロジェクト,2026-08-01,2026-08-01,docs/apollo/visible_vertical_slice_01/,document:implementation_report,ADOPTED (実装記録),Phase1 橋梁構造入力→SDM→3D→保存,local_implementation_report/manual_verification_checklist,ADOPTED (実装記録),プロジェクト文書,入力フィールド・SDM・3D・永続化の実装。
SRC-VVS02,Visible Vertical Slice 02 実装記録,プロジェクト,2026-08-02,2026-08-02,docs/apollo/visible_vertical_slice_02/,document:implementation_report,ADOPTED (実装記録),Phase1 断面特性・数量/重量・採用・詳細3D・結果UI・永続化,local_implementation_report/manual_verification_checklist,ADOPTED (実装記録),プロジェクト文書,手動GUI PASS (2026-08-02)。ユーザー入力単位重量を正式値へ昇格しない。
SRC-ROADMAP,ROADMAP.md 公開向け開発計画,プロジェクト,0.3.0-preview,2026-08-01,ROADMAP.md,document:roadmap,REFERENCE_ONLY,Phase1 開発計画,全体,REFERENCE_ONLY,プロジェクト文書,設計照査は Long Term に位置づけ。
SRC-ARCHITECTURE,ARCHITECTURE.md システム構成,プロジェクト,現行,2026-08-01,ARCHITECTURE.md,document:architecture,REFERENCE_ONLY,Phase1 システム構成,全体,REFERENCE_ONLY,プロジェクト文書,Frontend/Backend/Core/Solver/Viewer/LINER 責務分離。
