relative_path,sha256,size_bytes,kind,git_status
37_fit.png,914a95aa2f4d36b571816b290a89e608d46bd964ffd04dcaed670282dfaa4886,180662,png,excluded_raw
38_visibility_controls.png,77c973b720947dc3087b17868df0a49288b8a481501a5f73655219e0f77b8a3b,180695,png,excluded_raw
39_controls_lower.png,c11cef5447a1c2bfe0ca774444e9d50cb5aab5fd22b4554d2a562f3a6aff5ee4,126807,png,excluded_raw
40_diagnostics.png,c740b209876297326f0e0a0318a585f67444682af6d8e5a32a88a57fdd9bade2,101726,png,excluded_raw
41_visibility_section.png,8fde1b2b1305ce66ed5bcca5310cb34971b81c7e256b2a04963c7371f1e4e200,136816,png,excluded_raw
42_visibility_section.png,961492c3e3b57f8bb84bcd5e705074c2db99cb34f528ac9b5f3a7d0f179ccc96,105907,png,excluded_raw
43_solid_off.png,83a611929dc4f943d260b494745e82d5d18a59a55c5134f2a29a0832f0fcd617,319883,png,excluded_raw
44_solid_off_canvas.png,981d2b7f5caadd6f7eb472f0eb7df10d3ffb4b070438ed77e4a8e5282f6e8e86,192066,png,excluded_raw
45_visibility_after_off.png,cd8ce27d292a87435af754acb823182e19f88b2e0c137beb8087d9081b291f3e,108381,png,excluded_raw
46_solid_only.png,fcd28dc4d71295931aab148b1e59d3e4f082502971b6b300f59dc7020ddeb36b,194468,png,excluded_raw
47_rotate.png,4c0c139734782ccde8208b576f7f4df41a96eb62fc68306333292056ceec505c,198369,png,excluded_raw
48_pan.png,454f009868374155e767e51b89a15e827059ad8b7ab25edce7cd9ae58bafe5f8,197337,png,excluded_raw
49_zoom_in.png,16d7c1033645df715ddf5c9d20f446de6f0440e8a6b2ffecad671359b6439efc,197134,png,excluded_raw
50_zoom_restore.png,454f009868374155e767e51b89a15e827059ad8b7ab25edce7cd9ae58bafe5f8,197337,png,excluded_raw
51_isometric.png,fabf9758cdcd68898ec7e1f135dfa2be58c18e7c884ad6ec397d3c0381480b46,194758,png,excluded_raw
52_plan.png,caecc13d052f10b0fb912a1330e4fa5756baa50e640b00c7f310013541f3de8e,191451,png,excluded_raw
53_front.png,3a5a16a184f691f66e30d804e6b582cdf77208ca0f9f6c5c25111844362a6057,190060,png,excluded_raw
54_side.png,9f840a31f5a60e4047ede346391e627d976953eb9a26548b5bfbd0f5be201c68,190008,png,excluded_raw
55_side_panel_closed.png,c21e01c07993dbfab8707aafbb6cd3f91d55beebae08ac4e6d55e291f30abfce,150826,png,excluded_raw
56_restore_line_controls.png,4556565036393ea7eb97f6ffba251e06455c8377e304a84c3481070b1b53dafc,108392,png,excluded_raw
57_line_restored.png,d77ac135b4a2ad34931631bb1fd7f0b7bc5d2e279593b72a97f47c59ca0c1c3a,189982,png,excluded_raw
58_restored_iso_both.png,ba383ca6a4b8bc813e4f2f62e0403007bc81486d8c9978e9d5f941994c9f5eaf,163477,png,excluded_raw
59_close_prompt.png,a63995a8bc00c2086dc85deb3dcc2934b99673ffc2d5316dbb7b5e27aeeda062,140249,png,excluded_raw
