golden_id,domain,field_path,drawing_sheet_number,drawing_locator,source_record_ids,candidate_ids
G-RPT-0049,report,report.section.CAL-P00129-CAL-SEC-3.1.2-001,,,CAL-P00129-CAL-SEC-3.1.2-001,RP-334
G-RPT-0050,report,report.section.CAL-P00130-CAL-SEC-3.1.2-001,,,CAL-P00130-CAL-SEC-3.1.2-001,RP-336
G-RPT-0051,report,report.section.CAL-P00131-CAL-SEC-3.1.2-001,,,CAL-P00131-CAL-SEC-3.1.2-001,RP-338
G-RPT-0052,report,report.section.CAL-P00132-CAL-SEC-3.1.2-001,,,CAL-P00132-CAL-SEC-3.1.2-001,RP-341
G-RPT-0053,report,report.section.CAL-P00132-CAL-SEC-3.1.2-002,,,CAL-P00132-CAL-SEC-3.1.2-002,RP-343
G-RPT-0054,report,report.section.CAL-P00133-CAL-SEC-3.1.2-001,,,CAL-P00133-CAL-SEC-3.1.2-001,RP-345
G-RPT-0055,report,report.section.CAL-P00135-CAL-SEC-3.1.2-002,,,CAL-P00135-CAL-SEC-3.1.2-002,RP-350
G-RPT-0056,report,report.section.CAL-P00135-CAL-SEC-3.1.2-003,,,CAL-P00135-CAL-SEC-3.1.2-003,RP-352
G-RPT-0057,report,report.section.CAL-P00136-CAL-SEC-3.1.2-001,,,CAL-P00136-CAL-SEC-3.1.2-001,RP-355
G-RPT-0058,report,report.section.CAL-P00137-CAL-SEC-3.1.2-001,,,CAL-P00137-CAL-SEC-3.1.2-001,RP-357
G-RPT-0059,report,report.section.CAL-P00139-CAL-SEC-3.1.2-001,,,CAL-P00139-CAL-SEC-3.1.2-001,RP-361
G-RPT-0060,report,report.section.CAL-P00141-CAL-SEC-3.1.3-001,,,CAL-P00141-CAL-SEC-3.1.3-001,RP-366
G-RPT-0061,report,report.section.CAL-P00142-CAL-SEC-3.1.4-001,,,CAL-P00142-CAL-SEC-3.1.4-001,RP-370
G-RPT-0062,report,report.section.CAL-P00143-CAL-SEC-3.1.5-001,,,CAL-P00143-CAL-SEC-3.1.5-001,RP-373
G-RPT-0063,report,report.section.CAL-P00145-CAL-SEC-3.1.6-001,,,CAL-P00145-CAL-SEC-3.1.6-001,RP-377
G-RPT-0064,report,report.section.CAL-P00180-CAL-SEC-3.1.7-001,,,CAL-P00180-CAL-SEC-3.1.7-001,RP-388
G-RPT-0065,report,report.section.CAL-P00222-CAL-SEC-3.1.8-001,,,CAL-P00222-CAL-SEC-3.1.8-001,RP-393
G-RPT-0066,report,report.section.CAL-P00277-CAL-SEC-3.1.9-001,,,CAL-P00277-CAL-SEC-3.1.9-001,RP-398
G-RPT-0067,report,report.section.CAL-P00675-CAL-SEC-3.3-001,,,CAL-P00675-CAL-SEC-3.3-001,RP-727
G-RPT-0068,report,report.section.CAL-P00676-CAL-SEC-3.3.1-001,,,CAL-P00676-CAL-SEC-3.3.1-001,RP-729
G-RPT-0069,report,report.section.CAL-P00679-CAL-SEC-3.3.2-001,,,CAL-P00679-CAL-SEC-3.3.2-001,RP-737
G-RPT-0070,report,report.section.CAL-P00685-CAL-SEC-3.3.3-001,,,CAL-P00685-CAL-SEC-3.3.3-001,RP-741
G-RPT-0071,report,report.section.CAL-P00687-CAL-SEC-3.3.4-001,,,CAL-P00687-CAL-SEC-3.3.4-001,RP-746
G-RPT-0072,report,report.section.CAL-P00688-CAL-SEC-3.3.4-001,,,CAL-P00688-CAL-SEC-3.3.4-001,RP-749
G-RPT-0073,report,report.section.CAL-P00696-CAL-SEC-3.3.4-001,,,CAL-P00696-CAL-SEC-3.3.4-001,RP-754
G-RPT-0074,report,report.section.CAL-P00704-CAL-SEC-3.3.5-001,,,CAL-P00704-CAL-SEC-3.3.5-001,RP-758
G-RPT-0075,report,report.section.CAL-P00735-CAL-SEC-3.3.6-001,,,CAL-P00735-CAL-SEC-3.3.6-001,RP-767
G-RPT-0076,report,report.section.CAL-P00762-CAL-SEC-3.3.7-001,,,CAL-P00762-CAL-SEC-3.3.7-001,RP-775
G-RPT-0077,report,report.section.CAL-P00765-CAL-SEC-3.4-001,,,CAL-P00765-CAL-SEC-3.4-001,RP-803
G-RPT-0078,report,report.section.CAL-P00766-CAL-SEC-3.4.1-001,,,CAL-P00766-CAL-SEC-3.4.1-001,RP-805
G-RPT-0079,report,report.section.CAL-P00767-CAL-SEC-3.4.1-001,,,CAL-P00767-CAL-SEC-3.4.1-001,RP-809
G-RPT-0080,report,report.section.CAL-P00770-CAL-SEC-3.4.1-001,,,CAL-P00770-CAL-SEC-3.4.1-001,RP-816
G-RPT-0081,report,report.section.CAL-P00773-CAL-SEC-3.4.1-001,,,CAL-P00773-CAL-SEC-3.4.1-001,RP-821
G-RPT-0082,report,report.section.CAL-P00774-CAL-SEC-3.4.1-001,,,CAL-P00774-CAL-SEC-3.4.1-001,RP-824
G-RPT-0083,report,report.section.CAL-P00777-CAL-SEC-3.4.2-001,,,CAL-P00777-CAL-SEC-3.4.2-001,RP-829
G-RPT-0084,report,report.section.CAL-P00788-CAL-SEC-3.5-001,,,CAL-P00788-CAL-SEC-3.5-001,RP-869
G-RPT-0085,report,report.section.CAL-P00789-CAL-SEC-3.5.1-001,,,CAL-P00789-CAL-SEC-3.5.1-001,RP-871
G-RPT-0086,report,report.section.CAL-P00791-CAL-SEC-3.5.2-001,,,CAL-P00791-CAL-SEC-3.5.2-001,RP-877
G-RPT-0087,report,report.section.CAL-P00792-CAL-SEC-3.5.3-001,,,CAL-P00792-CAL-SEC-3.5.3-001,RP-881
G-RPT-0088,report,report.section.CAL-P00793-CAL-SEC-3.5.4-001,,,CAL-P00793-CAL-SEC-3.5.4-001,RP-884
G-RPT-0089,report,report.section.CAL-P00797-CAL-SEC-3.5.5-001,,,CAL-P00797-CAL-SEC-3.5.5-001,RP-887
G-RPT-0090,report,report.section.CAL-P00800-CAL-SEC-3.5.6-001,,,CAL-P00800-CAL-SEC-3.5.6-001,RP-890
G-RPT-0091,report,report.section.CAL-P00817-CAL-SEC-3.6-001,,,CAL-P00817-CAL-SEC-3.6-001,RP-920
G-RPT-0092,report,report.section.CAL-P00818-CAL-SEC-3.6.1-001,,,CAL-P00818-CAL-SEC-3.6.1-001,RP-922
G-RPT-0093,report,report.section.CAL-P00819-CAL-SEC-3.6.2-001,,,CAL-P00819-CAL-SEC-3.6.2-001,RP-927
G-RPT-0094,report,report.section.CAL-P00820-CAL-SEC-3.6.2-001,,,CAL-P00820-CAL-SEC-3.6.2-001,RP-931
G-RPT-0095,report,report.section.CAL-P00821-CAL-SEC-3.6.2-001,,,CAL-P00821-CAL-SEC-3.6.2-001,RP-935
G-RPT-0096,report,report.section.CAL-P00822-CAL-SEC-3.6.3-001,,,CAL-P00822-CAL-SEC-3.6.3-001,RP-939
G-RPT-0097,report,report.section.CAL-P00840-CAL-SEC-3.6.4-001,,,CAL-P00840-CAL-SEC-3.6.4-001,RP-947
G-RPT-0098,report,report.section.CAL-P00842-CAL-SEC-3.7-001,,,CAL-P00842-CAL-SEC-3.7-001,RP-974
G-RPT-0099,report,report.section.CAL-P00843-CAL-SEC-3.7.1-001,,,CAL-P00843-CAL-SEC-3.7.1-001,RP-976
G-RPT-0100,report,report.section.CAL-P00845-CAL-SEC-3.7.1-001,,,CAL-P00845-CAL-SEC-3.7.1-001,RP-980
G-RPT-0101,report,report.section.CAL-P00860-CAL-SEC-3.7.2-001,,,CAL-P00860-CAL-SEC-3.7.2-001,RP-996
G-RPT-0102,report,report.section.CAL-P00872-CAL-SEC-4.1-001,,,CAL-P00872-CAL-SEC-4.1-001,RP-1043
G-RPT-0103,report,report.section.CAL-P00873-CAL-SEC-4.1.1-001,,,CAL-P00873-CAL-SEC-4.1.1-001,RP-1045
G-RPT-0104,report,report.section.CAL-P00874-CAL-SEC-4.1.2-001,,,CAL-P00874-CAL-SEC-4.1.2-001,RP-1053
G-RPT-0105,report,report.section.CAL-P00876-CAL-SEC-4.1.2-001,,,CAL-P00876-CAL-SEC-4.1.2-001,RP-1057
G-RPT-0106,report,report.section.CAL-P00881-CAL-SEC-4.1.2-001,,,CAL-P00881-CAL-SEC-4.1.2-001,RP-1060
G-RPT-0107,report,report.section.CAL-P00893-CAL-SEC-4.1.2-001,,,CAL-P00893-CAL-SEC-4.1.2-001,RP-1063
G-RPT-0108,report,report.section.CAL-P00893-CAL-SEC-4.1.2-003,,,CAL-P00893-CAL-SEC-4.1.2-003,RP-1066
G-RPT-0109,report,report.section.CAL-P00894-CAL-SEC-4.1.2-001,,,CAL-P00894-CAL-SEC-4.1.2-001,RP-1069
G-RPT-0110,report,report.section.CAL-P00900-CAL-SEC-4.1.3-001,,,CAL-P00900-CAL-SEC-4.1.3-001,RP-1073
G-RPT-0111,report,report.section.CAL-P00901-CAL-SEC-4.1.4-001,,,CAL-P00901-CAL-SEC-4.1.4-001,RP-1076
G-RPT-0112,report,report.section.CAL-P00904-CAL-SEC-4.1.5-001,,,CAL-P00904-CAL-SEC-4.1.5-001,RP-1081
G-RPT-0113,report,report.section.CAL-P00904-CAL-SEC-4.1.5-002,,,CAL-P00904-CAL-SEC-4.1.5-002,RP-1083
G-RPT-0114,report,report.section.CAL-P01026-CAL-SEC-4.1.5-001,,,CAL-P01026-CAL-SEC-4.1.5-001,RP-1086
G-RPT-0115,report,report.section.CAL-P01115-CAL-SEC-4.1.6-001,,,CAL-P01115-CAL-SEC-4.1.6-001,RP-1089
G-RPT-0116,report,report.section.CAL-P01115-CAL-SEC-4.1.6-002,,,CAL-P01115-CAL-SEC-4.1.6-002,RP-1091
G-RPT-0117,report,report.section.CAL-P01130-CAL-SEC-4.1.6-001,,,CAL-P01130-CAL-SEC-4.1.6-001,RP-1094
G-RPT-0118,report,report.section.CAL-P01266-CAL-SEC-4.1.7-001,,,CAL-P01266-CAL-SEC-4.1.7-001,RP-1097
G-RPT-0119,report,report.section.CAL-P01266-CAL-SEC-4.1.7-002,,,CAL-P01266-CAL-SEC-4.1.7-002,RP-1099
G-RPT-0120,report,report.section.CAL-P01275-CAL-SEC-4.1.7-001,,,CAL-P01275-CAL-SEC-4.1.7-001,RP-1102
G-RPT-0121,report,report.section.CAL-P01280-CAL-SEC-4.1.7-001,,,CAL-P01280-CAL-SEC-4.1.7-001,RP-1105
G-RPT-0122,report,report.section.CAL-P01282-CAL-SEC-4.1.7-001,,,CAL-P01282-CAL-SEC-4.1.7-001,RP-1110
G-RPT-0123,report,report.section.CAL-P01283-CAL-SEC-4.2-001,,,CAL-P01283-CAL-SEC-4.2-001,RP-1172
G-RPT-0124,report,report.section.CAL-P01284-CAL-SEC-4.2.1-001,,,CAL-P01284-CAL-SEC-4.2.1-001,RP-1174
G-RPT-0125,report,report.section.CAL-P01287-CAL-SEC-4.2.2-001,,,CAL-P01287-CAL-SEC-4.2.2-001,RP-1185
G-RPT-0126,report,report.section.CAL-P01299-CAL-SEC-4.2.3-001,,,CAL-P01299-CAL-SEC-4.2.3-001,RP-1188
G-RPT-0127,report,report.section.CAL-P01318-CAL-SEC-4.2.4-001,,,CAL-P01318-CAL-SEC-4.2.4-001,RP-1195
G-RPT-0128,report,report.section.CAL-P01319-CAL-SEC-4.2.4-001,,,CAL-P01319-CAL-SEC-4.2.4-001,RP-1198
G-RPT-0129,report,report.section.CAL-P01400-CAL-SEC-4.2.4-001,,,CAL-P01400-CAL-SEC-4.2.4-001,RP-1210
G-RPT-0130,report,report.section.CAL-P01451-CAL-SEC-4.2.4-001,,,CAL-P01451-CAL-SEC-4.2.4-001,RP-1212
G-RPT-0131,report,report.section.CAL-P01520-CAL-SEC-4.2.4-001,,,CAL-P01520-CAL-SEC-4.2.4-001,RP-1214
G-RPT-0132,report,report.section.CAL-P01598-CAL-SEC-4.2.4-001,,,CAL-P01598-CAL-SEC-4.2.4-001,RP-1216
G-RPT-0133,report,report.section.CAL-P01680-CAL-SEC-4.2.4-001,,,CAL-P01680-CAL-SEC-4.2.4-001,RP-1218
G-RPT-0134,report,report.section.CAL-P01776-CAL-SEC-4.2.5-001,,,CAL-P01776-CAL-SEC-4.2.5-001,RP-1220
G-RPT-0135,report,report.section.CAL-P01778-CAL-SEC-4.2.6-001,,,CAL-P01778-CAL-SEC-4.2.6-001,RP-1224
G-RPT-0136,report,report.section.CAL-P01947-CAL-SEC-4.2.7-001,,,CAL-P01947-CAL-SEC-4.2.7-001,RP-1227
G-RPT-0137,report,report.section.CAL-P01955-CAL-SEC-4.2.8-001,,,CAL-P01955-CAL-SEC-4.2.8-001,RP-1230
G-RPT-0138,report,report.section.CAL-P01955-CAL-SEC-4.2.8-002,,,CAL-P01955-CAL-SEC-4.2.8-002,RP-1232
G-RPT-0139,report,report.section.CAL-P01958-CAL-SEC-4.2.8-001,,,CAL-P01958-CAL-SEC-4.2.8-001,RP-1235
G-RPT-0140,report,report.section.CAL-P02003-CAL-SEC-4.2.8-001,,,CAL-P02003-CAL-SEC-4.2.8-001,RP-1237
G-RPT-0141,report,report.section.CAL-P02076-CAL-SEC-4.2.8-001,,,CAL-P02076-CAL-SEC-4.2.8-001,RP-1240
G-RPT-0142,report,report.section.CAL-P02098-CAL-SEC-4.2.8-001,,,CAL-P02098-CAL-SEC-4.2.8-001,RP-1243
G-RPT-0143,report,report.section.CAL-P02100-CAL-SEC-4.2.8-001,,,CAL-P02100-CAL-SEC-4.2.8-001,RP-1246
G-RPT-0144,report,report.section.CAL-P02114-CAL-SEC-4.2.8-001,,,CAL-P02114-CAL-SEC-4.2.8-001,RP-1249
G-RPT-0145,report,report.section.CAL-P02003-CAL-SEC-4.2.9-001,,,CAL-P02003-CAL-SEC-4.2.9-001,RP-1252
G-RPT-0146,report,report.section.CAL-P02003-CAL-SEC-4.2.9-002,,,CAL-P02003-CAL-SEC-4.2.9-002,RP-1254
G-RPT-0147,report,report.section.CAL-P02003-CAL-SEC-4.2.9-003,,,CAL-P02003-CAL-SEC-4.2.9-003,RP-1256
G-RPT-0148,report,report.section.CAL-P02003-CAL-SEC-4.2.9-004,,,CAL-P02003-CAL-SEC-4.2.9-004,RP-1258
G-RPT-0149,report,report.section.CAL-P02003-CAL-SEC-4.2.9-005,,,CAL-P02003-CAL-SEC-4.2.9-005,RP-1260
G-RPT-0150,report,report.section.CAL-P02023-CAL-SEC-4.2.10-001,,,CAL-P02023-CAL-SEC-4.2.10-001,RP-1262
G-RPT-0151,report,report.section.CH5-PE-002,,,CH5-PE-002,RP-1406
G-RPT-0152,report,report.section.CH5-PE-003,,,CH5-PE-003,RP-1408
G-RPT-0153,report,report.section.CH5-PE-004,,,CH5-PE-004,RP-1410
G-RPT-0154,report,report.section.CH5-PE-007,,,CH5-PE-007,RP-1414
G-RPT-0155,report,report.section.CH5-PE-008,,,CH5-PE-008,RP-1416
G-RPT-0156,report,report.section.CH5-PE-009,,,CH5-PE-009,RP-1418
G-RPT-0157,report,report.section.CH5-PE-010,,,CH5-PE-010,RP-1420
G-RPT-0158,report,report.section.CH5-PE-011,,,CH5-PE-011,RP-1422
G-RPT-0159,report,report.section.CH5-PE-012,,,CH5-PE-012,RP-1424
G-RPT-0160,report,report.section.CH5-PE-013,,,CH5-PE-013,RP-1426
G-RPT-0161,report,report.section.CH5-PE-014,,,CH5-PE-014,RP-1428
G-RPT-0162,report,report.section.CH5-PE-015,,,CH5-PE-015,RP-1430
G-RPT-0163,report,report.section.CH5-PE-016,,,CH5-PE-016,RP-1432
G-RPT-0164,report,report.section.CH5-PE-017,,,CH5-PE-017,RP-1434
G-RPT-0165,report,report.section.CH5-PE-018,,,CH5-PE-018,RP-1436
G-RPT-0166,report,report.section.CH5-PE-019,,,CH5-PE-019,RP-1438
G-RPT-0167,report,report.section.CH5-PE-020,,,CH5-PE-020,RP-1440
G-RPT-0168,report,report.section.CH5-PE-021,,,CH5-PE-021,RP-1442
G-RPT-0169,report,report.section.CH5-PE-022,,,CH5-PE-022,RP-1444
G-RPT-0170,report,report.section.CH5-PE-023,,,CH5-PE-023,RP-1446
G-RPT-0171,report,report.section.CH5-PE-024,,,CH5-PE-024,RP-1448
G-RPT-0172,report,report.section.CH5-PE-025,,,CH5-PE-025,RP-1450
G-RPT-0173,report,report.section.CH5-PE-026,,,CH5-PE-026,RP-1452
G-RPT-0174,report,report.section.CH5-PE-027,,,CH5-PE-027,RP-1454
G-RPT-0175,report,report.section.CH5-PE-028,,,CH5-PE-028,RP-1456
G-RPT-0176,report,report.section.CH5-PE-029,,,CH5-PE-029,RP-1458
G-RPT-0177,report,report.section.CH5-PE-030,,,CH5-PE-030,RP-1460
G-RPT-0178,report,report.section.CH5-PE-031,,,CH5-PE-031,RP-1462
G-RPT-0179,report,report.section.CH5-PE-032,,,CH5-PE-032,RP-1464
G-RPT-0180,report,report.section.CH5-PE-033,,,CH5-PE-033,RP-1466
G-RPT-0181,report,report.section.CH5-PE-034,,,CH5-PE-034,RP-1468
G-RPT-0182,report,report.section.CH5-PE-035,,,CH5-PE-035,RP-1470
G-RPT-0183,report,report.section.CH5-PE-036,,,CH5-PE-036,RP-1472
G-RPT-0184,report,report.section.CH5-PE-037,,,CH5-PE-037,RP-1474
G-RPT-0185,report,report.section.CH5-PE-038,,,CH5-PE-038,RP-1476
G-RPT-0186,report,report.section.CH5-PE-039,,,CH5-PE-039,RP-1478
G-RPT-0187,report,report.section.CH5-PE-040,,,CH5-PE-040,RP-1480
G-RPT-0188,report,report.section.CH5-PE-041,,,CH5-PE-041,RP-1482
G-RPT-0189,report,report.section.CH5-PE-042,,,CH5-PE-042,RP-1484
G-RPT-0190,report,report.section.CH5-PE-043,,,CH5-PE-043,RP-1486
G-RPT-0191,report,report.section.CH5-PE-044,,,CH5-PE-044,RP-1488
G-RPT-0192,report,report.section.CH5-PE-045,,,CH5-PE-045,RP-1490
G-RPT-0193,report,report.section.CH5-PE-046,,,CH5-PE-046,RP-1492
G-RPT-0194,report,report.section.CH5-PE-047,,,CH5-PE-047,RP-1494
G-RPT-0195,report,report.section.CH5-PE-048,,,CH5-PE-048,RP-1496
G-RPT-0196,report,report.section.CH5-PE-049,,,CH5-PE-049,RP-1498
G-RPT-0197,report,report.section.CH5-PE-051,,,CH5-PE-051,RP-1501
G-RPT-0198,report,report.section.CH5-PE-052,,,CH5-PE-052,RP-1503
G-RPT-0199,report,report.section.CH5-PE-053,,,CH5-PE-053,RP-1505
G-RPT-0200,report,report.section.CH5-PE-054,,,CH5-PE-054,RP-1507
G-RPT-0201,report,report.section.CH5-PE-055,,,CH5-PE-055,RP-1509
G-RPT-0202,report,report.section.CH5-PE-056,,,CH5-PE-056,RP-1511
G-RPT-0203,report,report.section.CH5-PE-057,,,CH5-PE-057,RP-1513
G-RPT-0204,report,report.section.CH5-PE-058,,,CH5-PE-058,RP-1515
G-RPT-0205,report,report.section.CH5-PE-059,,,CH5-PE-059,RP-1517
G-RPT-0206,report,report.section.CH5-PE-060,,,CH5-PE-060,RP-1519
G-RPT-0207,report,report.section.CH5-PE-061,,,CH5-PE-061,RP-1521
G-RPT-0208,report,report.section.CH5-PE-062,,,CH5-PE-062,RP-1523
G-RPT-0209,report,report.section.CH5-PE-063,,,CH5-PE-063,RP-1525
G-RPT-0210,report,report.section.CH5-PE-064,,,CH5-PE-064,RP-1527
G-RPT-0211,report,report.section.CH5-PE-065,,,CH5-PE-065,RP-1529
G-RPT-0212,report,report.section.CH5-PE-066,,,CH5-PE-066,RP-1531
G-RPT-0213,report,report.section.CH5-PE-067,,,CH5-PE-067,RP-1533
G-RPT-0214,report,report.section.CH5-PE-068,,,CH5-PE-068,RP-1535
G-RPT-0215,report,report.section.CH5-PE-069,,,CH5-PE-069,RP-1537
G-RPT-0216,report,report.section.CH5-PE-070,,,CH5-PE-070,RP-1539
G-RPT-0217,report,report.section.CH5-PE-071,,,CH5-PE-071,RP-1541
G-RPT-0218,report,report.section.CH5-PE-072,,,CH5-PE-072,RP-1543
G-RPT-0219,report,report.section.CH5-PE-073,,,CH5-PE-073,RP-1545
G-RPT-0220,report,report.section.CH5-PE-074,,,CH5-PE-074,RP-1547
G-RPT-0221,report,report.section.CH5-PE-075,,,CH5-PE-075,RP-1549
G-RPT-0222,report,report.section.CH5-PE-076,,,CH5-PE-076,RP-1551
G-RPT-0223,report,report.section.CH5-PE-077,,,CH5-PE-077,RP-1553
G-RPT-0224,report,report.section.CH5-PE-078,,,CH5-PE-078,RP-1555
G-RPT-0225,report,report.section.CH5-PE-079,,,CH5-PE-079,RP-1557
G-RPT-0226,report,report.section.CH5-PE-080,,,CH5-PE-080,RP-1559
G-RPT-0227,report,report.section.CH5-PE-081,,,CH5-PE-081,RP-1561
G-RPT-0228,report,report.section.CH5-PE-082,,,CH5-PE-082,RP-1563
G-RPT-0229,report,report.section.CH5-PE-083,,,CH5-PE-083,RP-1565
G-RPT-0230,report,report.section.CH5-PE-084,,,CH5-PE-084,RP-1567
G-RPT-0231,report,report.section.CH5-PE-085,,,CH5-PE-085,RP-1569
G-RPT-0232,report,report.section.CH5-PE-086,,,CH5-PE-086,RP-1571
G-RPT-0233,report,report.section.CH5-PE-087,,,CH5-PE-087,RP-1573
G-RPT-0234,report,report.section.CH5-PE-088,,,CH5-PE-088,RP-1575
G-RPT-0235,report,report.section.CH5-PE-089,,,CH5-PE-089,RP-1577
G-RPT-0236,report,report.section.CH5-PE-090,,,CH5-PE-090,RP-1579
G-RPT-0237,report,report.section.CH5-PE-091,,,CH5-PE-091,RP-1581
G-RPT-0238,report,report.section.CH5-PE-092,,,CH5-PE-092,RP-1583
G-RPT-0239,report,report.table.CH1-TBL-001,,,CH1-TBL-001,RP-050
G-RPT-0240,report,report.table.CH1-TBL-002,,,CH1-TBL-002,RP-051
G-RPT-0241,report,report.table.CH1-TBL-003,,,CH1-TBL-003,RP-052
G-RPT-0242,report,report.table.CH1-TBL-004,,,CH1-TBL-004,RP-053
G-RPT-0243,report,report.table.CH1-TBL-005,,,CH1-TBL-005,RP-054
G-RPT-0244,report,report.table.CH1-TBL-006,,,CH1-TBL-006,RP-055
G-RPT-0245,report,report.table.CH1-TBL-007,,,CH1-TBL-007,RP-056
G-RPT-0246,report,report.table.CH1-TBL-008,,,CH1-TBL-008,RP-057
G-RPT-0247,report,report.table.CH1-TBL-009,,,CH1-TBL-009,RP-058
G-RPT-0248,report,report.table.CH1-TBL-010,,,CH1-TBL-010,RP-059
G-RPT-0249,report,report.table.CH1-TBL-011,,,CH1-TBL-011,RP-060
G-RPT-0250,report,report.table.CH1-TBL-012,,,CH1-TBL-012,RP-061
G-RPT-0251,report,report.table.CH1-TBL-013,,,CH1-TBL-013,RP-062
G-RPT-0252,report,report.table.CH1-TBL-014,,,CH1-TBL-014,RP-063
G-RPT-0253,report,report.table.CH1-TBL-015,,,CH1-TBL-015,RP-064
G-RPT-0254,report,report.table.CH1-TBL-016,,,CH1-TBL-016,RP-065
