formula_id,pdf_page_number,printed_page_number,chapter_id,section_id,formula_label_raw,expression_raw,variable_symbols,semantic_class,source_locator,confidence,verification_status
CH5-FORM-020,2138,2133,CH5,CAL-SEC-5.1.3,合成応力度照査式, (σbd/σtyd)^2 + (τbd/τud)^2 ≦ 1.2,σbd:曲げ応力度 σtyd:制限値 τbd:せん断応力度 τud:せん断制限値,combined_stress_check,calc_pdf_p2138,HIGH,UNVERIFIED
CH5-FORM-021,2199,2194,CH5,CAL-SEC-5.3,通水断面積A, A = h*B*1/2,h:深さ B:通水幅,flow_area,calc_pdf_p2199,HIGH,UNVERIFIED
CH5-FORM-022,2199,2194,CH5,CAL-SEC-5.3,径深R, R = A/P,A:通水断面積 P:潤辺長,hydraulic_radius,calc_pdf_p2199,HIGH,UNVERIFIED
CH5-FORM-023,2199,2194,CH5,CAL-SEC-5.3,設計通水量Q, Q = (1/n)*R^(2/3)*i2^(1/2)*A,n:粗度係数 R:径深 i2:水面勾配 A:通水断面積,design_flow,calc_pdf_p2199,HIGH,UNVERIFIED
CH5-FORM-024,2200,2195,CH5,CAL-SEC-5.3,排水桝最大間隔Ls, Ls = Q/(q*γ*e),Q:設計通水量 q:流出量 γ:落下率 e:余裕率,drain_max_spacing,calc_pdf_p2200,HIGH,UNVERIFIED
CH5-FORM-025,2207,2202,CH5,CAL-SEC-5.4.1,温度変化伸縮量, ΔLt = α*L*⊿T,α:線膨張係数 L:伸縮桁長 ⊿T:温度差,thermal_movement,calc_pdf_p2207,HIGH,UNVERIFIED
CH5-FORM-026,2207,2202,CH5,CAL-SEC-5.4.1,地震時(⑩)伸縮量, ΔLq = EQmax*CB + LA,EQmax:レベル1移動量 CB:補正係数 LA:余裕量,seismic_movement,calc_pdf_p2207,HIGH,UNVERIFIED
CH5-FORM-027,2222,2217,CH5,CAL-SEC-5.4.2,フィンガー遊間b(常時), b = (+)ΔLt + bmin,(+)ΔLt:温度伸び bmin:最小遊間,finger_gap,calc_pdf_p2222,HIGH,UNVERIFIED
CH5-FORM-028,2222,2217,CH5,CAL-SEC-5.4.2,フィンガーラップc(常時), c = (-)ΔLt + cmin,(-)ΔLt:温度縮み cmin:最小ラップ,finger_lap,calc_pdf_p2222,HIGH,UNVERIFIED
CH5-FORM-029,2222,2217,CH5,CAL-SEC-5.4.2,フィンガー長L0, L0 = b + c + 15,b:遊間 c:ラップ,finger_length,calc_pdf_p2222,HIGH,UNVERIFIED
CH5-FORM-030,2224,2219,CH5,CAL-SEC-5.4.2,フェイスプレート曲げM, M = (1/2)*P*(1+i)*L0,P:輪荷重 i:衝撃係数 L0:フィンガー長,face_plate_moment,calc_pdf_p2224,HIGH,UNVERIFIED
CH5-FORM-031,2224,2219,CH5,CAL-SEC-5.4.2,フェイスプレート厚t1, t1 = √(6*M/(B*σ)),M:曲げモーメント B:抵抗幅 σ:曲げ応力度制限値,face_plate_thickness,calc_pdf_p2224,HIGH,UNVERIFIED
CH5-FORM-032,2225,2220,CH5,CAL-SEC-5.4.2,ジベルせん断耐力Qu, Qu = 0.90*0.85*[1.85*{π*(d^2-φst^2)/4*f'cd + π*φst^2/4*fud} - 26.1*10^3]/γb,d:孔径 φst:鉄筋径 f'cd:コンクリート強度 fud:鉄筋引張強度 γb:部材係数,stud_shear_capacity,calc_pdf_p2225,HIGH,UNVERIFIED
