value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,source_locator,confidence,verification_status
CH5-VAL-011,2028,2023,CH5,CAL-SEC-5.1.1,レベル1水平震度(橋軸),0.20,,0.20,,seismic_coefficient_L1,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-012,2028,2023,CH5,CAL-SEC-5.1.1,レベル1水平震度(直角),0.20,,0.20,,seismic_coefficient_L1_transverse,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-013,2028,2023,CH5,CAL-SEC-5.1.1,地盤面水平震度khg,0.16,,0.16,,seismic_coefficient_ground,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-014,2028,2023,CH5,CAL-SEC-5.1.1,地盤面kⅠhg,0.60,,0.60,,seismic_coefficient_ground_type1,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-015,2028,2023,CH5,CAL-SEC-5.1.1,地盤面kⅡhg,0.80,,0.80,,seismic_coefficient_ground_type2,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-016,2031,2026,CH5,CAL-SEC-5.1.1,PU15一層厚te,32,mm,32,mm,rubber_layer_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-017,2031,2026,CH5,CAL-SEC-5.1.1,PU15総厚Σte,160,mm,160,mm,rubber_total_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-018,2031,2026,CH5,CAL-SEC-5.1.1,PR1一層厚te,37,mm,37,mm,rubber_layer_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-019,2031,2026,CH5,CAL-SEC-5.1.1,PR1総厚Σte,185,mm,185,mm,rubber_total_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-020,2031,2026,CH5,CAL-SEC-5.1.1,PU15積層数,5,層,5,層,rubber_layer_count,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-021,2031,2026,CH5,CAL-SEC-5.1.1,PR1積層数,5,層,5,層,rubber_layer_count,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-022,2031,2026,CH5,CAL-SEC-5.1.1,PU15せん断弾性係数Ge,1.00,N/mm2,1.00,N/mm2,shear_modulus,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-023,2031,2026,CH5,CAL-SEC-5.1.1,PR1せん断弾性係数Ge,1.20,N/mm2,1.20,N/mm2,shear_modulus,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-024,2031,2026,CH5,CAL-SEC-5.1.1,PU15鉛プラグ径φd,95,mm,95,mm,lead_plug_diameter,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-025,2031,2026,CH5,CAL-SEC-5.1.1,PR1鉛プラグ径φd,150,mm,150,mm,lead_plug_diameter,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-026,2031,2026,CH5,CAL-SEC-5.1.1,PU15鉛プラグ本数NP,4,本,4,本,lead_plug_count,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-027,2031,2026,CH5,CAL-SEC-5.1.1,PU15補強鈑厚ts,4.5,mm,4.5,mm,reinforcement_plate_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-028,2031,2026,CH5,CAL-SEC-5.1.1,PR1補強鈑厚ts,6.0,mm,6.0,mm,reinforcement_plate_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-029,2031,2026,CH5,CAL-SEC-5.1.1,PU15有効面積Ae,0.4616,m2,0.4616,m2,effective_area,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-030,2031,2026,CH5,CAL-SEC-5.1.1,PR1有効面積Ae,0.9293,m2,0.9293,m2,effective_area,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-031,2034,2029,CH5,CAL-SEC-5.1.1,PU15温度(±50℃)Km,12.391,kN/mm,12.391,kN/mm,combined_stiffness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-032,2034,2029,CH5,CAL-SEC-5.1.1,PR1温度(±50℃)Km,37.613,kN/mm,37.613,kN/mm,combined_stiffness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-033,2034,2029,CH5,CAL-SEC-5.1.1,PR2温度(±50℃)Km,35.271,kN/mm,35.271,kN/mm,combined_stiffness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-034,2034,2029,CH5,CAL-SEC-5.1.1,AR2温度(±50℃)Km,12.112,kN/mm,12.112,kN/mm,combined_stiffness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-035,2037,2032,CH5,CAL-SEC-5.1.1,レベル1上部工移動量UBⅠo(橋軸),±27.7,mm,27.7,mm,seismic_displacement,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-036,2038,2033,CH5,CAL-SEC-5.1.1,PU15レベル1水平力HBⅠ,700,kN,700,kN,horizontal_force_L1,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-037,2038,2033,CH5,CAL-SEC-5.1.1,PR1レベル1水平力HBⅠ,500,kN,500,kN,horizontal_force_L1,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-038,2038,2033,CH5,CAL-SEC-5.1.1,PR2レベル1水平力HBⅠ,500,kN,500,kN,horizontal_force_L1,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-039,2038,2033,CH5,CAL-SEC-5.1.1,AR2レベル1水平力HBⅠ,700,kN,700,kN,horizontal_force_L1,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-040,2039,2034,CH5,CAL-SEC-5.1.1,NR/G10せん断弾性係数,1.0,N/mm2,1.0,N/mm2,shear_modulus,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-041,2039,2034,CH5,CAL-SEC-5.1.1,NR/G12せん断弾性係数,1.2,N/mm2,1.2,N/mm2,shear_modulus,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-042,2039,2034,CH5,CAL-SEC-5.1.1,NR局部せん断ひずみ制限値(G10),365,%,365,%,local_shear_strain_limit,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-043,2039,2034,CH5,CAL-SEC-5.1.1,NR局部せん断ひずみ制限値(G12),330,%,330,%,local_shear_strain_limit,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-044,2083,2078,CH5,CAL-SEC-5.1.2,Ⅱ種地盤Cz,1.00,,1.00,,zone_coefficient,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-045,2083,2078,CH5,CAL-SEC-5.1.2,Ⅱ種地盤CzⅠ,1.20,,1.20,,zone_coefficient_type1,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-046,2083,2078,CH5,CAL-SEC-5.1.2,Ⅱ種地盤CzⅡ,1.40,,1.40,,zone_coefficient_type2,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-047,2191,2186,CH5,CAL-SEC-5.2.2,S2設計荷重R,1290,kN,1290,kN,design_load,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-048,2192,2187,CH5,CAL-SEC-5.2.3,緩衝材長さ,900,mm,900,mm,buffer_length,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-049,2192,2187,CH5,CAL-SEC-5.2.3,負担有効長,750,mm,750,mm,effective_length,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-050,2192,2187,CH5,CAL-SEC-5.2.3,天板厚,25,mm,25,mm,top_plate_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-051,2193,2188,CH5,CAL-SEC-5.2.4,緩衝材幅B,250,mm,250,mm,buffer_width,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-052,2193,2188,CH5,CAL-SEC-5.2.4,緩衝材支圧面積A,179648,mm2,179648,mm2,bearing_area,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-053,2193,2188,CH5,CAL-SEC-5.2.4,緩衝材支圧応力度σb,7.2,N/mm2,7.2,N/mm2,bearing_stress,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-054,2193,2188,CH5,CAL-SEC-5.2.5,有効断面積A,43670,mm2,43670,mm2,effective_section_area,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-055,2193,2188,CH5,CAL-SEC-5.2.5,断面二次モーメントI,165458957,mm4,165458957,mm4,moment_of_inertia,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-056,2193,2188,CH5,CAL-SEC-5.2.5,断面二次半径r,61.6,mm,61.6,mm,radius_of_gyration,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-057,2194,2189,CH5,CAL-SEC-5.2.5,軸方向圧縮応力度σc,30,N/mm2,30,N/mm2,axial_compressive_stress,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-058,2194,2189,CH5,CAL-SEC-5.2.5,鋼材降伏強度σyk(台座),235,N/mm2,235,N/mm2,yield_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-059,2194,2189,CH5,CAL-SEC-5.2.5,制限値σcud,180,N/mm2,180,N/mm2,limit_stress,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-060,2195,2190,CH5,CAL-SEC-5.2.5,天板曲げ応力度σ,165,N/mm2,165,N/mm2,bending_stress,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-061,2199,2194,CH5,CAL-SEC-5.3,降雨強度I,100,mm/h,100,mm/h,rainfall_intensity,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-062,2199,2194,CH5,CAL-SEC-5.3,流出係数C,0.90,,0.90,,runoff_coefficient,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-063,2199,2194,CH5,CAL-SEC-5.3,粗度係数n,0.013,s/m^(1/3),0.013,s/m^(1/3),roughness_coefficient,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-064,2199,2194,CH5,CAL-SEC-5.3,余裕率e,0.80,,0.80,,safety_factor,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-065,2199,2194,CH5,CAL-SEC-5.3,落下率γ,0.60,,0.60,,drop_rate,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-066,2200,2195,CH5,CAL-SEC-5.3,排水桝最小間隔,5,m,5,m,drain_min_interval,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-067,2200,2195,CH5,CAL-SEC-5.3,排水桝最大間隔,20,m,20,m,drain_max_interval,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-068,2205,2200,CH5,CAL-SEC-5.3,排水管径(横引),VP200,mm,200,mm,drain_pipe_diameter,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-069,2205,2200,CH5,CAL-SEC-5.3,排水管径(縦引),VP250,mm,250,mm,drain_pipe_diameter,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-070,2207,2202,CH5,CAL-SEC-5.4.1,PU15伸縮桁長(左),95688,mm,95688,mm,expansion_length,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-071,2207,2202,CH5,CAL-SEC-5.4.1,PU15伸縮桁長(右),66576,mm,66576,mm,expansion_length,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-072,2207,2202,CH5,CAL-SEC-5.4.1,PU15温度変化(左),70.9,mm,70.9,mm,thermal_movement,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-073,2207,2202,CH5,CAL-SEC-5.4.1,PU15温度変化(右),40.0,mm,40.0,mm,thermal_movement,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-074,2207,2202,CH5,CAL-SEC-5.4.1,PU15活荷重たわみ(左),10.7,mm,10.7,mm,live_load_deflection,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-075,2207,2202,CH5,CAL-SEC-5.4.1,PU15活荷重たわみ(右),12.0,mm,12.0,mm,live_load_deflection,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-076,2207,2202,CH5,CAL-SEC-5.4.1,PU15伸縮余裕量(左右),10.0,mm,10.0,mm,margin_movement,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-077,2207,2202,CH5,CAL-SEC-5.4.1,PU15常時合計ΔLj,153.6,mm,153.6,mm,total_movement_normal,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-078,2208,2203,CH5,CAL-SEC-5.4.1,PU15地震時(⑩)ΔLq,236.5,mm,236.5,mm,seismic_movement,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-079,2208,2203,CH5,CAL-SEC-5.4.1,PU15地震時(⑩)直角ΔLq,211.6,mm,211.6,mm,seismic_movement_transverse,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-080,2208,2203,CH5,CAL-SEC-5.4.1,PU15形式,ES-480,,ES-480,,expansion_joint_type,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-081,2208,2203,CH5,CAL-SEC-5.4.1,PU15最大伸縮量,480,mm,480,mm,max_expansion_capacity,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-082,2208,2203,CH5,CAL-SEC-5.4.1,PU15桁遊間(中立時),700,mm,700,mm,girder_gap,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-083,2220,2215,CH5,CAL-SEC-5.4.2,AR2伸縮桁長,66.667,m,66.667,m,expansion_length,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-084,2221,2216,CH5,CAL-SEC-5.4.2,AR2形式,SEFジョイント100-325,,SEFジョイント100-325,,expansion_joint_type,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-085,2221,2216,CH5,CAL-SEC-5.4.2,AR2フィンガー角度,90.000,度,90.000,度,finger_angle,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-086,2222,2217,CH5,CAL-SEC-5.4.2,フィンガー最小遊間bmin,25,mm,25,mm,finger_min_gap,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-087,2222,2217,CH5,CAL-SEC-5.4.2,フィンガー最小ラップcmin,30,mm,30,mm,finger_min_lap,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-088,2222,2217,CH5,CAL-SEC-5.4.2,フィンガー長L0,350,mm,350,mm,finger_length,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-089,2224,2219,CH5,CAL-SEC-5.4.2,フェイスプレート厚t1,80,mm,80,mm,face_plate_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-090,2224,2219,CH5,CAL-SEC-5.4.2,フェイスプレート鋼種,SM520C,,SM520C,,steel_grade,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-091,2224,2219,CH5,CAL-SEC-5.4.2,フィンガーピッチP0,100,mm,100,mm,finger_pitch,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-092,2224,2219,CH5,CAL-SEC-5.4.2,フィンガー根元幅λ,61.4,mm,61.4,mm,finger_root_width,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-093,2225,2220,CH5,CAL-SEC-5.4.2,ジベル孔径d,65,mm,65,mm,stud_hole_diameter,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-094,2225,2220,CH5,CAL-SEC-5.4.2,貫通鉄筋径φst,19.1(D19),mm,19.1,mm,through_rebar_diameter,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-095,2226,2221,CH5,CAL-SEC-5.4.2,ジベル板厚,22,mm,22,mm,stud_plate_thickness,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-096,2139,2134,CH5,CAL-SEC-5.1.3,SM490(t≦40)支圧強度,315,N/mm2,315,N/mm2,bearing_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-097,2139,2134,CH5,CAL-SEC-5.1.3,SM490(t≦40)引張降伏強度,315,N/mm2,315,N/mm2,tensile_yield_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-098,2139,2134,CH5,CAL-SEC-5.1.3,SM490(t≦40)せん断降伏強度,180,N/mm2,180,N/mm2,shear_yield_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-099,2139,2134,CH5,CAL-SEC-5.1.3,SS400(t≦40)支圧強度,235,N/mm2,235,N/mm2,bearing_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-100,2139,2134,CH5,CAL-SEC-5.1.3,SS400(t≦40)引張降伏強度,235,N/mm2,235,N/mm2,tensile_yield_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-101,2139,2134,CH5,CAL-SEC-5.1.3,SS400(t≦40)せん断降伏強度,135,N/mm2,135,N/mm2,shear_yield_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-102,2139,2134,CH5,CAL-SEC-5.1.3,SD345降伏強度,345,N/mm2,345,N/mm2,yield_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-103,2139,2134,CH5,CAL-SEC-5.1.3,SD345せん断降伏強度,200,N/mm2,200,N/mm2,shear_yield_strength,,chapter_05/values.csv,HIGH,UNVERIFIED
