value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,source_locator,confidence,verification_status
CH1-VAL-022,7,2,CH1,CAL-SEC-1.1,床版厚,230,mm,230,mm,deck_thickness,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-023,7,2,CH1,CAL-SEC-1.1,大型車交通量,379,台/日･方向,379,台/日･方向,heavy_traffic_volume,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-024,7,2,CH1,CAL-SEC-1.1,設計水平震度_レベル1,0.25,,0.25,,seismic_coefficient,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-025,7,2,CH1,CAL-SEC-1.1,設計水平震度_レベル2,動的解析法による,,動的解析法,,seismic_analysis_method,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-026,7,2,CH1,CAL-SEC-1.1,鋼材_SM520,SM520,,SM520,,steel_grade,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-027,7,2,CH1,CAL-SEC-1.1,鋼材_SM490Y,SM490Y,,SM490Y,,steel_grade,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-028,7,2,CH1,CAL-SEC-1.1,鋼材_SM400,SM400,,SM400,,steel_grade,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-029,7,2,CH1,CAL-SEC-1.1,鋼材_SS400,SS400,,SS400,,steel_grade,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-030,7,2,CH1,CAL-SEC-1.1,コンクリート合成床版,30,N/mm2,30,N/mm2,concrete_strength,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-031,7,2,CH1,CAL-SEC-1.1,コンクリート壁高欄,24,N/mm2,24,N/mm2,concrete_strength,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-032,7,2,CH1,CAL-SEC-1.1,コンクリート巻き立て,30,N/mm2,30,N/mm2,concrete_strength,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-033,7,2,CH1,CAL-SEC-1.1,鉄筋,SD345,,SD345,,rebar_grade,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-034,7,2,CH1,CAL-SEC-1.1,現場継手ボルト,M22(S10T),,M22(S10T),,bolt_spec,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-035,7,2,CH1,CAL-SEC-1.1,遮音壁荷重,2.1,kN/m,2.1,kN/m,noise_barrier_load,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-036,7,2,CH1,CAL-SEC-1.1,検査路荷重,1.0,kN/m,1.0,kN/m,inspection_path_load,,chapter_01/values.csv,HIGH,UNVERIFIED
