audit_id,file,row_identifier,issue_type,issue_value,repaired_value,shift_delta,rationale
P2IIB-REP-0011,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-009,column_shift,"[""CAL-FML-P01321-009"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""上フランジ圧縮制限値"", ""σcud = min(σbrgd"", ""σcrld) = min(240"", ""193) = 193 N/mm2"", ""σcud"", ""σbrgd=240"", ""σcrld=193"", ""道示Ⅱ"", ""VERIFICATION_LIMIT"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-009"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""上フランジ圧縮制限値"", ""σcud = min(σbrgd,σcrld) = min(240,193) = 193 N/mm2"", ""σcud, σbrgd=240, σcrld=193"", ""道示Ⅱ"", ""VERIFICATION_LIMIT"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",4,"formula row re-aligned: expression='σcud = min(σbrgd,σcrld) = min(240,193) = 193 N/mm2', variable_symbols='σcud, σbrgd=240, σcrld=193'"
P2IIB-REP-0012,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-010,column_shift,"[""CAL-FML-P01321-010"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""合成後圧縮制限値"", ""σcud = ξ1*ξ2*Φu*σyk (座屈は生じないものとする)"", ""σcud"", ""ξ1=0.9"", ""ξ2=1.0"", ""Φu=0.85"", ""σyk=355"", ""道示Ⅱ式(5.4.5)"", ""STRESS_LIMIT_FORMULA"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-010"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""合成後圧縮制限値"", ""σcud = ξ1*ξ2*Φu*σyk (座屈は生じないものとする)"", ""σcud, ξ1=0.9, ξ2=1.0, Φu=0.85, σyk=355"", ""道示Ⅱ式(5.4.5)"", ""STRESS_LIMIT_FORMULA"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",4,"formula row re-aligned: expression='σcud = ξ1*ξ2*Φu*σyk (座屈は生じないものとする)', variable_symbols='σcud, ξ1=0.9, ξ2=1.0, Φu=0.85, σyk=355'"
P2IIB-REP-0013,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-011,column_shift,"[""CAL-FML-P01321-011"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""せん断応力度制限値"", ""τud = ξ1*ξ2*Φus*τyk = 0.90*1.00*0.85*205 = 157 N/mm2"", ""τud"", ""ξ1=0.9"", ""ξ2=1.0"", ""Φus=0.85"", ""τyk=205"", ""道示Ⅱ式(5.4.28)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-011"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""せん断応力度制限値"", ""τud = ξ1*ξ2*Φus*τyk = 0.90*1.00*0.85*205 = 157 N/mm2"", ""τud, ξ1=0.9, ξ2=1.0, Φus=0.85, τyk=205"", ""道示Ⅱ式(5.4.28)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",4,"formula row re-aligned: expression='τud = ξ1*ξ2*Φus*τyk = 0.90*1.00*0.85*205 = 157 N/mm2', variable_symbols='τud, ξ1=0.9, ξ2=1.0, Φus=0.85, τyk=205'"
P2IIB-REP-0014,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-001,column_shift,"[""CAL-FML-P01319-001"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""温度差床版応力度(上)"", ""σcu = 1/n*(P/A+M/I*Yc)-Ec*εt"", ""σcu"", ""P=-3158.2kN"", ""M=1686.3kNm"", ""n=7"", ""A=194650"", ""I=18008524"", ""Yc=-64.89"", ""Ec=2.857e4"", ""εt=12e-6"", ""ΔT=10"", ""道示Ⅱ式(解14.2.9)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01319-001"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""温度差床版応力度(上)"", ""σcu = 1/n*(P/A+M/I*Yc)-Ec*εt"", ""σcu, P=-3158.2kN, M=1686.3kNm, n=7, A=194650, I=18008524, Yc=-64.89, Ec=2.857e4, εt=12e-6, ΔT=10"", ""道示Ⅱ式(解14.2.9)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]",9,"formula row re-aligned: expression='σcu = 1/n*(P/A+M/I*Yc)-Ec*εt', variable_symbols='σcu, P=-3158.2kN, M=1686.3kNm, n=7, A=194650, I=18008524, Yc=-64.89, Ec=2.857e4, εt=12e-6, ΔT=10'"
P2IIB-REP-0015,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-002,column_shift,"[""CAL-FML-P01319-002"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""温度差鋼桁応力度(上)"", ""σsu = P/A+M/I*Ys"", ""σsu"", ""P=-3158.2kN"", ""M=1686.3kNm"", ""A=194650"", ""I=18008524"", ""Ys=-198.9"", ""道示Ⅱ式(解14.2.9)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01319-002"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""温度差鋼桁応力度(上)"", ""σsu = P/A+M/I*Ys"", ""σsu, P=-3158.2kN, M=1686.3kNm, A=194650, I=18008524, Ys=-198.9"", ""道示Ⅱ式(解14.2.9)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]",5,"formula row re-aligned: expression='σsu = P/A+M/I*Ys', variable_symbols='σsu, P=-3158.2kN, M=1686.3kNm, A=194650, I=18008524, Ys=-198.9'"
P2IIB-REP-0016,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-003,column_shift,"[""CAL-FML-P01319-003"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""乾燥収縮床版応力度(上)"", ""σcu = 1/n*(P/A+M/I*Yc)+Ec2*εs"", ""σcu"", ""P=-1842.3kN"", ""M=1786.5kNm"", ""n=21"", ""A=107175"", ""I=13440812"", ""Yc=-1084.7"", ""Ec2=0.952e4"", ""εs=20e-5"", ""道示Ⅱ式(解14.2.10)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01319-003"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""乾燥収縮床版応力度(上)"", ""σcu = 1/n*(P/A+M/I*Yc)+Ec2*εs"", ""σcu, P=-1842.3kN, M=1786.5kNm, n=21, A=107175, I=13440812, Yc=-1084.7, Ec2=0.952e4, εs=20e-5"", ""道示Ⅱ式(解14.2.10)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]",8,"formula row re-aligned: expression='σcu = 1/n*(P/A+M/I*Yc)+Ec2*εs', variable_symbols='σcu, P=-1842.3kN, M=1786.5kNm, n=21, A=107175, I=13440812, Yc=-1084.7, Ec2=0.952e4, εs=20e-5'"
P2IIB-REP-0017,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-004,column_shift,"[""CAL-FML-P01319-004"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""乾燥収縮鋼桁応力度(上)"", ""σsu = P/A+M/I*Ys"", ""σsu"", ""P=-1842.3kN"", ""M=1786.5kNm"", ""A=107175"", ""I=13440812"", ""Ys=-634.7"", ""道示Ⅱ式(解14.2.10)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01319-004"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""乾燥収縮鋼桁応力度(上)"", ""σsu = P/A+M/I*Ys"", ""σsu, P=-1842.3kN, M=1786.5kNm, A=107175, I=13440812, Ys=-634.7"", ""道示Ⅱ式(解14.2.10)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]",5,"formula row re-aligned: expression='σsu = P/A+M/I*Ys', variable_symbols='σsu, P=-1842.3kN, M=1786.5kNm, A=107175, I=13440812, Ys=-634.7'"
P2IIB-REP-0018,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-005,column_shift,"[""CAL-FML-P01319-005"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""曲げとせん断の同時性照査(限界状態1)"", ""κ = (σm/σa)^2 + (τ/τa)^2 <= 1.2"", ""κ"", ""σm=-43"", ""σa=312"", ""τ=53"", ""τa=157"", ""道示Ⅱ"", ""VERIFICATION_CHECK"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01319-005"", ""1319"", ""1314"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""曲げとせん断の同時性照査(限界状態1)"", ""κ = (σm/σa)^2 + (τ/τa)^2 <= 1.2"", ""κ, σm=-43, σa=312, τ=53, τa=157"", ""道示Ⅱ"", ""VERIFICATION_CHECK"", ""CAL-P01319"", ""HIGH"", ""UNVERIFIED""]",4,"formula row re-aligned: expression='κ = (σm/σa)^2 + (τ/τa)^2 <= 1.2', variable_symbols='κ, σm=-43, σa=312, τ=53, τa=157'"
P2IIB-REP-0019,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01284-001,source_locator_derivation,CAL-P01284,calc_pdf_p1284,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1284 per locator contract
P2IIB-REP-0020,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01284-002,source_locator_derivation,CAL-P01284,calc_pdf_p1284,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1284 per locator contract
P2IIB-REP-0021,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-001,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0022,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-002,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0023,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-003,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0024,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-004,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0025,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-005,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0026,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-006,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0027,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-007,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0028,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-008,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0029,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-009,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0030,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-010,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0031,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-011,source_locator_derivation,CAL-P01321,calc_pdf_p1321,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1321 per locator contract
P2IIB-REP-0032,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-001,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0033,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-002,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0034,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-003,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0035,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-004,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0036,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01319-005,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0037,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01284-001,source_locator_derivation,CAL-P01284,calc_pdf_p1284,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1284 per locator contract
P2IIB-REP-0038,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01284-002,source_locator_derivation,CAL-P01284,calc_pdf_p1284,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1284 per locator contract
P2IIB-REP-0039,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01284-003,source_locator_derivation,CAL-P01284,calc_pdf_p1284,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1284 per locator contract
P2IIB-REP-0040,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01284-004,source_locator_derivation,CAL-P01284,calc_pdf_p1284,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1284 per locator contract
P2IIB-REP-0041,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01285-001,source_locator_derivation,CAL-P01285,calc_pdf_p1285,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1285 per locator contract
P2IIB-REP-0042,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01286-001,source_locator_derivation,CAL-P01286,calc_pdf_p1286,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1286 per locator contract
P2IIB-REP-0043,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01286-002,source_locator_derivation,CAL-P01286,calc_pdf_p1286,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1286 per locator contract
P2IIB-REP-0044,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01318-001,source_locator_derivation,CAL-P01318,calc_pdf_p1318,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1318 per locator contract
P2IIB-REP-0045,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01318-002,source_locator_derivation,CAL-P01318,calc_pdf_p1318,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1318 per locator contract
P2IIB-REP-0046,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01319-001,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0047,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01319-002,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0048,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01319-003,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0049,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01319-004,source_locator_derivation,CAL-P01319,calc_pdf_p1319,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1319 per locator contract
P2IIB-REP-0050,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01322-001,source_locator_derivation,CAL-P01322,calc_pdf_p1322,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1322 per locator contract
P2IIB-REP-0051,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01778-001,source_locator_derivation,P01778,calc_pdf_p1778,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1778 per locator contract
P2IIB-REP-0052,calculation/chapter_04/section_4_2/notes.csv,CAL-NOT-P01947-001,source_locator_derivation,P01947,calc_pdf_p1947,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1947 per locator contract
