chapter_id,section_id,title,printed_range,pdf_range,extraction_status,verification_status
ch3,3.2.7,中間補剛材の計算,541-559,546-564,NOT_STARTED,UNVERIFIED
ch3,3.2.8,格点補剛材の計算,560-568,565-573,NOT_STARTED,UNVERIFIED
ch3,3.2.9,ジャッキアップ補剛材の計算,569-580,574-585,NOT_STARTED,UNVERIFIED
ch3,3.2.10,横力の計算,581-618,586-623,NOT_STARTED,UNVERIFIED
ch3,3.2.11,横力考慮時の主桁応力度,619-646,624-651,NOT_STARTED,UNVERIFIED
ch3,3.2.12,ずれ止めの計算,647-656,652-661,NOT_STARTED,UNVERIFIED
ch3,3.2.13,主桁高変化部の補剛材の計算,657-661,662-666,NOT_STARTED,UNVERIFIED
ch3,3.2.14,主桁溶接計算,662-665,667-670,NOT_STARTED,UNVERIFIED
ch3,3.2.15,ソールプレート取り付けの計算,666-668,671-673,NOT_STARTED,UNVERIFIED
ch3,3.2.16,鋼重比較,669-669,674-674,NOT_STARTED,UNVERIFIED
ch3,3.3,横桁の設計,670-759,675-764,NOT_STARTED,UNVERIFIED
ch3,3.3.1,設計方針,671-673,676-678,NOT_STARTED,UNVERIFIED
ch3,3.3.2,主構作用断面力,674-677,679-682,NOT_STARTED,UNVERIFIED
ch3,3.3.3,風荷重および地震荷重の影響,678-679,683-684,NOT_STARTED,UNVERIFIED
ch3,3.3.4,中間横桁の設計,680-698,685-703,NOT_STARTED,UNVERIFIED
ch3,3.3.5,端支点上横桁の設計,699-729,704-734,NOT_STARTED,UNVERIFIED
ch3,3.3.6,中間支点上横桁の設計,730-756,735-761,NOT_STARTED,UNVERIFIED
ch3,3.3.7,横桁補剛材の計算,757-759,762-764,NOT_STARTED,UNVERIFIED
ch3,3.4,端部ブラケットの設計,760-782,765-787,NOT_STARTED,UNVERIFIED
ch3,3.4.1,S1側,761-771,766-776,NOT_STARTED,UNVERIFIED
ch3,3.4.2,S2側,772-782,777-787,NOT_STARTED,UNVERIFIED
ch3,3.5,横構の設計,783-811,788-816,NOT_STARTED,UNVERIFIED
ch3,3.5.1,設計方針,784-785,789-790,NOT_STARTED,UNVERIFIED
ch3,3.5.2,風荷重および地震荷重の影響,786-786,791-791,NOT_STARTED,UNVERIFIED
ch3,3.5.3,設計断面力,787-787,792-792,NOT_STARTED,UNVERIFIED
ch3,3.5.4,断面の決定,788-791,793-796,NOT_STARTED,UNVERIFIED
ch3,3.5.5,計算結果一覧,792-794,797-799,NOT_STARTED,UNVERIFIED
ch3,3.5.6,支点部の水平支承部補強計算,795-811,800-816,NOT_STARTED,UNVERIFIED
ch3,3.6,巻き立てコンクリートの設計,812-835,817-840,NOT_STARTED,UNVERIFIED
ch3,3.6.1,設計方針,813-813,818-818,NOT_STARTED,UNVERIFIED
ch3,3.6.2,巻き立てコンクリート本体部,814-815,819-820,NOT_STARTED,UNVERIFIED
ch3,3.6.3,巻き立てコンクリート下端突起部,817-834,822-839,NOT_STARTED,UNVERIFIED
ch3,3.6.4,支点上横桁のずれ止めの計算,835-835,840-840,NOT_STARTED,UNVERIFIED
ch3,3.7,疲労設計,837-865,842-870,NOT_STARTED,UNVERIFIED
ch3,3.7.1,主桁の疲労設計,838-854,843-859,NOT_STARTED,UNVERIFIED
ch3,3.7.2,横桁の疲労設計,855-865,860-870,NOT_STARTED,UNVERIFIED
ch4,ch4,第4章 合成桁の設計,866-2020,871-2025,NOT_STARTED,UNVERIFIED
ch4,4.1,主構断面力の計算,867-1277,872-1282,NOT_STARTED,UNVERIFIED
ch4,4.1.1,解析方針,868-868,873-873,NOT_STARTED,UNVERIFIED
ch4,4.1.2,荷重強度,869-894,874-899,NOT_STARTED,UNVERIFIED
ch4,4.1.3,格点番号および部材番号,895-895,900-900,NOT_STARTED,UNVERIFIED
ch4,4.1.4,格点座標および仮定剛度,896-898,901-903,NOT_STARTED,UNVERIFIED
ch4,4.1.5,格子解析データ,899-1109,904-1114,NOT_STARTED,UNVERIFIED
ch4,4.1.6,格子解析結果,1110-1260,1115-1265,NOT_STARTED,UNVERIFIED
ch4,4.1.7,断面力,1261-1277,1266-1282,NOT_STARTED,UNVERIFIED
ch4,4.2,主桁の設計,1278-2020,1283-2025,NOT_STARTED,UNVERIFIED
ch4,4.2.1,設計方針,1279-1286,1284-1291,NOT_STARTED,UNVERIFIED
ch4,4.2.2,床版有効幅の計算,1287-1293,1292-1298,NOT_STARTED,UNVERIFIED
ch4,4.2.3,断面諸量,1294-1317,1299-1322,NOT_STARTED,UNVERIFIED
ch4,4.2.4,断面の応力度照査(耐荷性能の照査),1318-1770,1323-1775,NOT_STARTED,UNVERIFIED
ch4,4.2.5,断面構成図,1771-1772,1776-1777,NOT_STARTED,UNVERIFIED
ch4,4.2.6,現場継手の計算,1773-1941,1778-1946,NOT_STARTED,UNVERIFIED
ch4,4.2.7,たわみおよび剛比の照査,1942-1949,1947-1954,NOT_STARTED,UNVERIFIED
ch4,4.2.8,各計算応力度,1950-1997,1955-2002,NOT_STARTED,UNVERIFIED
ch4,4.2.9,中間補剛材の計算,1998-2017,2003-2022,NOT_STARTED,UNVERIFIED
ch4,4.2.10,主桁溶接計算,2018-2020,2023-2025,NOT_STARTED,UNVERIFIED
ch5,ch5,第5章 付属物の設計,2021-2221,2026-2226,NOT_STARTED,UNVERIFIED
ch5,5.1,支承の設計,2022-2184,2027-2189,NOT_STARTED,UNVERIFIED
ch5,5.1.1,ゴム支承計算書(Ⅰ種地盤),2023-2077,2028-2082,NOT_STARTED,UNVERIFIED
ch5,5.1.2,ゴム支承計算書(Ⅱ種地盤),2078-2132,2083-2137,NOT_STARTED,UNVERIFIED
ch5,5.1.3,鋼材計算書,2133-2161,2138-2166,NOT_STARTED,UNVERIFIED
ch5,5.1.4,水平支承鋼材計算書,2162-2184,2167-2189,NOT_STARTED,UNVERIFIED
ch5,5.2,段差防止構造の設計,2185-2192,2190-2197,NOT_STARTED,UNVERIFIED
ch5,5.3,排水の設計,2193-2200,2198-2205,NOT_STARTED,UNVERIFIED
ch5,5.4,伸縮装置の設計,2201-2221,2206-2226,NOT_STARTED,UNVERIFIED
ch5,5.4.1,PU15,2202-2215,2207-2219,NOT_STARTED,UNVERIFIED
ch5,5.4.2,AR2,2215-2221,2220-2226,NOT_STARTED,UNVERIFIED
