drawing_sheet_number,pdf_page_number,drawing_group,drawing_title,extraction_status,verification_status
77,79,wrapping_concrete,巻き立てコンクリート（その6）,NOT_STARTED,UNVERIFIED
78,80,wrapping_concrete,巻き立てコンクリート（その7）,NOT_STARTED,UNVERIFIED
79,81,wrapping_concrete,巻き立てコンクリート（その8）,NOT_STARTED,UNVERIFIED
80,82,wrapping_concrete_stud,巻き立てコンクリートスタッド図（その1）,NOT_STARTED,UNVERIFIED
81,83,wrapping_concrete_stud,巻き立てコンクリートスタッド図（その2）,NOT_STARTED,UNVERIFIED
82,84,wrapping_concrete_stud,巻き立てコンクリートスタッド図（その3）,NOT_STARTED,UNVERIFIED
83,85,wrapping_concrete_stud,巻き立てコンクリートスタッド図（その4）,NOT_STARTED,UNVERIFIED
84,86,composite_deck_layout,合成床版割付図,NOT_STARTED,UNVERIFIED
85,87,bearing_detail,支承詳細図（その1）,NOT_STARTED,UNVERIFIED
86,88,bearing_detail,支承詳細図（その2）,NOT_STARTED,UNVERIFIED
87,89,bearing_detail,支承詳細図（その3）,NOT_STARTED,UNVERIFIED
88,90,bearing_detail,支承詳細図（その4）,NOT_STARTED,UNVERIFIED
89,91,expansion_joint,伸縮装置（その1）,NOT_STARTED,UNVERIFIED
90,92,expansion_joint,伸縮装置（その2）,NOT_STARTED,UNVERIFIED
91,93,expansion_joint,伸縮装置（その3）,NOT_STARTED,UNVERIFIED
92,94,expansion_joint,伸縮装置（その4）,NOT_STARTED,UNVERIFIED
93,95,parapet_reinforcement,壁高欄配筋図（その1）,NOT_STARTED,UNVERIFIED
94,96,parapet_reinforcement,壁高欄配筋図（その2）,NOT_STARTED,UNVERIFIED
95,97,parapet_reinforcement,壁高欄配筋図（その3）,NOT_STARTED,UNVERIFIED
96,98,parapet_reinforcement,壁高欄配筋図（その4）,NOT_STARTED,UNVERIFIED
97,99,parapet_reinforcement,壁高欄配筋図（その5）,NOT_STARTED,UNVERIFIED
98,100,parapet_reinforcement,壁高欄配筋図（その6）,NOT_STARTED,UNVERIFIED
99,101,parapet_reinforcement,壁高欄配筋図（その7）,NOT_STARTED,UNVERIFIED
100,102,lighting_pedestal,照明受台配筋図,NOT_STARTED,UNVERIFIED
101,103,deck_drainage,上部工排水装置（その1）,NOT_STARTED,UNVERIFIED
102,104,deck_drainage,上部工排水装置（その2）,NOT_STARTED,UNVERIFIED
103,105,deck_drainage,上部工排水装置（その3）,NOT_STARTED,UNVERIFIED
104,106,deck_drainage,上部工排水装置（その4）,NOT_STARTED,UNVERIFIED
105,107,deck_drainage,上部工排水装置（その5）,NOT_STARTED,UNVERIFIED
106,108,deck_drainage,上部工排水装置（その6）,NOT_STARTED,UNVERIFIED
107,109,deck_drainage,上部工排水装置（その7）,NOT_STARTED,UNVERIFIED
108,110,deck_drainage,上部工排水装置（その8）,NOT_STARTED,UNVERIFIED
109,111,deck_drainage,上部工排水装置（その9）,NOT_STARTED,UNVERIFIED
110,112,deck_drainage,上部工排水装置（その10）,NOT_STARTED,UNVERIFIED
111,113,deck_drainage,上部工排水装置（その11）,NOT_STARTED,UNVERIFIED
112,114,substructure_drainage,下部工排水装置（その1）,NOT_STARTED,UNVERIFIED
113,115,substructure_drainage,下部工排水装置（その2）,NOT_STARTED,UNVERIFIED
114,116,substructure_drainage,下部工排水装置（その3）,NOT_STARTED,UNVERIFIED
115,117,bridge_deck_drainage,橋面排水工,NOT_STARTED,UNVERIFIED
116,118,superstructure_inspection,上部工検査路（その1）,NOT_STARTED,UNVERIFIED
117,119,superstructure_inspection,上部工検査路（その2）,NOT_STARTED,UNVERIFIED
118,120,superstructure_inspection,上部工検査路（その3）,NOT_STARTED,UNVERIFIED
119,121,superstructure_inspection,上部工検査路（その4）,NOT_STARTED,UNVERIFIED
120,122,superstructure_inspection,上部工検査路（その5）,NOT_STARTED,UNVERIFIED
121,123,superstructure_inspection,上部工検査路（その6）,NOT_STARTED,UNVERIFIED
122,124,superstructure_inspection,上部工検査路（その7）,NOT_STARTED,UNVERIFIED
123,125,superstructure_inspection,上部工検査路（その8）,NOT_STARTED,UNVERIFIED
124,126,superstructure_inspection,上部工検査路（その9）,NOT_STARTED,UNVERIFIED
125,127,superstructure_inspection,上部工検査路（その10）,NOT_STARTED,UNVERIFIED
126,128,substructure_inspection,下部工検査路（その1）,NOT_STARTED,UNVERIFIED
127,129,substructure_inspection,下部工検査路（その2）,NOT_STARTED,UNVERIFIED
128,130,substructure_inspection,下部工検査路（その3）,NOT_STARTED,UNVERIFIED
129,131,substructure_inspection,下部工検査路（その4）,NOT_STARTED,UNVERIFIED
130,132,substructure_inspection,下部工検査路（その5）,NOT_STARTED,UNVERIFIED
131,133,slope_stairs,法面階段,NOT_STARTED,UNVERIFIED
132,134,falling_object_prevention,落下物防止柵 (参考図),NOT_STARTED,UNVERIFIED
133,135,spalling_prevention,剥落防止対策工（その1）,NOT_STARTED,UNVERIFIED
134,136,spalling_prevention,剥落防止対策工（その2）,NOT_STARTED,UNVERIFIED
135,137,step_prevention,段差防止構造（その1）,NOT_STARTED,UNVERIFIED
136,138,step_prevention,段差防止構造（その2）,NOT_STARTED,UNVERIFIED
137,139,nameplate,橋名板・橋歴板 (参考図),NOT_STARTED,UNVERIFIED
138,140,nose_guardrail,ノーズ部ガードレール (参考図)（その1）,NOT_STARTED,UNVERIFIED
139,141,nose_guardrail,ノーズ部ガードレール (参考図)（その2）,NOT_STARTED,UNVERIFIED
140,142,nose_water_stop,ノーズ部止水構造図 (参考図),NOT_STARTED,UNVERIFIED
141,143,erection_plan,架設計画図,NOT_STARTED,UNVERIFIED
